id|user|created_at|text|lang|label|retweet_count|favorite_count
1507366311847997469|1072008757|Fri Mar 25 14:38:28 +0000 2022|"President Biden shouldn't have to be prodded by Congress, Allies, and public opinion to do more to help Ukraine.

H… https://t.co/WqqWPlIrY0"|en|R|13|57
1507065369860657161|1072008757|Thu Mar 24 18:42:38 +0000 2022|"I will not allow President Biden to weaponize intelligence agencies against American citizens.

Read my @FoxNews ex… https://t.co/jUsFCHXV7Z"|en|R|17|75
1506474072833634304|1072008757|Wed Mar 23 03:33:02 +0000 2022|It was a great day in southern Utah, from sitting down with ⁦⁦@SUUtbirds⁩ and our locally elected officials to spea… https://t.co/k2NKHHbqJt|en|R|3|12
1506415366867591168|1072008757|Tue Mar 22 23:39:45 +0000 2022|"Don’t forget! Tonight I’ll be in Cedar City for a town hall at 7:00pm MT.

I’ll see you there! https://t.co/RpbCEtiqmP"|en|R|2|1
1506365621285494784|1072008757|Tue Mar 22 20:22:05 +0000 2022|"It was great stopping by @SUUtbirds to speak with students about all that’s going on in the world.

One thing is fo… https://t.co/cFAyjN9XqT"|en|R|1|7
1506273861871955970|1072008757|Tue Mar 22 14:17:28 +0000 2022|Prayers for Justice Clarence Thomas. https://t.co/ZsV2UK7nxa|en|R|2|44
1505960444191776776|1072008757|Mon Mar 21 17:32:03 +0000 2022|Please join me for a town hall tomorrow night in Cedar City. I'll be answering any questions you have on any curren… https://t.co/TlNp6uZ68P|en|R|4|12
1505930177645273090|1072008757|Mon Mar 21 15:31:47 +0000 2022|Heartbreaking. My thoughts and prayers are with the families of these four soldiers, as well as the entire Marine C… https://t.co/kO2EzzEVaA|en|R|5|10
1504567586343763973|1072008757|Thu Mar 17 21:17:20 +0000 2022|No serious person is going to believe the current energy crisis is the fault of America’s producers instead of this… https://t.co/33rlFYXN1Q|en|R|147|493
1504526630693318664|1072008757|Thu Mar 17 18:34:36 +0000 2022|This week, the Senate finally voted to throw out President Biden's transportation mask mandate. This is a long over… https://t.co/W4wz40ARxE|en|R|2|35
1504477674466553859|1072008757|Thu Mar 17 15:20:04 +0000 2022|Energy is Russia's most powerful nonnuclear weapon. Still, @POTUS continues to make that weapon even stronger by wa… https://t.co/8wAxn5glzk|en|R|5|10
1504273544670326787|1072008757|Thu Mar 17 01:48:55 +0000 2022|It was great sitting down with @slcmayor to talk about the issues most important to Utah, from mental health to inf… https://t.co/YCFKO7C7NU|en|R|4|17
1504177692610121740|1072008757|Wed Mar 16 19:28:02 +0000 2022|"At my request, Putin's net worth was just declassified. We estimate that it's around $25 billion.

This corrupt for… https://t.co/xbgG58u2oQ"|en|R|57|239
1504107793393111055|1072008757|Wed Mar 16 14:50:17 +0000 2022|Powerful speech from President Zelensky. He has proven to be the man for the moment as he rallies his country and t… https://t.co/UlwNYh0FH6|en|R|8|127
1503832516003835905|1072008757|Tue Mar 15 20:36:26 +0000 2022|"China is closely watching how the West defends Ukraine.

For the sake of the freedom-loving people of Taiwan, we mu… https://t.co/JsL1IgGBCd"|en|R|5|12
1503745406651584527|1072008757|Tue Mar 15 14:50:17 +0000 2022|"The White House can call the spike in gas prices ""Putin's price hike"" all they want. It isn't fooling anyone.

From… https://t.co/1C88dhNSWb"|en|R|58|249
1503420552257626117|1072008757|Mon Mar 14 17:19:26 +0000 2022|Ukraine needs more than sympathy from the West to beat Putin. https://t.co/ZcgjPvNJcf|en|R|4|10
1503384219577466882|1072008757|Mon Mar 14 14:55:04 +0000 2022|We shouldn't be relying on dictators when we have cleaner, cheaper energy in our own backyard. https://t.co/WvwaqsE6J9|en|R|155|613
1502411430431182852|1072008757|Fri Mar 11 22:29:33 +0000 2022|".@POTUS personally vetoed the decision to deliver Polish fighter jets to Ukraine.

His logic is that the move may p… https://t.co/b52ItcMPyx"|en|R|4|8
1502347268871049216|1072008757|Fri Mar 11 18:14:35 +0000 2022|It's Joe Biden's inflation.|en|R|73|485
1502310474687426566|1072008757|Fri Mar 11 15:48:23 +0000 2022|Last year, the White House said inflation was caused by the pandemic. Last month, they blamed supply chain problems… https://t.co/6AzINqKt2U|en|R|48|137
1501974432704868353|1072008757|Thu Mar 10 17:33:04 +0000 2022|.@POTUS made the right decision in banning Russian oil imports. Yet at the same time he declared full-steam ahead o… https://t.co/yGmDXVqFJV|en|R|7|27
1501676444346462213|1072008757|Wed Mar 09 21:48:58 +0000 2022|President Biden complains about skyrocketing gas prices, yet he remains hostage to the green-energy donors whose po… https://t.co/iYlEakQGu0|en|R|4|18
1501651325087629314|1072008757|Wed Mar 09 20:09:09 +0000 2022|https://t.co/tIUM3idcc4|und|R|10|172
1501613733973475334|1072008757|Wed Mar 09 17:39:47 +0000 2022|"President Biden is looking for oil in Venezuela and Iran.

You know where he should be looking? Right beneath our feet."|en|R|169|760
1501323696102801411|1072008757|Tue Mar 08 22:27:17 +0000 2022|Someone needs to tell @POTUS that foreign oil isn't better for the environment than American oil.|en|R|72|277
1501288335817510912|1072008757|Tue Mar 08 20:06:46 +0000 2022|"FACT CHECK: 

@POTUS is the only president in at least two decades who hasn’t held an onshore lease sale in a given… https://t.co/3A0klSv87i"|en|R|9|31
1501246583190478852|1072008757|Tue Mar 08 17:20:51 +0000 2022|"Why is @POTUS asking dictators in Venezuela and Iran to produce more energy for us?

U.S. shale producers can incre… https://t.co/azu6Qcnlcj"|en|R|225|579
1500923353070252033|1072008757|Mon Mar 07 19:56:27 +0000 2022|Ban Russian oil. Produce American.|en|R|74|372
1500846552570634241|1072008757|Mon Mar 07 14:51:17 +0000 2022|"Gas prices are at a 14-year high.

Still, @POTUS continues his war on American energy:
- Banned new drilling on fed… https://t.co/RtPsMUKFrv"|en|R|301|919
1499124853533782018|1072008757|Wed Mar 02 20:49:52 +0000 2022|"An anxious world is looking for American leadership in a dangerous new era.

We must unite to meet the threats from… https://t.co/SO2xgMgpvg"|en|R|33|61
1499117849868124161|1072008757|Wed Mar 02 20:22:02 +0000 2022|God bless President Zelenskyy and the freedom-loving people of Ukraine. https://t.co/yc8kMg2w6Y|en|R|9|72
1498866322125512709|1072008757|Wed Mar 02 03:42:33 +0000 2022|The American people face an uncertain economy, record-high inflation, unconstitutional mandates, surging crime, ill… https://t.co/iJpkerBLKC|en|R|7|42
1498704467562274825|1072008757|Tue Mar 01 16:59:24 +0000 2022|"Watching this bloody, unprovoked assault on Ukraine is sickening. But it's vital that we do not look away.

The peo… https://t.co/lTIUeKVwQY"|en|R|48|202
1498672839842541572|1072008757|Tue Mar 01 14:53:43 +0000 2022|REMINDER: Don't miss tonight's tele-town hall with special guest, former National Security Advisor @robertcobrien.… https://t.co/3wxW1UhTdW|en|R|3|9
1498397368550576134|1072008757|Mon Feb 28 20:39:06 +0000 2022|Russia’s invasion of Ukraine is a 3 a.m. wake-up call to President Biden and Democrats: Stop your war on American energy.|en|R|122|582
1498365533103792128|1072008757|Mon Feb 28 18:32:36 +0000 2022|"Energy is Putin's lifeline - high oil prices literally fund the tanks and missiles terrorizing Kyiv.

So if the Wes… https://t.co/rNFq0yQ6Nq"|en|R|61|213
1497684332105846787|1072008757|Sat Feb 26 21:25:45 +0000 2022|Please join me this Tuesday, March 1st at 6:00pm MT / 8:00pm ET for an important discussion about Ukraine and Russi… https://t.co/jPl4kbThbT|en|R|9|35
1497581197123325969|1072008757|Sat Feb 26 14:35:55 +0000 2022|"He rejected the offer by the U.S. for assistance to evacuate himself and his family. This is leadership. 

God bles… https://t.co/dmttaeE17T"|en|R|33|366
1497252651167358981|1072008757|Fri Feb 25 16:50:24 +0000 2022|These comments aren't a gaffe. They reveal the White House's delusional obsession with climate change as a greater… https://t.co/XTUaq3nGkr|en|R|6|27
1496940567590223872|1072008757|Thu Feb 24 20:10:17 +0000 2022|A threat to democracy anywhere is a threat to democracies everywhere.|en|R|44|494
1496852724624859144|1072008757|Thu Feb 24 14:21:14 +0000 2022|The mistake the West has made for more than a decade is to think an autocratic bully can be a reasonable geopolitic… https://t.co/1lECvY5pCR|en|R|24|305
1496558005428629510|1072008757|Wed Feb 23 18:50:07 +0000 2022|"Energy is Russia's most powerful nonnuclear weapon.

President Biden needs to stop making that weapon even stronger… https://t.co/so8BAZbq3a"|en|R|93|384
1496520482849497095|1072008757|Wed Feb 23 16:21:01 +0000 2022|Pro-American Energy Policy = Smart National Security Policy|en|R|21|78
1496502091673706509|1072008757|Wed Feb 23 15:07:56 +0000 2022|"Reminder! Don't miss tonight's town hall from 7:00-8:00pm MT at St. George City Hall.

I look forward to seeing you there!"|en|R|3|4
1496228325240578054|1072008757|Tue Feb 22 21:00:05 +0000 2022|"For years, Europe has knowingly made themselves more dependent on Russia for energy.

President Biden is now taking… https://t.co/a6CRmUbaFm"|en|R|106|371
1496187020800049152|1072008757|Tue Feb 22 18:15:58 +0000 2022|Over the weekend, staring down the barrel of Russian invasion, Ukrainian President Zelensky forcefully demanded str… https://t.co/2dU4e0g5Zx|en|R|3|12
1495788195988054030|1072008757|Mon Feb 21 15:51:10 +0000 2022|Happy Presidents’ Day! https://t.co/tuJTZuhPO1|en|R|3|22
1494756374907133954|1072008757|Fri Feb 18 19:31:05 +0000 2022|GiveSendGo is a crowdfunding platform that received more than $8.7 million from individual donors intended for the… https://t.co/K0oND7ushz|en|R|15|53
1494705733815914500|1072008757|Fri Feb 18 16:09:51 +0000 2022|"America can't afford another major misstep on the international stage.

@POTUS must immediately state his intention… https://t.co/BjRchhnbAQ"|en|R|1|12
1494473267670888449|1072008757|Fri Feb 18 00:46:07 +0000 2022|The sad, hard truth is that suicide is a top ten cause of death in Utah and across America. Thank you, @GovCox, for… https://t.co/odfQ7IAXVH|en|R|2|16
1494374302824738818|1072008757|Thu Feb 17 18:12:52 +0000 2022|Putin doesn't fear troops, sanctions or @POTUS. But there is one clear path to deterrence: A well-armed, well-organ… https://t.co/as2wmnUrUq|en|R|1|8
1494342191413706753|1072008757|Thu Feb 17 16:05:16 +0000 2022|"Gail Halvorsen embodied the ideals we should all strive for every day: Bravery, compassion, and service.

In the wo… https://t.co/aY9fHb5Yli"|en|R|4|12
1494037442684456965|1072008757|Wed Feb 16 19:54:18 +0000 2022|I honestly can't tell if he's so out of touch that he can't see the cruel irony here, or if he's deliberately troll… https://t.co/mKxDyo46UE|en|R|40|152
1493581719303299078|1072008757|Tue Feb 15 13:43:25 +0000 2022|"This is exactly why I introduced the No Mask Mandate for Kids Act.

Federal agencies should not be able to impose n… https://t.co/R37CtBBG44"|en|R|5|21
1493302199019098115|1072008757|Mon Feb 14 19:12:43 +0000 2022|President Biden needs to shift his focus away from a partisan domestic agenda to improving America's national secur… https://t.co/TT5wC4FpCE|en|R|4|19
1493275275647459331|1072008757|Mon Feb 14 17:25:44 +0000 2022|"Americans are still stranded in Afghanistan.

Republicans will hold this administration accountable for their histo… https://t.co/pGJyEFi9Iq"|en|R|44|90
1492231884524433412|1072008757|Fri Feb 11 20:19:40 +0000 2022|"I joined @dagenmcdowell on @MorningsMaria this morning to talk about the threat of Russian invasion.

The Ukrainian… https://t.co/R9VisClSuB"|en|R|6|20
1492173068164345867|1072008757|Fri Feb 11 16:25:57 +0000 2022|This is a stunning display of denial. President Biden did not just allow the Afghanistan crisis - he constructed it… https://t.co/fIucaQzw3f|en|R|74|135
1491795375551778819|1072008757|Thu Feb 10 15:25:08 +0000 2022|"Inflation is a tax on all Americans.

And it has increased every month of Joe Biden's presidency. https://t.co/SbxhXF2dXY"|en|R|97|280
1491425923832639489|1072008757|Wed Feb 09 14:57:04 +0000 2022|The state I’m so proud to call home has placed its faith in We The People. Utah leaders believe that you and I have… https://t.co/93lfRcz2dC|en|R|3|13
1491128071482920960|1072008757|Tue Feb 08 19:13:30 +0000 2022|"Thank you to the @Ch_JesusChrist for its continued support of the Fairness for All Act.

I introduced this bill for… https://t.co/BxpBobWB0J"|en|R|1|5
1491104130957725696|1072008757|Tue Feb 08 17:38:22 +0000 2022|"Reminder! Don't miss tonight's tele-town hall from 6:00-7:00pm MT.

Dial 833-380-0518 to join. I look forward to speaking with everyone!"|en|R|1|4
1490774901598343168|1072008757|Mon Feb 07 19:50:08 +0000 2022|"House Democrats still haven't held a hearing on the origins of COVID-19.

Finding answers for the American people s… https://t.co/9tVHq2DdIT"|en|R|661|4143
