id|user|created_at|text|lang|label|retweet_count|favorite_count
1520130997689454592|235190657|Fri Apr 29 20:00:47 +0000 2022|"Proud to join @rep_stevewomack to stop Biden from sending resources our veterans earned through their honorable service to fix their self-inflicted open border crisis.

Vets and their families shouldn’t have to pay the price for Biden’s open borders. https://t.co/w4rsHL9HwY"|en|R|2|8
1520108153408409600|235190657|Fri Apr 29 18:30:00 +0000 2022|"The Biden DHS' new ""Disinformation Governance Board"" should concern every American who values freedom of speech and expression.

No government board or bureaucrat decides what is or isn't true or what any American can or cannot say.

This must be stopped."|en|R|5|18
1520085524710629376|235190657|Fri Apr 29 17:00:05 +0000 2022|"The Fed's favorite gauge of inflation increased by 6.6% in March—the fastest since 1982 while incomes declined by 0.4%

Inflation is rampant, paychecks can't keep up, and the Admin refuses to acknowledge it. Biden's economy isn't working for Tennesseans. https://t.co/jCcgKJEaQG"|en|R|3|6
1520069026285768714|235190657|Fri Apr 29 15:54:32 +0000 2022|Willy Joseph Cancel is a hero who represents the best of the Volunteer State. May God bless him and his family. https://t.co/hJiHoCbbQl|en|R|3|5
1519688237685612545|235190657|Thu Apr 28 14:41:24 +0000 2022|"Our economy is floundering.

We are heading towards stagflation and a recession.

The American People know that DC Democrats' out-of-control spending, war on energy production, and failure to tackle inflation are causing our economy to suffer. https://t.co/hZQNfducYH"|en|R|2|1
1519407814447439874|235190657|Wed Apr 27 20:07:06 +0000 2022|"Today, the world recognizes #YomHashoah, Holocaust Remembrance Day.

We will never forget the six million Jews murdered during the Holocaust and vow to always stand against anti-Semitism wherever and whenever it shows its evil face. https://t.co/5wW0bAqHga"|en|R|2|1
1519389763576508420|235190657|Wed Apr 27 18:55:23 +0000 2022|"At today's Homeland Security Subcommittee hearing, I questioned @SecMayorkas' handling of the crisis at the southern border. @HouseAppropsGOP is committed to ensuring CBP and ICE have the resources to secure our border.

Watch my opening remarks below. ⬇️ https://t.co/Uk7gNauAN9"|en|R|16|39
1519367091488501760|235190657|Wed Apr 27 17:25:17 +0000 2022|"Nearly two years into this Administration, and not one new job has been created, real wages have fallen, and inflation has hit a 41-year high.

Our economy is teetering on the edge of a recession. Democrat economic policies are destroying Americans' financial wellbeing. https://t.co/G66WLw48dN"|en|R|3|5
1519361441526173696|235190657|Wed Apr 27 17:02:50 +0000 2022|"Great to join @SBGC2C and talk with @AnnaMariaDP about the important issues in DC that affect #TN03. 

Today we discussed President Biden's wrongheaded plan to cancel student debt, the failure to secure the southern border, and the looming threat of a recession. https://t.co/R57d14I4Bn"|en|R|1|0
1519058798819819522|235190657|Tue Apr 26 21:00:15 +0000 2022|It's always a pleasure to meet with @tnhospitals as they advocate for issues affecting health care in our state. https://t.co/De3REP4rj9|en|R|2|7
