id|user|created_at|text|lang|label|retweet_count|favorite_count
1520151933742428162|1080865917377097728|Fri Apr 29 21:23:58 +0000 2022|The @EPA just issued an emergency waiver to allow E15 to be sold through the summer! It was an honor to join @POTUS for this historic announcement &amp; I'm looking forward to seeing how this will help lower costs for Iowa's families and ease pain at the pump. https://t.co/bL9Q4ymahX|en|D|4|13
1520116118886756354|1080865917377097728|Fri Apr 29 19:01:39 +0000 2022|Medical debt is less predictive for credit reports but continues to devastate folks across the nation. The three main credit bureaus finally took steps to reduce the importance of this debt on credit reports, &amp; I asked Director @chopracfpb about how this change will help people. https://t.co/jynHaimrop|en|D|6|15
1520081491065196546|1080865917377097728|Fri Apr 29 16:44:03 +0000 2022|"Honored to join the @ASPCA's Week of Action on my bill, #GoldiesAct, as we work to prevent puppy mill cruelty.

Let's get this bill passed and signed into law to hold abusive and neglectful dog breeders accountable. https://t.co/7Y6OV2bLzV"|en|D|8|25
1519768004510244865|1080865917377097728|Thu Apr 28 19:58:22 +0000 2022|Congratulations to the Stilwell Junior High School team for advancing to this year's @DOE_SC_NSB National Finals! You're the next generation of STEM leaders paving the way for a better future, and we'll be cheering you on here in #IA03. https://t.co/12whhLoDM4|en|D|1|11
1519726263849701382|1080865917377097728|Thu Apr 28 17:12:31 +0000 2022|WATCH: During yesterday's @HouseAgDems hearing, we heard the real cost of the ongoing consolidation, captive supply, and price manipulation by the meatpacking industry. We need swift action to support local producers. https://t.co/B8GT56FRiP|en|D|2|6
1519701730962948098|1080865917377097728|Thu Apr 28 15:35:02 +0000 2022|Grateful for the opportunity to participate in today's @NRDems hearing to discuss improving wildlife disease surveillance and how we can combat avian flu. ⤵️ https://t.co/sNWkDpd9ZX|en|D|4|12
1519694685765345280|1080865917377097728|Thu Apr 28 15:07:02 +0000 2022|Nearly 300,000 Iowans rely on SNAP for access to low-cost, nutritious food. Looking forward to reviewing this important program during today's @HouseAgDems hearing.⤵️ https://t.co/AucT2t1sCi|en|D|7|24
1519366933858111488|1080865917377097728|Wed Apr 27 17:24:40 +0000 2022|"On #YomHaShoah, we honor the millions of innocent lives lost during the Holocaust.

#WeRemember their names, stories, and legacies, and renew our commitment to standing up to hatred and anti-Semitism in all forms."|en|D|8|22
1519344268195815426|1080865917377097728|Wed Apr 27 15:54:36 +0000 2022|Today, we celebrate the life and legacy of former Secretary of State Madeleine Albright. It's on us to continue her fight to defend democracy here at home and across the globe. https://t.co/pCWDIJqULf|en|D|5|35
1519331382136348673|1080865917377097728|Wed Apr 27 15:03:23 +0000 2022|Be sure to tune in as we hear from cattle producers and seek more transparency from the big four meatpackers. #IA03 https://t.co/4wpYmPz3Pf|en|D|4|4
1519328211573915649|1080865917377097728|Wed Apr 27 14:50:48 +0000 2022|Looking forward to speaking with Director @chopracfpb during today's @FSCDems hearing. #IA03 https://t.co/MAKabLQi3c|en|D|3|5
1519069572573405187|1080865917377097728|Tue Apr 26 21:43:03 +0000 2022|"Wishing you the best of luck, Liberty! #IA03
https://t.co/xtDIwVnDSm"|en|D|2|7
1519036457930960898|1080865917377097728|Tue Apr 26 19:31:28 +0000 2022|"Expanded access to telehealth services has helped Iowans get the care they need by meeting them where they are. 

My new bipartisan bill will ensure that these services continue for two years after the public health emergency ends.
https://t.co/Dk6L4hUiMw"|en|D|8|18
1518674155465592834|1080865917377097728|Mon Apr 25 19:31:48 +0000 2022|"#IA03 student artists — there is only ONE WEEK LEFT to enter the Congressional Art Competition! 

Submit one piece of original artwork by Monday, May 2nd at 5pm CT for a chance to have your work displayed in the U.S. Capitol for one year.
https://t.co/IvFDPM26wg"|en|D|2|3
1518640632050425860|1080865917377097728|Mon Apr 25 17:18:36 +0000 2022|"Thank you, @SecretaryPete, for joining me to discuss how the Bipartisan Infrastructure Law will repair crumbling roads and bridges, expand internet access, and strengthen our supply chain while creating good-paying jobs. #IA03
https://t.co/rtQyjwPUem"|en|D|40|177
1518617367575732227|1080865917377097728|Mon Apr 25 15:46:09 +0000 2022|"When then Cass County Deputy Tyler Shiels made a traffic stop in Dec., he recognized that the individual posed a national terror threat &amp; acted swiftly to ensure that the individual was apprehended.

He is a hero &amp; I'm honored to name him #IowanOfTheWeek.
https://t.co/vJ9jDt3OQy https://t.co/FR95cXUtJ2"|en|D|1|11
1517610392159145990|1080865917377097728|Fri Apr 22 21:04:47 +0000 2022|"Thanks to the Bipartisan Infrastructure Law, we're making historic investments to expand internet access, repair crumbling bridges and roads, reduce supply chain disruptions, and much more here in Iowa.

I was honored to join @SecretaryPete to talk about these exciting projects. https://t.co/0vlK2jUeby"|en|D|68|284
1517553463550431233|1080865917377097728|Fri Apr 22 17:18:35 +0000 2022|"The significant delays in rail shipments are devastating Iowa's farmers &amp; businesses &amp; the entire agriculture supply chain. @RepFeenstra &amp; I urged the Surface Transportation Board to take action to improve the reliability of our nation's rail system. ⤵️
https://t.co/SBuPnqwz5F https://t.co/AsImMzo59p"|en|D|3|16
1517538286000037888|1080865917377097728|Fri Apr 22 16:18:16 +0000 2022|"Happy #EarthDay!

I’m fighting for climate action to lower energy costs, create American jobs, and ensure a better future for our kids – because there is no Planet B. https://t.co/lO2ja4BqwR"|en|D|4|21
1517265586300067840|1080865917377097728|Thu Apr 21 22:14:39 +0000 2022|It was great to speak at the @DSMPartnership Global Insurance Symposium yesterday and get to know the students participating in the inaugural Student Case Competition. I know the future of the insurance industry is in good hands after seeing their creative and thoughtful visions. https://t.co/KdRUu70dch|en|D|4|6
1517230317345681411|1080865917377097728|Thu Apr 21 19:54:31 +0000 2022|"Short-term ""junk"" health care plans can limit benefits, deny coverage to those with pre-existing conditions, and put consumers at financial risk. It's high time we rein in the sale of these plans, and I led my colleagues in asking @HHSgov to do just that. https://t.co/YuP1wKMc52"|en|D|1|10
1517173384198737921|1080865917377097728|Thu Apr 21 16:08:17 +0000 2022|"When the Social Security Administration wrongfully suspended Ibrahim's benefits, my office worked hard to make sure the suspension was lifted.

Need help with Social Security or any other federal agency? My team is here to help.
https://t.co/VTF5c6CuEp https://t.co/xoolM6Ah3O"|en|D|2|9
