id|user|created_at|text|lang|label|retweet_count|favorite_count
1519686195927732229|1039879658400112640|Thu Apr 28 14:33:18 +0000 2022|"If we were to ask the cartels to design a border policy for the United States, it would look very similar to what the Biden administration is doing.

This is tragic.

We must revert back to Trump-era immigration policies to secure our border and protect our homeland. https://t.co/uyZ1s7L7XJ"|en|R|50|106
1519416167361875969|1039879658400112640|Wed Apr 27 20:40:18 +0000 2022|"Nations can rise and fall due to fiscal responsibility.

Today @SenMikeLee and I led 40 of our Republican colleagues in an effort to require the Congressional Budget Office (CBO) to include debt servicing costs in each official cost estimate that they publish. https://t.co/izQBRnV2BX"|en|R|2|10
1519401984222273536|1039879658400112640|Wed Apr 27 19:43:56 +0000 2022|"- Over 2 million border encounters
- 42 Terrorist Encounters
- Over 400k known gotaways
- Fentanyl pouring into our country
- Record level drug overdoses

How can Mayorkas think DHS has effectively managed our southern border?

#Impeach https://t.co/FLXNVPe8Zd"|en|R|14|12
1519319408585420804|1039879658400112640|Wed Apr 27 14:15:49 +0000 2022|"Secretary Mayorkas has abandoned his duty to protect the American people by securing our Homeland.

His open-border agenda has created historic levels of illegal immigration and has put countless Americans in harm's way.

He must be impeached."|en|R|16|42
1518700269374164994|1039879658400112640|Mon Apr 25 21:15:34 +0000 2022|"March was the 13th straight month where over 150,000 illegal immigrants were encountered at our southern border.

Over 2.4 million encounters in total, including 42 that were on the TERROR WATCHLIST.

Border security is national security. Under the Biden admin, we have neither."|en|R|32|47
1518666491528466434|1039879658400112640|Mon Apr 25 19:01:21 +0000 2022|"Heartbreaking. 

God bless Specialist Bishop Evans, a true hero, who died in service to his nation.

https://t.co/YiVpJvurLp"|en|R|2|8
1517239620236419074|1039879658400112640|Thu Apr 21 20:31:29 +0000 2022|"Earlier this week I joined Fox Business to discuss Jack Dorsey's comments opposing CNN's media bias as well as Elon Musk's effort to purchase Twitter and restore free speech principles to the platform.

Check it out below⤵️ https://t.co/Mdx20gU4hS"|en|R|3|10
1516820450487193625|1039879658400112640|Wed Apr 20 16:45:51 +0000 2022|"The Biden administration continues to allow drug smugglers, human traffickers, and even terrorists to invade our country. 

Now they've prematurely stopped enforcing Title 42 a month early. 

Every action they've taken indicates they want more illegal immigration, not less. https://t.co/xMFyIfxsck"|en|R|13|24
1512129547390668806|1039879658400112640|Thu Apr 07 18:05:52 +0000 2022|"A free phone and a free ticket to any American city of their choice, what a deal.

All paid for by American taxpayers dealing with record-high inflation.

#ImpeachMayorkas https://t.co/cPyeuOjVFF"|en|R|22|34
1511386154523844615|1039879658400112640|Tue Apr 05 16:51:54 +0000 2022|"The Biden administration's inflation crisis is costing the average American household OVER $5,000 this year.

Mass spending and Leftist priorities have damaged our economy and have Americans paying more for just about everything. https://t.co/bHhmJx4BIy"|en|R|41|80
1509970298803785737|1039879658400112640|Fri Apr 01 19:05:47 +0000 2022|"This is a complete dereliction of duty.

Without Title 42, our Border Patrol officers will experience an illegal immigrant surge at record-shattering levels.

The Biden administration knows this, and they're complicit in this continued invasion.

#ImpeachMayorkas
#SecureOurBorder https://t.co/HbBYiijlE3"|en|R|41|68
1509511355153498112|1039879658400112640|Thu Mar 31 12:42:07 +0000 2022|"This administration has shown ZERO interest in safeguarding our communities and securing our homeland.

Title 42 is one of the only remaining tools to enforce our immigration laws. 

Without it, CBP will experience a surge at record-shattering levels.

https://t.co/y2ZeovYdo3"|en|R|25|69
1508927487316799492|1039879658400112640|Tue Mar 29 22:02:02 +0000 2022|"Since taking office, the Biden administration has empowered over 2 MILLION illegal border crossings by:

- Halting border wall construction
- Reinstating the failed Obama-era ""Catch-and-Release""
- Formally ending Trump's ""Remain in Mexico"" policy
- Dropping deportations by 68% https://t.co/wVTQqYxmzp"|en|R|62|107
1506337743089065996|1039879658400112640|Tue Mar 22 18:31:19 +0000 2022|"Happy National Agriculture day to all the farmers, ranchers, and producers across the state of Texas who continue to feed and fuel our country!

#NationalAgDay
#NationalAgWeek https://t.co/97ylf8e1Km"|en|R|4|10
1506294405178834951|1039879658400112640|Tue Mar 22 15:39:06 +0000 2022|"Banned from Twitter:
- The Babylon Bee

Not Banned:
- The Kremlin
- Pro-China Propagandists
- The Taliban

Twitter bans have nothing to do with misinformation, only power."|en|R|874|2690
1504823367555235844|1039879658400112640|Fri Mar 18 14:13:43 +0000 2022|"The most important role of the federal government is to keep its citizens free.

We must protect the Second Amendment by dismantling ATF's database of nearly a billion gun records, restoring privacy to law-abiding American gun owners in the process. https://t.co/K81SyFTEhA"|en|R|51|198
1504103577924612104|1039879658400112640|Wed Mar 16 14:33:32 +0000 2022|"Illegal immigration is occurring at record levels yet the Biden administration's deportation rates are at record lows.

This administration continues to threaten the rights of law-abiding Americans while turning a blind eye to criminal illegal aliens.

https://t.co/hQJisw3CJH"|en|R|3|12
1503746361296142340|1039879658400112640|Tue Mar 15 14:54:05 +0000 2022|"The #BidenBorderCrisis continues.

The Biden administration has failed to safeguard the American people and protect our homeland. 

Our communities are being destroyed because of this administration's unwillingness to enforce the law.

Secure our borders. Protect our homeland. https://t.co/kMVbXL0M4u"|en|R|28|52
1503435952366108673|1039879658400112640|Mon Mar 14 18:20:38 +0000 2022|"The Biden administration’s war on American energy has emboldened our adversaries abroad and driven up energy prices at home. 

It's time to unleash American energy with full force. https://t.co/PJa5pRcsD3"|en|R|17|45
1502322408258162699|1039879658400112640|Fri Mar 11 16:35:48 +0000 2022|"Inflation is a tax on everyone, and it hurts the working class the most.

This problem was predictable and avoidable.

We must rein in Washington's reckless spending and alleviate the price burden American families across our nation are experiencing.

https://t.co/dekWbDmDlj"|en|R|1|8
1501676813482958852|1039879658400112640|Wed Mar 09 21:50:26 +0000 2022|"Why would the U.S. spend hundreds of millions of taxpayer dollars overseas for this nonsense?

Working-class Americans are struggling to pay for gas, groceries, and other everyday necessities due to Bidenflation.

More massive spending will only prolong this economic crisis. https://t.co/ybyAvnAM40"|en|R|3|16
1501609327806795788|1039879658400112640|Wed Mar 09 17:22:16 +0000 2022|"A federal firearms registry is explicitly banned by law, yet ATF has accumulated and digitized nearly a BILLION gun records.

My No REGISTRY Rights Act would dismantle this database to prevent this Administration from continuing to constrain the rights of law-abiding Americans. https://t.co/shOsJRdBJR"|en|R|357|1149
1501330076356554759|1039879658400112640|Tue Mar 08 22:52:38 +0000 2022|"My bill dismantling ATF's database of nearly a billion firearm records has the full support of the Second Amendment Caucus.

The Second Amendment protects our families, protects us from tyranny, and enables our freedom.

It must be fought for at all costs. https://t.co/WdbK3wbUp3"|en|R|46|146
1501266120996704256|1039879658400112640|Tue Mar 08 18:38:30 +0000 2022|"The Biden administration continues to threaten the rights of law-abiding Americans.

Texas gun owners are rightfully concerned that this administration is willing and able to create a federal gun registry, and it’s Congress’ job to ensure that doesn’t happen. https://t.co/f151tPnjvM"|en|R|8|13
1501236460250349568|1039879658400112640|Tue Mar 08 16:40:38 +0000 2022|"About time.

Now unleash American energy at full force.

Oil production must be increased on American soil. 

We can't continue the reliance on foreign countries for our energy needs.

https://t.co/V8KDil3lBN"|en|R|14|28
1501207039896391696|1039879658400112640|Tue Mar 08 14:43:44 +0000 2022|"ATF's database of nearly a billion gun records must be DISMANTLED immediately.

A federal gun registry is explicitly banned by law.

My bill would dismantle ATF’s database, restore privacy for gun owners, and reverse the groundwork laid to create a federal firearms registry. https://t.co/w11sedkyl2"|en|R|37|95
1499463020329721861|1039879658400112640|Thu Mar 03 19:13:37 +0000 2022|"Today marks 720 consecutive days that the Capitol has been closed to the American public.

Americans across our nation attend sporting events, concerts, and other large gatherings daily.

It's time to end Speaker Pelosi's authoritarian rule and reopen the People's House."|en|R|14|43
1499118311417827329|1039879658400112640|Wed Mar 02 20:23:52 +0000 2022|"Today we celebrate Texas Independence Day!

God Bless Texas! https://t.co/YF5q3KLtN2"|en|R|3|27
1498422528020299778|1039879658400112640|Mon Feb 28 22:19:04 +0000 2022|"The Biden admin shut down American energy production while enabling the Russians to expand their international stronghold. 

The U.S. imports 595,000 barrels of Russian oil daily.

We must end our reliance on foreign oil and finally unleash the full strength of American energy."|en|R|17|45
1498385727578587147|1039879658400112640|Mon Feb 28 19:52:50 +0000 2022|"The Biden admin eagerly slandered our brave Border Patrol officers by falsely claiming they were ""whipping"" illegal immigrants.

This was an absolute lie meant to vilify law enforcement.

DHS must release its investigative report and grant our officers the justice they deserve. https://t.co/3hTCNagILe"|en|R|6|14
1497331511581982720|1039879658400112640|Fri Feb 25 22:03:46 +0000 2022|"The Biden Administration's refusal to enforce our laws has emboldened violent cartels and other criminals. 

The force of law is critical. 

We must do everything we can to protect our borders and safeguard American citizens. https://t.co/zcDHKwcwwY"|en|R|8|17
1497280217454424071|1039879658400112640|Fri Feb 25 18:39:56 +0000 2022|"Monoclonal antibodies are proven to be effective in combating COVID infection and saving lives.

The Biden admin has no right to restrict this treatment.

My bill puts states back in the driver's seat in navigating what's best for the health and well-being of their citizens. https://t.co/gSM7TQKj1k"|en|R|27|98
1494746219373023236|1039879658400112640|Fri Feb 18 18:50:44 +0000 2022|"Mayorkas accuses Border Patrol of speaking ‘unprofessionally’ while he continues to act criminally.

He's disregarded the law on a daily basis, allowing increased abuse by violent cartels and fentanyl to kill thousands of American citizens. 

#DefendBorderPatrol
#ImpeachMayorkas https://t.co/iEdoSqdjMQ"|en|R|8|9
1494439902058004490|1039879658400112640|Thu Feb 17 22:33:32 +0000 2022|HOLD THE LINE! https://t.co/G4YxiDtl68 https://t.co/xPp42dvYps|en|R|12|39
1493682750880198669|1039879658400112640|Tue Feb 15 20:24:53 +0000 2022|"Glad to see @SenMikeLee leading the charge in the Senate to oppose a Continuing Resolution while millions of Americans are still subjected to tyrannical COVID vaccine mandates.

Free societies don't force people to choose between a vaccine or losing their job.

#DefundVaxMandates https://t.co/i3zUSe9eca"|en|R|34|73
