id|user|created_at|text|lang|label|retweet_count|favorite_count
1507153367038148615|162069635|Fri Mar 25 00:32:18 +0000 2022|From the time Manuel Duran was arrested while he was covering a protest related to immigration, I have been in cont… https://t.co/69D9pmJHQt|en|D|8|24
1507141421601632261|162069635|Thu Mar 24 23:44:50 +0000 2022|The US should be clear: If Russia uses chemical, biological or nuclear weapons against Ukraine, it would be a crime… https://t.co/teEL3DTsHj|en|D|17|55
1507020686346231823|162069635|Thu Mar 24 15:45:05 +0000 2022|The Ukrainian Air Force has done a spectacular job defending against Russia, but they need more planes! They say Uk… https://t.co/6FxkLszuiC|en|D|20|98
1506999373338718222|162069635|Thu Mar 24 14:20:23 +0000 2022|Putin’s oligarchs can’t operate without enablers who give them access to western financial and political systems. T… https://t.co/niVY7wxDot|en|D|103|372
1506676569326166021|162069635|Wed Mar 23 16:57:41 +0000 2022|Judge Jackson has responded with poise, knowledge and skill to every racist dog whistle and meritless attack by Rep… https://t.co/0u81XauIDm|en|D|37|182
1506658086462894083|162069635|Wed Mar 23 15:44:14 +0000 2022|The ironic horror https://t.co/tsGSzbXKzR|en|D|11|20
1506642517038706698|162069635|Wed Mar 23 14:42:22 +0000 2022|via ⁦@nytimes⁩ // Just us with the ground forces our intelligence under rated Ukrainian Military. Their Air Force i… https://t.co/oFHYX7CWSi|en|D|12|32
1506451091852079106|162069635|Wed Mar 23 02:01:43 +0000 2022|Spring training . Baseballs back. https://t.co/VwDojf3ItU|en|D|2|15
1506449824081756161|162069635|Wed Mar 23 01:56:41 +0000 2022|Judge Ketanji Brown Jackson exhibits unbelievable restraint.A confirmation lynching.|en|D|41|338
1506337925969190924|162069635|Tue Mar 22 18:32:02 +0000 2022|Judge Jackson would have the broadest legal experience of any #SCOTUS Justice. She's served as a federal appellate… https://t.co/NChNhBim5v|en|D|22|135
1506309914465120266|162069635|Tue Mar 22 16:40:44 +0000 2022|The baseless attacks on Judge Jackson’s qualifications are a familiar experience for millions of brilliant, talente… https://t.co/CBH0Q0GBB6|en|D|48|201
1506265331890888707|162069635|Tue Mar 22 13:43:34 +0000 2022|#freeNavalny ,an heroic Russian freedom fighter. Like Zelensky he is confronted by an obdurate narcissist dictator… https://t.co/IxCBDBMk5l|en|D|16|54
1506138360607354883|162069635|Tue Mar 22 05:19:02 +0000 2022|True 12 days ago and true today with additional proof. And more depraved attacks coming.Chemical war and limited nu… https://t.co/eNUGjnClgj|en|D|25|87
1506131167308828674|162069635|Tue Mar 22 04:50:27 +0000 2022|War is Hell and Putin is Satan https://t.co/P8u3rqbUxq|en|D|28|81
1506127793729544195|162069635|Tue Mar 22 04:37:03 +0000 2022|So why would anyone vote against this   eminently qualified nominee? The first Black woman nominated for Supreme Co… https://t.co/DzMTExCIwW|en|D|38|165
1505912916075233280|162069635|Mon Mar 21 14:23:12 +0000 2022|Putin’s war of killing civilians and carpet bombing cities assures that Ukrainians will always HATE PUTIN,as will p… https://t.co/ukaphG2rmM|en|D|37|156
1505207105040662539|162069635|Sat Mar 19 15:38:33 +0000 2022|Don Young, dean of the House, dies at 88 - CBS News// Don Young was a gentleman.He built friendships across the ais… https://t.co/m3NDov4RZA|en|D|8|51
1505028492928471055|162069635|Sat Mar 19 03:48:49 +0000 2022|Repeatedly run on Russian television. This guy is a danger to America,Ukrainians,and democracy.Move to Moscow!! https://t.co/S0xLbcVZTM|en|D|19|72
1504937335380750336|162069635|Fri Mar 18 21:46:35 +0000 2022|Birds of a feather flock together. https://t.co/ZoXElXiDyj|en|D|12|42
1504925614255579137|162069635|Fri Mar 18 21:00:01 +0000 2022|With RT shut down, Trump can still get his pro-Russia coverage on Kremlin-endorsed Fox News. https://t.co/hR3YRbpjoF|en|D|75|246
1504910014900850690|162069635|Fri Mar 18 19:58:02 +0000 2022|You are just as smart, just as effective, and just as caring regardless of your natural hair or hairstyle. African… https://t.co/35ujQA5fqR|en|D|44|201
1504899492251938816|162069635|Fri Mar 18 19:16:13 +0000 2022|Russian opposition leader Navalny is unjustly imprisoned but bravely spoke out while being tried again: Putin and h… https://t.co/B0ok3D1367|en|D|115|343
1504872185571250225|162069635|Fri Mar 18 17:27:42 +0000 2022|Through forced arbitration, companies have created what amounts to a rigged, pro-business system of justice. By pas… https://t.co/BDjG0wMMRi|en|D|17|60
1504805189248819228|162069635|Fri Mar 18 13:01:29 +0000 2022|What Russia has done in Ukraine is immoral, illegal and against the word, acts and intensions of every godly charac… https://t.co/LgAzYt7b0b|en|D|53|211
1504508218399244290|162069635|Thu Mar 17 17:21:26 +0000 2022|Mr. Putin, if you’re truly an Orthodox Christian, then ask yourself as Christians in America and others of good wil… https://t.co/zCZeJDOvcc|en|D|81|361
1504121450604773382|162069635|Wed Mar 16 15:44:33 +0000 2022|Even before the pandemic, Trump presided over soaring deficits. By the end of this year, Biden will have cut the de… https://t.co/yn0tSDdTZd|en|D|83|225
1504096848566435842|162069635|Wed Mar 16 14:06:48 +0000 2022|We are not living in ordinary times. The wealth of Putin’s oligarchs should be liquidated and used to bolster Ukrai… https://t.co/NSRjXyZ8de|en|D|173|1011
1504081604767096838|162069635|Wed Mar 16 13:06:13 +0000 2022|Americans are tired of changing their clocks twice a year and spending winter afternoons in the dark. Let’s make Da… https://t.co/Hr5gjdBkQa|en|D|9|69
1504066058331766790|162069635|Wed Mar 16 12:04:27 +0000 2022|Calls to help Ukraine get louder ahead of Zelenskyy’s speech - CNN Politics IHAVE WRITTEN AND TWEETED OFTEN FOR PLA… https://t.co/xl5tClczZV|en|D|76|435
1503841844425379846|162069635|Tue Mar 15 21:13:30 +0000 2022|The #AmericanRescuePlan created a fund to close the #DigitalDivide and helps students, schools and libraries access… https://t.co/X0Hxw08Ott|en|D|9|34
