id|user|created_at|text|lang|label|retweet_count|favorite_count
1520462997222686720|1078355119920562176|Sat Apr 30 18:00:02 +0000 2022|The Garland VA is an innovative model for getting our veterans the care they need now. I’m proud to have led the charge to establish it and glad to discuss it as a national model with @SecVetAffairs. https://t.co/da79LK8zj2|en|D|5|28
1520176106019692546|1078355119920562176|Fri Apr 29 23:00:01 +0000 2022|"By sharing his story of survival and hope in the face of darkness, Max Glauben inspired Texans to fight bigotry, helping us learn the importance of being an ""upstander"", not a bystander. May we carry on his legacy of hope. My thoughts are with his family.
https://t.co/25FeUNbukj"|en|D|6|16
1520129560410562561|1078355119920562176|Fri Apr 29 19:55:04 +0000 2022|Happy #ArborDay, North Texas!🌳🌲 https://t.co/Nmw2DSpMK8|en|D|3|9
1520105751112466434|1078355119920562176|Fri Apr 29 18:20:27 +0000 2022|We cannot get left behind as other nations invest in this kind of vital research. Texas has some of the best and brightest research minds out there, and I am proud to support bringing @POTUS's proposed biomedical research program ARPA-H to Texas. https://t.co/pr41quvFVF|en|D|9|24
1520025109754482691|1078355119920562176|Fri Apr 29 13:00:01 +0000 2022|The Port of Houston drives commerce and creates jobs across Texas and around the country. I voted for the Bipartisan Infrastructure Law to ensure we invest in this vital economic engine, and it was great to meet with folks from the @EconAlliance this week. https://t.co/RNgBza96rI|en|D|7|26
1519813713863200768|1078355119920562176|Thu Apr 28 23:00:00 +0000 2022|"For folks living with diabetes, insulin isn’t an optional drug – they need it to survive. It’s why I am fighting to lower the cost of insulin to $35. 

Read my op-ed: https://t.co/HIi0eEJOZY https://t.co/ErBuBzBPnk"|en|D|7|28
1519778278931849217|1078355119920562176|Thu Apr 28 20:39:12 +0000 2022|Since Putin began his unprovoked invasion of Ukraine, the United States has provided over $3 billion in security aid, which amounts to over $50 million for each day of the war. And the Ukrainians successfully defended themselves because of the assistance we provided.|en|D|8|36
1519742441867427841|1078355119920562176|Thu Apr 28 18:16:48 +0000 2022|Nearly 70% of our VA facilities are over 50 years old, and to better care for our vets, we need to update these facilities to ensure they get the best treatment. Proud to be working on this in my bipartisan bill with @RepEllzey &amp; I applaud @SecVetAffairs for making it a priority. https://t.co/I5VO7ZUhej|en|D|9|23
1519690472603717633|1078355119920562176|Thu Apr 28 14:50:17 +0000 2022|This is another strong step from @POTUS to ensure Putin and his oligarch cronies are punished for their unjustified war that's killing innocent people in Ukraine. I look forward to working with my colleagues in Congress to get this done. https://t.co/1WFZFwe8Bg|en|D|5|18
1519421595453902859|1078355119920562176|Wed Apr 27 21:01:52 +0000 2022|As the son of a public school teacher, I know that great principals are critical to student and teacher success. I was honored to meet with @shonjose1, the 2021 Texas High School Principal of the Year today, and am thankful for his work to help Texas students succeed. https://t.co/rtf2L9IioT|en|D|35|205
1519390935083360259|1078355119920562176|Wed Apr 27 19:00:02 +0000 2022|Today is #YomHashoah, a day to honor the millions who were murdered during the Holocaust and reflect on this dark period in history. May we all recommit to the fight against anti-Semitism and bigotry in our communities and say, #NeverAgain. https://t.co/BXZ0DATH4q|en|D|9|27
1519345633592700928|1078355119920562176|Wed Apr 27 16:00:01 +0000 2022|"The U.S. re-establishing a diplomatic presence in Ukraine is further proof of our steadfast commitment to the Ukrainian people. I will continue to work in Congress to ensure they get the aid they need to defend their democracy. 
https://t.co/QokJ4zKhU8"|en|D|2|18
1519298212741455873|1078355119920562176|Wed Apr 27 12:51:35 +0000 2022|What Trevor Reed endured is harrowing, and now he’ll finally be back on US soil. This is welcome news for his family and all who worked to bring him home. I know the State Dept. is committed to doing all they can to help all Americans detained in Russia. https://t.co/lLKbKC03O6|en|D|13|40
1519077510859866112|1078355119920562176|Tue Apr 26 22:14:36 +0000 2022|From the Bipartisan Infrastructure Bill to the America COMPETES Act, I’ve been working to invest in North Texas and find bipartisan solutions. It was good to be with @DRC and @FTWChamber today in Washington to discuss the work ahead for our region. https://t.co/lDXxbBFKXU|en|D|4|13
1519020849197723651|1078355119920562176|Tue Apr 26 18:29:27 +0000 2022|"I applaud @POTUS for nominating Bridget Brink as ambassador to Ukraine. A career diplomat with years of experience in the region, she'll be crucial in our efforts to aid Ukraine as they fight against Putin. I urge the Senate to work quickly to confirm her.
https://t.co/ffvMbyNl2V"|en|D|8|23
1518945493178535938|1078355119920562176|Tue Apr 26 13:30:00 +0000 2022|Our recovery is strong and more folks are getting back to work every single day. We’re building a better Texas and a better America. https://t.co/hqbtr5MRJe|en|D|2|9
1518703900144058372|1078355119920562176|Mon Apr 25 21:30:00 +0000 2022|"With the #BipartisanInfrastructureLaw, we’re making a historic investment in Texas transit by allowing local agencies like DART to:
🛠️ Repair trains and buses
🆕 Upgrade fleets
🚉 Expand services across the region

Let’s go to work.
https://t.co/HBPH68wg15"|en|D|2|10
1518647999425036289|1078355119920562176|Mon Apr 25 17:47:52 +0000 2022|When we work together for a common goal, we can deliver real results. My bipartisan legislation with @RepEllzey to expand VA facilities across the country, including here in Dallas, is proof of that and I will continue to work across the aisle to get things done for our veterans. https://t.co/jTo0HcKemq|en|D|2|12
1518575563601899520|1078355119920562176|Mon Apr 25 13:00:02 +0000 2022|"In Congress, I've made it my priority to help folks access the health care they need. After experiencing issues getting Medicare, Charles turned to me for assistance, and I was able to help. Call 972-972-7949 if you are having issues with a federal agency.
https://t.co/GiFhuiP8rh"|en|D|6|7
1518373374417846274|1078355119920562176|Sun Apr 24 23:36:37 +0000 2022|Congratulations to @EmmanuelMacron on his re-election. France is a key ally and I look forward to our continued partnership as we work to address global challenges like rising authoritarianism. This is a win for democracy. https://t.co/Kyu2zdANDb|en|D|23|100
1518258473842057216|1078355119920562176|Sun Apr 24 16:00:02 +0000 2022|"The pandemic highlighted how critical high speed internet access is, which is why I voted for the #AmericanRescuePlan to provide broadband access. Now w/ the #BipartisanInfrastructureLaw, we can continue progress by finding opportunities to expand access.
https://t.co/M9aomh9d8h"|en|D|5|17
