id|user|created_at|text|lang|label|retweet_count|favorite_count
1519789853445079040|984456621417000960|Thu Apr 28 21:25:12 +0000 2022|Tomorrow (Friday, 4/29) is the last day to drop off hygiene kit donations at any of my District Offices from 9AM-5:30PM. These kits will provide critical basic necessities to help Ukrainians. Thanks to everyone who has already donated! #PA17 #StandWithUkraine️ https://t.co/cFUFUHp9eF|en|D|6|18
1518282631997276163|984456621417000960|Sun Apr 24 17:36:02 +0000 2022|Today #PA17 resident Russell “Huck” Hamler was awarded the Congressional Gold Medal for his service in the jungles of Burma during World War II as a member of Merrill’s Marauders. Huck is one of five surviving members. https://t.co/1QakyX8arn|en|D|82|313
1517517383459610624|984456621417000960|Fri Apr 22 14:55:12 +0000 2022|You can drop off hygiene kit donations at any of my District Offices (Monday – Friday, 9AM-5:30PM through Friday, 4/29) to provide critical basic necessities to help Ukrainians. #PA17 #StandWithUkraine https://t.co/T2ROmVfPMQ|en|D|9|18
1517275609742856203|984456621417000960|Thu Apr 21 22:54:29 +0000 2022|"Today @USDOT announced $265M for Pennsylvania from the Carbon Reduction Program in the #BipartisanInfrastructureLaw. This means more federal $$ for:  

✅ Public Transit
✅ Electric Vehicle Charging
✅ Traffic Flow Improvements
✅ Trails

Another big win for #PA17"|en|D|8|21
1516812363000913920|984456621417000960|Wed Apr 20 16:13:43 +0000 2022|ATTENTION #PA17 STUDENTS: I am now accepting submissions for the 2022 #CongressionalArtCompetition. Deadline is Monday, May 2 at 5PM for a chance for your artwork to be displayed in the Capitol for one year. Click here for rules &amp; more info: https://t.co/IZxjwmh1jU|en|D|6|2
1515678011604955136|984456621417000960|Sun Apr 17 13:06:12 +0000 2022|May this Easter be filled with blessings and peace. #PA17 https://t.co/3PJL4RXGAy|en|D|8|41
1514977376056188935|984456621417000960|Fri Apr 15 14:42:08 +0000 2022|Chag Sameach and happy #Passover to all those who are celebrating across #PA17!|en|D|2|8
1513887793885462542|984456621417000960|Tue Apr 12 14:32:31 +0000 2022|Minority-owned businesses in #PA17 may be able to apply for several grant opportunities to help create jobs, compete in the global economy, &amp; grow their businesses. Visit the @USMBDA  website for more details: https://t.co/e5fn0mR3dA|en|D|14|22
1513542109000880132|984456621417000960|Mon Apr 11 15:38:53 +0000 2022|DEADLINE: All materials for FY23 Community Project Funding requests are due by 5PM on Friday, April 15, 2022 for qualifying #PA17 non-profits, community organizations, &amp; local and state government agencies. Visit my website for more info: https://t.co/NUwojfQX0v|en|D|3|3
1512434589662384130|984456621417000960|Fri Apr 08 14:18:00 +0000 2022|There’s a lot happening in Washington recently, including legislation to lower costs for working families, support for Ukraine, $4.2M for local projects in #PA17, big infrastructure funding news for our region &amp; more. Read my newsletter for the latest: https://t.co/WbVuHDKsZY https://t.co/kcLmhYjlBn|en|D|20|44
1511769133771276291|984456621417000960|Wed Apr 06 18:13:43 +0000 2022|More great news from the #BipartisanInfrastructureLaw today: @USDOT announced historic levels of FY22 transit funding - more than $617M for PA &amp; $84.8M for Pittsburgh - to invest in high-quality transit service in communities across #PA17 &amp; our state. https://t.co/2s8wnq5YIr|en|D|28|69
1511730800760401928|984456621417000960|Wed Apr 06 15:41:24 +0000 2022|I was joined by 42 of my colleagues recently to urge @POTUS to extend the student loan repayment moratorium to give families in #PA17 &amp; beyond some relief. Today’s announcement is good news for lots of student loan borrowers. https://t.co/XcQDRrThWz https://t.co/qKEOJ5romU|en|D|17|61
1510427800636903425|984456621417000960|Sun Apr 03 01:23:44 +0000 2022|Hoping this Ramadan brings peace and joy to all who celebrate. #PA17|en|D|7|48
1509938201506496513|984456621417000960|Fri Apr 01 16:58:15 +0000 2022|Today I voted to support legalization of cannabis at the federal level, but it needs to be done carefully &amp; safely. The final bill included my commonsense amendment to ensure that we are doing everything we can to protect workers and kids. #PA17 https://t.co/gafFmHKeSX|en|D|81|315
1509651504415784962|984456621417000960|Thu Mar 31 21:59:01 +0000 2022|Millions of Americans rely on insulin but many are forced to skip or ration doses because of the sky high cost. Today I voted for the #AffordableInsulinNow Act to cap insulin costs at $35 per month to help families across #PA17.|en|D|20|84
1508959068781744135|984456621417000960|Wed Mar 30 00:07:31 +0000 2022|Today I announced the @PittsburghUSACE will receive $77M from the #BipartisanInfrastructureLaw for the Emsworth Locks &amp; Dams in #PA17. Another crucial federal investment for our region that will create jobs &amp; ensure our economy continues to grow. https://t.co/4t1BBQvQo8|en|D|3|26
1508895939355979782|984456621417000960|Tue Mar 29 19:56:40 +0000 2022|The FY23 Community Project Funding application is now live on my website. This is an opportunity for communities in #PA17 to have a say in how your federal tax dollars are spent. Details: https://t.co/hZgfrKf6T0|en|D|7|14
1508580628664659977|984456621417000960|Mon Mar 28 23:03:44 +0000 2022|Today Chief John Sicilia of the Northern Regional Police Dept. spoke about the importance of transparency to building relationships between officers &amp; communities. The $550K federal grant announced for body worn cameras for police departments in #PA17 will support that work. https://t.co/QQjSGs7kyl|en|D|4|26
1508520374627180557|984456621417000960|Mon Mar 28 19:04:18 +0000 2022|Great community turnout at the Coraopolis Train Station today to learn more about the $4.2M in federal funding I secured for 9 Community Project Funding grants for #PA17. https://t.co/IQSIMV5cxJ|en|D|12|42
1505981260505796613|984456621417000960|Mon Mar 21 18:54:46 +0000 2022|Lots of folks are facing pressure from rising costs on stuff like gas &amp; food. Today 42 of my House colleagues joined me to call on the President to extend the student loan repayment moratorium to give families in #PA17 &amp; beyond some relief. https://t.co/oVe9xzdXlj https://t.co/bkZ5EG8XEj|en|D|7|25
1505913046606221323|984456621417000960|Mon Mar 21 14:23:43 +0000 2022|I secured $900K in federal funding to build the Franklin Avenue Park in Aliquippa. This is a huge win for #PA17 &amp; will be a great new community asset thanks to the work of @GetRiverWise, @UCGcafe &amp; many more. https://t.co/VjM8TPDG3b|en|D|7|27
1505178093195083777|984456621417000960|Sat Mar 19 13:43:16 +0000 2022|I’ve been working to secure federal funding for The Cornerstone of Beaver County’s new shelter. Great to see the project move forward with a $150K Community Project Funding grant from the federal spending package &amp; funds from the #AmericanRescuePlan. #PA17 https://t.co/Fpd5V07F9y|en|D|5|28
1504551879581315075|984456621417000960|Thu Mar 17 20:14:55 +0000 2022|Last week Congress approved $13.6 billion in military &amp; humanitarian aid for Ukraine &amp; to ban Russian oil. Today we voted to revoke permanent normal trade relations with Russia. Putin &amp; his enablers must continue to face severe consequences for the illegal invasion of Ukraine.|en|D|5|27
1502349169364815874|984456621417000960|Fri Mar 11 18:22:08 +0000 2022|One year ago today the President signed the #AmericanRescuePlan into law. The #ChildTaxCredit was a critical component that helped working families across #PA17. https://t.co/0Ryp3UfH5u|en|D|9|22
1501780130053734404|984456621417000960|Thu Mar 10 04:40:59 +0000 2022|"The House just passed a critical government funding bill that will:

☑️invest in our infrastructure
☑️help working families facing rising costs
☑️protect our national security
☑️support Ukraine in their fight against Putin’s unlawful attack

Learn more: https://t.co/AwSABLMpvT"|en|D|19|55
1501327005282971650|984456621417000960|Tue Mar 08 22:40:26 +0000 2022|This week is the 1-year anniversary of passage of the #AmericanRescuePlan &amp; the #ChildTaxCredit which has been critical to helping working families in #PA17 &amp; across the Commonwealth. https://t.co/HJmVFGdXi4|en|D|8|19
1501255281149460483|984456621417000960|Tue Mar 08 17:55:25 +0000 2022|Great to be with my Pittsburgh #firefighter friends in Washington, DC this morning to stand with @IAFFNewsDesk to protect  collective bargaining rights in #PA17 &amp; beyond. #IAFF https://t.co/lsc6v89TJ7|en|D|16|63
1500988043414720518|984456621417000960|Tue Mar 08 00:13:31 +0000 2022|One year ago this week President Biden signed the #AmericanRescuePlan into law. Today, PA received $1.3 billion to support our colleges &amp; universities, including $33 million for schools in #PA17, helping to provide direct financial relief to students: https://t.co/9BFdxeGvUC|en|D|2|13
1499852562417295363|984456621417000960|Fri Mar 04 21:01:31 +0000 2022|PA is now eligible to receive an additional $26M this year to clean up thousands of abandoned coal mines. This is in addition to the $244M available from the #BipartisanInfrastructureLaw. Great news for our environment &amp; jobs across the state &amp; in #PA17. https://t.co/gE0s81c4uR|en|D|12|35
1499423159841431561|984456621417000960|Thu Mar 03 16:35:13 +0000 2022|Too many veterans face long-term health issues from exposure to toxic substances during their service. I cosponsored &amp; voted to pass the Honoring our PACT Act to provide our veterans access to benefits &amp; healthcare they have earned &amp; deserve. #PA17 https://t.co/RUclZD02fZ|en|D|38|149
1496860735598895106|984456621417000960|Thu Feb 24 14:53:04 +0000 2022|https://t.co/bSSMrYGnkE|und|D|15|91
1491863614172835841|984456621417000960|Thu Feb 10 19:56:17 +0000 2022|Building electric vehicle charging infrastructure is critical for the environment &amp; will create good union jobs. PA is now eligible for $25M in new federal funding from the #BipartisanInfrastructureLaw to build our EV charging network. #PA17 https://t.co/10j0NVrn6i|en|D|11|40
1491445766879166465|984456621417000960|Wed Feb 09 16:15:55 +0000 2022|Great to meet with @IrelandEmbUSA Ambassador @DanMulhall today. #PA17 is home to a large Irish-American community &amp; I look forward to building on the strong bond between our countries. https://t.co/7KemNrgFwp|en|D|13|78
1491133554147102720|984456621417000960|Tue Feb 08 19:35:17 +0000 2022|"On #SaferInternetDay, I'm joining my colleague @RepSusanWild in calling on @YouTube to remove ""How To Tie a Noose"" videos. We need to do more to make the internet a safer place for young people. #PA17. Learn more here: https://t.co/djfqO1gq1E https://t.co/2EZh8GYgkt"|en|D|5|20
1490810485163364359|984456621417000960|Mon Feb 07 22:11:32 +0000 2022|PA has thousands of old, abandoned coal mines. PA is now eligible to receive $2444M from the #BipartisanInfrastructureLaw to reclaim our lands while creating jobs across the state &amp; in #PA17. https://t.co/ua6ylOeYBl|en|D|23|62
1489732791516418053|984456621417000960|Fri Feb 04 22:49:10 +0000 2022|Today the House passed the #AmericaCompetes Act – another win for western PA &amp; #PA17. Federal dollars from this bill will flow here &amp; create jobs by investing in American manufacturing &amp; innovation. https://t.co/iBaXqFB5kr|en|D|5|21
1488893263419523072|984456621417000960|Wed Feb 02 15:13:10 +0000 2022|The $1.2T #BipartisanInfrastructureLaw is a huge win for PA &amp; for jobs. Read my latest #PA17 newsletter to learn more about the positive impact this legislation is already having on our region’s infrastructure &amp; transportation systems. https://t.co/9Oab2EpJ7K https://t.co/8AyPEFDQ0n|en|D|6|20
1488636891012468742|984456621417000960|Tue Feb 01 22:14:27 +0000 2022|#BlackHistoryMonth is a time for all of us to reflect upon &amp; honor the countless contributions of Black Americans to our society. #PA17 https://t.co/88PLWxA5Bs|en|D|2|9
1488245476122112007|984456621417000960|Mon Jan 31 20:19:06 +0000 2022|Today I announced that PA is eligible to receive $104M in federal funding from the #BipartisanInfrasturtureLaw to plug abandoned oil &amp; gas wells which will help protect the environment from dangerous methane leaks. It’s also great news for jobs in #PA17. https://t.co/w8mlWpxdlm|en|D|20|66
1487212920043982849|984456621417000960|Fri Jan 28 23:56:05 +0000 2022|The President came to Pittsburgh today to highlight the $1.2 trillion #BipartisanInfrastructureLaw &amp; historic funding to fix our bridges. He also visited the bridge collapse site. Working together we’re going to rebuild this bridge &amp; fix our broken infrastructure. https://t.co/OjnR7xn9Oj|en|D|420|2096
1487057032163246080|984456621417000960|Fri Jan 28 13:36:39 +0000 2022|Closely monitoring the bridge collapse in Pittsburgh. Please avoid the area so first responders can do their job. Praying for the safety of all. https://t.co/wBcVl8rlDP|en|D|9|38
1486729017864507410|984456621417000960|Thu Jan 27 15:53:14 +0000 2022|Today on International #HolocaustRemembranceDay we honor the memory of the victims, survivors &amp; their families. Together we must fight antisemitism &amp; hatred everywhere. https://t.co/rxR2ehyFKo|en|D|4|19
1484226825861668874|984456621417000960|Thu Jan 20 18:10:25 +0000 2022|"Congratulations to PA’s Teacher of the Year &amp; @north_hills history teacher @nhsdwelch for being named a 2022 National Teacher of the Year finalist! Good luck Joe! #PA17 #nhproud
https://t.co/45L02I6gLB"|en|D|11|32
1484174156266713089|984456621417000960|Thu Jan 20 14:41:08 +0000 2022|This week the @HouseScience Committee passed my bipartisan bill H.R. 4270 to address abandoned oil &amp; gas wells. This bill will improve our environment &amp; create jobs in the energy sector. #PA17 https://t.co/LaJq9NEdxN|en|D|13|34
1483874969188716545|984456621417000960|Wed Jan 19 18:52:16 +0000 2022|Today I announced $857.7 million in federal funding from the #BipartisanInfrasturtureLaw to completely rebuild the nearly 100 year old Montgomery Lock &amp; Dam in #PA17. This is a huge win for jobs in W. PA. https://t.co/mgKVz31Lng https://t.co/lP3NoJimaB|en|D|20|77
1483097245759201288|984456621417000960|Mon Jan 17 15:21:52 +0000 2022|Today, we can best honor the work &amp; life of Dr. King by continuing the fight to protect &amp; defend the sacred right to vote for all Americans. #MLKDay #PA17 https://t.co/Ih2CS2ak7i|en|D|11|61
1482019979021144065|984456621417000960|Fri Jan 14 16:01:12 +0000 2022|PA has more than 3,000 bridges in desperate need of repair. The #BipartisanInfrastructureLaw invests more than $1.6B to fix PA bridges &amp; will create thousands of construction jobs here in #PA17. https://t.co/Ios7CT2asM https://t.co/O6y2zZw01F|en|D|6|15
1479444068824461313|984456621417000960|Fri Jan 07 13:25:27 +0000 2022|Every year, #PA17’s Aliquippa football plays &amp; wins against much bigger schools, but now they’re being forced to move up to 5A. Enough is enough. I sent a letter to the PIAA urging them to reconsider. #LetsGoQuips https://t.co/LBWJOWZMfo https://t.co/W0JP8sOru1|en|D|12|34
1479105202636484628|984456621417000960|Thu Jan 06 14:58:55 +0000 2022|One year ago, a few hours after our Capitol was invaded, I took to the House Floor to call out the lies that led to the violent insurrection &amp; ensure that the peaceful transition of power in a free &amp; fair election would not be obstructed.  https://t.co/DTBuXqF7Pi via @YouTube|en|D|8|53
1478498050897330180|984456621417000960|Tue Jan 04 22:46:19 +0000 2022|ICYMI: As 2022 gets underway you can visit my website to review the work we did together last year for #PA17: https://t.co/1DV6kYK7w2|en|D|4|12
1477334058623545345|984456621417000960|Sat Jan 01 17:41:01 +0000 2022|Happy New Year #PA17 https://t.co/Jl3y9FjghX|en|D|3|36
1477002809761538048|984456621417000960|Fri Dec 31 19:44:45 +0000 2021|We accomplished a lot together this year, from helping small businesses, veterans &amp; seniors to passing the #AmericanRescuePlan &amp; the #BipartisanInfrastructureLaw. Click here to read the #PA17 2021 Congressional Report: https://t.co/zukk7sqxx5 https://t.co/nkqs8sTpdB|en|D|9|32
1475146403211063297|984456621417000960|Sun Dec 26 16:48:04 +0000 2021|For all those in #PA17 who celebrate, hope you have a very #HappyKwanzaa.|en|D|3|20
1474526188437741570|984456621417000960|Fri Dec 24 23:43:33 +0000 2021|Wishing all peace and joy this Christmas! #PA17 https://t.co/I5IK1i6GPN|en|D|2|49
1473723066173861888|984456621417000960|Wed Dec 22 18:32:14 +0000 2021|The President’s extension of the student loan repayment moratorium today is welcome news for many families across PA. https://t.co/faONQLU9gl|en|D|11|64
1473661835840794626|984456621417000960|Wed Dec 22 14:28:55 +0000 2021|Too many people in #PA17 &amp; across our state are still facing financial challenges from this pandemic. Today I was joined by fellow PA Members calling on @POTUS to extend the student loan repayment moratorium beyond Feb. 2022. https://t.co/EAQkis1Tib|en|D|20|91
1471884139817283589|984456621417000960|Fri Dec 17 16:44:59 +0000 2021|"Congratulations to #PA17 native &amp; @NA_Schools grad @Astro_Woody who will pilot @NASA’s Crew-6 mission to the International Space Station in 2023. 

Let me know if you need an official @Steelers #TerribleTowel for your journey! https://t.co/UC5cK21KAA"|en|D|2|11
1471870813456453633|984456621417000960|Fri Dec 17 15:52:02 +0000 2021|The bipartisan Infrastructure Investment &amp; Jobs Act will deliver more than $11 million to @PITAirport, critical funding to improve one of our region’s most important economic assets in #PA17.  Read more from @FAANews here: https://t.co/icnoDpsAkO|en|D|8|17
1471579761696813065|984456621417000960|Thu Dec 16 20:35:30 +0000 2021|Congratulations to @SFHSLions students Shreya &amp; Sejal, the #PA17 winners of the @CongressionalAC. Thanks to all of the #PA17 students who participated in this year’s contest. https://t.co/fTL9cq7mgV|en|D|4|26
1471132943393431562|984456621417000960|Wed Dec 15 15:00:00 +0000 2021|Our region has been selected as a finalist in the @US_EDA $1B #BuildBackBetter Regional Challenge. This is a great opportunity to invest in our economy &amp; create jobs: https://t.co/JPuvOn7cXV #PA17|en|D|4|13
1469408589173465088|984456621417000960|Fri Dec 10 20:48:02 +0000 2021|"REMINDER: December 15 is the open enrollment deadline to sign up for health care coverage that starts on January 1, 2022. 

Check out https://t.co/xyrPirtBj0 today to find a plan that works for you. #GetCovered #PA17"|en|D|3|9
1468216180334866438|984456621417000960|Tue Dec 07 13:49:50 +0000 2021|"As we commemorate the 80th anniversary of the attack on #PearlHarbor, take a moment to read the incredible first-hand account from #PA17 resident Virginia Flickinger: 
https://t.co/8xV9Lh8dLi"|en|D|5|11
1466538342711894026|984456621417000960|Thu Dec 02 22:42:42 +0000 2021|The bipartisan Infrastructure Investment &amp; Jobs Act allocates billions of dollars to protect our water. Today @EPA announced PA will receive more than $240 million for safe drinking water, lead pipe replacement &amp; more: https://t.co/MBrHtWbg3B|en|D|6|13
1465760073448366083|984456621417000960|Tue Nov 30 19:10:08 +0000 2021|"The Medicare Open Enrollment period ends on Tuesday, December 7. Visit @MedicareGov to compare plans to see how you can save money or enhance your benefits in 2022. #PA17
https://t.co/R2SmcZDwlK"|en|D|2|4
1465079206195433473|984456621417000960|Sun Nov 28 22:04:37 +0000 2021|Happy Hanukkah to all who are celebrating. Hope your season is filled with peace, love and light! #PA17 https://t.co/91J2N8OuqC|en|D|3|21
1463894958348410881|984456621417000960|Thu Nov 25 15:38:50 +0000 2021|Wishing a #HappyThanksgiving to everyone in #PA17. Special thanks to all the first responders &amp; military personnel working today. https://t.co/rol4Z48Ikz|en|D|5|33
1463263333327552516|984456621417000960|Tue Nov 23 21:48:59 +0000 2021|The #BuildBackBetter Act is an investment in real solutions for the challenges facing #PA17 families. It lowers health care costs, reduces the cost of child care, extends the #ChildTaxCredit &amp; more. Learn what’s in the bill in my latest newsletter: https://t.co/hQdeAk0K2F|en|D|4|17
1461725724944052235|984456621417000960|Fri Nov 19 15:59:05 +0000 2021|"Today the House kept our promise &amp; passed the #BuildBackBetter Act. This historic legislation will: 

✅Lower Rx prices
✅Extend the #ChildTaxCredit 
✅Invest in clean energy
✅Expand HCBS
✅Create good jobs

This is a huge win for #PA17 &amp; all of Pennsylvania!"|en|D|37|156
1461373064134942724|984456621417000960|Thu Nov 18 16:37:44 +0000 2021|"The application period for the @FEMA FY2021 Assistance to Firefighters Grant (AFG) Program is now open &amp; will close on Friday, December 17 @ 5pm. 

Local organizations in #PA17 who can benefit from these grants should apply &amp; call my office for assistance: https://t.co/JSDbDsCZSC"|en|D|2|5
1460366108138119172|984456621417000960|Mon Nov 15 21:56:27 +0000 2021|I’m at the White House today where the President just signed the $1.2 trillion bipartisan infrastructure bill into law.  Here’s what this historic investment means for Pennsylvania &amp; #PA17 ⬇️ https://t.co/MVIHSDrWPn|en|D|55|268
1459176520627499014|984456621417000960|Fri Nov 12 15:09:27 +0000 2021|"The #BuildBackBetterAct will:
✅Lower Rx prices
✅Extend the #ChildTaxCredit 
✅Invest in clean energy
✅Expand HCBS
✅Create good jobs

It's time for Congress to pass this historic investment for #PA17 &amp; the entire nation. Let's get it done!"|en|D|74|145
1458814348990812165|984456621417000960|Thu Nov 11 15:10:18 +0000 2021|On Veterans Day we honor all those who served, including #PA17 resident &amp; Retired Marine Master Sergeant Craig Hodgkins. Learn more about Craig and his special friend Foxy in my Veterans Day newsletter: https://t.co/hvwxUxFe5A #VeteransDay https://t.co/ebua6pqk2m|en|D|5|33
1458130867021357070|984456621417000960|Tue Nov 09 17:54:24 +0000 2021|The bipartisan infrastructure bill is a $1.2 trillion investment in America’s roads &amp; bridges, energy &amp; water systems, airports, transit, broadband &amp; more, including $550 billion in new funding. You can learn more in my latest #PA17 newsletter: https://t.co/gO6rZcdPTN. https://t.co/5fmn6DKHxc|en|D|50|143
1456380377602351104|984456621417000960|Thu Nov 04 21:58:34 +0000 2021|May everyone in #PA17 who is observing have a blessed &amp; prosperous #Diwali. https://t.co/gHxVdQPdem|en|D|2|25
1456320244612583429|984456621417000960|Thu Nov 04 17:59:38 +0000 2021|This month the @USMC turns 246! Thanks to my fellow Marines for stopping by today to celebrate the Corps’ legacy of service to our country. Semper Fi #PA17 https://t.co/C3WQR2gMHf|en|D|5|41
1456273452902404101|984456621417000960|Thu Nov 04 14:53:42 +0000 2021|Our infrastructure challenges impact workers, businesses &amp; communities. Today I joined the @USDOT &amp; @RepAustinDavis for a discussion hosted by @GPghCC to talk about the need for Congress to pass real, meaningful infrastructure investments that will help #PA17 &amp; the entire region. https://t.co/iLv9VbN9YT|en|D|4|22
