id|user|created_at|text|lang|label|retweet_count|favorite_count
1519699793802633216|1080894931311431682|Thu Apr 28 15:27:20 +0000 2022|"NEW EPISODE!

@DouglasKMurray joins us to examine the cultural revolution among Western elitists attempting to erase the traditions and moral foundations that created the greatest, most humane civilization in history.

https://t.co/NwqxVXT3cE https://t.co/d0eYG7JePn"|en|R|25|168
1519334411803803649|1080894931311431682|Wed Apr 27 15:15:26 +0000 2022|"The Secretary of Homeland Security needs to be impeached if he won’t take the necessary steps to secure our homeland at our border.

Removing Title 42 will break our border and break our border agents."|en|R|133|1224
1517235873032585218|1080894931311431682|Thu Apr 21 20:16:35 +0000 2022|"The Border Patrol agents I’ve met kept working, even through the toughest of times.  

But they questioned why they enforce laws just to have the migrants they catch be released. 

Ending MPP wasn’t, but lifting Title 42 may be the breaking point. They deserve better. https://t.co/neVPfliyu4"|en|R|33|256
1512095207717806091|1080894931311431682|Thu Apr 07 15:49:25 +0000 2022|"Fact 1: American oil and gas production is cleaner than any other country.

Fact 2: Global energy demand WILL increase by 50% by 2050, with most of that coming from oil and gas. 

Fact 3: Oil and gas contributes to human flourishing. Period. https://t.co/D55eAByskJ"|en|R|370|1667
1511701526019981316|1080894931311431682|Wed Apr 06 13:45:04 +0000 2022|"NEW EPISODE!

National security expert @RidT joins us to explain the history of Russian propaganda, the current tactics used by the Putin regime to commit disinformation, and the political warfare that a shocking number of Americans are falling for.
https://t.co/D5CzALySCf https://t.co/OwSiB4kryt"|en|R|12|69
1511045279994322953|1080894931311431682|Mon Apr 04 18:17:23 +0000 2022|"NEW EPISODE!

@continetti joins us to talk about the history of modern conservatism, its perennial struggles with populists and progressives, and what it means to be a conservative in America today. 

https://t.co/3F2I6qrSZU https://t.co/rrINXkjyUE"|en|R|6|38
1509166519686733833|1080894931311431682|Wed Mar 30 13:51:51 +0000 2022|"NEW EPISODE!

Just in time for tax season, we're joined by Tax Foundation's @scottahodge to cover the Democrats' falsehoods about our tax system, tax reform that Congress should consider, &amp; what Texans have in common with the characters in ""Yellowstone.""

https://t.co/fq539JeXpc https://t.co/dvsuezW6wE"|en|R|10|45
1508809534533423111|1080894931311431682|Tue Mar 29 14:13:20 +0000 2022|"Vladimir Putin is losing and he has been for a month.

If we keep arming Zelensky it improves his ability to negotiate. Keep the weapons flowing so the Ukrainians can keep fighting and winning. 

https://t.co/VgkjFfKLIi"|en|R|38|364
1506373504823967747|1080894931311431682|Tue Mar 22 20:53:25 +0000 2022|"It shouldn’t take judicial orders for Mayorkas to actually enforce the law. 

Enforce. The. Law. 

https://t.co/JMIuP2gxJq"|en|R|50|251
1504101523969691653|1080894931311431682|Wed Mar 16 14:25:22 +0000 2022|"The US Congress listening intently to Ukrainian President Zelensky.

His testimony was heart wrenching. He played a video filled with proof of the atrocities being committed by Russia. It wasn’t “propaganda,” it was real life.

The only propaganda is being perpetuated by Russia. https://t.co/Fj0XlOkBCu"|en|R|199|1677
1503807599396933632|1080894931311431682|Tue Mar 15 18:57:25 +0000 2022|"The real Russia collusion story? The environmentalists and the Kremlin.

This is what radical environmentalists don’t want you to know. https://t.co/49br5gcRwo"|en|R|89|352
1503758921919574021|1080894931311431682|Tue Mar 15 15:44:00 +0000 2022|"NEW SPECIAL EPISODE!

Crime is rising across the country because of bail reform &amp; leftist judges releasing murder suspects back on the streets. Officer Ray Hunt &amp; Rania Mankarious join us to talk about how we got to this point &amp; what we can do to stop it.
https://t.co/Hrl6Ru9UvC https://t.co/Yp5cBhcMym"|en|R|11|78
1503416426064977924|1080894931311431682|Mon Mar 14 17:03:02 +0000 2022|"LISTEN NOW!

Heritage Foundation's @pj_geller joins us to examine the implications of China's escalating development of nuclear and hypersonic weapons.

https://t.co/04Ts7attwC https://t.co/Iu5M4jgwP8"|en|R|11|59
1501283765921923078|1080894931311431682|Tue Mar 08 19:48:36 +0000 2022|"NEW EPISODE!

@LukeRosiak joins us to expose how teachers' unions contributed to the breakdown in public education during the pandemic, the incentives behind the CRT &amp; anti-testing movements, &amp; the meaningful policy changes parents should be fighting for.
https://t.co/ITdw4xGpoF https://t.co/rSLDouNtsK"|en|R|7|79
1501205310576513038|1080894931311431682|Tue Mar 08 14:36:51 +0000 2022|"Joe Biden is in Texas today, and yet he won’t be meeting with energy producers to find out what’s needed to increase production, reduce prices, and reduce dependence on foreign oil. 

This White House would rather meet with Venezuela and Iran instead."|en|R|431|2441
1500220927430344712|1080894931311431682|Sat Mar 05 21:25:16 +0000 2022|"The Russians have been funding radical environmentalists for years, to the detriment of their biggest competitor, American LNG. 

Does this surprise anyone?"|en|R|96|642
1499501551475384325|1080894931311431682|Thu Mar 03 21:46:43 +0000 2022|"NEW EPISODE

Former State Department Spokeswoman @MorganOrtagus joins us to discuss the differences in foreign policy approaches between the Trump and Biden Admin, and how to effectively handle our enemies while keeping America's place in the world.

https://t.co/JrO9PQLLOq https://t.co/WlkGkMm1en"|en|R|13|72
1499173887107551241|1080894931311431682|Thu Mar 03 00:04:42 +0000 2022|"Kick Russia out of the UN Security Council. They should not have a veto vote. Period. 

THREAD"|en|R|170|2373
1499112841865056264|1080894931311431682|Wed Mar 02 20:02:08 +0000 2022|"NEW EPISODE

@AEI’s Dr. @KoriSchake joins me to help us understand why Putin ordered the Russian military to invade Ukraine. We discuss the Russian military's progress - and the problems they are encountering - and what likely comes next. 

https://t.co/SGqWZC219Q https://t.co/087bYRJyz9"|en|R|16|57
1496860025427353606|1080894931311431682|Thu Feb 24 14:50:15 +0000 2022|Hey @SenWarren and @EdMarkey, don’t you think today is a good day to stop importing Russian natural gas into Massachusetts? We’ve got plenty in Texas but Biden stopped all new drilling and refuses to build pipelines to get much-needed gas to your constituents.|en|R|413|3012
1496538028973740034|1080894931311431682|Wed Feb 23 17:30:45 +0000 2022|"NEW EPISODE!

Journalist &amp; bitcoin advocate @PeterMcCormack joins us to talk about the origins of the world's dominant cryptocurrency, how it works, its potential undermine the Chinese state, and the Democrats' baffling regulatory resistance to it.

https://t.co/hiEp0coTLc https://t.co/TsOnFphp9p"|en|R|17|48
1496248774410256393|1080894931311431682|Tue Feb 22 22:21:21 +0000 2022|"With gas prices at all-time highs &amp; Russia escalating aggression, Biden should be announcing that the United States will be maximizing domestic energy production. 

Instead, he’s shutting down the only thing to both lower emissions &amp; lower prices at the pump: American oil and gas https://t.co/wlbuLy01vA"|en|R|185|851
1496150529264832523|1080894931311431682|Tue Feb 22 15:50:57 +0000 2022|"NEW EPISODE!
 
@JackPosobiec joins us to discuss the 2022 Olympic Games in Beijing by shedding light on the Chinese worldview, the shifting economic and military power dynamics between the U.S. and China, and how Russia fits into the equation. 

https://t.co/FqsZ8T2Fk7 https://t.co/BXAGQ7x2P7"|en|R|58|91
1494421518020972554|1080894931311431682|Thu Feb 17 21:20:29 +0000 2022|"NEW EPISODE! 

What is industrial policy &amp; what role has it played in trade, supply chains, free markets, and diplomacy? 

@AdamThierer takes us on a tour of the pitfalls that happen when government picks the winners and losers in American industry. 

https://t.co/EVLoySTu2J https://t.co/gwG8fxWIGg"|en|R|22|52
1492906530525560842|1080894931311431682|Sun Feb 13 17:00:28 +0000 2022|"The Clinton campaign paid people to fabricate a false narrative to begin an investigation that wasted millions of taxpayer dollars with only one goal - unseating a sitting President. 

The entire Democrat party was complicit. Now finally have the information to prove it. https://t.co/XorhuTRjMs"|en|R|445|1728
1491491946191273990|1080894931311431682|Wed Feb 09 19:19:25 +0000 2022|"NEW EPISODE!

@Congressman_JVD joins us to explain why he and so many others are giving up on the Democratic Party, share an inside look at the Congressional Democrats, and describe his experience working with President Trump.

https://t.co/9TSG2JnxEL"|en|R|23|59
1491475507816415238|1080894931311431682|Wed Feb 09 18:14:05 +0000 2022|"As the administration trips over itself to appease Iran, the Iranian’s are unveiling missiles capable of targeting anywhere in the region. 

Our maximum pressure policy from the Trump administration worked. Appeasement doesn’t. https://t.co/YUUHZH74xZ"|en|R|87|299
1491119671223156737|1080894931311431682|Tue Feb 08 18:40:07 +0000 2022|This is literally the opposite of following the science https://t.co/7KiKrXJuRw|en|R|211|1849
1488921807302369286|1080894931311431682|Wed Feb 02 17:06:36 +0000 2022|"China is hosting the Olympics starting Friday. It'll be an attempt by the Communist regime to show-off to the world and ignore their human rights abuses and other crimes against the world.

So here’s a thread of things China wants you to forget while you watch the Olympics."|en|R|291|910
1488277870682066946|1080894931311431682|Mon Jan 31 22:27:49 +0000 2022|"Border patrol expects 9,000 border arrests PER DAY. Biden isn’t just ignoring this crisis, he’s deliberately abdicating his responsibility to execute the laws of our country.

This is an impeachable offense. https://t.co/NUveBRqnYF"|en|R|260|1164
