id|user|created_at|text|lang|label|retweet_count|favorite_count
1520145563458617344|1045110018|Fri Apr 29 20:58:39 +0000 2022|Great to welcome Bay City students to Washington today! Our mid-Michigan students are some of the best and brightest. Thank you to all our teachers and staff who work tirelessly to ensure our children receive a great education. https://t.co/k7Uh3m6Tx8|en|D|2|13
1520112251285430274|1045110018|Fri Apr 29 18:46:17 +0000 2022|"📢 Mid-Michigan 9-12 graders 📢 Today is the last day to submit your artwork for this year’s Congressional Art Competition to show off your talents in our nation’s Capitol!

Learn more on how to submit here: https://t.co/pbhZPk4plo https://t.co/KQJFWYJrfn"|en|D|4|2
1520078265750368256|1045110018|Fri Apr 29 16:31:14 +0000 2022|Small businesses, like Foster Coffee Company in Flint, are the backbone of Michigan’s economy. I was proud to help pass the Small Business Development Centers Improvement Act to help our small business owners succeed. https://t.co/z8Izmpd5tb|en|D|1|13
1520043062654812161|1045110018|Fri Apr 29 14:11:21 +0000 2022|Happy birthday, @SenStabenow! Michiganders are proud to call you their Senator, and I am proud to call you my friend. I look forward to continuing to work together to create good-paying jobs, protect the Great Lakes and lower costs for Michigan families. https://t.co/NVkOLsJ3HY|en|D|2|39
1519786846242459648|1045110018|Thu Apr 28 21:13:15 +0000 2022|"Proudly voted for legislation allowing America to more efficiently and quickly send military aid &amp; assistance to Ukraine. The people of Ukraine deserve our unwavering support as they fight for democracy and stand against Vladimir Putin’s aggressions.
https://t.co/o48IhMDKuo"|en|D|1|7
1519125181263982592|1045110018|Wed Apr 27 01:24:01 +0000 2022|"In MI, the #GreatLakes are a way of life &amp; vital to our economy. It’s important we do everything we can to protect them for generations to come, including from invasive species.

I’m proud to have helped pass legislation to protect fish &amp; wildlife populations in our Great Lakes. https://t.co/uQljHeRICA"|en|D|3|21
1519108453880549377|1045110018|Wed Apr 27 00:17:33 +0000 2022|Exciting to see the all new @Ford F-150 Lightning roll off the assembly line today! Electric vehicles are the future of the automotive industry and Michigan is leading the charge! ⚡️ We are continuing to put the world on wheels. https://t.co/x1tgctS6yn|en|D|9|25
1519055955153072128|1045110018|Tue Apr 26 20:48:57 +0000 2022|"I am proud to announce federal funding, through the Bipartisan Infrastructure Law, to remove the last of the Hamilton Dam. This will help revitalize the downtown Flint riverfront and help create jobs in mid-Michigan.
https://t.co/evjPIi9Yg7"|en|D|6|17
1518748605460488194|1045110018|Tue Apr 26 00:27:39 +0000 2022|Access to clean &amp; affordable drinking water should be a right. But eight years ago that right was taken from my hometown. The Flint water crisis must serve as a lesson about what happens when we disinvest in our communities and fail to invest in our infrastructure. https://t.co/S5vqLZzDDW|en|D|34|60
1518650295500292097|1045110018|Mon Apr 25 17:57:00 +0000 2022|When we invest in the health of our children, we invest in the health of our community. I had the privilege to see the @GenHealthSystem Center for Children construction project, which will expand access to health care starting this fall. Read: https://t.co/E2o8VHeKcn @FlintBeat https://t.co/wASY8tGb7w|en|D|2|7
1518352631118413830|1045110018|Sun Apr 24 22:14:11 +0000 2022|"Proud to have secured federal funding for the Sylvester Broome Empowerment Village to create a STEM afterschool education &amp; youth mentorship program in Flint. 

As a member of @HouseScience, I'll continue working to expand access to STEM education &amp; opportunities in mid-Michigan. https://t.co/dvRkA9py5O"|en|D|5|16
1517896077780955140|1045110018|Sat Apr 23 16:00:00 +0000 2022|"Honored to be presented with the Friend of the Farm Bureau Award by the @MichFarmBureau!

I’m proud to represent the hardworking farmers &amp; growers of mid-Michigan in Congress. I’ll keep working to ensure that Michigan’s farmers can thrive. https://t.co/JIZg9ZsEQA"|en|D|3|12
1517641397507088386|1045110018|Fri Apr 22 23:08:00 +0000 2022|"Happy #NationalVolunteerWeek! I'm grateful for all our volunteers across mid-Michigan who work to make our community a better place.

A few weeks ago, my team and I volunteered at the @foodbankemich, and we sorted 2,360lbs of food! Where's your favorite place to volunteer? https://t.co/To9mKH07MV"|en|D|4|15
1517609645573038083|1045110018|Fri Apr 22 21:01:49 +0000 2022|I secured federal funding for our local Habitat for Humanity organizations to increase the amount of home repairs we can make for veterans. I even got to help first-hand on a new construction project in Bay County. https://t.co/CZvZCo0jDd|en|D|7|67
1517488600610484226|1045110018|Fri Apr 22 13:00:50 +0000 2022|Happy #EarthDay! Michigan is home to the beautiful #GreatLakes and national parks. We must protect our natural resources and ensure they can be enjoyed for generations to come! https://t.co/5CAXE4CJYv|en|D|8|24
1517186706210017280|1045110018|Thu Apr 21 17:01:13 +0000 2022|"Great to visit the Voices for Children Advocacy Center in Flint to discuss actions Congress is taking to ensure our kids are safe and prevent child abuse.

April is #ChildAbusePreventionMonth and as a former social worker, I'm always fighting to protect our most vulnerable. https://t.co/Vd2xJIETgr"|en|D|3|6
1516852448853381133|1045110018|Wed Apr 20 18:53:00 +0000 2022|"Electric vehicles are the future of the auto industry!

I'm proud to have secured funding in the Bipartisan Infrastructure Law to build charging stations across MI. In Congress, I'm working to boost American manufacturing and invest in EVs to create good-paying, Michigan jobs. https://t.co/7sgNrELXUQ"|en|D|2|15
1516459392610279429|1045110018|Tue Apr 19 16:51:08 +0000 2022|"The House passed my bill to lower prescription drug costs and cap the cost of insulin at $35 per month.

No lifesaving drug should put Michiganders on the brink of bankruptcy. https://t.co/iDXE8iWiJ7"|en|D|6|31
1516430876711788547|1045110018|Tue Apr 19 14:57:49 +0000 2022|Happy Birthday @dananessel! Thank you for all you do for the hardworking men and women of Michigan to ensure equality and justice for all. https://t.co/7t60VK03ju|en|D|5|68
1516137236206694408|1045110018|Mon Apr 18 19:31:00 +0000 2022|"Nine years ago, I introduced my first bill as a Member of Congress—the Revitalize America Act.

Today, I continue to fight for mid-Michigan residents to lower costs, create good-paying jobs and support our families, seniors and small businesses. https://t.co/kNDtLwxb1X"|en|D|6|28
1516101249078214656|1045110018|Mon Apr 18 17:08:00 +0000 2022|"Buses and public transit help Michigan families and seniors get to doctor appointments, go to the grocery store or visit family.

Thanks to the Bipartisan Infrastructure Law, which I voted for, $10+ million is being invested in Flint’s public transportation. https://t.co/7ykUPSMqKJ"|en|D|4|13
1515694159964905474|1045110018|Sun Apr 17 14:10:22 +0000 2022|Wishing you a wonderful #Easter weekend! May this time be filled with joy and blessings. https://t.co/OBCY9z0lBQ|en|D|1|14
1515374469723811845|1045110018|Sat Apr 16 17:00:02 +0000 2022|"Looks like there are some egg-straordinary events going on in Flint this weekend! Please stay safe and have a great weekend.
https://t.co/WYaovEWluS"|en|D|3|8
1515331678692016130|1045110018|Sat Apr 16 14:10:00 +0000 2022|"It's #NationalParksWeek! From Isle Royale National Park to Sleeping Bear Dunes, I love visiting our great parks with my family.

Today, the @NatlParkService is providing free admission to parks. Find a park in Michigan: https://t.co/t0dvSX2dUO https://t.co/ClyeIUVcdF"|en|D|6|23
1515141812129865731|1045110018|Sat Apr 16 01:35:32 +0000 2022|Chag Sameach to all celebrating #Passover in Michigan and around the world. May this time be filled with strength and a reminder of the importance of family and working together to overcome adversity. https://t.co/niZyCqn31J|en|D|4|14
