id|user|created_at|text|lang|label|retweet_count|favorite_count
1520084954448908289|229197216|Fri Apr 29 16:57:49 +0000 2022|"A crisis at our Southern border and record levels of fentanyl pouring into our communities - that’s what 15 months of Democratic unified control of the government has gotten us. 
https://t.co/NErei5UJI3"|en|R|6|6
1519765170540720130|229197216|Thu Apr 28 19:47:07 +0000 2022|I questioned @SecBecerra today on the fentanyl epidemic, cutting costs in healthcare, and utilizing telehealth effectively. We can do more to address these issues, but it takes a willing Administration to make it happen. https://t.co/BoC3wsl42p|en|R|8|12
1519700280534786048|229197216|Thu Apr 28 15:29:16 +0000 2022|"To be energy independent once again, we must embrace pro-growth policies and scale up solutions that already exist.

The current path the Democrats have set us on will only lead to higher prices at the pump and a never-ending reliance on foreign energy.
https://t.co/LGfytWik6P"|en|R|3|2
1519674673021206535|229197216|Thu Apr 28 13:47:30 +0000 2022|"We must never forget the millions of Jews who were brutally murdered by Nazis throughout the Holocaust. 

Today on Yom Hashoah, Holocaust Remembrance Day, we honor all those who died as well as those that survived. May they always be remembered."|en|R|5|9
1519417833154826244|229197216|Wed Apr 27 20:46:55 +0000 2022|It was a pleasure to host the Bahraini Ambassador to the U.S. in my office today. We had a good discussion about the importance of the Abraham Accords and why they are so important for Israel and the region. https://t.co/8MSNAjE86Q|en|R|2|4
1519362966033944577|229197216|Wed Apr 27 17:08:54 +0000 2022|Earlier today, I met the Mortgage Bankers Association to talk about the real estate finance industry and how it pertains to Arizona. Since our state is experiencing the fastest home-price growth in the country, it was great to have their insight on this topic. https://t.co/rMwUP2JjTv|en|R|2|4
1519057952073826305|229197216|Tue Apr 26 20:56:53 +0000 2022|Massive amounts of fentanyl have been crossing the Southern border and into our state. This has created a crisis throughout many communities, including those here in the 6th District. https://t.co/4zJOEEHtpO|en|R|3|6
1518700674619432960|229197216|Mon Apr 25 21:17:11 +0000 2022|Earlier today, I attended the ribbon cutting ceremony for Caris Life Sciences’ brand new Liquid Biopsy Lab. This facility will help advance cancer care and revolutionize cancer treatments - and it’s all happening right here in Phoenix. https://t.co/3NVbMWMqaI|en|R|10|20
1518256320633262080|229197216|Sun Apr 24 15:51:29 +0000 2022|On Wednesday, I visited our border in Yuma. After touring the area and speaking with border agents, it’s clear that we are facing a dire situation. Biden’s border crisis is very real, and the record level of illegal encounters has shown how bad it truly is. https://t.co/Boj8bgEquR|en|R|6|12
1517230162135367680|229197216|Thu Apr 21 19:53:54 +0000 2022|Today, I hosted a roundtable to discuss the impact fentanyl has had in our community and across our state. We are seeing massive amounts of this drug enter Arizona through our Southern border, and the result of that has been devastating. https://t.co/jjHe7Ajqzw|en|R|2|7
1516913562375102464|229197216|Wed Apr 20 22:55:50 +0000 2022|There is a clear crisis at our Southern border. I just visited Yuma to see it for myself &amp; hear from law enforcement officials that are trying desperately to contain the chaos. Joe Biden’s open-border policies brought on this crisis, and his Administration must step up &amp; fix it. https://t.co/Q4Ti3yEQ0I|en|R|5|5
1516828147471290374|229197216|Wed Apr 20 17:16:26 +0000 2022|I am in Yuma today touring our Southern border and meeting with law enforcement officials. In the last fifteen months, we have seen record levels of illegal encounters that have acutely impacted Arizona, and I am here to get a first-hand look at the crisis. https://t.co/WhDBiUY9yg|en|R|4|9
1516552237274873860|229197216|Tue Apr 19 23:00:04 +0000 2022|"Border encounters rose by 33% in March versus the previous month, totaling over 220,000. That’s another record high. 

Now that Joe Biden is poised to rescind Title 42, this crisis will continue to only get worse.

https://t.co/MBlYN7ZEGV"|en|R|3|5
1515700306063114245|229197216|Sun Apr 17 14:34:47 +0000 2022|Easter is a joyful day of salvation for millions around the world. To all those celebrating, my family wishes you a blessed and Happy Easter!|en|R|3|20
1515355534098063361|229197216|Sat Apr 16 15:44:47 +0000 2022|For all those who began celebrating last night, Joyce and I want to wish you and your loved ones a Happy Passover!|en|R|3|9
1514991190193721344|229197216|Fri Apr 15 15:37:01 +0000 2022|I joined @Newsmax this morning to discuss Title 42 and the crisis at our Southern border, as well as Joe Biden’s fictitious claims about inflation. The White House must take ownership of these issues and work across the aisle to fix them - and they need to do it immediately. https://t.co/zODEQj90kg|en|R|3|7
1514690471901151238|229197216|Thu Apr 14 19:42:04 +0000 2022|Rolling back Title 42, while misguided, sends a clear message that the Biden Administration believes Covid is not the threat it once was. So why is the CDC extending the mask mandate for travel once again? https://t.co/sacadC50Mf|en|R|3|5
1514388800306253824|229197216|Wed Apr 13 23:43:20 +0000 2022|The tyrannical Russian regime just sanctioned me and gave me a lifetime ban from entering their country, which I will take as a badge of honor. I guess dictator Putin is afraid of someone who speaks out against atrocities committed by Russia. https://t.co/a5O0WzL9RI|en|R|8|21
1514316580573786112|229197216|Wed Apr 13 18:56:22 +0000 2022|"The math doesn’t lie, the driving force behind inflation has been the Democrats’ out of control spending policies. 
https://t.co/Jh7GYIoiMi"|en|R|3|10
1513955552388255746|229197216|Tue Apr 12 19:01:46 +0000 2022|"I joined @thehill today to discuss inflation, the state of our economy, &amp; why the Phoenix-Scottsdale area is being hit the hardest by surging prices.

We also talked about solutions and why we must trust the math &amp; enact pro-growth policies that will help revamp our economy. https://t.co/5jRQLckpWr"|en|R|3|5
1513871686482870272|229197216|Tue Apr 12 13:28:31 +0000 2022|"Inflation just hit a staggering rate of 8.5%. That’s the highest it has been in over four decades. 

When will the Biden Administration wake up and realize their policies are driving this historic level of inflation? 
https://t.co/FjwqSlaWe7"|en|R|16|32
1512894920675233800|229197216|Sat Apr 09 20:47:11 +0000 2022|"This is outrageous - Arizonans are paying $4.61 on average for a gallon of gas today. 

Joe Biden’s failed policies are responsible for this, and our state is suffering because of it. https://t.co/i2AvRFWnLx"|en|R|8|15
1512472653382234114|229197216|Fri Apr 08 16:49:15 +0000 2022|Most Social Security offices opened to the public yesterday. For more information, click the link below 👇 https://t.co/H1YQIoRpKU|en|R|3|2
1511796916773916689|229197216|Wed Apr 06 20:04:07 +0000 2022|"Democrats just blocked a motion to bring the PAUSE Act up for a vote on the House Floor.

This bill maintains Title 42 &amp; ensures it continues as a vital security measure at our border.

I'm proud to co-sponsor this legislation &amp; I urge my colleagues to pass this bill immediately. https://t.co/ITiMZnXmfj"|en|R|11|17
1511750731296129029|229197216|Wed Apr 06 17:00:35 +0000 2022|In the past 14 months of unified government control by Democrats, the poor have gotten poorer and the income inequality gap has grown larger. Legislating based on rhetoric and feelings might score political points, but it's awful economics and it's causing widespread misery. https://t.co/s9ceCSkoTj|en|R|3|5
1511462058960769028|229197216|Tue Apr 05 21:53:31 +0000 2022|"Today, on Gold Star Spouses Day, we honor the surviving spouses of all the American heroes who gave their lives serving our country. They too have sacrificed for our nation, and we must always remember that.

https://t.co/Z7wey83CXI"|en|R|2|3
1509961224024375298|229197216|Fri Apr 01 18:29:44 +0000 2022|Since the day Joe Biden took office, we have seen a crisis unfold at our southern border. His Administration has let this situation deteriorate for over a year without doing anything to fix it. https://t.co/1A0ROsmzQZ|en|R|1|4
1509924986840096776|229197216|Fri Apr 01 16:05:44 +0000 2022|No matter what spin the Democrats put on the March jobs report, the math will always win. Inflation is far outpacing any growth in jobs or wages, and Americans are paying the price. https://t.co/nohZX1ZRYU|en|R|3|3
1509616475987980293|229197216|Thu Mar 31 19:39:49 +0000 2022|"Virtue signaling will not end the misery caused by diabetes, it will prolong it. 

There are solutions and breakthroughs that exist, but we must be willing to put aside politics to accept them. https://t.co/dFM7lE4ABF"|en|R|5|15
1509207798143459329|229197216|Wed Mar 30 16:35:53 +0000 2022|I just asked @AmbassadorTai about the Biden Administration's plans to tackle food insecurity, WTO reform, and USMCA trade commitments in the energy sector. These issues must be a top priority for the White House, and I urged Amb. Tai to ensure the Administration acts on each one. https://t.co/VVLBCxIuLS|en|R|3|11
1508986024998932481|229197216|Wed Mar 30 01:54:38 +0000 2022|Retirement security is one of the most important issues facing our nation’s future. We must ensure every American has the opportunity to save for retirement and that all businesses have the chance to offer retirement plans to their employees. https://t.co/tXEz8F9aPN|en|R|6|3
1508922369037021186|229197216|Tue Mar 29 21:41:41 +0000 2022|I just sent a letter to Amb. Tai urging her to enforce all USMCA commitments, especially those relating to the energy sector. Right now, the Government of Mexico is working to upend their energy policies, which could significantly harm American business opportunities in Mexico. https://t.co/7nrQAE8fxI|en|R|7|4
1508836446916026368|229197216|Tue Mar 29 16:00:16 +0000 2022|"58,318 names are engraved on the Vietnam Veterans Memorial. Each one made the ultimate sacrifice for our country, and we must never forget that. 

On this #NationalVietnamWarVeteransDay, our nation honors and remembers all those who bravely served in Vietnam. https://t.co/v7BAMpO7t4"|en|R|3|6
1508523053009055749|229197216|Mon Mar 28 19:14:57 +0000 2022|"If you're looking for the summary of Joe Biden's $5.8 trillion FY2023 budget, here it is:

Raise taxes, increase federal spending, forget about pay-fors, and then raise taxes again for good measure. https://t.co/Ag5oGsajjc"|en|R|4|5
1507743447272284164|229197216|Sat Mar 26 15:37:05 +0000 2022|A true leader and an inspiration to millions, Happy Birthday to one of Arizona’s best, Sandra Day O’Connor!|en|R|2|10
1507443822296453128|229197216|Fri Mar 25 19:46:28 +0000 2022|"We cannot base public policy on whatever the polls say. By doing that, we will only prolong people’s misery. 

It’s time for the left to put politics  aside and actually do what is best for the country. https://t.co/3NFGS6JquN"|en|R|2|9
1507091161781047297|229197216|Thu Mar 24 20:25:08 +0000 2022|"Inflation has flatlined the national economy, but it’s hitting our community particularly hard. In the Phoenix-Scottsdale area, inflation hit 10.9% - the highest in the nation.

If the Dems continue their reckless spending plans, this will only get worse.
https://t.co/PkmybTsbm7"|en|R|3|9
1506361000030879749|229197216|Tue Mar 22 20:03:43 +0000 2022|"The Islamic Revolutionary Guard Corps is a sponsor of terrorism. Period. 

By removing them as an FTO, we would be legitimizing their dangerous, antisemitic actions. The U.S. cannot make this concession and we cannot re-enter the Iran Nuclear Deal. https://t.co/quYLMUAb0L"|en|R|15|22
1506328449232871436|229197216|Tue Mar 22 17:54:23 +0000 2022|"For decades, NEPA’s regulatory burdens have stifled innovation for American energy infrastructure. By reforming this burdensome regulatory process, we can move America forward. Let’s cut the red tape and reform NEPA.

https://t.co/fjX0d3zK6r"|en|R|4|6
1506033587254140928|229197216|Mon Mar 21 22:22:42 +0000 2022|I just sent a letter to @POTUS urging him to expedite an interagency review for boosting LNG exports to Europe. At a time when reliance on Russian energy is waning, the U.S. can step up and be a reliable source of energy exports for our allies. https://t.co/xbjtmb66e8|en|R|15|37
1505261315069296643|229197216|Sat Mar 19 19:13:58 +0000 2022|"The Democrats’ out of control spending policies are destroying our financial future and pointing us down a dangerous path for decades to come. The math doesn’t lie, our country cannot afford to continue down this road.

https://t.co/1rElLRcEPC"|en|R|3|4
1505009043127025667|229197216|Sat Mar 19 02:31:32 +0000 2022|"My thoughts and prayers are with Don Young’s family and loved ones. He was a longtime statesman that I am proud to have called a friend. The People’s House won’t be the same without him. 
https://t.co/JWGq9YHpX0"|en|R|6|13
1504933581608693764|229197216|Fri Mar 18 21:31:40 +0000 2022|"I just sent a letter to @SecMayorkas urging him to address the millions of legal immigration backlogs &amp; immediately reopen the @USCIS. 

The Biden Admin has taken our immigration system and flipped it on its head. We must ensure DHS completes the work it has been assigned to do. https://t.co/TLntuOzp68"|en|R|385|762
1504547237891878912|229197216|Thu Mar 17 19:56:29 +0000 2022|"Today, the @EnergyCommerce Committee reviewed the FORWARD Act, a bill I introduced with @GOPLeader. This legislation will combat Valley Fever through research funding, vaccine development, and anti-fungal therapies. 

With the FORWARD Act, we can help beat Valley Fever for good. https://t.co/t5O0RVJ4KG https://t.co/S7A0zf0k2K"|en|R|14|26
1504501543193780226|229197216|Thu Mar 17 16:54:54 +0000 2022|Happy St. Patrick’s Day ☘️|en|R|3|10
1504106125465169926|229197216|Wed Mar 16 14:43:39 +0000 2022|"I had the honor of listening to President Zelensky this morning as he addressed Congress virtually from Kyiv. His bravery and courage, and that of all Ukrainians, in the face of Russian brutality is remarkable. I stand with the people of Ukraine. 
🇺🇸🇺🇦 https://t.co/Fp115IrCr7"|en|R|6|22
1503769832617123842|229197216|Tue Mar 15 16:27:21 +0000 2022|As co-chair of the Congressional Telehealth Caucus, I am excited to share that Medicare beneficiaries’ access to telehealth will extend beyond the COVID-19 emergency period.  My colleagues and I have worked tirelessly to protect patient access to the care they want and deserve. https://t.co/AO6bLPAv0j|en|R|4|7
1502331130661457921|229197216|Fri Mar 11 17:10:28 +0000 2022|"‼️ Reminder ‼️ Need help with the IRS? The agency's Taxpayer Assistance Center in Phoenix will be open on Saturday, March 12th with no appointment  necessary. The address is: 4041 North Central, Phoenix, AZ 85012
Please see the link below for more info.
https://t.co/GukyGXZzQ6"|en|R|3|2
1501986849153290245|229197216|Thu Mar 10 18:22:25 +0000 2022|"Placing a ban on Russian oil imports is a step in the right direction, but it is not enough to create long-term American energy independence.
https://t.co/1BOTay4Xmz"|en|R|7|9
1501931986625040389|229197216|Thu Mar 10 14:44:24 +0000 2022|"Inflation just hit 7.9%, another record high in the last forty years. 

This is what happens when the left makes poor policy decisions that cost trillions of taxpayer dollars and ultimately make us dependent on foreign energy. 
https://t.co/Ucqd0TGuKG"|en|R|6|3
1501787636654125059|229197216|Thu Mar 10 05:10:49 +0000 2022|My statement on the omnibus package. https://t.co/dBGQhpJHIc|en|R|9|17
1501670374160969734|229197216|Wed Mar 09 21:24:51 +0000 2022|"Some furry friends stopped by Capitol Hill today! 

Service dogs play an important role in the daily lives of thousands of Americans. I’m proud to co-sponsor the Working Dog Commemorative Coin Act to recognize these amazing service animals. https://t.co/cgAZaiyo8v"|en|R|4|10
1501632461540925442|229197216|Wed Mar 09 18:54:12 +0000 2022|I just sent a letter to @POTUS requesting a state funeral be held for the last surviving Medal of Honor recipient from WWII. By doing this, our nation can offer a final honor and salute to the Greatest Generation for their bravery and sacrifice during WWII. https://t.co/Pp2Swd6UlL|en|R|7|55
1501332659708080130|229197216|Tue Mar 08 23:02:54 +0000 2022|Today, I spoke with the @IRS Commissioner. We discussed at length the issue of tax return backlogs and what the IRS is doing to fix it. I told him the impact this has on Arizona, and stressed the need for efficiency within the agency. https://t.co/sf1ktiNZO1|en|R|3|14
1501257347980689410|229197216|Tue Mar 08 18:03:38 +0000 2022|Great to meet @Honeywell_Aero to discuss their work in Arizona that is advancing defense tech. Including automating drones, aircraft propulsion systems, satellite comms, and more. These developments will cut costs, increase fuel efficiency &amp; make our armed service members safer. https://t.co/75ekIOWYs9|en|R|3|6
1500933238986059784|229197216|Mon Mar 07 20:35:44 +0000 2022|"Are you receiving scam phone calls frequently? During National Consumer Protection Week, the FTC is working to raise awareness and help avoid fraudulent scam calls. Click the link below for more information 👇 
https://t.co/AK1YnE1jlA https://t.co/FoCfZ0as29"|en|R|4|5
1500528984953606144|229197216|Sun Mar 06 17:49:23 +0000 2022|"It was an honor to attend the Saluting Stories of Service event here in Scottsdale. I got the chance to speak with Lt. Col Mike Sprayberry and hear about the heroic actions he displayed that earned him the Medal of Honor. 

Olivia also loved all the military uniforms! https://t.co/T3MffEei8M"|en|R|5|5
1500223847760642048|229197216|Sat Mar 05 21:36:52 +0000 2022|Inflation is a direct result of President Biden’s actions in office. But now he claims he can fix it? 🤔 https://t.co/vLOOiieGCJ|en|R|7|14
1499848958318948361|229197216|Fri Mar 04 20:47:12 +0000 2022|"When COVID-19 jobless benefits are reeled in, Americans reconnect with work. That's exactly what February's jobs report shows us.

Congress must take notice and shift policy focus towards ending the Public Health Emergency and getting everyone back to work. https://t.co/ptHyyoVqBU"|en|R|5|5
1499502332756828164|229197216|Thu Mar 03 21:49:50 +0000 2022|"The Democrats' virtue signaling is a guise to cover the fact that their own policies do the exact opposite of what they promise. The proof is in the numbers. 
https://t.co/z3mNXIo1aT"|en|R|3|9
1499453580293644288|229197216|Thu Mar 03 18:36:06 +0000 2022|"The BDS movement is an antisemitic ploy rooted in hate and violence. This bill will help ensure continued U.S. support towards Israel and prohibit discriminatory economic warfare towards our ally.
https://t.co/ZIYkljBuM6"|en|R|17|55
1499156430296858624|229197216|Wed Mar 02 22:55:20 +0000 2022|Joe Biden has the math backwards. Tax reform closed the wealth gap in America, but his own policies have widened it. https://t.co/l4hg45tyPk|en|R|25|85
1498866266383212546|229197216|Wed Mar 02 03:42:20 +0000 2022|"After an hour of empty rhetoric, our country is still facing the endless crises created by this Administration. 

❌Historic inflation levels
❌Rising crime rates
❌Surges at the southern border 
❌Crippling level of debt
❌Increase in fentanyl 

#SOTU2022"|en|R|30|69
1496925881914343432|229197216|Thu Feb 24 19:11:56 +0000 2022|My statement on the Russian invasion of Ukraine. https://t.co/Ho5cmnWm0H|en|R|7|20
1496648554881896458|229197216|Thu Feb 24 00:49:56 +0000 2022|It was great to sit down with some of Cave Creek and Carefree’s small businesses today to recognize the meaningful impact we’ve seen them make in our community, as well as discuss the ways we can continue to support them going forward. https://t.co/xOP4OxGz2a|en|R|3|10
1496536015162519560|229197216|Wed Feb 23 17:22:44 +0000 2022|"153,941 border encounters and 839 pounds of fentanyl seized in January ALONE. 

Our communities are suffering because of this administration’s incompetent border policies. When will Joe Biden wake up and realize the crisis at our southern border is real?
https://t.co/8kcK6peBYg"|en|R|5|8
