id|user|created_at|text|lang|label|retweet_count|favorite_count
1507392299118043141|155669457|Fri Mar 25 16:21:44 +0000 2022|The Robinsons’ decision and thousands like it should call forth more empathy and compassion, and less judgment. The… https://t.co/mHNlopXNlq|en|D|4|31
1506744205078585358|155669457|Wed Mar 23 21:26:27 +0000 2022|Lisa and I are honored to have called Madeleine Albright a friend for many years.  We are greatly saddened by her d… https://t.co/SdEYZh94Tb|en|D|4|44
1505194671789817857|155669457|Sat Mar 19 14:49:09 +0000 2022|Congressman Don Young loved Alaska and delivered for Alaska, which gave us a bond early on because my having worked… https://t.co/NhgfWzYyAL|en|D|1|10
1504886518174912519|155669457|Fri Mar 18 18:24:40 +0000 2022|In 2021, the House passed #HR6, the American Dream &amp; Promise Act, ensuring permanent protections and a pathway to c… https://t.co/PJebF59W48|en|D|8|20
1504576430918803456|155669457|Thu Mar 17 21:52:29 +0000 2022|The Violence Against Women Act helps countless survivors of domestic violence through lifesaving protections and se… https://t.co/lrIqbo0KgD|en|D|5|37
1504528352710995971|155669457|Thu Mar 17 18:41:26 +0000 2022|Happy #AmeriCorpsWeek! As co-chair of the National Service Caucus, I want to thank every @AmeriCorps member for the… https://t.co/vPEXjKuUuB|en|D|5|33
1504499111181135878|155669457|Thu Mar 17 16:45:15 +0000 2022|Yesterday, @House_Democracy Members and I met with Ukrainian MP Oleksandra Ustinova to discuss the ongoing Russian… https://t.co/eGq2DHC3mK|en|D|2|21
1504192179144646656|155669457|Wed Mar 16 20:25:36 +0000 2022|"#OTD in 1802, the US Military Academy at West Point was founded.

Thank you @WestPoint_USMA for 220 years of exempl… https://t.co/YwZlKG5e19"|en|D|0|6
1504175768305381380|155669457|Wed Mar 16 19:20:24 +0000 2022|I had the pleasure of speaking at the annual @APTA_info Legislative Conference yesterday! It is an honor to receive… https://t.co/GktyGN3XCn|en|D|3|6
1504152961953546245|155669457|Wed Mar 16 17:49:46 +0000 2022|NEWS: Yesterday, I joined @POTUS at his signing of the bipartisan appropriations omnibus into law. This funding bil… https://t.co/I2FmpKHh1K|en|D|1|10
1504138236477820937|155669457|Wed Mar 16 16:51:15 +0000 2022|"This morning, Ukrainian President Zelenskyy gave a moving address to the entire US Congress. 

I remain committed t… https://t.co/vWEbjEA0Rx"|en|D|2|14
1502400488997801992|155669457|Fri Mar 11 21:46:04 +0000 2022|🎉Last month, I voted to pass the bipartisan Postal Service Reform Act – this critical legislation is now headed to… https://t.co/hsS5dLhuKL|en|D|5|35
1502377369629335556|155669457|Fri Mar 11 20:14:12 +0000 2022|"It’s been one year since the House passed #HR8 and #HR1446 to enhance background checks for gun purchases.
 
The ti… https://t.co/lMycxBMHVn"|en|D|14|89
1502342788083597324|155669457|Fri Mar 11 17:56:47 +0000 2022|Last year, I worked with local leaders to secure federal funding for essential community projects throughout NC-04,… https://t.co/zOimiEYtug|en|D|2|10
1502325247315517448|155669457|Fri Mar 11 16:47:05 +0000 2022|"Last year, Congress passed the #AmericanRescuePlan, delivering immediate relief &amp; recovery from the pandemic.

In 1… https://t.co/ZxsIjIWJRu"|en|D|13|14
1502033473036455954|155669457|Thu Mar 10 21:27:41 +0000 2022|As we all continue to monitor the evolving situation in Ukraine, I want to share some resources that you can visit… https://t.co/WqezgihxcM|en|D|2|5
1501987261482774533|155669457|Thu Mar 10 18:24:03 +0000 2022|It was great to meet with @PFFPNC this week!  Thank you for all that you do to keep our communities safe. https://t.co/fCCtVv3In6|en|D|2|7
1501948338924503045|155669457|Thu Mar 10 15:49:23 +0000 2022|"REMINDER: You can still have free at-home COVID-19 tests delivered to your home.

If you have already ordered your… https://t.co/3oKC8mUwZD"|en|D|4|6
1501764860622913536|155669457|Thu Mar 10 03:40:18 +0000 2022|The Ukraine Supplement Appropriations Act will deliver critical defense, economic, &amp; humanitarian aid to Ukraine an… https://t.co/CEJaoDfUF2|en|D|5|17
1501763309107879938|155669457|Thu Mar 10 03:34:08 +0000 2022|GREAT NEWS! The bipartisan FY22 omnibus appropriations bill includes all 10 Community Project Funding requests I su… https://t.co/vLmetp6mrX|en|D|6|33
1501347539970408455|155669457|Wed Mar 09 00:02:01 +0000 2022|This #InternationalWomensDay, we honor the achievements and sacrifices that were made by generations of women all a… https://t.co/rlQcp0RFFn|en|D|4|20
1499867656685506561|155669457|Fri Mar 04 22:01:30 +0000 2022|I joined my colleagues in sending a letter to @StateDept urging deeper U.S. engagement with the Western Balkans. Kr… https://t.co/8RBj4IUKHa|en|D|1|7
1499857762293014539|155669457|Fri Mar 04 21:22:11 +0000 2022|This morning, I joined a panel discussion at the @orangehabitat Corporate &amp; Community Breakfast to discuss the impo… https://t.co/8kPKss0pyS|en|D|2|14
1499511796889227268|155669457|Thu Mar 03 22:27:26 +0000 2022|The Ukrainian parliament is continuing to meet and deliberate — an impressive display of courage at tremendous pers… https://t.co/kwHIfxYD45|en|D|3|15
