id|user|created_at|text|lang|label|retweet_count|favorite_count
1520043634791485442|1080573351914061825|Fri Apr 29 14:13:38 +0000 2022|This week, I introduced a resolution recognizing April as Second Chance Month. Our returning citizens deserve a second chance to give back to their communities after paying their debts. It's just the right thing to do. https://t.co/MWyR4wFFkI|en|D|2|1
1519806531759390721|1080573351914061825|Thu Apr 28 22:31:28 +0000 2022|"Today, I spoke with @TheJusticeDept #AttorneyGeneral Merrick Garland about what action we can take to reduce recidivism and create an opportunity pipeline for returning citizens. The facts are clear: if we get folks jobs, we can really give them a second chance.

Listen here: https://t.co/Y4pdRppBY2"|en|D|6|9
1519683222455607297|1080573351914061825|Thu Apr 28 14:21:29 +0000 2022|I'm excited to announce that THREE OF MY BILLS were endorsed by the @NewDemCoalition today! This slate of bipartisan legislation will be crucial in combating the addiction and mental health crises. My bills will save lives, and this support will get them across the finish line!|en|D|4|13
1519446290307993601|1080573351914061825|Wed Apr 27 22:40:00 +0000 2022|Tonight, on #YomHaShoah, #WeRemember the 6 million innocent Jewish people killed during the Holocaust. We must reflect on the atrocities committed by the Nazi regime. It's our duty to uphold our promise to combat antisemitism — today and every day. https://t.co/sZAmPqWJvE|en|D|2|2
1519395958739456002|1080573351914061825|Wed Apr 27 19:20:00 +0000 2022|Happy birthday, @SenBooker! Glad to have you as an ally in the Senate fighting for the issues that matter to working folks!|en|D|1|4
1519379571245731842|1080573351914061825|Wed Apr 27 18:14:53 +0000 2022|"April is #FinancialLiteracyMonth! An excellent opportunity for folks to reassess their finances.

Small businesses can reach out to a local @SBAgov resource partner for free or low-cost financial counseling and training.

Find out more here:  https://t.co/w8UMBv2BJf"|en|D|2|2
1519364574771875840|1080573351914061825|Wed Apr 27 17:15:17 +0000 2022|Our veterans honorably served our country to protect Americans. We must now honor their service. @AppropsDems is meeting to ensure they have the funding to advance women’s health, mental health, and homelessness assistance. Watch today at 2 PM: https://t.co/3K9Oy10Vdy https://t.co/BTMeI07KGG|en|D|5|14
1519319597509451777|1080573351914061825|Wed Apr 27 14:16:34 +0000 2022|"Access to reliable internet is still a hurdle for many Maryland students. So what is #TeamMaryland doing about it?
✅#ARPA-funded #broadband expansion: $68 million
✅New funding for Maryland schools: $238,825
✅Setting students up for success: priceless
https://t.co/MxaSXfFd72"|en|D|2|4
1518953612998856707|1080573351914061825|Tue Apr 26 14:02:16 +0000 2022|During Second Chance Month, we've got to come to the table with solutions to help give returning citizens opportunities to succeed. In Congress, I'm fighting to build a stronger Opportunity Pipeline, which will REDUCE recidivism and CONNECT folks to real jobs right out of prison. https://t.co/EbEByQOkwK|en|D|4|8
1518677474669912065|1080573351914061825|Mon Apr 25 19:45:00 +0000 2022|Stories like Landen's are why I ran for Congress — to get folks the help they need and get fentanyl out of kids' hands. I'm inspired by Marc and Hilary Hausman for sharing their story to help protect our community. With overdose rates rising in Maryland, we must #StopTheStigma. https://t.co/WnNc13sO6c|en|D|1|4
