id|user|created_at|text|lang|label|retweet_count|favorite_count
1506291112947990539|1128514404|Tue Mar 22 15:26:01 +0000 2022|Agriculture is the backbone of our Central Valley economy. On National Agriculture Day, we celebrate American agric… https://t.co/8EXoZqZZwQ|en|R|9|41
1505012345751355397|1128514404|Sat Mar 19 02:44:39 +0000 2022|Heartbroken to hear of the passing of Congressman Don Young, Dean of the House. Don was a champion for Alaska and a… https://t.co/NvkAHCbUnK|en|R|3|8
1504849379131330569|1128514404|Fri Mar 18 15:57:05 +0000 2022|Our agriculture economy has been hit hard by the ongoing supply chain crisis. Yesterday I joined my colleagues… https://t.co/rmkQZGeOO1|en|R|8|34
1504187456857456642|1128514404|Wed Mar 16 20:06:50 +0000 2022|Layers of unnecessary bureaucracy and red tape in permitting decisions have blocked much-needed progress on a long… https://t.co/CpsfuQ7ZfZ|en|R|4|12
1504129258133798914|1128514404|Wed Mar 16 16:15:35 +0000 2022|This morning I listened to President Zelensky’s powerful address to Congress. His strength and dedication to his co… https://t.co/24t8qpGvP0|en|R|7|42
1503791321135435797|1128514404|Tue Mar 15 17:52:44 +0000 2022|Californians are paying the highest gas prices in the country, and families are struggling to pay for basic necessi… https://t.co/czS1HVQf7c|en|R|4|20
1502655964104830976|1128514404|Sat Mar 12 14:41:14 +0000 2022|Mayor David Cardenas was an honorable man who cared deeply about his community. This is a devastating loss for Fowl… https://t.co/b1wEy3LFcu|en|R|3|15
1502408289639968772|1128514404|Fri Mar 11 22:17:04 +0000 2022|Glad to talk with @fcfb_ag this morning to give an update on policies impacting agriculture and the Central Valley.… https://t.co/PT3n2qzmVX|en|R|4|15
1501974935018819585|1128514404|Thu Mar 10 17:35:04 +0000 2022|I joined my colleagues in requesting the @TSA let their mask mandate expire next week, and I’m disappointed they’ve… https://t.co/BPTU5LJbBa|en|R|2|11
1501771920316026888|1128514404|Thu Mar 10 04:08:22 +0000 2022|I came to Congress to deliver results for the Central Valley, and I’m proud that my work on this year’s annual spen… https://t.co/C6UMfsRv7O|en|R|5|15
1501678102568701961|1128514404|Wed Mar 09 21:55:34 +0000 2022|⛽️ This is what gas prices in the Valley look like. The avg. price for a gallon of gas reached $5.57 in California… https://t.co/1FQstR7dTS|en|R|2|13
1501201192294232068|1128514404|Tue Mar 08 14:20:29 +0000 2022|Every time we buy a barrel of Russian oil, we are helping fund Putin’s war against Ukraine. I joined my colleagues… https://t.co/e5mxojh806|en|R|3|18
1500895983944839169|1128514404|Mon Mar 07 18:07:42 +0000 2022|What we’re seeing at our border is a humanitarian and national security crisis caused by a failure to enforce our i… https://t.co/LMsQd6xYeP|en|R|5|17
1499830858013888516|1128514404|Fri Mar 04 19:35:16 +0000 2022|This week I spoke on the House Floor about the Bureau of Reclamation’s unacceptably low water allocations for Centr… https://t.co/FXAWxx0Jhl|en|R|6|28
1499787611430338563|1128514404|Fri Mar 04 16:43:25 +0000 2022|Today I’m with my colleagues at the southern border getting a firsthand look at this humanitarian and national secu… https://t.co/wd7iHIDTJ1|en|R|4|15
1499508929579130882|1128514404|Thu Mar 03 22:16:02 +0000 2022|Today I voted yes on H.R. 3967, the Honoring our PACT Act. We need to take action to help the millions of veterans… https://t.co/ImLVABT01G|en|R|1|8
1499464763440521229|1128514404|Thu Mar 03 19:20:32 +0000 2022|Thank you to @RCAPInc for their important work to serve rural communities across the country. I was honored to rece… https://t.co/P1iH4uAKFy|en|R|4|20
1499402999696793602|1128514404|Thu Mar 03 15:15:07 +0000 2022|One of the best parts of my job is welcoming constituents from California’s 21st district to their Capitol. Unfortu… https://t.co/5aZvEAy5hf|en|R|4|16
1499142401314762753|1128514404|Wed Mar 02 21:59:35 +0000 2022|I just voted yes on a House Resolution reaffirming our support for Ukraine. I will continue to work with my colleag… https://t.co/cTBa4UHOk6|en|R|3|21
1499109809211256832|1128514404|Wed Mar 02 19:50:05 +0000 2022|Today I joined @KMPHFOX26 to discuss President Biden’s #SOTU address, the ongoing crisis in Ukraine, and the rising… https://t.co/IPKZaXkIzD|en|R|5|9
1499062004279132160|1128514404|Wed Mar 02 16:40:07 +0000 2022|Last night we heard a lot from President Biden about bringing manufacturing back to America. Why aren’t we doing th… https://t.co/b4n1chp74q|en|R|5|24
1498883240874151938|1128514404|Wed Mar 02 04:49:47 +0000 2022|Right now we are facing the biggest threat to international order since WWII, and the entire world is looking to Am… https://t.co/1tvPwJgsQO|en|R|3|7
1498732844071460866|1128514404|Tue Mar 01 18:52:09 +0000 2022|I hope to hear the President address his plans to increase energy security at the #SOTU tonight. We must reduce glo… https://t.co/Ustvvl5cfz|en|R|3|16
1498319536331927557|1128514404|Mon Feb 28 15:29:49 +0000 2022|I’m saddened to hear of the passing of @SenFeinstein’s husband Richard Blum. Terra and I are praying for Senator Fe… https://t.co/itxMGqvlsX|en|R|6|30
1497314350016745472|1128514404|Fri Feb 25 20:55:34 +0000 2022|The conflict in Ukraine will be felt by Americans here at home as they already face rising costs and gas prices.… https://t.co/1c2Lg4LUWh|en|R|4|22
1496831658363871238|1128514404|Thu Feb 24 12:57:31 +0000 2022|Putin’s unprovoked attack on sovereign and independent Ukraine must be met with swift consequences. Now is the time… https://t.co/GUThsRofIx|en|R|10|39
1496576652410818560|1128514404|Wed Feb 23 20:04:13 +0000 2022|The Bureau of Reclamation's initial 2022 water supply allocation is a devastating blow to small community agricultu… https://t.co/rNKSCZlrK1|en|R|2|7
1496182417312333828|1128514404|Tue Feb 22 17:57:40 +0000 2022|Burdensome government regulations and failed policies are increasing energy costs for families in the Central Valle… https://t.co/fPpApSwNCD|en|R|6|13
1495797967009243146|1128514404|Mon Feb 21 16:30:00 +0000 2022|Happy Presidents' Day! 🇺🇸 https://t.co/Rn6iRl2HsR|en|R|14|22
1495080743168585733|1128514404|Sat Feb 19 17:00:01 +0000 2022|Agriculture is the backbone of our Central Valley economy, and we rely on the next generation to keep this industry… https://t.co/7MrFzHJlc5|en|R|3|15
