id|user|created_at|text|lang|label|retweet_count|favorite_count
1520176103767220226|2968007206|Fri Apr 29 23:00:01 +0000 2022|Between testifying @NRDems on the National Discovery Trails Act, a bipartisan bill I authored, a @OversightDems hearing to hold those responsible for the opioid epidemic accountable, and hosting an Education Town Hall with @EdLaborCmte Chairman @BobbyScott, it was a busy week! https://t.co/ZTZyXba2Mi|en|D|2|14
1520144252738719744|2968007206|Fri Apr 29 20:53:27 +0000 2022|The National Discovery Trails Act, a bipartisan bill I authored, would help more Americans enjoy our nation’s only coast-to-coast walking trail by expanding access to the American Discovery Trail (ADT). https://t.co/eYa34Rt4qJ|en|D|3|19
1520136241106325504|2968007206|Fri Apr 29 20:21:37 +0000 2022|"Thank you to everyone who joined our recent town hall on improving commutes where we discussed how we can decrease congestion, increase access to public transit, and improve quality of life. 
https://t.co/ULc3sujfbb"|en|D|3|4
1520004820320636928|2968007206|Fri Apr 29 11:39:24 +0000 2022|As Putin continues his horrific, unjustified war in Ukraine, I was proud to vote for legislation to support the people of Ukrainian in their fight for democracy by helping to send weapons and supplies to Ukraine more efficiently. https://t.co/kkHPTvqtD4|en|D|10|33
1519802668830576640|2968007206|Thu Apr 28 22:16:07 +0000 2022|Today I testified before @NRDems on the importance of passing the National Discovery Trails Act. A bipartisan bill I authored, which would expand access to the American Discovery Trail, helping to provide long overdue recognition to the nation’s only coast-to-coast walking trail. https://t.co/1aCxvVhpc8|en|D|1|7
1519690112346509314|2968007206|Thu Apr 28 14:48:51 +0000 2022|LAST CHANCE: RSVP before 2:00 p.m. to join our town hall at 4 p.m. today on education with @EdLaborCmte Chairman @BobbyScott: https://t.co/EkE6QZ1MRP https://t.co/o6EV2s111F|en|D|1|1
1519411856330399744|2968007206|Wed Apr 27 20:23:10 +0000 2022|"For decades, workers’ rights have been under attack as corporations gain more and more power. The appointment of David Weil to the @USDOL Wage &amp; Hour Division was an opportunity to restore the balance of power back to American workers. 
https://t.co/7DAwQ7DpE2"|en|D|3|9
1519381362381402112|2968007206|Wed Apr 27 18:22:00 +0000 2022|McKinsey fueled the opioid epidemic by developing Purdue Pharma’s plan to turbocharge opioid sales and later tried to cover their tracks by destroying documents as investigations closed in. https://t.co/DwngBTIgv2|en|D|2|7
1519344117297332230|2968007206|Wed Apr 27 15:54:00 +0000 2022|TOMORROW at 4 p.m. we’re hosting a virtual town hall on Democrats’ top priorities when it comes to supporting students &amp; teachers. I will be joined by @EdLaborCmte Chairman @BobbyScott who will offer his expertise and discuss our efforts in Congress. RSVP: https://t.co/EkE6QZ1MRP https://t.co/vKaE7dfbkn|en|D|2|2
1519053090216943619|2968007206|Tue Apr 26 20:37:34 +0000 2022|This Thursday at 4 p.m. I will be joined by special guest @EdLaborCmte Chairman @BobbyScott for a town hall on Democrats’ education priorities. RSVP: https://t.co/EkE6QZ1MRP. https://t.co/y2g66Aqfrp|en|D|2|4
1518771594386100224|2968007206|Tue Apr 26 01:59:00 +0000 2022|When we support formerly incarcerated individuals as they embark on a new start, our entire society benefits. @SafeReturnProj1 has been carrying out this important work by advocating for the formerly incarcerated &amp; empowering them to develop communication &amp; leadership skills. https://t.co/ygUiTnLY8O|en|D|2|11
1518721370431143937|2968007206|Mon Apr 25 22:39:25 +0000 2022|"If you haven’t already, check out PBS NewsHour’s interview with my dear friend, Betty Reid Soskin, as she discusses her history of activism and her plans post-retirement.
https://t.co/LnNOJ4xp77"|en|D|2|15
1518648586690564096|2968007206|Mon Apr 25 17:50:12 +0000 2022|"According to @CDCgov, firearms were the leading cause of death among U.S. children and teenagers in 2020. Young people in this country deserve so much better – we must take bold action in Congress to #EndGunViolence. #EnoughIsEnough
https://t.co/lKaGga08PD"|en|D|4|14
1518260817040445440|2968007206|Sun Apr 24 16:09:21 +0000 2022|On Thursday, May 5th from 2:00 p.m. to 3:30 p.m. you can meet with me one-on-one at our virtual mobile district office hours to discuss the issues that matter most to you. Appointments are first-come, first served and you can RSVP by emailing CA11.RSVP@mail.house.gov. https://t.co/ZjIRPeeCeK|en|D|2|11
1518258426165538819|2968007206|Sun Apr 24 15:59:51 +0000 2022|Thursday, April 28th at 4 p.m. I am hosting a town hall to discuss education and how we can best support students &amp; teachers with @EdLaborCmte Chairman @BobbyScott. RSVP: https://t.co/EkE6QZ1MRP. We hope to see you there! https://t.co/R5bqVtnokJ|en|D|3|4
1517580655319818240|2968007206|Fri Apr 22 19:06:38 +0000 2022|It's great to be back in Contra Costa County attending community events. Tune in to hear more about these as well as the work we are doing to prevent suicides in honor of my father, who took his own life 33 years ago this week, &amp; all those we’ve tragically and needlessly lost. https://t.co/dlyLoraQ2V|en|D|2|22
1517544336065536002|2968007206|Fri Apr 22 16:42:18 +0000 2022|On #EarthDay and every day, Democrats in Congress are fighting for bold action to mitigate the impacts of climate change &amp; secure the future of our planet for generations to come. It’s past time that we #InvestInOurPlanet. https://t.co/wOt8Cc69Rz|en|D|1|4
1517142948885934082|2968007206|Thu Apr 21 14:07:20 +0000 2022|On Thursday, April 28th at 4 p.m. I will be joined by special guest @EdLaborCmte Chairman @BobbyScott for a town hall on Democrats’ education priorities. RSVP: https://t.co/EkE6QZjnJn. https://t.co/J2p0EgKGFb|en|D|1|4
1516943459080355840|2968007206|Thu Apr 21 00:54:38 +0000 2022|"Improving access to mental health care is a critical part of decreasing suicides, which is why I’ve introduced the Suicide Prevention Assistance Act in honor of my dad who we lost to suicide &amp; to help expand mental health screenings &amp; lower suicide rates.
https://t.co/AzshyT3zzH"|en|D|4|24
