id|user|created_at|text|lang|label|retweet_count|favorite_count
1507083185439522830|567508925|Thu Mar 24 19:53:26 +0000 2022|You make cheesesteaks about as well as you pump your own gas. 😎 https://t.co/BMJO6aaxYz|en|D|28|236
1506800040827887626|567508925|Thu Mar 24 01:08:19 +0000 2022|"Madeleine Albright was a woman of grace, intellect, and humor.

In 2013, I had the immense privilege to host Madele… https://t.co/OQn3KFgYpM"|en|D|17|181
1506713496473513989|567508925|Wed Mar 23 19:24:25 +0000 2022|"Reminder to Republican Senators: These are hearings for Judge Ketanji Brown Jackson, not you.

It's a disservice to… https://t.co/ouwi5e24Ta"|en|D|216|972
1506706127492460558|567508925|Wed Mar 23 18:55:08 +0000 2022|Deeply saddened to hear of Madeleine Albright’s passing, a trailblazer who influenced so many women in public servi… https://t.co/wGDMtgplV0|en|D|18|146
1506698368675983364|567508925|Wed Mar 23 18:24:18 +0000 2022|On the 12th anniversary of its passage, I am mindful of the *1.2 million Pennsylvanians* that have gained health ca… https://t.co/IwOd6HkkIq|en|D|5|44
1506397735691464714|567508925|Tue Mar 22 22:29:42 +0000 2022|"I hope you remain asymptomatic, Senator!

I've recently recovered from a COVID case, and am also grateful for the p… https://t.co/gqaTfkBlX1"|en|D|9|49
1506356570388631552|567508925|Tue Mar 22 19:46:07 +0000 2022|"These odd attacks from Republicans won't change the facts.

Judge Ketanji Brown Jackson's exceptional legal experie… https://t.co/Pyp7jQxgjM"|en|D|42|234
1506033608812859396|567508925|Mon Mar 21 22:22:47 +0000 2022|"State Troopers Martin F. Mack and Branden T. Sisca, of Trappe, were two dedicated public servants.

I’m praying for… https://t.co/JnTREu6O2K"|en|D|8|64
1504977323724058627|567508925|Sat Mar 19 00:25:29 +0000 2022|"As we approach the end of another busy week, I hope we can all use this weekend to get a good night’s rest.

Sleep… https://t.co/6zPVG1Huio"|en|D|5|62
1504916697379127302|567508925|Fri Mar 18 20:24:35 +0000 2022|"Everyone deserves to wear their natural hair with pride and without fear of discrimination.

Yet, hair discriminati… https://t.co/u5ba2V4Oaa"|en|D|36|236
1504548780435247120|567508925|Thu Mar 17 20:02:37 +0000 2022|Companies bury clauses in their contracts to escape accountability for defrauding consumers and discriminating agai… https://t.co/cQwHQBprJ2|en|D|27|118
1504478688829534213|567508925|Thu Mar 17 15:24:05 +0000 2022|"Happy #StPatricksDay from the youngest of seven in an Irish Catholic family!

May today be filled with love and ble… https://t.co/hwe079XSoh"|en|D|2|65
1504158196004536329|567508925|Wed Mar 16 18:10:34 +0000 2022|Today we remember the 8 people, including 6 Asian women, murdered in the shootings at 3 Asian-owned spas in Georgia… https://t.co/XNP1kX4TfF|en|D|14|71
1504122334751436802|567508925|Wed Mar 16 15:48:04 +0000 2022|President Zelenskyy’s address to Congress this morning was deeply moving and very clear about what Ukraine needs.… https://t.co/hTm24upJMf|en|D|24|175
1504102687222153218|567508925|Wed Mar 16 14:30:00 +0000 2022|A decrease in oil prices must be reflected at the pump. https://t.co/mMYNqChsq6|en|D|13|62
1503826062735822849|567508925|Tue Mar 15 20:10:47 +0000 2022|"Today, @POTUS signed into law a budget that will invest in public education, job training, and working families.

D… https://t.co/EzS4VPeqNe"|en|D|5|28
1503804318826344452|567508925|Tue Mar 15 18:44:23 +0000 2022|"The #EqualPay Act became law 59 years ago today, yet the gender pay gap persists.

On average, white women make 83… https://t.co/oAM77LuyCk"|en|D|18|78
1503754930066272261|567508925|Tue Mar 15 15:28:08 +0000 2022|"The price of crude oil is falling, and that should be reflected at the pump.

We must be certain that energy compan… https://t.co/TK9UyaT1ta"|en|D|33|188
1503471599793713157|567508925|Mon Mar 14 20:42:17 +0000 2022|"Thank you all for your kindness and well wishes. ❤️

I’m deeply grateful to be fully vaccinated and only experienci… https://t.co/rk7RI0AU3O"|en|D|14|387
1503372621295104001|567508925|Mon Mar 14 14:08:58 +0000 2022|This morning I tested positive for COVID. My symptoms are mild — similar to a seasonal cold — which I am thankful f… https://t.co/JfwCpWNf82|en|D|112|1049
1501953450040565760|567508925|Thu Mar 10 16:09:42 +0000 2022|"Last night, we voted to invest in child care, public education, job training, and working families.

I'm thrilled t… https://t.co/PI02Q2YYwC"|en|D|13|91
1501661672423010308|567508925|Wed Mar 09 20:50:16 +0000 2022|"In one year, the #AmericanRescuePlan helped change lives.

🩹 10% ➡️ 65% fully vaxxed
💵 Replenish local and state go… https://t.co/msrP0E9CpO"|en|D|26|71
1501372510671151106|567508925|Wed Mar 09 01:41:15 +0000 2022|On #InternationalWomensDay, we remember the extraordinary women that came before us and paved the way through resil… https://t.co/J3u53j1NaG|en|D|11|46
1501317422611144709|567508925|Tue Mar 08 22:02:21 +0000 2022|"We are all dreading that next trip to the pump.

Right now, energy companies have 9,000 unused permits that would i… https://t.co/KfWL9TJITk"|en|D|56|240
1501275569375301633|567508925|Tue Mar 08 19:16:02 +0000 2022|.@POTUS with bipartisan Congressional support rightfully banned Russian oil and gas – that funds Putin’s series of… https://t.co/tI27AMdwfH|en|D|24|106
