id|user|created_at|text|lang|label|retweet_count|favorite_count
1520052565186072576|2970279814|Fri Apr 29 14:49:07 +0000 2022|"The USPS fleet makes up the largest share of the U.S. government’s nonmilitary vehicles.

If we’re serious about combatting the #ClimateCrisis, creating jobs, &amp; transitioning to a clean energy economy, USPS must commit to electrifying its fleet.

https://t.co/PAkfHrq8sw"|en|D|124|394
1519835266764218369|2970279814|Fri Apr 29 00:25:39 +0000 2022|Welcome home @aidanhutch97! Let’s go bite some kneecaps!|en|D|3|54
1519820754287747072|2970279814|Thu Apr 28 23:27:59 +0000 2022|Was great to sit down with Mayor of Warsaw, Poland @trzaskowski_ this week to share memories of John Dingell &amp; discuss the evolving situation in Eastern Europe as a result of Putin’s unprovoked invasion of Ukraine. https://t.co/kG2yOHWpdQ|en|D|23|203
1519793800687796226|2970279814|Thu Apr 28 21:40:53 +0000 2022|Great to meet with @CoachJim4UM today in DC to discuss the importance of supporting efforts to ensure every American, no matter their income, has access to legal services. https://t.co/WvIYZKJMec|en|D|14|115
1519774532374048768|2970279814|Thu Apr 28 20:24:19 +0000 2022|The fancy yachts &amp; private planes of Putin &amp; his cronies are tainted w/ the blood of the Ukrainian people. Yesterday, I was proud to support the passage of legislation that will help the U.S. seize these assets &amp; use those funds to support Ukraine in Putin’s unprovoked invasion.|en|D|8|34
1519716440487739392|2970279814|Thu Apr 28 16:33:29 +0000 2022|On #WorkersMemorialDay, we remember the hardworking Americans we’ve lost while on the job and recommit to fighting for healthier, safer workplace conditions for ALL workers.|en|D|4|15
1519684526808645632|2970279814|Thu Apr 28 14:26:40 +0000 2022|"DEADLINE EXTENDED: We've extended this week’s deadline for Congressional Art Competition submissions. High school students across MI-12 now have until May 4th to enter for a chance to have their artwork displayed in the U.S. Capitol!

For more info, visit https://t.co/2iXskcJ9jD"|en|D|4|11
1519471313408212992|2970279814|Thu Apr 28 00:19:26 +0000 2022|"On #HolocaustRemembranceDay we honor the lives of the 6 million people murdered because of their religion, disability, or sexual orientation. 

Today, we listen to their stories and remember our promise of #NeverAgain."|en|D|17|54
1519358009645973505|2970279814|Wed Apr 27 16:49:12 +0000 2022|".@Ford is changing the game with the launch of the all-electric F-150 Lightning! Let me tell you this is no frou-frou truck--these things are built as tough as they come!
 
https://t.co/udngdreO24"|en|D|8|29
1519079347306512385|2970279814|Tue Apr 26 22:21:54 +0000 2022|"Proud the House passed my bipartisan legislation to support fish &amp; wildlife in the #GreatLakes today!

Our Great Lakes are a way of life here in MI &amp; we must do everything we can to preserve them for future generations. I urge my friends in the Senate to quickly take up this bill https://t.co/edyQmcz88F"|en|D|21|104
1519052539836174341|2970279814|Tue Apr 26 20:35:22 +0000 2022|"Met with @CristianSBusoi today to discuss the US-EU shared goal of transitioning to a more secure &amp; stable clean energy economy. 

Our partnership with European leaders will be critical in combatting the impacts of the #ClimateCrisis we are seeing across the country &amp; the world."|en|D|4|12
1519010464092639232|2970279814|Tue Apr 26 17:48:11 +0000 2022|"Joined @wqaorg and @ngwatweets to discuss what Congress is doing to provide affordable, clean water to everyone across the country.

Access to clean, safe drinking water is a fundamental human right and I’m proud to be leading the fight in Congress to finally treat it is as such!"|en|D|5|20
1517585570200961027|2970279814|Fri Apr 22 19:26:09 +0000 2022|"On #EarthDay, let’s remember the #ClimateCrisis isn’t only a great challenge – it’s also a great opportunity.
 
We can slash pollution AND our dependence on volatile fossil fuels while creating good-paying American jobs by transitioning to EVs. https://t.co/Hf62pulfTy"|en|D|6|21
1517181159498727431|2970279814|Thu Apr 21 16:39:10 +0000 2022|TODAY! https://t.co/7J1D29dFvz|en|D|2|11
1516881720901050370|2970279814|Wed Apr 20 20:49:19 +0000 2022|Protecting the Great Lakes is vital to our economy, public health, &amp; the environment. That’s why I have fought to support critical programs like the Great Lakes Restoration Initiative that fund vital projects to keep our waterways clean.|en|D|11|53
1516847492490539017|2970279814|Wed Apr 20 18:33:18 +0000 2022|#HateWontWin https://t.co/YhOA7fZJq9|und|D|432|2958
1516803519638130691|2970279814|Wed Apr 20 15:38:34 +0000 2022|"Join me tomorrow at 5:30 pm EST for a tele town hall discussion on the latest from Washington, including impacts of the #BipartisanInfrastructureLaw, the #AmericanRescuePlan, and other important issues!

Preregister at https://t.co/GFY85C6wlN or dial 888-886-6602 to be connected! https://t.co/pqZE8gUuca"|en|D|3|7
1516498673194213380|2970279814|Tue Apr 19 19:27:13 +0000 2022|For more than fifty years, the National Environmental Policy Act has been the bedrock of conservation law and safeguarded the environment, human health, and the American people’s voice in environmental policy decisions.|en|D|11|52
1515688201658241031|2970279814|Sun Apr 17 13:46:42 +0000 2022|"#Easter is a time to come together with those you love and celebrate new beginnings.
 
Wishing a very happy Easter to all observing today! https://t.co/GGLPtXwoWC"|en|D|4|43
1515118832146341891|2970279814|Sat Apr 16 00:04:13 +0000 2022|Chag Sameach and happy #Passover to those who are celebrating all over the world! https://t.co/9XV9hLE2rn|en|D|7|26
1515073359935119373|2970279814|Fri Apr 15 21:03:32 +0000 2022|One year ago, 8 lives were taken in a senseless shooting at a FedEx facility in Indianapolis. Today, we remember their lives and recommit to honoring them, and the many other Americans whose lives have been forever changed by gun violence, with meaningful action.|en|D|10|42
1514713852281303042|2970279814|Thu Apr 14 21:14:59 +0000 2022|How great is it to be at the NFL draft celebration and share the pride with two old friends @LomasBrown75 and Jason Hanson https://t.co/HcfUZqebTC|en|D|2|20
1514677667404165128|2970279814|Thu Apr 14 18:51:11 +0000 2022|"Yesterday, I was sanctioned by the Russian State for opposing their grotesque and brutal attacks on Ukraine and Ukrainian civilians.
 
It’s a badge of honor I accept for being on the right side of history and standing against genocide and authoritarianism."|en|D|39|498
1514644661964619785|2970279814|Thu Apr 14 16:40:02 +0000 2022|"Great event at UAW Local 182 celebrating Jesse Stoveall’s 100th birthday. An original Rosie, Jesse helped open the doors wider for all women. 

So good to be with so many brothers and sisters at the UAW celebrating her birthday. I am lucky to call Jesse as a friend! https://t.co/53J0qmbLBW"|en|D|3|23
1514609595716562952|2970279814|Thu Apr 14 14:20:42 +0000 2022|"Thankful @POTUS has taken additional steps to provide Ukraine with critical defense systems to fight back against Russia’s barbaric attacks on Ukrainian civilians. 

This war must end!"|en|D|17|65
1514385729413165060|2970279814|Wed Apr 13 23:31:08 +0000 2022|"Be safe tonight, Michiganders!
 
Severe storms are moving through the area tonight, bringing heavy rain and tornado warnings. 
 
Please follow the directions of local officials to keep you and your family safe."|en|D|5|26
1514327373751148546|2970279814|Wed Apr 13 19:39:15 +0000 2022|Joined Creative Many MI today to discuss this year’s Congressional Art Competition and how federal policies can continue to support the development of creative industries throughout Michigan’s 12th District. https://t.co/7pwOUkcsnr|en|D|2|9
1513981088036798474|2970279814|Tue Apr 12 20:43:14 +0000 2022|"Another senseless shooting in New York today. 
 
These kinds of mass shootings have become so common in the U.S. that many have become numb to these senseless tragedies. It is clear we must do more to address this uniquely American issue."|en|D|13|50
1513960939242020872|2970279814|Tue Apr 12 19:23:10 +0000 2022|Proud to join my colleagues @RepRashida and @RepLBR in this fight. It’s past time we get the lead out of pipes and ensure every American has access to safe, clean drinking water. https://t.co/0xw5uFewKA|en|D|24|52
1513929127434371076|2970279814|Tue Apr 12 17:16:46 +0000 2022|"This @POLITICO report is troubling on many levels. Food safety at the FDA should be a top priority to protect all Americans. Whether it is pathogens, pesticides, PFAS, or toxic metals, these toxins have no place in our food supply or our kitchens. 
 
https://t.co/CMcf3S4ac2"|en|D|13|35
1512865838520492034|2970279814|Sat Apr 09 18:51:38 +0000 2022|"Every day, we are hearing from the Americans about inflation &amp; rising prices due to a broken supply chain.

The bipartisan America #COMPETESAct will address these issues by strengthening &amp; preempting future shocks to the supply chain.

We must get this critical legislation passed https://t.co/RS2Vrwzbhq"|en|D|6|23
1512846831901986823|2970279814|Sat Apr 09 17:36:06 +0000 2022|"It’s downright shameful to see states around the nation pushing discriminatory ‘Don’t Say Gay’ bills.

These bills do nothing to ‘protect’ students. In fact, they will only harm and further isolate young LGBTQ students who are already 3X more likely to attempt suicide.

#SayGay"|en|D|24|135
1512533394294513667|2970279814|Fri Apr 08 20:50:37 +0000 2022|"Putin’s attacks on civilians, including women and children in Ukraine, are horrifying.
 
It’s clear we must do more to continue aiding Ukraine and further isolate Russia alongside our allies and NATO.
 
This unprovoked and unjustified war must end!"|en|D|15|49
1512524802485071878|2970279814|Fri Apr 08 20:16:28 +0000 2022|Deeply concerned that today’s decision in the Whitmer kidnapping trial will give people further license to choose violence and threats. We need to end the hatred and division in this country, and I’m standing with the Governor and her family today.|en|D|592|3056
1512503757434761229|2970279814|Fri Apr 08 18:52:51 +0000 2022|"It’s #OpeningDay!
 
Excited for an incredible season!
 
Go @Tigers!"|en|D|4|17
1512197860493774848|2970279814|Thu Apr 07 22:37:19 +0000 2022|Restaurants &amp; small businesses continue to be hit hard by this pandemic. Many in my district temporarily closed their doors or limited their capacity during the worst surges, &amp; many more could close their doors permanently if we don’t live up to our commitment to support them.|en|D|9|46
1512173051022131202|2970279814|Thu Apr 07 20:58:44 +0000 2022|"TONIGHT: @umich Wolverines men’s hockey take on the University of Denver in the #FrozenFour semifinals.
 
Looking forward to a barnburner of a game tonight!
 
#GoBlue!"|en|D|4|15
1512163488147324944|2970279814|Thu Apr 07 20:20:44 +0000 2022|"HISTORIC: Judge Ketanji Brown Jackson has made history today as the first Black woman confirmed to the U.S. Supreme Court!
 
This is an important day in our nation’s history. https://t.co/710QAt6aZs"|en|D|12|80
1511786130240413703|2970279814|Wed Apr 06 19:21:15 +0000 2022|Oil companies are making huge profits &amp; bonuses for their executives on one hand while taking billions in taxpayer subsidies on the other. Meanwhile, most Americans are struggling at the pump as these companies choose to keep production low, so their own profits stay high. https://t.co/tOOPNhKfya|en|D|28|81
1511738913773305865|2970279814|Wed Apr 06 16:13:38 +0000 2022|"Met with @USACEHQ today to get an update on Corps projects in Michigan’s 12th District &amp; throughout the #GreatLakes region.
 
The Corps’ work is critical in making our communities more resilient to increasingly severe weather &amp; flooding like we saw last summer in SE Michigan."|en|D|2|10
1511486004682764288|2970279814|Tue Apr 05 23:28:40 +0000 2022|Joined @unitedphilforum and @michfoundations today to discuss the important work of charitable organizations and non-profits, and what we can do in Congress to support the life-changing work they do.|en|D|4|7
1511467373391458307|2970279814|Tue Apr 05 22:14:38 +0000 2022|The recent announcement of a two-month truce in the Yemen conflict will bring much-needed relief to the Yemeni people, who have had to contend with one of the world’s worst humanitarian crises since the beginning of hostilities over 7 years ago.|en|D|6|38
1511416919039131655|2970279814|Tue Apr 05 18:54:08 +0000 2022|"For 35 yrs, @RepFredUpton has been a devoted public servant for MI &amp; our nation.

I’m proud of all we’ve accomplished together for Michiganders. To him, ‘bipartisan’ &amp; ‘compromise’ aren’t forbidden words.
 
Wishing Fred, Amey &amp; their family all the best in Fred’s retirement. https://t.co/UKTFvLsd1Z"|en|D|9|74
1511336730644955143|2970279814|Tue Apr 05 13:35:30 +0000 2022|Thankful my bipartisan Medical Marijuana Research Act passed in the House tonight! This important bill will remove barriers &amp; empower researchers who will educate us all about the potential benefits and risks of marijuana use. It’s high time we get this done! https://t.co/91ATDeWQGX|en|D|25|117
1511115181346144263|2970279814|Mon Apr 04 22:55:09 +0000 2022|"Today, the Biden Admin announced that Americans with Medicare Part B will now have access to over-the-counter COVID test kits at no cost.

This critical step will help ensure that more Americans have access to testing without worrying about the cost."|en|D|29|143
1511085156706275328|2970279814|Mon Apr 04 20:55:50 +0000 2022|Met with @glassnation today to discuss how glass manufacturers will be a critical partner as we work to construct more efficient buildings and homes and combat the #ClimateCrisis.|en|D|3|21
1511060849103933442|2970279814|Mon Apr 04 19:19:15 +0000 2022|"54 years ago, our nation lost a civil rights trailblazer in Dr. Martin Luther King Jr. 

Dr. King dedicated his life to fighting for a society where people would not be judged by the color of their skin but by the content of their character."|en|D|8|31
1510047394334973952|2970279814|Sat Apr 02 00:12:08 +0000 2022|"The new CAFE standards announced by @USDOT today are a win-win for consumers, workers, the auto industry, and our environment. This important step will help save hardworking American families hundreds of dollars at the pump every year.
 
Read more here: https://t.co/mqsqRAXsjU"|en|D|11|18
1510029118401826818|2970279814|Fri Apr 01 22:59:31 +0000 2022|"Ramadan is a time for renewed focus on faith, charity, and continued commitment to community. It’s a time for spiritual growth and love.
 
As Muslims across MI embark on this spiritual journey, I want to wish them a Ramadan Mubarak. https://t.co/J4cFtdDerF"|en|D|11|33
1510023669816475654|2970279814|Fri Apr 01 22:37:52 +0000 2022|"It’s time federal marijuana laws were updated to reflect the will of states, allow critical and necessary medical research, and redress the injustices caused by decades of harsh enforcement of outdated laws.
 
That’s why I voted YES on the MORE Act."|en|D|14|90
1509948752785817608|2970279814|Fri Apr 01 17:40:10 +0000 2022|Across our nation, Arab Americans are an essential part of the fabric of our communities. The Arab American community in MI has been an integral part of our identity &amp; their contributions to our state have impacted us for the better. https://t.co/icPRMt7Kz1|en|D|4|22
1509684584635633667|2970279814|Fri Apr 01 00:10:28 +0000 2022|"Today, I honor the courageous life of a visionary leader who forever changed communities across the country.

Let us reflect on #CésarChávez’s work and carry forward his legacy of equality, justice, and dignity by fighting for social change every day. #SíSePuede"|en|D|10|62
1509644557599789062|2970279814|Thu Mar 31 21:31:25 +0000 2022|On #TransDayofVisibility, we celebrate the courage, power, and resilience of all trans people to live as their authentic selves. Together, we must fight back against discrimination and lift up the voices of trans people across the country.|en|D|12|62
1509587736436555788|2970279814|Thu Mar 31 17:45:37 +0000 2022|"The #BidenBudget invests in hardworking American families by

👨‍👩‍👧 Lowering costs for hardworking American families
⚕️ Expanding access to quality, affordable health care
⚡️ Reducing energy costs while combatting the Climate Crisis

#BuildingABetterAmerica"|en|D|12|30
1509307644087091205|2970279814|Wed Mar 30 23:12:38 +0000 2022|"The Biden Admin has launched a new site to help Americans find vaccines, tests, treatments, masks, &amp; the latest info on COVID—all in one place!

We may be done with COVID, but COVID isn’t done with us!

Visit https://t.co/emYs0QY0h3 for all your questions about the pandemic."|en|D|15|36
1509233363403800577|2970279814|Wed Mar 30 18:17:28 +0000 2022|"Fixing the damn roads isn’t just a catchphrase, @GovWhitmer is getting it done with the Building Michigan Together Plan.

This bipartisan plan will use federal funding from the #BipartisanInfrastructureLaw to rebuild infrastructure, grow our economy, &amp; create good-paying jobs."|en|D|10|89
1509202288707088386|2970279814|Wed Mar 30 16:13:59 +0000 2022|"Women’s history is American history!
 
Proud to join 81 of my bipartisan colleagues in celebrating the many contributions of women throughout history by introducing legislation to recognize March as National #WomensHistoryMonth"|en|D|2|18
1508825497995816960|2970279814|Tue Mar 29 15:16:46 +0000 2022|We were facing a mental health crisis in this country long before COVID arrived. Met with psychologists from Michigan this week to discuss ways Congress can invest in mental health care and increase access to treatment. https://t.co/aFwZ6yk6DB|en|D|6|27
1508796271200509957|2970279814|Tue Mar 29 13:20:37 +0000 2022|"Americans spend more on health care than any other country and has some of the worst outcomes. It’s time we fix our broken health care system so Americans don’t have to choose between getting the medical care they need and putting food on the table.
 
https://t.co/NZRpGSGM89"|en|D|12|29
1507896758742962180|2970279814|Sun Mar 27 01:46:17 +0000 2022|"Hail to the victors!

@umich women have crushed the Coyotes and are heading to the #EliteEight. 

#GoBlue!"|en|D|8|74
1507845738553880578|2970279814|Sat Mar 26 22:23:33 +0000 2022|"Our @UMich women are going to bring it home tonight in their #SweetSixteen matchup with the University of South Dakota Coyotes.  

Good luck tonight!"|en|D|5|29
