id|user|created_at|text|lang|label|retweet_count|favorite_count
1520559219166044160|995193054|Sun May 01 00:22:23 +0000 2022|"Pleased that the Biden admin is taking a proactive role in advancing digital tech &amp; securing our Internet by launching this declaration w/ 60 global partners.
https://t.co/2ftZ4Emq1A"|en|D|4|14
1520509735799250944|995193054|Sat Apr 30 21:05:45 +0000 2022|We need to do more on the federal level to prevent opioid misuse &amp; broaden access to treatment &amp; support.|en|D|2|9
1520201915212177408|995193054|Sat Apr 30 00:42:35 +0000 2022|Great to welcome @Hilary_FranzCPL to the other Washington yesterday to talk about steps we can take to protect forests as we prepare for wildfire season. https://t.co/kHOeQ5FaWx|en|D|2|10
1520146522167558145|995193054|Fri Apr 29 21:02:28 +0000 2022|During yesterday’s @WaysMeansCmte hearing with Sec. Becerra, I highlighted a scathing @HHSgov report on how thousands of seniors are denied needed care b/c of obstacles like prior authorization. https://t.co/uVeKwVzgMI|en|D|3|8
1519849446837682176|995193054|Fri Apr 29 01:22:00 +0000 2022|"🚨 For those in #snocounty struggling to pay rent, the @snocounty Emergency Rental Assistance Program has temporarily reopened to new applicants.  

To learn more about the program &amp; eligibility, call #211 or visit below for more info: 
https://t.co/dC4Vc8IBTh"|en|D|4|6
1519784587601530880|995193054|Thu Apr 28 21:04:16 +0000 2022|"Prior auth is broken. It delays care &amp; worsens health outcomes for our seniors. Today’s report underscores this practice is in desperate need of reform.

It’s time to pass the Improving Seniors' Timely Access to Care Act so seniors aren't denied the care they deserve. https://t.co/PRClz96GBa"|en|D|2|4
1519771653647081472|995193054|Thu Apr 28 20:12:52 +0000 2022|"This week, the House is taking further action to support Ukraine by:  

✅ Helping the U.S. send weapons &amp; aid to Ukraine more efficiently 
✅ Seizing &amp; selling assets of Putin’s cronies"|en|D|2|7
1519732156364431361|995193054|Thu Apr 28 17:35:55 +0000 2022|My priority as #KidneyCaucus co-chair is ensuring that we make life-saving investments in accelerating kidney R&amp;D &amp; supporting the 37M+ Americans living w/ kidney disease. https://t.co/MZAbF4yT3l|en|D|2|4
1519490481348136963|995193054|Thu Apr 28 01:35:36 +0000 2022|"I am so grateful for all of the work our interns do to help support WA-01!  
 
Alyssa, Paul, Jasmine, Tessa, and Lauren have been a tremendous help this spring in my D.C. and district offices—thank you all for your amazing work &amp; can’t wait to see what you do next. https://t.co/MgbImZKq09"|en|D|3|22
1519427615580434434|995193054|Wed Apr 27 21:25:47 +0000 2022|"Tonight, we observe #YomHaShoah &amp; remember the 6M+ Jewish lives &amp; millions of others who were murdered during the Holocaust.

We must remain committed to never forget &amp; root out antisemitism at a time when it is tragically on the rise."|en|D|4|12
1519369372514627584|995193054|Wed Apr 27 17:34:21 +0000 2022|Droughts, wildfires, &amp; extreme heat will increase in the coming decades &amp; economic crises, food shortages, &amp; disaster-related deaths will inevitably spike too.  https://t.co/NCUMP169ls|en|D|7|5
1519066101212139520|995193054|Tue Apr 26 21:29:16 +0000 2022|Nearly 9K WA jobs were created in March—meaning our state has now recovered 90% of the jobs lost during the pandemic.|en|D|4|14
1519035213577392129|995193054|Tue Apr 26 19:26:31 +0000 2022|"Excited that 3 #Whatcom &amp; #Skagit County businesses received a total of $16K in @USDA renewable energy grants to help purchase solar panel systems &amp; improve energy efficiency!
https://t.co/yKfkxZr40T"|en|D|3|6
1518628197591662598|995193054|Mon Apr 25 16:29:11 +0000 2022|"The @WAStateCommerce Landlord COVID Relief Fund is closing next week. Landlords struggling with unpaid rent can apply to this program thru April 29 for up to $15K.  
https://t.co/zxLrRZHYO4"|en|D|5|3
1518397498657812481|995193054|Mon Apr 25 01:12:28 +0000 2022|"High school students, only one more week to apply to the WA-01 Congressional Art Competition! 
 
Show off your skills for the chance to have your artwork displayed in the Capitol for 1 year. 
 
Learn more &amp; apply 👇 

https://t.co/Xk07w3qOPC https://t.co/ou2fZyU4gs"|en|D|4|2
1517959393995898881|995193054|Sat Apr 23 20:11:36 +0000 2022|"What does it take to be considered a true #PNW local?  
 
This sums it up for me: “Rain doesn’t stop true Northwesterners from getting outside” 😉 
https://t.co/slX8TdqnuK"|en|D|1|6
1517611362142326787|995193054|Fri Apr 22 21:08:39 +0000 2022|"The rising cost of drug prices is on many families’ minds.  
 
No one should be forced to choose between paying for needed medications &amp; other necessities. @POTUS &amp; @HouseDemocrats are leading the charge to drive down costs &amp; I will keep fighting w/ them. https://t.co/dtte1k0o6Z"|en|D|3|3
1517589675334066179|995193054|Fri Apr 22 19:42:28 +0000 2022|Aluminum is critical to U.S. national defense, but @DeptofDefense has yet to send its report to Congress detailing how we can bolster domestic aluminum production as required by law.|en|D|2|9
1517560784787808264|995193054|Fri Apr 22 17:47:40 +0000 2022|Thanks to @POTUS for visiting the great state of WA to celebrate #EarthDay &amp; what we have accomplished during his admin to tackle the climate crisis.|en|D|2|20
1517306281006190595|995193054|Fri Apr 22 00:56:22 +0000 2022|More &amp; more families are moving into @snocounty &amp; it’s important that our public transit keeps up.|en|D|1|4
1517278555457138689|995193054|Thu Apr 21 23:06:11 +0000 2022|The WA life science industry plays a key role in developing critical therapies, medical products, &amp; tests that advance research &amp; health in our communities. https://t.co/6pzPyhAScK|en|D|2|14
1517241155381084161|995193054|Thu Apr 21 20:37:35 +0000 2022|"Pleased to celebrate phase one of @Google’s new Kirkland Urban Campus &amp; more jobs headed to our district today.
 
I continue to lead the charge in Congress to advance tech policy &amp; invest in strong STEAM education so that the U.S. can remain a leader in technology &amp; innovation. https://t.co/nxbwlxIYoI"|en|D|4|21
1516957315286581256|995193054|Thu Apr 21 01:49:42 +0000 2022|It was great to tour the site of the new Early Learning Center at @TheLWTech. I secured $1M in Community Project Funding to replace existing, old portable classrooms w/ a safe, modern early learning facility. https://t.co/PvkzOH3urI|en|D|2|18
1516893396647956482|995193054|Wed Apr 20 21:35:42 +0000 2022|.@HUDgov recently announced an additional $18.6M to help WA communities equitably recover from 2021 Nov. flooding &amp; build climate resiliency. https://t.co/es9CqvseJU|en|D|1|3
1516540707464491008|995193054|Tue Apr 19 22:14:15 +0000 2022|"A momentous day for @MyCommTrans at the Swift Orange Line groundbreaking ceremony! 
 
Great to join local, state, &amp; federal leaders to celebrate @Snocounty’s 3rd bus rapid transit line, which will help connect Washingtonians to essential services &amp; regional light rail. https://t.co/k9JuIafFkT"|en|D|6|19
1516508909682536449|995193054|Tue Apr 19 20:07:54 +0000 2022|"Meaningful infrastructure investments will bring more jobs to our region, generate billions of dollars in benefits, &amp; ensure that roads &amp; bridges like Granite Falls Bridge 102 are safer for the next generation. 

Pleased to have helped secure this $22.1M grant! https://t.co/Q1aa51J2qD"|en|D|4|16
1516436845197991948|995193054|Tue Apr 19 15:21:32 +0000 2022|Honored to help welcome the Yzaguirre family to their newly built @SHFHS house last week. https://t.co/R683uCCoMr|en|D|1|2
1516241884842237955|995193054|Tue Apr 19 02:26:50 +0000 2022|"Know a talented high school artist in WA-01?
 
There are less than 2 weeks left for students to apply for the Congressional Art Competition!
 
The winning artwork will be displayed in the Capitol for one year.
 
Visit my website for more on how to apply: https://t.co/Xk07w3qOPC https://t.co/RTgjH3UX0f"|en|D|3|1
1516147915030417408|995193054|Mon Apr 18 20:13:26 +0000 2022|"It's #TaxDay &amp; millions of families with children will see a boost in their federal tax refund this year because of the historic expansion of the #ChildTaxCredit.

We need to extend this monthly benefit to help families &amp; ensure that kids are set up for success."|en|D|10|18
1515759323716145155|995193054|Sun Apr 17 18:29:18 +0000 2022|Happy #Easter! https://t.co/2OkiOYVhsw|en|D|1|13
1515354616409608193|995193054|Sat Apr 16 15:41:09 +0000 2022|"There is no better way to celebrate the start of #NationalParkWeek than with a fee-free day! 
 
WA state has 15 @NatlParkService parks, historical sites &amp; trails to explore, enjoy, &amp; learn from.  
 
Comment with your favorite! https://t.co/JcaPtfqrxn"|en|D|3|4
1515146594949160968|995193054|Sat Apr 16 01:54:32 +0000 2022|Chag Sameach! Wishing all good health, happiness, &amp; togetherness this #Passover &amp; throughout this year. https://t.co/PnSxrt31gW|en|D|1|4
1515118075133276163|995193054|Sat Apr 16 00:01:13 +0000 2022|Great to celebrate the $22.1M @USDOT grant I helped secure to replace Granite Falls Bridge 102 &amp; everyone who helped make it happen! https://t.co/lspYw05UYr|en|D|5|10
1514996992350511108|995193054|Fri Apr 15 16:00:04 +0000 2022|May you have a blessed #GoodFriday! https://t.co/oDjXRUWnjG|en|D|1|6
1514808314168692741|995193054|Fri Apr 15 03:30:20 +0000 2022|Honored to join @SHFHS &amp; celebrate their 40th build at today’s ribbon-cutting ceremony! 🎉 https://t.co/1WbEVySQ0Q|en|D|1|7
1514715356589441038|995193054|Thu Apr 14 21:20:57 +0000 2022|During a national mental health crisis, admin hurdles shouldn't stand in the way of timely mental health care.|en|D|2|8
1514695372559507465|995193054|Thu Apr 14 20:01:33 +0000 2022|To WA’s Sikh community and to all celebrating around the world, happy #Vaisakhi! https://t.co/JbneAXyuwK|en|D|1|6
1514421475226394628|995193054|Thu Apr 14 01:53:10 +0000 2022|"Thrilled to announce that @NEHgov has awarded a $750K grant to @NWIndianCollege &amp; a separate $60K endangered languages research grant to Sally Anderson. These awards will help protect native languages &amp; keep vibrant tribal communities strong.  
https://t.co/LKnw5lR1BG"|en|D|5|15
1513579643768614916|995193054|Mon Apr 11 18:08:02 +0000 2022|"A clean energy future depends on a skilled workforce.  
 
@eeregov recently announced a $6M Clean Energy Innovator Fellowship program, which will place recent grads &amp; energy professionals with organizations that are leading the U.S. in advancing green energy solutions!"|en|D|2|3
1513335206593417221|995193054|Mon Apr 11 01:56:44 +0000 2022|"WA-01 High School Students: We want to see what you are creating 🎨 
 
The 2022 Congressional Art Competition is underway, &amp; winning artwork will be displayed in the Capitol for one year! 
 
Learn more on my website &amp; apply by 4/29: https://t.co/Xk07w3qOPC https://t.co/7A0alIjG55"|en|D|1|1
1513193712108679172|995193054|Sun Apr 10 16:34:29 +0000 2022|Happy #PalmSunday! https://t.co/3dRveTuubW|en|D|3|9
1512956601262653444|995193054|Sun Apr 10 00:52:17 +0000 2022|"⚠️ Be on the alert: This tax season, the IRS will NOT reach out to ask for your personal information or payment via email, text, or social media. 
 
Avoid scams &amp; understand how the IRS will contact you by checking out the IRS website here.  
https://t.co/sGmHDIRSNd"|en|D|2|10
1512539710719246336|995193054|Fri Apr 08 21:15:43 +0000 2022|"We continue to learn more about the incredible impact of monthly #ChildTaxCredit payments. 
 
They reduced poverty, gave middle-class families a huge tax cut, &amp; a new study shows that they didn't discourage parents from working: https://t.co/fr1YxmR1hD"|en|D|4|9
1512457256431984657|995193054|Fri Apr 08 15:48:04 +0000 2022|Thru the most difficult days of the pandemic, public health officials were there, leading our #COVID19 response &amp; protecting our communities.|en|D|2|7
1512158796394729472|995193054|Thu Apr 07 20:02:06 +0000 2022|"It’s an honor to be appointed by @SpeakerPelosi to the innovation legislation conference committee. 

Reaching a final agreement on this bill is a top priority because it will create American jobs, modernize supply chains &amp; address inflation.

Time to get to work!"|en|D|7|33
1512132436569772032|995193054|Thu Apr 07 18:17:21 +0000 2022|"History made with an incredibly qualified jurist joining SCOTUS. 
 
Congratulations, Justice Ketanji Brown Jackson 🎉 https://t.co/PNwsyP5930"|en|D|1|50
1511902133238607872|995193054|Thu Apr 07 03:02:13 +0000 2022|Nearly $370M is headed to WA this year from the bipartisan infrastructure law to strengthen public transportation in our communities! The law includes the largest federal investment in public transit in U.S. history. https://t.co/qEIc6bVVfV|en|D|6|28
1511810591618445314|995193054|Wed Apr 06 20:58:27 +0000 2022|"The Biden admin is extending the federal student loan moratorium as our economy &amp; country continue to recover. 

This will be a welcome relief to many borrowers but Congress can still do more to address student loan debt &amp; support our students.  
https://t.co/KeG5b9FEgc"|en|D|2|6
1511708385569386498|995193054|Wed Apr 06 14:12:19 +0000 2022|"In @WaysMeansCmte today, we are examining the role racism plays in worsening health outcomes &amp; limiting economic opportunity. 
 
Tune in 📺 as we discuss ways to reform federal programs &amp; address these inequalities. https://t.co/4e76nVdlQj"|en|D|3|5
1511425116994945028|995193054|Tue Apr 05 19:26:43 +0000 2022|Paperwork shouldn’t stand between patients &amp; their doctors. Period.|en|D|2|5
1511372158496555009|995193054|Tue Apr 05 15:56:17 +0000 2022|Gov’ts around the world need to do more to prevent the irreversible consequences of the #ClimateCrisis.|en|D|5|12
1511164549306662919|995193054|Tue Apr 05 02:11:19 +0000 2022|Had a wonderful discussion with Taiwanese Representative @bikhim today about how we can strengthen trade between our two countries &amp; work together on global tax &amp; defense issues 🇹🇼 https://t.co/1JNZ7LwhCy|en|D|70|718
1511136745303252999|995193054|Tue Apr 05 00:20:50 +0000 2022|The Everett community honored the life of @EverettPolice Officer Dan Rocha today &amp; my heart is with them. https://t.co/a9fp6ESEqd|en|D|3|14
1511096779495858179|995193054|Mon Apr 04 21:42:01 +0000 2022|"WA-01 nonprofits, state, local, &amp; Tribal gov’t officials, make sure to sign up for the virtual Appropriations 101 Workshop that my office is hosting on 4/7 at 10AM. 
 
Email Events.DelBene@mail.house.gov by tomorrow to RSVP. https://t.co/zeZLgWomWO"|en|D|3|2
1511065039033311241|995193054|Mon Apr 04 19:35:54 +0000 2022|The Weatherization Assistance Program has helped millions of low-income households make their homes safer, healthier, &amp; more energy-efficient—and more money is on the way to help American families reduce energy costs!|en|D|1|3
1510803837468127240|995193054|Mon Apr 04 02:17:58 +0000 2022|431K jobs were created in March, meaning we have regained 93% of the jobs lost during the pandemic 👏 https://t.co/8OuYwVVfuQ|en|D|3|16
1510595472393748480|995193054|Sun Apr 03 12:30:00 +0000 2022|Excited to join @marthamaccallum on @FoxNewsSunday today to discuss where we go from here on the Biden Agenda &amp; how the @NewDemCoalition is helping lower prices for families &amp; rebuild the middle class after #COVID.|en|D|6|14
1510406150910615552|995193054|Sat Apr 02 23:57:43 +0000 2022|"May this month of spiritual prayer, reflection, &amp; renewal bring you peace &amp; prosperity.  
 
Ramadan Mubarak! https://t.co/KPDFY6dpaw"|en|D|2|7
1510302072238977037|995193054|Sat Apr 02 17:04:08 +0000 2022|"According to a 2016 study, WA has the 2nd highest number of missing Indigenous people in the U.S.

This is heartbreaking &amp; I am thankful that @GovInslee signed this Missing Indigenous Persons Alert system bill into law. https://t.co/y77XH5Ih1Q"|en|D|9|36
1510033265637343235|995193054|Fri Apr 01 23:16:00 +0000 2022|"Congrats to Ke and Mason of WA state who were selected as semifinalists in the @NASA Junior Lunar Robotics contest!
 
Check out their projects, “Project Stardust” &amp; “Terebro” ⭐ ➡️ https://t.co/V2zwCHBcrs"|en|D|1|3
1510006058013630470|995193054|Fri Apr 01 21:27:53 +0000 2022|Great to join @PPI @NewDemocracy today &amp; kick off a discussion on how the U.S. can be a global leader in tech &amp; compete globally in the 21st century. https://t.co/cZoubmhWBG|en|D|7|41
1509991587329286155|995193054|Fri Apr 01 20:30:23 +0000 2022|It’s time to remove marijuana from the list of federally controlled substances &amp; expunge nonviolent drug offenses. The Marijuana Opportunity, Reinvestment, and Expungement Act will do that—and #MORE!|en|D|4|30
1509912316464218117|995193054|Fri Apr 01 15:15:23 +0000 2022|"The Biden admin is establishing new TSA gender-neutral screening standards that will help make traveling more inclusive &amp; ensure that trans &amp; nonbinary travelers are treated with respect.  
 
#TransVisibilityMonth 
https://t.co/asP8Mfue0E"|en|D|2|8
1509705606944370696|995193054|Fri Apr 01 01:34:00 +0000 2022|"The Biden admin just launched https://t.co/4aM3EhqxRn to help you stay updated on the latest #COVID19 info &amp; where to go to get vaccines, tests, treatments, masks, &amp; other resources. 
 
Check it out 👇"|en|D|15|14
1509661615200911370|995193054|Thu Mar 31 22:39:11 +0000 2022|"The cost of life-saving medication like insulin shouldn’t be out of reach for millions of Americans with diabetes who rely on it. 
 
That’s why I voted to cap the price of insulin at $35 today. 
 
Let’s get the Affordable Insulin Now Act to @POTUS’ desk ASAP."|en|D|7|44
1509629724691161089|995193054|Thu Mar 31 20:32:28 +0000 2022|31.7K WA jobs were created in Feb—that’s a huge number &amp; shows that the Biden agenda continues to help our economy rebound!|en|D|7|33
1509605317969068036|995193054|Thu Mar 31 18:55:29 +0000 2022|"WA-01 nonprofits, state, local, &amp; Tribal gov’t officials: My office is hosting a virtual workshop on 4/7 at 10AM to go over what you need to know about the congressional appropriations process &amp; community project funding! 
 
Email Events.DelBene@mail.house.gov by 4/5 to register. https://t.co/3j6z2uZVeU"|en|D|1|2
1509581534331916291|995193054|Thu Mar 31 17:20:59 +0000 2022|"Happy #TransDayOfVisibility &amp; #TransVisibilityMonth! 
 
I see you, I hear you, &amp; I will always fight for you. https://t.co/sQVGIJyN17"|en|D|2|7
1509569255913705484|995193054|Thu Mar 31 16:32:11 +0000 2022|"W/ the House, Senate, &amp; WH in our control, we have an important opportunity to pass meaningful long-term policies, like the #ChildTaxCredit.

@NewDemCoalition &amp; I will keep fighting to extend this historic tax credit for working families, which kept 3.7M kids out of poverty."|en|D|16|39
1509350324800307202|995193054|Thu Mar 31 02:02:14 +0000 2022|As the most active trading state in the country, WA &amp; our many industries rely on robust access to markets around the world.|en|D|1|7
1509321706707509249|995193054|Thu Mar 31 00:08:31 +0000 2022|"It was a pleasure meeting with @POTUS &amp; admin officials today at the White House.

@NewDemCoalition &amp; the Biden admin have strong ties &amp; we discussed what legislation we can get done this year &amp; how we continue addressing rising costs for American families. https://t.co/8h1jHNxUl5"|en|D|6|40
1508891058213736454|995193054|Tue Mar 29 19:37:16 +0000 2022|"I paid my respects &amp; celebrated the life of the former Dean of the House, Congressman Don Young today. 
 
Congressman Young spent half a century in the House of Representatives &amp; was an important voice for Alaska &amp; the PNW.  
 
He will be missed in these halls &amp; across Alaska."|en|D|1|11
1508845983907696644|995193054|Tue Mar 29 16:38:10 +0000 2022|"🆕 The FDA approved a 2nd round of Moderna &amp; Pfizer boosters today for those 50 and older starting 4 months after their 1st booster. 
https://t.co/hNRwRSahdp"|en|D|4|7
1508497022927740933|995193054|Mon Mar 28 17:31:31 +0000 2022|My office is holding a virtual workshop on 4/7 at 10AM to explain the congressional appropriations process &amp; provide info on community project funding for the next fiscal year. Open to WA-01 local, Tribal, state gov’t officials, &amp; nonprofits. https://t.co/1uC3qqOUsL|en|D|6|10
1508153950402449408|995193054|Sun Mar 27 18:48:16 +0000 2022|"There are only 5 days left to apply for an internship in my D.C. or district office this summer! 
 
If you are passionate about public service &amp; interested in learning more about how Congress works, see my website for more info. The deadline to apply is 11:59PM PT on March 31. https://t.co/rri7Kv7KKe"|en|D|6|5
1507907072951791621|995193054|Sun Mar 27 02:27:16 +0000 2022|Yesterday, I met w/ transit organizations from across WA-01 to talk about how the bipartisan infrastructure law will modernize &amp; expand our regional transit systems, benefiting Washingtonians in rural, urban, &amp; suburban communities. https://t.co/z4xbXV3K6J|en|D|8|25
1507843220272816135|995193054|Sat Mar 26 22:13:32 +0000 2022|"Happy birthday @SpeakerPelosi! 
 
Thank you for your leadership &amp; tireless work #ForThePeople—from supporting our communities thru the #AmericanRescuePlan to making critical investments in our infrastructure 🎉 
 
Here’s to a new year! https://t.co/VbxItZVq01"|en|D|5|21
1507805477954011141|995193054|Sat Mar 26 19:43:34 +0000 2022|Heartbroken by the loss of @EverettPolice Officer Dan Rocha yesterday. My deepest condolences to his family, loved ones, &amp; the Everett community.|en|D|3|26
1507429704965447680|995193054|Fri Mar 25 18:50:23 +0000 2022|"The 2022 Congressional Art Competition is underway &amp; I am looking forward to seeing the work of high school artists across WA-01!  
 
For more information, visit my website &amp; submit by April 29 ⬇️  
https://t.co/Xk07w3qOPC https://t.co/rDPsDTK3o4"|en|D|2|1
1507110695111991299|995193054|Thu Mar 24 21:42:45 +0000 2022|"Have questions about filing your taxes this year? There is an in-person IRS tax filing assistance day in WA ahead of the April 18 filing deadline!    
 
Check out the IRS website for more information: https://t.co/kgRNJLrRtr https://t.co/ZVqd2lek2A"|en|D|2|2
1507052768728694800|995193054|Thu Mar 24 17:52:34 +0000 2022|For the Page family &amp; hundreds of families across the country, the war in Ukraine is especially devastating. https://t.co/pXkY8xrFtg|en|D|1|5
1506772201676189700|995193054|Wed Mar 23 23:17:42 +0000 2022|"Great to join the City of Carnation &amp; @HUDgov to celebrate funding that I secured for the new Carnation community &amp; emergency operations center. 
 
This critically needed facility will provide space for emergency services &amp; community use! https://t.co/xp7yjdsZE1"|en|D|1|4
1506739726740561931|995193054|Wed Mar 23 21:08:39 +0000 2022|"If your business was impacted by the Nov. flooding last year, you can still apply for @SBAgov Physical Damage assistance until April 21 by providing justification for missing the March 7 deadline.  
 
Economic Injury loan applications are open thru October 5, 2022."|en|D|4|5
1506730047650025482|995193054|Wed Mar 23 20:30:11 +0000 2022|"Madeleine Albright was a pioneer for women, global peace, &amp; human rights.

She set an example for the world as the 64th U.S. Secretary of State &amp; 1st woman to hold the position. She will be greatly missed esp. during the current global conflicts &amp; my thoughts are with her family."|en|D|8|33
1506711841233321986|995193054|Wed Mar 23 19:17:50 +0000 2022|We’ve continued to build on the success of the #AffordableCareAct &amp; help millions of Americans get health coverage since it was signed into law 12 years ago.|en|D|5|12
1506446696871567361|995193054|Wed Mar 23 01:44:15 +0000 2022|"VITA sites provide free, trusted tax filing assistance to those who need help in our community.

I visited the VITA site coordinated by @UnitedWayKC &amp; hosted at @UWBothell to talk to volunteers &amp; learn more about services they provide &amp; challenges they're facing this tax season. https://t.co/K8RyvJQr5j"|en|D|4|6
1506349743907217418|995193054|Tue Mar 22 19:19:00 +0000 2022|"The Equal Rights Amendment was sent to the states 50 years ago &amp; we are 50 years overdue in ratifying it.
 
Women deserve undisputed equality under the Constitution once &amp; for all."|en|D|5|16
1506317186020880391|995193054|Tue Mar 22 17:09:37 +0000 2022|"We lost 43 treasured community members to the Oso landslide 8 years ago. 
 
On this difficult day, my heart &amp; thoughts are with their families &amp; the communities of Darrington, Arlington, &amp; Oso."|en|D|5|30
1506024158869741568|995193054|Mon Mar 21 21:45:14 +0000 2022|"Do you know a talented high school artist in WA-01?  
 
Submissions to this year’s Congressional Art Competition have opened &amp; I am excited to see what our students have been working on! 
 
Visit my website for more information &amp; submit by April 29 ⬇️ 
https://t.co/Xk07w3qOPC"|en|D|1|2
1505957530698199043|995193054|Mon Mar 21 17:20:29 +0000 2022|"Join the IRS, Taxpayer Advocate Service, &amp; me TOMORROW at 4PM PT to discuss tax filing tips &amp; resources ahead of this year’s April 18 federal tax filing deadline.  
 
Have questions about filing your taxes? Comment below so we can answer live tomorrow! 

➡️https://t.co/hRbZkCp8Sm https://t.co/lI9ZR0iNrY"|en|D|2|1
1505636293073592320|995193054|Sun Mar 20 20:04:00 +0000 2022|"The nationwide housing shortage is driving up costs. 

That’s why I am pushing to create/rehabilitate more than 2M more affordable homes in our country by strengthening the Housing Credit. 
https://t.co/punM48Aazk"|en|D|2|14
1505273412532547586|995193054|Sat Mar 19 20:02:02 +0000 2022|"Are you interested in learning more about how congressional offices work &amp; have a passion for public service? 
 
Apply for a summer 2022 internship in my D.C. or district office!
 
For more info ➡️ https://t.co/AaiPgKZUCa https://t.co/E92yLU4raE"|en|D|2|0
1505243310474121217|995193054|Sat Mar 19 18:02:25 +0000 2022|"This week, @POTUS announced an additional $800M in military aid to Ukraine. 
 
This defensive equipment shows the U.S. is committed to helping Ukrainians protect their country &amp; democracy."|en|D|4|25
