id|user|created_at|text|lang|label|retweet_count|favorite_count
1507112583832260613|1080485692298444800|Thu Mar 24 21:50:15 +0000 2022|We need to invest in American manufacturing, outcompete China, and strengthen our supply chains. The House and Sena… https://t.co/SV3mXLFQ3r|en|D|5|26
1507055305330413576|1080485692298444800|Thu Mar 24 18:02:39 +0000 2022|In July, Americans experiencing a mental health crisis will be able to press just three digits on their phone, 988,… https://t.co/LscSkxo72g|en|D|13|25
1507001310515769345|1080485692298444800|Thu Mar 24 14:28:05 +0000 2022|During #NationalAgWeek, I was able to visit one of our many family farms in #NY19 that provides high-quality dairy… https://t.co/QxPtMZbzfg|en|D|7|25
1506779163621044233|1080485692298444800|Wed Mar 23 23:45:21 +0000 2022|Good visit with Joey &amp; Anthony LoBianco at the Rip Van Winkle Brewing Co. in Catskill. As small business owners, th… https://t.co/oFR6ikmfVA|en|D|4|16
1506753994840068101|1080485692298444800|Wed Mar 23 22:05:21 +0000 2022|We have lost a trailblazer in Madeleine Albright - the first woman to serve as U.S. Secretary of State. She was a t… https://t.co/9QgZzmQ86W|en|D|4|34
1506734592442703882|1080485692298444800|Wed Mar 23 20:48:15 +0000 2022|This afternoon, I joined Schoharie Central School students for a town hall. It was great to answer their questions… https://t.co/LwY2cHea21|en|D|2|15
1506697518293340164|1080485692298444800|Wed Mar 23 18:20:56 +0000 2022|The bipartisan Invest in Law Enforcement Act will provide critical, targeted resources to local law enforcement acr… https://t.co/HyasVe6f3R|en|D|6|13
1506677844042305541|1080485692298444800|Wed Mar 23 17:02:45 +0000 2022|It was great joining the New York State Sheriffs’ Association this morning to discuss law enforcement needs across… https://t.co/FXtwHHRzxq|en|D|4|13
1506423862283677701|1080485692298444800|Wed Mar 23 00:13:31 +0000 2022|Congratulations to all of the students who participated in the @BroomeBOCES app challenge! Your projects were creat… https://t.co/c2rrpem5lB|en|D|6|21
1506395107733676034|1080485692298444800|Tue Mar 22 22:19:15 +0000 2022|Great visit today with NYS Police at Troop C Barracks in Deposit. Supporting law enforcement and ensuring our rural… https://t.co/aAtbg7WYqx|en|D|6|20
1506376794672410629|1080485692298444800|Tue Mar 22 21:06:29 +0000 2022|It was so nice meeting with some of the young folks at the Oneonta Boys and Girls Club this afternoon. It’s so impo… https://t.co/URsLztgNCb|en|D|2|10
1506330494371311616|1080485692298444800|Tue Mar 22 18:02:30 +0000 2022|Thank you Kyle of Clark Farms for having me today. Five generations in, Clark’s continues to exemplify forward-look… https://t.co/QRyYcFDAHm|en|D|6|28
