id|user|created_at|text|lang|label|retweet_count|favorite_count
1507176339996127234|1058917562|Fri Mar 25 02:03:36 +0000 2022|Great to be on the Hilltop in Tacoma today to celebrate a big new federal investment I helped secure to provide mor… https://t.co/hUp6ghpO6y|en|D|10|24
1507162028259123205|1058917562|Fri Mar 25 01:06:43 +0000 2022|Thanks for your partnership, @TacomaHousing! Thrilled to help get this new federal funding signed into law so we ca… https://t.co/ywldlfE6tZ|en|D|5|17
1507132918631706629|1058917562|Thu Mar 24 23:11:03 +0000 2022|Great to meet with Jim &amp; Bill from Western Technology in Bremerton - a local business that designs and manufactures… https://t.co/Vzebqe4Oap|en|D|3|11
1507022761205673991|1058917562|Thu Mar 24 15:53:20 +0000 2022|From apples to automobiles, our longshore workers keep goods moving through our ports and are vital drivers of our… https://t.co/MIT7F1V4p0|en|D|5|24
1506807662813618178|1058917562|Thu Mar 24 01:38:36 +0000 2022|Proud to have secured new funding to support tribal relocation efforts for 3 tribes on WA's coast. I’ll keep pushin… https://t.co/gx1bbNnNbk|en|D|5|19
1506708667420315649|1058917562|Wed Mar 23 19:05:14 +0000 2022|Did you know that arthritis affects men, women &amp; children of all ages? Yesterday I heard some terrific advocates th… https://t.co/WxUs8rtJTh|en|D|2|12
1506448045319372801|1058917562|Wed Mar 23 01:49:37 +0000 2022|Instead of accepting toxic polarization as the new normal, folks across our region are leading efforts to foster di… https://t.co/UXhXNWB2Cd|en|D|2|4
1506315057713586183|1058917562|Tue Mar 22 17:01:10 +0000 2022|Great to connect with the Tacoma South Rotary yesterday to provide an update on the work I’m doing to get our gover… https://t.co/nsfSCnnCTH|en|D|1|4
1506092711207739398|1058917562|Tue Mar 22 02:17:38 +0000 2022|"In Today's E-Newsletter 📨: Big News on New Federal Investments in Our Region
https://t.co/th1h5zAfIh"|en|D|7|8
1505725825127174146|1058917562|Mon Mar 21 01:59:46 +0000 2022|An inspiring afternoon at the celebration &amp; open house for the Captain Joseph House in Port Angeles, a special plac… https://t.co/uuGiwnlkew|en|D|2|20
1505367018454745095|1058917562|Sun Mar 20 02:14:00 +0000 2022|We need to ensure that today’s workers are prepared for the jobs of tomorrow, including jobs in the IT sector. That… https://t.co/HPDbvZFUpM|en|D|3|7
1505341605838045184|1058917562|Sun Mar 20 00:33:01 +0000 2022|As we work to recover from the COVID-19 pandemic, it’s more important than ever that the federal government invests… https://t.co/Rt8XTsheVi|en|D|5|14
1505011048524521476|1058917562|Sat Mar 19 02:39:30 +0000 2022|Today, the House of Representatives lost its longest serving member, the people of Alaska lost one of their greates… https://t.co/alSvhiafqC|en|D|5|15
1504945494698733574|1058917562|Fri Mar 18 22:19:01 +0000 2022|Local press is important to our democracy. Please join me in thanking Paul Gottlieb for his attention to issues tha… https://t.co/jPM8IdN70l|en|D|2|9
1504890472187285512|1058917562|Fri Mar 18 18:40:22 +0000 2022|Yesterday I voted to impose new economic punishments on Russia for its continued unprovoked invasion of Ukraine. By… https://t.co/yILTzaJdYb|en|D|2|15
