id|user|created_at|text|lang|label|retweet_count|favorite_count
1506389022729547779|1074782372594413569|Tue Mar 22 21:55:05 +0000 2022|First visit to the Tiospa Zina Tribal School — but won’t be my last! Students were ready with questions on the bord… https://t.co/dEGZn9OZON|en|R|1|8
1506388547779153922|1074782372594413569|Tue Mar 22 21:53:11 +0000 2022|Thank you to the Sisseton-Wahpeton Tribal Council for this a beautiful Honor Blanket. I appreciated our discussion… https://t.co/9WkEHoXF2m|en|R|2|12
1506327534346149893|1074782372594413569|Tue Mar 22 17:50:45 +0000 2022|The application deadline to apply for an internship in South Dakota's congressional office is coming up! Interns pl… https://t.co/3QFtApXtoD|en|R|1|8
1505994514225319949|1074782372594413569|Mon Mar 21 19:47:26 +0000 2022|Kicking off National Ag Week at Käsemeister Creamery in Frankfort. All of the milk used by the creamery is sourced… https://t.co/5GgLycP1As|en|R|3|16
1505712936630824961|1074782372594413569|Mon Mar 21 01:08:33 +0000 2022|Go ‘Yotes! https://t.co/Fjp1Nc6oxN|en|R|2|40
1504997107597549569|1074782372594413569|Sat Mar 19 01:44:06 +0000 2022|Don Young was a legend, a friend, and tough as nails. Once I was in his office admiring his incredible game trophie… https://t.co/sRgNMniSGc|en|R|36|170
1504912397491920898|1074782372594413569|Fri Mar 18 20:07:30 +0000 2022|Tribal Colleges serve more than 160,000 students across the country! I sat down with Dr. Azure this week to discuss… https://t.co/MAsam6x59D|en|R|1|16
1504625833352302594|1074782372594413569|Fri Mar 18 01:08:47 +0000 2022|https://t.co/sEMnnksya3|und|R|4|8
1504625161609396224|1074782372594413569|Fri Mar 18 01:06:07 +0000 2022|Experts in American manufacturing &amp; ag made it clear at today’s roundtable: our economy &amp; businesses need the Ocean… https://t.co/RfDhFZ6aZJ|en|R|7|15
1504513283252011010|1074782372594413569|Thu Mar 17 17:41:33 +0000 2022|Today @RepJimCosta, @RepDavidValadao and I are hosting a roundtable with industry leaders in American manufacturing… https://t.co/JqwLRIo6ud|en|R|5|11
1504460975356923906|1074782372594413569|Thu Mar 17 14:13:42 +0000 2022|I met with members of the Sisseton Wahpeton and Oglala Sioux tribes to discuss tribal education today. Higher gas p… https://t.co/29t7VV7tQG|en|R|1|16
1504212216303792133|1074782372594413569|Wed Mar 16 21:45:13 +0000 2022|I’m supporting a bill in the House to reopen oil and gas permitting on federal lands – something President Biden ha… https://t.co/604z5DJNtP|en|R|184|701
1504195696462868483|1074782372594413569|Wed Mar 16 20:39:35 +0000 2022|Met with the Douglas School District today. With B-21 bombers coming to Ellsworth, they're working to ensure they h… https://t.co/l4Unm2jbtX|en|R|2|10
1504138488635138055|1074782372594413569|Wed Mar 16 16:52:15 +0000 2022|Republican policies make America stronger - the data makes that clear. https://t.co/AaPiudp9LJ|en|R|3|16
1504090271063150593|1074782372594413569|Wed Mar 16 13:40:39 +0000 2022|President Zelenskyy’s address was powerful — it will certainly change the tenor here in Washington. https://t.co/PbTAXrtQMF|en|R|2|42
1504083481768386562|1074782372594413569|Wed Mar 16 13:13:41 +0000 2022|https://t.co/vyLsN15hWy|und|R|3|52
1504081794165051396|1074782372594413569|Wed Mar 16 13:06:58 +0000 2022|House and Senate are gathering for the joint address from President Zelenskyy on the situation in Ukraine. https://t.co/9u0lOjPZTr|en|R|5|19
1503890744045715457|1074782372594413569|Wed Mar 16 00:27:48 +0000 2022|Despite looking down the barrel of the Russian military, thousands of Ukrainians answered the call to defend their… https://t.co/Xolm5TzXTC|en|R|3|9
1503882388450983936|1074782372594413569|Tue Mar 15 23:54:36 +0000 2022|Abandoning services for our South Dakota veterans is a total reversal of the VA’s previous commitment. The South Da… https://t.co/X6F7lgSzDU|en|R|4|23
1503828647064522754|1074782372594413569|Tue Mar 15 20:21:03 +0000 2022|BREAKING! We are halfway there to fewer time changes and more sunlight. Next stop: House Floor! @SpeakerPelosi https://t.co/vEc22DCJIC|en|R|6|49
