id|user|created_at|text|lang|label|retweet_count|favorite_count
1520543469382430722|1081350574589833221|Sat Apr 30 23:19:48 +0000 2022|Just home for a week after too many weeks away; dim sum attack. https://t.co/ie9Iid2B3m|en|D|4|50
1520062740076892162|1081350574589833221|Fri Apr 29 15:29:33 +0000 2022|The National Association of Superintendents (NAS) is dedicated to productivity and efficiency and worker welfare of our nation’s naval shipyards and maintenance facilities. I welcomed the reps of NAS/Pearl Harbor Naval Shipyard and IMF to DC, (1/2) https://t.co/Pj1bDGoChL|en|D|1|4
1519737489874989060|1081350574589833221|Thu Apr 28 17:57:07 +0000 2022|As we prepare our defense budget for the upcoming federal fiscal year, I testified personally before our House Armed Services Committee today in support of three critical initiatives for our Hawai’i and the Indo-Pacific: Red Hill remediation, defueling and closure; (1/2)|en|D|1|3
1519691824075583489|1081350574589833221|Thu Apr 28 14:55:40 +0000 2022|"Here’s my latest e-newsletter, “Crunch Time In The 117th Congress”, addressing FY23 appropriations, Ukraine, COVID-19, inflation, crime, representing our country overseas, and reopening our U.S. Capitol. 
https://t.co/jHVa7eqcs3"|en|D|1|1
1519481530917302274|1081350574589833221|Thu Apr 28 01:00:02 +0000 2022|Getting into full swing in Appropriations Committee on upcoming FY 2023. Today in my Military Construction/Veterans Affairs Subcommittee questioning the VA on advances in caring for our veterans in more remote locations like Hawaiʻi and the Pacific. https://t.co/Yu7Ri1WEIH|en|D|1|2
1519399243282329602|1081350574589833221|Wed Apr 27 19:33:03 +0000 2022|A good day for small business in the House with passage of five solid bills including several I cosponsored https://t.co/c9teBQzXo3|en|D|2|5
1519074040698257408|1081350574589833221|Tue Apr 26 22:00:48 +0000 2022|It's great to open my DC office up again to visitors from home; today welcoming Sam Kreutz, who leads 11,500 hotel, dock and agricultural workers across Hawai‘i in the International Longshore and Warehouse Union (ILWU), and Hilton Raethel, (1/2) https://t.co/uaULfQiHY8|en|D|2|9
1518982477095874562|1081350574589833221|Tue Apr 26 15:56:58 +0000 2022|Can we save our earth's endangered wildlife from their worst enemy: us? As a member of my House Natural Resources Subcommittee on Water, Oceans &amp; Wildlife and of our International Conservation Caucus, I joined five colleagues on a bipartisan congressional delegation to Kenya(1/2) https://t.co/rWyOKsYlXR|en|D|4|5
1518694991794778112|1081350574589833221|Mon Apr 25 20:54:36 +0000 2022|Great news that @UHWestOahu is now a training provider under the Veteran Rapid Retraining Assistance Program (VRRAP), offering education and training for high-demand jobs to veterans unemployed because of COVID-19. More info: https://t.co/XEvJQxJz2j or call (808)689-2961.|en|D|1|6
1517971361397891074|1081350574589833221|Sat Apr 23 20:59:09 +0000 2022|During this National Parks Week, it is important to #LeaveNoTrace when visiting our National Parks. I co-sponsored H.R. 5533 to encourage the reduction of disposable plastic products in units of the National Park System. More here: https://t.co/4XCIxMVNU9|en|D|2|8
1517507713814695937|1081350574589833221|Fri Apr 22 14:16:47 +0000 2022|Our only home. #EarthDay2022 https://t.co/kQkbOEqfZG|en|D|2|21
