id|user|created_at|text|lang|label|retweet_count|favorite_count
1520468561164218368|88806753|Sat Apr 30 18:22:08 +0000 2022|We all know how touch and go driving on I-80 can be. Thats why I secured funding to expand the interstate from Vacaville to Davis — eliminating the bottlenecks and shortening your everyday commute. https://t.co/4swtBBFINZ|en|D|4|25
1520140200772579328|88806753|Fri Apr 29 20:37:21 +0000 2022|I recently secured over $400,000 to fund renovations and the installation of new trails at Rockville Trails Preserve in Solano County. This will allow our children, neighbors, and communities to get outside and enjoy the beautiful hikes that the preserve has to offer. https://t.co/mPgPzNI1Qp|en|D|1|12
1519793400362504192|88806753|Thu Apr 28 21:39:17 +0000 2022|Healthcare is a human right. That’s why I’m working to cap the price of insulin at $35 a month. It’s time to put our foot down and ensure Americans no longer have to chose between groceries and insulin. https://t.co/jKkywrNMYn|en|D|4|13
1519082061503647745|88806753|Tue Apr 26 22:32:41 +0000 2022|Check your taxes. I bet it’s more than the 2.8% Exxon paid on their $23 billion. Despite their incredible profits, oil companies are raising prices and cutting wages — hurting Americans. It’s time we end their corporate greed, and provide help for middle-class Americans instead. https://t.co/ZaicsC8fif|en|D|4|13
1518994075936075777|88806753|Tue Apr 26 16:43:03 +0000 2022|California was built by a strong middle-class, we can’t allow that to fade away. Nurses, teachers, mechanics and welders should all be able to afford to purchase homes in our state. That’s why I voted for over $150 billion in federal affordable housing investments. https://t.co/FOSE23uKbm|en|D|6|14
1518666250179784707|88806753|Mon Apr 25 19:00:24 +0000 2022|The Berryessa Snow Mountain National Monument’s natural beauty must be protected. That’s why I introduced a bill to expand the boundaries of this national monument and to recognize the indigenous people who first called this land home. https://t.co/UWUm82RtA1|en|D|4|21
1518260399489044481|88806753|Sun Apr 24 16:07:41 +0000 2022|Happy to see Suisun Valley K-8 school recognized by the US Department of Education as a Green Ribbon School. I recently toured and was impressed by their hands-on approach and the success it has shown! I hope it will prove to be a model for schools across the state! https://t.co/Rs81dvO4aZ|en|D|3|14
1517936637375881217|88806753|Sat Apr 23 18:41:10 +0000 2022|Happy Picnic Day UC Davis! I’m glad to see this great community event back after a two-year hiatus. I’m proud to represent this world-class university in Congress and I look forward to all the groundbreaking work it will do in the year to come! https://t.co/YYmINztakA|en|D|10|72
1517536353491300352|88806753|Fri Apr 22 16:10:35 +0000 2022|I’m thrilled to be working with @RepAOC to enact the #GreenNewDeal. Recently, I secured $5 million to protect salmon habitats of the Sacramento Delta and better protect our communities from floods. The GND will create jobs while protecting our environment for future generations https://t.co/4YNBhDN8Hf|en|D|2|12
1516923458336215040|88806753|Wed Apr 20 23:35:10 +0000 2022|"It’s time to legalize marijuana. 

Marijuana criminalization has left millions of Americans — disproportionately people of color — with a criminal record for the possession of a drug legalized in 18 states. It’s time to fix it. That’s why I voted in for the #MOREAct https://t.co/1OZ4ryd0zP"|en|D|7|25
1516540112385056773|88806753|Tue Apr 19 22:11:53 +0000 2022|Did you pay any federal income tax yesterday? Congratulations — you paid more taxes than many of our nation’s most profitable corporations, and more than many billionaires. I’m working to end that. The middle class shouldn’t be bearing the brunt of taxes — the wealthy should.|en|D|8|27
1516458664038703108|88806753|Tue Apr 19 16:48:14 +0000 2022|I worked as Insurance Commissioner to hold companies accountable for discriminatory redlining practices, and I’m continuing to do so in Congress. The Federal #FairHousingAct continues to be crucial to ensuring nobody is denied housing due to race, religion, or sexual orientation. https://t.co/SAnFmIfcYv|en|D|11|14
1516156705360551946|88806753|Mon Apr 18 20:48:22 +0000 2022|This #NationalParkWeek, we celebrate America’s most beautiful natural treasures. These great natural places bring us together and bring tourists from across this country and globe to California to appreciate all our state has to offer. https://t.co/NhcZOgYTAu|en|D|2|11
1516121577338855434|88806753|Mon Apr 18 18:28:46 +0000 2022|It’s tax day — don’t forget to file or mail your returns by today. If you encounter any issues contact my office. My IRS casework team has returned over $600,000 to taxpayers last year alone.|en|D|1|7
1515729804032679940|88806753|Sun Apr 17 16:32:00 +0000 2022|Wishing a happy Easter to you and your loved ones this wonderful spring day! https://t.co/3Aec2IZgnA|en|D|13|24
1515114707501387782|88806753|Fri Apr 15 23:47:50 +0000 2022|From my family to yours, I would like to wish a happy Passover to all those celebrating! https://t.co/K3mdDhotb1|en|D|7|15
1514991852012904456|88806753|Fri Apr 15 15:39:39 +0000 2022|Patti and I would lIke to wish a blessed Good Friday to you and your loved ones!|en|D|1|8
1514721883501043723|88806753|Thu Apr 14 21:46:53 +0000 2022|The Russian Government sanctioned me in an attempt to weaken my support for the Ukrainian people. Looks like they miscalculated. I will not be intimidated by authoritarians and abusers of human rights. I’ll wear my sanctions as a badge of honor; a sign I stood up for #Ukraine https://t.co/PwqyJCa3ZI|en|D|25|59
1514356383734550528|88806753|Wed Apr 13 21:34:31 +0000 2022|I’m happy to announce that California’s 3rd will be receiving over $1 million in funding to provide assistance to families in need. I was proud to vote for the funding for this program and will continue to do all I can to keep families housed and help end homelessness. https://t.co/yNM70kgfgd|en|D|4|9
1514321822078144519|88806753|Wed Apr 13 19:17:11 +0000 2022|The recent #IPCC report on Climate Change is clear: we’re not doing enough to avoid climate catastrophe. That’s why I’m targeting the largest carbon emitter in the world; the military. My bill will require all new non-tactical vehicles to be electric or zero emission by in 2023.|en|D|4|6
1512544292174237700|88806753|Fri Apr 08 21:33:55 +0000 2022|A powerful moment with two powerful Black women. This moment will be in the history books, inspiring children of all ethnicities that if they work hard there’s nothing they can’t achieve. That’s the American Dream. #KBJconfirmation https://t.co/hJsrVnpNEJ|en|D|5|19
1512513870375665666|88806753|Fri Apr 08 19:33:02 +0000 2022|Baseball season may have begun yesterday but it’s not opening day until the A’s and the Giants take the field! Looking forward to these two teams playing today and rooting for a great season! #openingday https://t.co/UJrAvBW24z|en|D|2|9
1512131715984236547|88806753|Thu Apr 07 18:14:29 +0000 2022|History was made today at the US Capitol. With a bipartisan vote, Ketanji Brown Jackson became the first Black woman confirmed as a justice of the US Supreme Court. I know her role on the court will inspire future generations that they too can achieve great things. #KBJ https://t.co/fMiOgSKCha|en|D|5|19
1511734724779286528|88806753|Wed Apr 06 15:56:59 +0000 2022|Gas prices are at a record high… so too are gas company profits. It’s time we hold these executives accountable for #RippingOffAmericans https://t.co/ihGVgJ7sj9|en|D|10|28
1511399431203344384|88806753|Tue Apr 05 17:44:39 +0000 2022|Do you know an aspiring high school artist living in the third congressional district? Encourage them to participate in my office’s Art Competition and have a chance to have their art displayed in the US Capitol Building. Find more information here: https://t.co/49arURkPJV https://t.co/nwCsM0fsH7|en|D|1|3
1511149364374347784|88806753|Tue Apr 05 01:10:58 +0000 2022|54 years ago Dr. Martin Luther King Jr.’s life was cut short by an assassin's bullet. Decades since his passing, the words of Dr. King resonate now more than ever. His work to end racism, eliminate poverty and spread peace continues to inspire me and millions of others. https://t.co/qBr1X5CWq9|en|D|5|22
1510614154255773700|88806753|Sun Apr 03 13:44:14 +0000 2022|I am praying for the victims of last night’s shooting in Sacramento. Yet again our communities are reeling from a senseless act of violence. As we care for the families whose loved ones were injured or killed we must renew our efforts to act — to prevent future tragedies.|en|D|9|31
1510294840172498955|88806753|Sat Apr 02 16:35:24 +0000 2022|Ramadan Mubarak from my family to yours! https://t.co/lCPWMSiOLr|en|D|19|25
1510033971928784899|88806753|Fri Apr 01 23:18:48 +0000 2022|The MORE Act is a crucial step toward remedying the racist legacy of marijuana criminalization in this country. It’s past time the federal government follow California’s lead and legalize marijuana, that’s why I proudly voted for this bill. #MOREAct|en|D|7|22
1509991838329016330|88806753|Fri Apr 01 20:31:23 +0000 2022|Amazon has forced its workers to urinate in bottles, work in insufferable heat and even to work around the body of a dead coworker. I’m glad to see NY workers fought back and formed union which will allow the workers to unite and fight for fair pay and safe working conditions|en|D|7|17
1509967214883053571|88806753|Fri Apr 01 18:53:32 +0000 2022|Millions of Americans depend on insulin. They are constantly forced to pay outrageously high prices. Insulin isn’t new, it’s not expensive to manufacture and it’s not a choice. That’s why yesterday I voted to cap out of pocket insulin costs at $35. https://t.co/s8wleKC4Dm|en|D|4|23
1509586453466128384|88806753|Thu Mar 31 17:40:31 +0000 2022|Today is International Transgender Day of Visibility. Let’s reaffirm our commitment that #TransRightsAreHumanRights and continue to fight on behalf of all Americans to express their true gender identity without fear of discrimination or violence. #Equality #TransDayOfVisibility https://t.co/eZuSmIG0JW|en|D|3|15
1509565492607995913|88806753|Thu Mar 31 16:17:14 +0000 2022|Today we commemorate the lasting contributions César Chávez made to California and the entire US. As a labor leader, César Chávez helped to secure rights for California farmworkers — workers who were left out of New Deal labor protections as part of a racist backlash. https://t.co/IVeENel2wT|en|D|7|25
1508854376118599683|88806753|Tue Mar 29 17:11:31 +0000 2022|The previous administration withheld crucial military aid to Ukraine unless they conducted a spurious investigation into their political rivals. We need to stand firm in our support for this democratic nation — especially considering the failings of our previous president.|en|D|6|12
1508571945146753025|88806753|Mon Mar 28 22:29:14 +0000 2022|It’s unconscionable that a teacher, would pay a higher effective tax rate than a billionaire — but they do. I applaud President Biden’s Billionaire Minimum Income Tax. It’s time that we stop subsidizing the super-rich on the back of the middle class. https://t.co/EGLSFai4hJ|en|D|5|14
1508515074922659847|88806753|Mon Mar 28 18:43:15 +0000 2022|This week’s forecast includes rain. But we’re going to be letting lots of that water pass through our rivers and streams and into the bay. That’s why I secured $2 billion in federal funding for the construction of the Sites Reservoir Project, to increase our storage capacity. https://t.co/1LWLEZZgvG|en|D|2|12
1507472461763391488|88806753|Fri Mar 25 21:40:17 +0000 2022|Just weeks ago I secured $2 million for the Lower Cache Creek Flood Risk Management Project which will help the city of Woodland avoid catastrophic flooding and better prepare our communities for the risk of climate change. https://t.co/Im6BdA5xWK|en|D|4|10
1507028567825305611|88806753|Thu Mar 24 16:16:24 +0000 2022|Please join me tonight! Register below: https://t.co/D0P4P3dovZ|en|D|1|2
1506732282413031435|88806753|Wed Mar 23 20:39:04 +0000 2022|Please join me, community leaders and others for a webinar tomorrow on the crisis in Ukraine. We will discuss the humanitarian crisis as well as what I am doing to support the continuation of Ukrainian democracy. Register here: https://t.co/T0Z2fL229B https://t.co/XgumIOOK5H|en|D|3|2
1506712161590128647|88806753|Wed Mar 23 19:19:07 +0000 2022|Secretary of State Madeleine Albright was not only the first woman to lead our nation’s diplomatic efforts — she was a champion of human rights and international cooperation. Patti and I are deeply saddened to hear of her passing and pray for her loved ones.|en|D|3|23
1506690408037896192|88806753|Wed Mar 23 17:52:40 +0000 2022|12 years ago the Affordable Care Act was signed, protecting those with pre-existing conditions, making insurance cover basic medical care, and lowering costs. I voted for the ACA because healthcare is a human right and I’m continuing the fight for affordable quality healthcare.|en|D|31|146
1506341935375605760|88806753|Tue Mar 22 18:47:58 +0000 2022|Happy #NationalAgDay. California is our nation’s agricultural capital, producing over one-third of our nation’s vegetables and two-thirds of fruits and nuts among countless other crops. Our state’s agricultural bounty has built this country and helps sustain our communities. https://t.co/R6RNipcehW|en|D|3|19
1506013966971338752|88806753|Mon Mar 21 21:04:44 +0000 2022|I applaud the Department of Labor’s proposed rule to better protect federal contractors from racial discrimination. This rule better addresses the needs of the federal contracting workforce, guaranteeing that federal contracting jobs are protected from any type of discrimination.|en|D|5|6
