id|user|created_at|text|lang|label|retweet_count|favorite_count
1520540213084315648|1173978070535024642|Sat Apr 30 23:06:51 +0000 2022|Team Murphy was honored to attend Vietnam Veterans Recognition Day in Jacksonville. Thank you to all those who took time to recognize the courage and sacrifice of those who served our great nation in Vietnam. 🇺🇸 https://t.co/dlxBMs55JC|en|R|3|12
1520486475627966464|1173978070535024642|Sat Apr 30 19:33:19 +0000 2022|Humbled to join so many Camp Lejeune Toxic Water Survivors today to champion my legislation, the Camp Lejeune Justice Act. Together, we will ensure that victims of toxic water exposure at Camp Lejeune receive their day in court. https://t.co/Qdd2ZnSn2Y|en|R|3|9
1520375614536097795|1173978070535024642|Sat Apr 30 12:12:48 +0000 2022|What if the colleges and universities that have billions of dollars in their endowments “forgave” student loans? President Biden wants individuals who worked hard to pay back their student loans and individuals who never went to college to pay the debt of others.|en|R|46|118
1519766156546134017|1173978070535024642|Thu Apr 28 19:51:02 +0000 2022|Border security is national security. https://t.co/Rv9uYBW6p0|en|R|5|17
1519695577843441664|1173978070535024642|Thu Apr 28 15:10:34 +0000 2022|ALERT: Our economy is plummeting under Biden, and the liberals don't care. Our #GDP rate dropped 1.4% in Q1 which is the WEAKEST showing since early 2020. With prices soaring, 81% of Americans are worried about a recession this year.|en|R|6|27
1519436875777384452|1173978070535024642|Wed Apr 27 22:02:35 +0000 2022|Constituent services is an essential pillar of my work in Congress. If you are in need of assistance with a federal agency, visit my website. We are here to serve. 🇺🇸https://t.co/xA9l79mMto https://t.co/1rkr5H65Va|en|R|1|5
1519380885384085504|1173978070535024642|Wed Apr 27 18:20:06 +0000 2022|Biden’s Border Crisis has made every community a border community. Thank you Sheriff Buck of @CarteretCoGov Sheriff's Office and @SheriffCHughes of @cravencountync Sheriff's Office for your work to combat the fentanyl drug crisis in ENC. @FoxBusiness https://t.co/XD4hWcu6qa|en|R|7|17
1519371819303718923|1173978070535024642|Wed Apr 27 17:44:04 +0000 2022|Over 2.5 million border encounters, more than half a million gotaways, thousands of pounds of illegal drugs, 40+ encounters with illegals on the terrorist watchlist... not a single American is buying this nonsense from @SecMayorkas. https://t.co/FEpZEY4Fkt|en|R|2|10
1519358577613455360|1173978070535024642|Wed Apr 27 16:51:27 +0000 2022|My office is now accepting applications for a two-year paid Wounded Warrior Fellowship in our Jacksonville office! We look forward to having another wonderful veteran join our congressional team. Learn more here:  https://t.co/n8e5wZrzeC|en|R|4|9
1519340853445246977|1173978070535024642|Wed Apr 27 15:41:02 +0000 2022|On Holocaust Remembrance Day, we pause to remember and mourn the six million Jews and millions of others who were killed by the Nazis during the Holocaust. We vow to #NeverForget. #YomHashoah|en|R|2|20
1519087237899722754|1173978070535024642|Tue Apr 26 22:53:15 +0000 2022|Tune in to @FoxBusiness! 📺 https://t.co/A6PsTwDgyU https://t.co/UrZnX345sX|en|R|2|6
1519066876613120000|1173978070535024642|Tue Apr 26 21:32:20 +0000 2022|President Biden has been silent on the leading cause of death for adults 18-45. His failure to inform Americans about illicit fentanyl (80% of which enters the US via Southern Border) is a reprehensible failure of leadership. #BidenBorderCrisis https://t.co/jysyd2BAgy|en|R|6|14
1519036429812342784|1173978070535024642|Tue Apr 26 19:31:21 +0000 2022|Biden’s open borders are a threat to national security and public health. I’ll be joining @LizMacDonaldFOX on @FoxBusiness at 6:55pm ET tonight to discuss the #BidenBorderCrisis and how ENC law enforcement is bravely fighting back against the fentanyl drug crisis.|en|R|6|15
1519032761377513476|1173978070535024642|Tue Apr 26 19:16:47 +0000 2022|Just finished a productive meeting with COL Benjamin Bennett, Commander of the Wilmington District, U.S. Army Corps of Engineers. We discussed current dredging priorities in ENC as well as upcoming projects in the Neuse River Basin. Thank you for coming! https://t.co/ZC8Bxe5tys|en|R|3|6
1518706701435875344|1173978070535024642|Mon Apr 25 21:41:08 +0000 2022|"Liberal elitists oppose #ElonMusk buying @Twitter, but have no problem with the world's second richest man, Jeff Bezos, owning the Washington Post...🙃

Sorry Socialists, Free Speech wins!!"|en|R|28|88
