id|user|created_at|text|lang|label|retweet_count|favorite_count
1520558634299801607|1083125649609506816|Sun May 01 00:20:03 +0000 2022|"""Rep. Greg Steube, R-Fla., pressed Mayorkas for data on any referrals he has made to the DOJ on the grounds of domestic terrorism. Mayorkas did not offer any, saying he would provide it after the hearing.” 
https://t.co/rhAyfftWR6"|en|R|10|40
1520417704565305345|1083125649609506816|Sat Apr 30 15:00:03 +0000 2022|"The Biden administration is creating yet another distraction that will divert Department of Homeland Security resources away from our southern border.

https://t.co/qhv83KTaE1"|en|R|41|119
1520130836225527810|1083125649609506816|Fri Apr 29 20:00:08 +0000 2022|"Today I’m sharing the 23 amazing pieces of artwork submitted by young Floridians in our district for the 2022 Congressional Art Competition. I think you’ll agree, we have some talented artists in FL-17! 

Click here to view them all: https://t.co/W7OCCdKnhN https://t.co/CQ6QOWjtcx"|en|R|5|38
1520121864760311812|1083125649609506816|Fri Apr 29 19:24:29 +0000 2022|".@SecMayorkas told us yesterday that he has finite resources and he doesn’t have enough assets to expel the 1.2 million illegal immigrants a judge has ordered to be deported. But they have plenty of resources to create a disinformation board?
 
I joined @Varneyco to discuss. https://t.co/koAkanPu74"|en|R|56|115
1519807666582867973|1083125649609506816|Thu Apr 28 22:35:59 +0000 2022|Watch @SecMayorkas tell me and the House Judiciary Committee that he does not consider Black Lives Matter a domestic terrorism organization. Unbelievable! https://t.co/NUSQd0dmL0|en|R|147|343
1519762348659159041|1083125649609506816|Thu Apr 28 19:35:54 +0000 2022|I represent Florida, where Fentanyl is a huge problem. We are now at the point where fentanyl is the #1 cause of death for Americans ages 18-45, and as unprecedented amounts pour across our border, this administration has done nothing to stop it. https://t.co/fhQ7xizvIg|en|R|647|2486
1519737224392282114|1083125649609506816|Thu Apr 28 17:56:04 +0000 2022|The whole point of Title IX and the funding for all these universities was to allow for women’s sports. Thanks Dan Ball for having me on to discuss House Republicans' discharge petition on the floor to save women’s sports. https://t.co/SQwnlhKXrI|en|R|32|72
1519723275403866123|1083125649609506816|Thu Apr 28 17:00:38 +0000 2022|Despite claiming domestic terrorism is the #1 threat to the homeland, @SecMayorkas can’t name a single case that he referred from DHS to DOJ for white supremacy or domestic terrorism. https://t.co/9ZtYp1A3eo|en|R|12358|40111
1519711928729362432|1083125649609506816|Thu Apr 28 16:15:33 +0000 2022|"I’ll be questioning Biden’s DHS @SecMayorkas very soon about the CHAOS at our Southern border. Tune in here: 
https://t.co/9hlZ73DNF1"|en|R|11|33
1519682678668369922|1083125649609506816|Thu Apr 28 14:19:19 +0000 2022|We’ve reached 60 signatures on my discharge petition to save women’s sports! Thanks to all who signed on but we still have work to do to get it on the floor - 158 signatures to go! https://t.co/LdGGepy2qt|en|R|6|20
1519474371882070016|1083125649609506816|Thu Apr 28 00:31:35 +0000 2022|"Thanks to the @WomensLibFront for their support of my bill and #RSC Republicans’ discharge petition - now is the time to protect women’s sports! 
https://t.co/4TSeQjfa69"|en|R|9|38
1519457774282940417|1083125649609506816|Wed Apr 27 23:25:38 +0000 2022|"The Biden administration doesn’t care about what the American people care about -- the safety and security of our families and communities.
 
I joined @EveningEdit to discuss. https://t.co/OaLQhKfLZD"|en|R|8|40
1519307389526233088|1083125649609506816|Wed Apr 27 13:28:03 +0000 2022|"At least 15 states including Florida have passed laws to affirm Title IX protections for women’s sports. Why won’t Speaker Pelosi let the House of Representatives vote on this issue?
https://t.co/oaRRCq6lwf"|en|R|16|43
1519094636408672261|1083125649609506816|Tue Apr 26 23:22:39 +0000 2022|"Tonight #RSC Republicans filed a discharge petition to force my bill to protect women’s sports to the floor. 
 
As the left perpetuates a craze to eliminate gender, the American people deserve to know where their elected representatives stand on this critical issue. https://t.co/8kRuS3xG78"|en|R|32|98
1519009022271238145|1083125649609506816|Tue Apr 26 17:42:27 +0000 2022|22-year-old SPC Evans died a senseless and completely avoidable death serving our country at the southern border where Biden’s policy has created the circumstances that lead to his tragic death.|en|R|60|265
1518962240388481024|1083125649609506816|Tue Apr 26 14:36:33 +0000 2022|Since Speaker Pelosi refuses to bring my bill, the Protection of Women and Girls in Sports Act to the House floor, Republicans look forward to filing a discharge petition tonight. Thank you #RSC for your support! https://t.co/ZLTMz9LuCt|en|R|13|47
1518946480731656193|1083125649609506816|Tue Apr 26 13:33:56 +0000 2022|We must stand behind Ukraine and continue to send them the weapons they need to protect themselves. https://t.co/u7ZjXDcTDN|en|R|3|17
1518622911317299200|1083125649609506816|Mon Apr 25 16:08:11 +0000 2022|"Our U.S. tax dollars will not continue to flow to a country harboring a Hamas Terrorist with American blood on her hands. I introduced legislation to hold the Government of Jordan accountable for their failure to extradite Ahlam al Tamimi. Read more:
https://t.co/SEq2OOjvZQ"|en|R|20|59
1518243368416858114|1083125649609506816|Sun Apr 24 15:00:01 +0000 2022|"Biden’s @StateDepartment has prioritized LGBTQ+ Ukrainian refugees over others in danger.

I’m pressing @SecBlinken for answers as to why he’s picking and choosing refugees based on sex and gender identity. https://t.co/BRkQsX0FP6"|en|R|17|44
1517870708541607937|1083125649609506816|Sat Apr 23 14:19:12 +0000 2022|I recently met with members of North Port’s vibrant Ukrainian community at the European Food Market. Thanks to Oksana for hosting us. While Ukraine fights for their freedom against Putin’s evil aggression, it’s critical we continue ensuring our Ukrainian neighbors are supported. https://t.co/WAeUhaEJ8c|en|R|6|23
1517578878285492224|1083125649609506816|Fri Apr 22 18:59:34 +0000 2022|Join me in thanking April’s FL-17 MVPs and Gold Star Parents, Mitch and Shannon Mesenburg. After losing their son XinHua, the Mesenburgs have tirelessly advocated for suicide prevention, PTSD and TBI awareness &amp; mental health resources for veterans and others in our community. https://t.co/XmKuz9LBwF|en|R|5|18
1517545443026247685|1083125649609506816|Fri Apr 22 16:46:42 +0000 2022|A monumental day here in Sarasota County! It’s a privilege to see the River Rd. project through after years of advocating for it in the FL legislature. River Rd. will soon give SW Floridians a more reliable hurricane evacuation route and alleviate congestion during our commutes. https://t.co/JquOgBjRTi|en|R|3|13
