id|user|created_at|text|lang|label|retweet_count|favorite_count
1507416011150086150|22669526|Fri Mar 25 17:55:58 +0000 2022|Trump tried to hide records related to Jan 6 from investigators &amp; Justice Thomas was the only justice to vote in Tr… https://t.co/2Z6p2zoKTL|en|D|8|22
1507091440396079109|22669526|Thu Mar 24 20:26:14 +0000 2022|Congratulations to Jada Davis, who is already blazing trails and I know will go on to do more amazing things in her… https://t.co/6SiIfsHu8M|en|D|7|33
1507050944281948161|22669526|Thu Mar 24 17:45:19 +0000 2022|.@MarshaBlackburn invokes the Declaration of Independence to void one’s Constitutionally protected right to privacy… https://t.co/iwpB7S65di|en|D|1|13
1506745956221562886|22669526|Wed Mar 23 21:33:24 +0000 2022|Temperament matters. https://t.co/XBQIJ8tQde|fr|D|39|157
1506739492773933062|22669526|Wed Mar 23 21:07:43 +0000 2022|"Since President Biden has taken office, Wisconsin has added 12,400 manufacturing jobs. 

That’s 12,400 Wisconsinite… https://t.co/4kEwrLNqKV"|en|D|7|43
1506727669651619841|22669526|Wed Mar 23 20:20:44 +0000 2022|"I keep a picture of Madeleine Albright on my desk as a ever-present source of inspiration &amp; aspiration.

She did mo… https://t.co/GdD8eNGAo9"|en|D|6|44
1506653649296146440|22669526|Wed Mar 23 15:26:36 +0000 2022|Today is the 12th anniversary of the #AffordableCareAct. The ACA was transformative, providing millions of American… https://t.co/gRXeYobJKG|en|D|8|37
1506369354891411457|22669526|Tue Mar 22 20:36:55 +0000 2022|Girls’ Day was an amazing chance for me to talk with high school and middle school age girls and encourage them to… https://t.co/Ls75v7Pezv|en|D|3|11
1506012902503096321|22669526|Mon Mar 21 21:00:30 +0000 2022|I'm still thrilled that President Biden signed the Six Triple Eight Congressional Gold Medal Act into law last week… https://t.co/qxDaF1Iwgc|en|D|10|33
1505926917777678338|22669526|Mon Mar 21 15:18:50 +0000 2022|"Judge Ketanji Brown Jackson is highly qualified to serve on SCOTUS.

Her experience speaks for itself:
✅Fed appella… https://t.co/TNHuGSb6yi"|en|D|27|95
1505008023613411329|22669526|Sat Mar 19 02:27:29 +0000 2022|Deeply saddened to learn of the loss of my friend and colleague, Rep. Don Young. I’m grateful to have worked with h… https://t.co/bi633eeqsx|en|D|14|62
1504905921369100290|22669526|Fri Mar 18 19:41:46 +0000 2022|"Hair discrimination has cost Black people jobs and denied them opportunities.

We won’t back down from serving our… https://t.co/SMfRfBBPff"|en|D|148|804
1504865226071674887|22669526|Fri Mar 18 17:00:03 +0000 2022|It was such an honor to preside on the House floor and support passage of the #CROWNAct! We need this legislation t… https://t.co/rsFOZKH2cS|en|D|17|77
1504786232081068061|22669526|Fri Mar 18 11:46:09 +0000 2022|Today, I will be presiding over the House floor as we debate the #CROWNAct!|en|D|8|110
1504589714560540673|22669526|Thu Mar 17 22:45:16 +0000 2022|The Biden administration and Democrats are building an economy where more Black business owners can open up shop an… https://t.co/jcii1KsGoe|en|D|4|15
1504526035924226053|22669526|Thu Mar 17 18:32:14 +0000 2022|Wishing everyone in Milwaukee a very happy #StPatricksDay! https://t.co/hZsZj5AzZj|en|D|4|82
1504227697593143309|22669526|Wed Mar 16 22:46:44 +0000 2022|Most women on public assistance work, what they need is for Senators to work for them. https://t.co/YN3xy3JBuo|en|D|110|446
1504215001917177867|22669526|Wed Mar 16 21:56:18 +0000 2022|Wisconsin 🚨 Don’t miss BadgerCare Plus or Medicaid changes expected in 2022. Update your address, phone, and email… https://t.co/I5XunVYxHv|en|D|4|3
1504157748702986247|22669526|Wed Mar 16 18:08:47 +0000 2022|.@GovEvers is leading a strong economic recovery and it’s paying off for working people in Wisconsin! https://t.co/q3o9mTXEqX|en|D|3|13
1504144858163912709|22669526|Wed Mar 16 17:17:34 +0000 2022|"We remember the eight people who lost their lives one year ago in a hateful attack targeted at Asian-Americans. 

T… https://t.co/zihGvlN6Lz"|en|D|10|29
1503867553986355200|22669526|Tue Mar 15 22:55:40 +0000 2022|"Corporations are hiking gas prices right now even as the price of oil is going down to make even more money. 

Your… https://t.co/R7zi0PTnWA"|en|D|122|324
1503843904839430146|22669526|Tue Mar 15 21:21:41 +0000 2022|As refugees flee for their lives in Ukraine, the last thing they should have to worry about is facing racism and di… https://t.co/n7hnV9RebK|en|D|13|21
1503824699805024264|22669526|Tue Mar 15 20:05:22 +0000 2022|If you really want to help families struggling with inflation, join me in supporting the renewal of the Child Tax C… https://t.co/iMDOyWYbFW|en|D|11|30
1503800102519029764|22669526|Tue Mar 15 18:27:38 +0000 2022|"Gender inequalities have a real cost to women that we are reminded of today. 

We must close the wage gap and secur… https://t.co/qHF2aV2xhu"|en|D|5|12
1503436296882171907|22669526|Mon Mar 14 18:22:00 +0000 2022|BREAKING 🚨 My legislation to award a Congressional Gold Medal to members of Six Triple Eight is now signed into law… https://t.co/ocr4lEXZBH|en|D|20|71
1503432606506967040|22669526|Mon Mar 14 18:07:20 +0000 2022|Congrats to @MarquetteU and @UWMadison for making it to the NCAA March Madness Tournament! Good luck to both school… https://t.co/u8JZIoWKso|en|D|4|28
1502439307017076738|22669526|Sat Mar 12 00:20:19 +0000 2022|"Today marks one year since the passage of the American Rescue Plan. 

Thanks to Democrats and President Biden, we h… https://t.co/bmf7QdzKWc"|en|D|6|23
1502385864898396162|22669526|Fri Mar 11 20:47:57 +0000 2022|"The American Rescue Plan reduced the misery index people were facing during trying times. 

I am proud that we adva… https://t.co/PRfj17XgwQ"|en|D|1|7
1502301732419866628|22669526|Fri Mar 11 15:13:39 +0000 2022|"Ms. Anna Mae Wilson Robertson of Milwaukee lived Six Triple Eight's motto of ""No Mail, Low Morale,"" working in 24/7… https://t.co/gz2HxPYPwo"|en|D|35|132
1502050602418905088|22669526|Thu Mar 10 22:35:45 +0000 2022|Staying aware can protect you from scams. If you receive a suspicious call, text, or email that mentions Social Sec… https://t.co/8VRzN8WFlw|en|D|6|7
1502041006828666881|22669526|Thu Mar 10 21:57:37 +0000 2022|A year after its passage, the #AmericanRescuePlan is closing the #DigitalDivide in MKE. Our district has received o… https://t.co/bc2fwKN0UT|en|D|9|18
1502010896272535562|22669526|Thu Mar 10 19:57:58 +0000 2022|Great news! More *free* COVID-19 tests are available for you and your family. Each household can submit two orders,… https://t.co/vaNCmVe1r1|en|D|5|9
1501996029541072903|22669526|Thu Mar 10 18:58:53 +0000 2022|I worked at an abortion clinic supporting patients and counseling them, so I have a deep and personal appreciation… https://t.co/qsDUlggQgW|en|D|18|124
1501775375948562436|22669526|Thu Mar 10 04:22:05 +0000 2022|Democrats and the Biden administration are working to #BuildABetterAmerica. In this year’s funding package, Democra… https://t.co/5dw7zIsDfZ|en|D|6|17
1501721306315821059|22669526|Thu Mar 10 00:47:14 +0000 2022|"I had my first asthma attack shoveling coal into a furnace. 

During a @HouseScience committee hearing on the clima… https://t.co/C7vbS30hST"|en|D|4|16
1501617269536964622|22669526|Wed Mar 09 17:53:50 +0000 2022|Celebrating #WomensHistoryMonth with the amazing @BillieJeanKing! https://t.co/VhZ7TqxzV8|en|D|8|129
1501345891277438976|22669526|Tue Mar 08 23:55:28 +0000 2022|Shukri was a wonderful intern in my office, and I’m so proud that she has went on to do such great things! Team Moo… https://t.co/Q1MM7Sa26B|en|D|8|68
1501298998770032640|22669526|Tue Mar 08 20:49:08 +0000 2022|"School social workers help young people facing mental health challenges but are in short supply in many schools.

I… https://t.co/o5K6frMJ0k"|en|D|21|38
1501241268902498311|22669526|Tue Mar 08 16:59:44 +0000 2022|On #InternationalWomensDay, I think of what it means to be an uppercase G (aka great-grandmother). I think of what… https://t.co/mRj5ugQRyk|en|D|3|15
1501227157116239876|22669526|Tue Mar 08 16:03:40 +0000 2022|"Ron Johnson wants to take away health care for millions of Americans, including his own constituents. 

Wisconsinit… https://t.co/M5rluChJDy"|en|D|52|150
1500960130732638217|22669526|Mon Mar 07 22:22:36 +0000 2022|57 yrs ago, brave individuals, including my friend Congressman John Lewis, peacefully marched to demand an end to v… https://t.co/gc3M2cFmCG|en|D|21|73
1500935026959171588|22669526|Mon Mar 07 20:42:51 +0000 2022|I remain committed to addressing the global domestic violence crisis, which is why I support @RepAndreCarson's reso… https://t.co/5CMsQUSfOl|en|D|5|16
1500916733699399682|22669526|Mon Mar 07 19:30:09 +0000 2022|I'm so thrilled to announce that MKE's public transit system will receive more than $6.8 million in American Rescue… https://t.co/Kn8WsNwRQs|en|D|34|266
1500595648743235588|22669526|Sun Mar 06 22:14:17 +0000 2022|When Ms. Robertson and other Six Triple Eight members served overseas during WWII, they did so out of a love that w… https://t.co/ZXje7TkmqJ|en|D|8|26
1500260021271244800|22669526|Sun Mar 06 00:00:37 +0000 2022|Wishing the happiest of birthdays to Ms. Anna Mae Wilson Robertson, who is turning 98 yrs old today! What a blessin… https://t.co/dwTm0zLoqh|en|D|16|95
1499861271902134279|22669526|Fri Mar 04 21:36:07 +0000 2022|This week's @WaysMeansCmte hearing was informative &amp; I was able to hear from experts on how we can better support t… https://t.co/qN6SC7rXjr|en|D|2|10
1499846305660776449|22669526|Fri Mar 04 20:36:39 +0000 2022|This economic growth is happening because Democrats made it a priority to fight the pandemic, lift up struggling sm… https://t.co/ebnRQvfOTg|en|D|16|30
1499508409393164289|22669526|Thu Mar 03 22:13:58 +0000 2022|Today, @SpeakerPelosi hosted a ceremony to celebrate House passage of the Six Triple Eight Congressional Gold Medal… https://t.co/AIvUn07KDe|en|D|10|34
