id|user|created_at|text|lang|label|retweet_count|favorite_count
1507361158554177537|24745957|Fri Mar 25 14:18:00 +0000 2022|Congress needs to pass my &amp; @ChrisMurphyCT’s #SCOTUS Ethics Act—transparency &amp; accountability at our highest court… https://t.co/ypK9Th1vh2|en|D|13|26
1506706287148638212|24745957|Wed Mar 23 18:55:46 +0000 2022|The Affordable Care Act represented a generational step forward in the fight to secure quality, affordable health c… https://t.co/5Wh9unly3C|en|D|1|10
1506624836822515716|24745957|Wed Mar 23 13:32:07 +0000 2022|Join me tonight as we continue to celebrate #WomensHistoryMonth with the presentation of the trailblazer awards to… https://t.co/ZEK2bx4iya|en|D|3|8
1506624371187765249|24745957|Wed Mar 23 13:30:16 +0000 2022|"How are patients more protected after 12 years of the Affordable Care Act?
✅Protections for over 135 million Americ… https://t.co/D1bE3eHe3O"|en|D|9|9
1506471490035798016|24745957|Wed Mar 23 03:22:46 +0000 2022|Everyone deserves the right to make decisions privately in regard to planning a family, including access to birth c… https://t.co/Nl3clHTMbq|en|D|4|15
1506297877412425743|24745957|Tue Mar 22 15:52:54 +0000 2022|.@SIFMAFoundation we are all so proud to support @LibertyMiddle as they take on the 2022 #CapitolHillChallenge! Thi… https://t.co/3FHlte0nA9|en|D|3|7
1506007204436004865|24745957|Mon Mar 21 20:37:52 +0000 2022|The situation in Cameroon is dire and requires Congress to immediately pass H.R. 5564, the Cameroon TPS Act of 2021… https://t.co/TbUg89eCLe|en|D|29|66
1505960216025878528|24745957|Mon Mar 21 17:31:09 +0000 2022|"Judge Ketanji Brown Jackson has been confirmed by the Senate on a bipartisan basis three times. 
Our country is for… https://t.co/XM6buOdwpw"|en|D|12|50
1505930995266203651|24745957|Mon Mar 21 15:35:02 +0000 2022|.@TharonJohnson thanks for the @TheGeorgiaGang shoutout for my #FAIRAct, which passed the House last week. #FAIRAct… https://t.co/mLTLMxEtno|en|D|1|3
1505691860148359169|24745957|Sun Mar 20 23:44:48 +0000 2022|This #WomensHistoryMonth, let's also remember and celebrate the women who help keep America safe by serving in unif… https://t.co/JvGG8KqNXu|en|D|8|20
1505674328356052996|24745957|Sun Mar 20 22:35:08 +0000 2022|"It’s time for Congress to act. 
Georgia’s Southern District is probably one of the worst places in America to be po… https://t.co/0JOzMExHkS"|en|D|10|26
1505619010678886400|24745957|Sun Mar 20 18:55:19 +0000 2022|I proudly voted to impose the harshest sanctions yet in response to Vladimir Putin’s cruel invasion of #Ukraine.… https://t.co/NvoHw1eOtM|en|D|8|28
1504930896008425479|24745957|Fri Mar 18 21:21:00 +0000 2022|A 2nd your thoughts sir! Thank you to all our transit operators! It's one of the reasons I proposed Stronger Commun… https://t.co/Q9zqPpl9Mc|en|D|4|6
