id|user|created_at|text|lang|label|retweet_count|favorite_count
1520061696781467650|237763317|Fri Apr 29 15:25:24 +0000 2022|"The Biden ""Experts""

Border Czar ➡️ Wants open borders

Disinformation Board Pick ➡️ Spreads disinformation

Education Secretary ➡️ Teaches kids CRT

Labor Secretary ➡️ Kills jobs

Energy Secretary ➡️ Sends gas prices through the roof

HHS Secretary ➡️ Promotes gender transitions"|en|R|86|164
1520050502628790273|237763317|Fri Apr 29 14:40:55 +0000 2022|Biden's Ministry of Truth pick spread disinformation about Hunter Biden's laptop during the 2020 election. https://t.co/kCmVbYYOgo|en|R|6|27
1519675602080608260|237763317|Thu Apr 28 13:51:12 +0000 2022|"In America, we need the economic leadership displayed by President Trump in the White House — not more Biden fumbles and incompetence.

https://t.co/2tpRLlHOoZ"|en|R|1|10
1519424851014037504|237763317|Wed Apr 27 21:14:48 +0000 2022|"As a cattle farmer in Missouri, I understand the importance of ensuring our cattle producers have a level playing field on the farm, at auction, and in the marketplace.

Pleased to join my @HouseAgGOP colleagues in a hearing to discuss the current state of our cattle markets. https://t.co/sYT8039WdZ"|en|R|0|15
1519354522539368453|237763317|Wed Apr 27 16:35:21 +0000 2022|Bribing voters instead of working for them is the Biden Playbook: Free money and no solutions at the expense of the American people. https://t.co/4wyL5EwyXK|en|R|10|24
1519303549074780162|237763317|Wed Apr 27 13:12:48 +0000 2022|Spring has come to the U.S. Capitol! 🌺 https://t.co/wd36xTDgGR|en|R|2|31
1518963938314051591|237763317|Tue Apr 26 14:43:18 +0000 2022|"Joe Biden has been in the White House for 461 days.

ZERO of those days have been spent addressing the #BidenBorderCrisis. https://t.co/Bvy3fDagjS"|en|R|72|219
1518951197142654980|237763317|Tue Apr 26 13:52:40 +0000 2022|This sounds familiar. https://t.co/9A6LTyvw43 https://t.co/Q1xk652UgM|en|R|2|14
1518657519454982144|237763317|Mon Apr 25 18:25:42 +0000 2022|"We must protect our 2A rights.

That's why I'm leading the effort against the ATF and DOJ's latest burdensome and unconstitutional gun rule.

The ATF’s expanded definition of a firearm effectively expands their already illegal billion-record gun registry.
https://t.co/MDwXg7jXPF"|en|R|26|91
1518615095139520512|237763317|Mon Apr 25 15:37:07 +0000 2022|"Today, Coach Kennedy is defending America’s God-given rights of freedom of religion and speech before #SCOTUS.

Thank you for your fearless efforts for the American people! https://t.co/K0daF7F2kU"|en|R|4|15
1518594636717174784|237763317|Mon Apr 25 14:15:50 +0000 2022|"Biden created a #BorderCrisis, #InflationCrisis, #EnergyCrisis, and a #CrimeCrisis in America.

Biden’s plan: “I’m getting out on the road again instead of dealing with the day-to-day emergencies in my office” https://t.co/vsGwJSlb6J"|en|R|1|6
1518580961637810177|237763317|Mon Apr 25 13:21:29 +0000 2022|"The cows are happy this morning and the wheat is coming up.

It’s a blessing to be a farmer and help feed the world. https://t.co/wa0uikmkXU"|en|R|7|65
1517570494115024896|237763317|Fri Apr 22 18:26:15 +0000 2022|On #EarthDay, Biden emitted over 200,000 pounds of CO2 flying across the country on Air Force 1 to lecture Americans about the environment. https://t.co/tFX1und02r|en|R|20|53
