id|user|created_at|text|lang|label|retweet_count|favorite_count
1506319465302183938|389840566|Tue Mar 22 17:18:41 +0000 2022|#TeamHorsford had the pleasure of speaking alongside Judge TC Williams to the young minds of @jackandjilllv at the… https://t.co/UMDNjVQNOj|en|D|2|6
1505928778551377923|389840566|Mon Mar 21 15:26:14 +0000 2022|"Let's talk resumes... Judge Jackson has served as a:
✅Federal appellate judge,
✅ Federal district court judge,
✅ Me… https://t.co/iigDMACOKH"|en|D|32|78
1504920100931088385|389840566|Fri Mar 18 20:38:06 +0000 2022|Black women are 1.5X more likely to be sent home from work because of their hair. Discrimination against Black wome… https://t.co/xM9ot6yUvF|en|D|8|20
1504210162709676043|389840566|Wed Mar 16 21:37:04 +0000 2022|Today I was honored to join @SpeakerPelosi , The Crongessional Asian Pacific American Caucus Chair Chu, and… https://t.co/HKxhbZbCF0|en|D|2|18
1503382568338857986|389840566|Mon Mar 14 14:48:30 +0000 2022|CDC data shows that black women face 3x the maternal mortality risk than white women do.|en|D|56|107
1501947000698245122|389840566|Thu Mar 10 15:44:04 +0000 2022|Earlier this week, Congress finally passed the bipartisan Emmett Till Anti-Lynching Act (H.R.55). Since 1900, there… https://t.co/6zaDsDXmqY|en|D|3|22
1501760655380160513|389840566|Thu Mar 10 03:23:36 +0000 2022|I am pleased to announce I secured $8,858,000 in community project funding for Nevada’s 4th district. This funding… https://t.co/qhIza9oJO2|en|D|19|126
1501726647380234240|389840566|Thu Mar 10 01:08:28 +0000 2022|Today I had the pleasure of co-moderating a roundtable with my colleague @RepFletcher . We had an opportunity to sp… https://t.co/6i2H6613yw|en|D|7|18
1501620832480768004|389840566|Wed Mar 09 18:07:59 +0000 2022|This week, I had the pleasure of meeting with some amazing members of The Professional Fire Fighters of Nevada (PFF… https://t.co/nCkyCK0wah|en|D|2|7
1501302262542610440|389840566|Tue Mar 08 21:02:06 +0000 2022|Let's #BreakTheBias this year to celebrate International Women’s Day, and create a gender-equal world! https://t.co/HLeJF7Q6Sl|en|D|1|4
1498847212457005057|389840566|Wed Mar 02 02:26:37 +0000 2022|Anna Marie Binder @deepNVoperative is my virtual guest today to @potus  #sotu address 🇺🇸 she is a parent ambassador… https://t.co/bx4fe4iCjv|en|D|8|36
1497422932699611142|389840566|Sat Feb 26 04:07:02 +0000 2022|Glad to be able to join @BMAlliance’s roundtable and discuss my support for Medicare Advantage. We must ensure Neva… https://t.co/YQrF4pNvR3|en|D|7|12
1497290520787259392|389840566|Fri Feb 25 19:20:53 +0000 2022|In the more than 200-year history of the SCOTUS, never has a Black woman been nominated or confirmed. President Bid… https://t.co/XcMNPzOLBF|en|D|7|50
1496938521944211456|389840566|Thu Feb 24 20:02:10 +0000 2022|Putin’s Cold War nostalgia will be his undoing. Ukrainians are fighting back, and the international community is wo… https://t.co/12ZYByX0aE|en|D|8|40
1496713445856583680|389840566|Thu Feb 24 05:07:47 +0000 2022|This evening's attack confirms the worst fears of the free world. Putin's invasion will be an unmitigated tragedy f… https://t.co/Jl4VBOKVpD|en|D|13|75
1492204255708520450|389840566|Fri Feb 11 18:29:53 +0000 2022|Thank you Mrs. Landra Reid for your kind note. @SenadorReid will always be in our hearts. https://t.co/pIr1zxmRmg|en|D|3|9
1491578238551805952|389840566|Thu Feb 10 01:02:18 +0000 2022|It was an honor to meet with the Nevada Letter Carriers this week as we voted to pass the Postal Reform Act of 2022… https://t.co/ZvIS0p6kgv|en|D|8|21
1490804031563853826|389840566|Mon Feb 07 21:45:53 +0000 2022|My condolences go out to the families affected in this tragic accident. I joined the vigil as we mourn the lives lo… https://t.co/kl1Z8ZsO5x|en|D|4|14
1489621399387840512|389840566|Fri Feb 04 15:26:32 +0000 2022|As a longtime advocate of unions; I strongly support the rights of Congressional staff to organize. It’s healthy fo… https://t.co/qAyefjUwN8|en|D|36|130
1488683374348697602|389840566|Wed Feb 02 01:19:09 +0000 2022|Wishing all Nevadans a happy Lunar New Year! May everyone have peace, prosperity and good health in 2022.… https://t.co/nJ3nENyOpP|en|D|6|18
1484677568968155141|389840566|Sat Jan 22 00:01:31 +0000 2022|Heads up: If you received #ChildTaxCredit payments or stimulus payments in 2021, the IRS is sending you a letter wi… https://t.co/XPEJjB3NOE|en|D|6|9
1484617411101958150|389840566|Fri Jan 21 20:02:28 +0000 2022|"Have you ordered your at-home #COVID19 tests?
 
Starting this week, every household is eligible to order FOUR free… https://t.co/TWtygbZw83"|en|D|8|10
1484557209333870592|389840566|Fri Jan 21 16:03:15 +0000 2022|"Dark money doesn’t belong in politics.
 
For 12 years, Citizens United has allowed unlimited dark money to flow int… https://t.co/8bga1t6N9M"|en|D|21|65
1484354444745527298|389840566|Fri Jan 21 02:37:32 +0000 2022|My condolences to the Members of @dstinc1913 on the passing of National President Cheryl A. Hickmon. I pray that th… https://t.co/0r701OBMJf|en|D|4|8
1484345214965731333|389840566|Fri Jan 21 02:00:51 +0000 2022|"Team Horsford was honored to attend the Las Vegas Annual MLK Scholarship Awards Banquet last weekend!
 
Congratulat… https://t.co/uv9GiefptC"|en|D|3|9
1484315199288995843|389840566|Fri Jan 21 00:01:35 +0000 2022|Under the leadership of President Biden and Democrats in Congress, 2021 was the best year for job creation in histo… https://t.co/spqKPTwWIq|en|D|6|16
1484254896606097412|389840566|Thu Jan 20 20:01:58 +0000 2022|"Voters should determine the outcome of our elections — not politicians or special interests.

I voted to pass the… https://t.co/RDOBGtlMW5"|en|D|6|13
1484224777833394180|389840566|Thu Jan 20 18:02:17 +0000 2022|"Have you ordered your FREE at-home #COVID19 tests?

The federal government is giving away 4 free tests per househol… https://t.co/76iMoyJ6eX"|en|D|2|6
1483892470891089925|389840566|Wed Jan 19 20:01:49 +0000 2022|"NEW: Starting this week, every US household is eligible to order 4 free at-home #COVID19 tests.

Ordering tests now… https://t.co/cyr9450858"|en|D|0|1
1483862403163033604|389840566|Wed Jan 19 18:02:20 +0000 2022|Since the Supreme Court weakened voting rights, Southern states have closed hundreds of voting locations and made i… https://t.co/RyU9ZnocmB|en|D|21|53
1483847198567813121|389840566|Wed Jan 19 17:01:55 +0000 2022|Recently, @RepTerriSewell and I sat down with #NV04 leaders and moms to talk about improving Black maternal health.… https://t.co/k2Izfhw2EU|en|D|9|28
1483530130614071300|389840566|Tue Jan 18 20:02:00 +0000 2022|"Does your family need help with energy bills?
 
Thanks to the #AmericanRescuePlan that I voted to pass, nearly $25… https://t.co/i8i8RLbsSi"|en|D|16|26
1483484758910717954|389840566|Tue Jan 18 17:01:42 +0000 2022|"Nevadans shouldn’t have to go to work sick just to put food on the table.

I voted for the #BuildBackBetter Act to… https://t.co/Y9zCInwoit"|en|D|4|10
1483099366793650184|389840566|Mon Jan 17 15:30:18 +0000 2022|"We cannot celebrate Dr. King’s birthday while voting rights remain under attack.
 
But we can — and we must — squar… https://t.co/sJG4w0JOO6"|en|D|22|77
1482895574298992644|389840566|Mon Jan 17 02:00:30 +0000 2022|"COVID-19 testing is:
✔️ Free ✔️ Fast ✔️ Available

If you are worried about exposure, please get tested as soon as… https://t.co/qSqYs7Zy4K"|en|D|5|8
1482744779934945287|389840566|Sun Jan 16 16:01:18 +0000 2022|I’m working to pass the Freedom to Vote: John R. Lewis Act into law because I believe American democracy is worth f… https://t.co/zQDuG0MOQM|en|D|41|194
1482457687677882374|389840566|Sat Jan 15 21:00:30 +0000 2022|Last week, I was glad to sit down with Kipp Ortenburger of @VegasPBS to talk about expanding health care and opport… https://t.co/wJoWWY71XI|en|D|3|7
