id|user|created_at|text|lang|label|retweet_count|favorite_count
1519840144349708288|233949261|Fri Apr 29 00:45:02 +0000 2022|Great pick! #GoBlue #GoLions https://t.co/Y2t0KYU49Z|en|R|2|11
1519733741295386624|233949261|Thu Apr 28 17:42:13 +0000 2022|. @cathymcmorris: Remember when Secretary Granholm was asked about her plan to increase oil production in America? She laughed. Since then, prices have soared and left families, farmers, and small businesses in Michigan and across the nation struggling to make ends meet. https://t.co/K25jK9B8fH|en|R|3|16
1519728438940246016|233949261|Thu Apr 28 17:21:09 +0000 2022|Secretary Granholm has been the key figure implementing Joe Biden's failed energy policies that have caused home heating prices and prices at the pump to soar in Michigan and across the nation. I too am interested in seeing her plan @cathymcmorris! https://t.co/TyyIiIBzo6|en|R|1|8
1519689530571464710|233949261|Thu Apr 28 14:46:33 +0000 2022|GDP shrinking by 1.4% is the latest example of how the Biden/Pelosi/Schumer agenda has hurt our economy.  Now, Dems are doubling down w/ tax hikes on #smallbiz &amp; families as they face record inflation. This will make our problems worse by weakening economic security for Americans|en|R|5|8
1519131610553200641|233949261|Wed Apr 27 01:49:34 +0000 2022|Definitely. Especially since there seems to be much more to the story well over a year later … https://t.co/k4MKbweiI4|en|R|13|56
1518666890209644544|233949261|Mon Apr 25 19:02:56 +0000 2022|Let the mass hysteria in Lib-land commence… @elonmusk has preserved free speech. https://t.co/tq0Z4rdIGm|en|R|5|32
1516153391180914693|233949261|Mon Apr 18 20:35:11 +0000 2022|Finally. This common sense ruling is long overdue. I have called for and supported legislation ending this overreaching mandate. (1/2) https://t.co/ThPhxSxh8u|en|R|5|21
1516103041732255745|233949261|Mon Apr 18 17:15:07 +0000 2022|. @GaryGensler is trying to rewrite existing laws in order to expand his jurisdiction over #digitalasset market participants. Recent, rushed rule-making will expand @SECGov authority, leaving Congress on the sidelines. See @PatrickMcHenry and my response below https://t.co/qtBaDYUn6e|en|R|637|1871
1512097748845223943|233949261|Thu Apr 07 15:59:31 +0000 2022|.@USTreasury is sitting on $102 million it can immediately deploy for this Ukraine fund, but @IMFNews wants it for a China-led, Russia-backed Resilience and Sustainability Trust. @SecYellen should tell the IMF that rebuilding Ukraine is the priority. https://t.co/RVMM45N6t2|en|R|3|6
1511712259105509377|233949261|Wed Apr 06 14:27:43 +0000 2022|"Hello, Biden administration? This is Oceania calling… we would like our Memory Hole back. 
#doublethink https://t.co/CtmDdDea9r"|en|R|1|1
1511443657454411789|233949261|Tue Apr 05 20:40:23 +0000 2022|The #JOBSAct gave renewed hope for America’s #SmallBiz, startups, &amp; entrepreneurs by removing red tape and fostering new opportunities. Sadly, the Biden Admin &amp; @SECGov don't have a vision for economic growth. They only understand growing the regulatory state, no matter the cost.|en|R|2|12
1509726319235543045|233949261|Fri Apr 01 02:56:18 +0000 2022|When I was at the border in Del Rio TX earlier this month our group of 14 members of Congress saw the stress and strain on the men and women of @CBP who are doing their best in an impossible situation. This Admin must give them more support, not make their jobs harder. https://t.co/pgAk7NAYrM|en|R|5|11
1509624533749317636|233949261|Thu Mar 31 20:11:50 +0000 2022|In yesterday's @FinancialCmte hearing, I pressed Democrats on their unwillingness to hold @GaryGensler's SEC accountable. It is extremely troubling to me that the SEC seems more intent on pursuing highly politicized regulatory undertakings than focusing on its core mission. https://t.co/2czhIRKEhp|en|R|403|1224
1509129380727070724|233949261|Wed Mar 30 11:24:17 +0000 2022|The Dean will be missed… Blessings and Peace to his family and friends. #RegularOrder https://t.co/IDKZ1t48f9|en|R|1|8
1508174393255604237|233949261|Sun Mar 27 20:09:30 +0000 2022|"One of my favorites!! We need to show this in Washington again…
“I’m just an Executive Order, yes, I’m only an Executive Order. And I’m sit’n here at 1600.” Just doesn’t have the same ring to it, does it. #SchoolhouseRock https://t.co/OnewKoSpyX"|en|R|4|17
1507833855004360707|233949261|Sat Mar 26 21:36:19 +0000 2022|Common sense has to return to these transportation situations… https://t.co/ULVuSpgnv2|en|R|2|8
1506238003630546956|233949261|Tue Mar 22 11:54:59 +0000 2022|The Chairman of the SEC can appear in person w/ celebrities, but can’t show up in person for meetings. The SEC should not expand its authority to enact Joe Biden’s radical agenda w/o congressional approval. Congress must conduct oversight of the SEC and rein in this overreach. https://t.co/iPRj5VeAt4|en|R|454|1547
1505377121794940928|233949261|Sun Mar 20 02:54:09 +0000 2022|My East bracket is busted up already so, why not St Peters?!? Congrats and Go Peacocks!! Until you meet Arkansas…@MarchMadnessMBB #MarchMadness|en|R|3|6
1505375827994808325|233949261|Sun Mar 20 02:49:00 +0000 2022|Incredible! Saint Peter’s is going to the #SweetSixteen! #MarchMadness|en|R|2|7
1504988353476939776|233949261|Sat Mar 19 01:09:19 +0000 2022|March Madness continues! Illinois battles back to get the W and avoid the upset! #GoBigTen|en|R|1|3
1504897593800802307|233949261|Fri Mar 18 19:08:40 +0000 2022|Under Gary Gensler, the SEC continues to promote the Biden Administration’s radical environmental agenda. Congress has not granted the SEC this authority.  The SEC should remain focused on protecting investors not pleasing the far left. Read my letter to the SEC below. https://t.co/bkHFrKYPoC|en|R|295|998
1504638287813783554|233949261|Fri Mar 18 01:58:17 +0000 2022|I had KY going into the Elite 8 and getting beaten by UCLA… so this hurt my bracket too! And sorry @RepAndyBarr https://t.co/1WR7gZS50W|en|R|2|3
1504635023529590784|233949261|Fri Mar 18 01:45:19 +0000 2022|March Madness living up to its name! Wow! Congratulations Saint Peter’s!|en|R|3|11
1504614030845087744|233949261|Fri Mar 18 00:21:53 +0000 2022|Thanks for joining on Debbie! https://t.co/qAUK132ipk|en|R|2|13
1504114225567997954|233949261|Wed Mar 16 15:15:51 +0000 2022|The Vice President of Supervision at the Fed has now been vacant for six months. Now is the time for President Biden to stop playing games and put forth a nominee that will not stray from the Fed's mission of stable prices and full employment. https://t.co/E9qOGisvOt|en|R|3|4
1502003253999030273|233949261|Thu Mar 10 19:27:36 +0000 2022|Just take a glance… this is the tip of the (financial) iceberg. And now we have the official return of “earmarks” not related to federal projects or federal agencies. I chose to not submit any requests bc I was afraid it would become a spending spree. Sadly, I was proven right. https://t.co/zv1fs3ADuD|en|R|5|8
