id|user|created_at|text|lang|label|retweet_count|favorite_count
1507398478284140550|1082086081238102018|Fri Mar 25 16:46:17 +0000 2022|.@ChrisMurphyCT invited me to join his annual St. Patrick's Day breakfast. Refreshing to see everyone again to cele… https://t.co/kHKlvnnIJ1|en|D|2|8
1507326546943610887|1082086081238102018|Fri Mar 25 12:00:28 +0000 2022|As we approach the final days of #WomensHistoryMonth, I would like to applaud the trailblazing women of CT05 who ar… https://t.co/BuYl6SiN43|en|D|1|5
1507024562482987010|1082086081238102018|Thu Mar 24 16:00:29 +0000 2022|"Throughout the pandemic, we saw a dramatic rise in gun violence. The time for action is NOW.
 
I joined my colleagu… https://t.co/ElDcGgTtz7"|en|D|8|15
1506960299705970691|1082086081238102018|Thu Mar 24 11:45:08 +0000 2022|"Good Morning ☀
 
In just a few minutes I will be LIVE with @bshactman on @WTIC1080. You won't want to miss this tim… https://t.co/AfFiBsP49f"|en|D|1|6
1506779587572903939|1082086081238102018|Wed Mar 23 23:47:02 +0000 2022|TOMORROW: I will be joining @bshactman LIVE on @WTIC1080 at 8:00am. Listen in ➡️ https://t.co/u3bsWPvdHA|en|D|5|6
1506754141737082889|1082086081238102018|Wed Mar 23 22:05:56 +0000 2022|Today, the Manufacturing Alliance Service Corps unveiled the ARBURG Plastic Injection Molding Machine, which will e… https://t.co/AZUHcND4GY|en|D|3|5
1506662208465522689|1082086081238102018|Wed Mar 23 16:00:37 +0000 2022|"🎉Congratulations to our #CT05 U.S. Presidential Scholars 🎉 
Each year, @usedgov recognizes distinguished graduating… https://t.co/dUGP64mgTC"|en|D|3|10
1506618453398065156|1082086081238102018|Wed Mar 23 13:06:45 +0000 2022|We are always striving for the best outcomes for CT-05. If you need help, please reach out to my office at (860) 22… https://t.co/Dtmw1ljQvE|en|D|3|10
1506360568659251208|1082086081238102018|Tue Mar 22 20:02:01 +0000 2022|Found my way into a classroom this morning @WestConn for an Intro to Government class. Fascinating to share with st… https://t.co/edxNuOcHGR|en|D|8|35
1506269621292351492|1082086081238102018|Tue Mar 22 14:00:37 +0000 2022|Happy #NationalAgricultureDay to all of our CT-05 farmers. Pleased to be your advocate on the @HouseAgDems Committe… https://t.co/bgcv46xHhi|en|D|5|20
1506239398328909826|1082086081238102018|Tue Mar 22 12:00:31 +0000 2022|#OTD 50 years ago Congress voted to pass the Equal Rights Amendment to ensure every person in this country, regardl… https://t.co/pkcAhA6OiZ|en|D|6|14
1505968378107863046|1082086081238102018|Mon Mar 21 18:03:35 +0000 2022|"#TeamHayes met with New Opportunities to discuss the re-authorization of Community Services Block Grants (CSBG) 

C… https://t.co/HlFu9l8gBq"|en|D|2|4
1505929593680769024|1082086081238102018|Mon Mar 21 15:29:28 +0000 2022|".@CCIA_info celebrates the historic passage of the Infrastructure Investment and Jobs Act.

With the slimmest of ma… https://t.co/umO7MerRMj"|en|D|4|10
1505892120695029765|1082086081238102018|Mon Mar 21 13:00:34 +0000 2022|#TeamHayes caught up with the Northwest CT Chamber of Commerce to share our #CT05 Community Funding Project wins. L… https://t.co/5crXzhCEC1|en|D|4|8
1505346963881054213|1082086081238102018|Sun Mar 20 00:54:18 +0000 2022|I think you better call Tyrone…and tell him congrats  on winning FIRST place in the regional robotics competition 🤖… https://t.co/67JfsyayJX|en|D|5|22
1505320238874779652|1082086081238102018|Sat Mar 19 23:08:07 +0000 2022|Great afternoon with Shepaug Valley High School students at their annual World Affairs Forum. Tremendous display of… https://t.co/COglxgHzku|en|D|4|23
1505205323430346752|1082086081238102018|Sat Mar 19 15:31:29 +0000 2022|Thank you @CCMAdvocacy for hosting Representation Matters; Are You Ready to Run for Local Office ~ to encourage mor… https://t.co/ZdPwdj6jcS|en|D|5|18
1504910638258266114|1082086081238102018|Fri Mar 18 20:00:30 +0000 2022|A win for New Britain ✔ https://t.co/6xNAED9yKu|en|D|2|9
1504895733882830849|1082086081238102018|Fri Mar 18 19:01:17 +0000 2022|Small businesses are still facing the impacts of COVID-19 &amp; are in dire need of relief. I joined my colleagues to u… https://t.co/VNcMTRD0pe|en|D|30|63
1504885603653103617|1082086081238102018|Fri Mar 18 18:21:01 +0000 2022|This week, I joined my colleagues in Congress to hear from Ukrainian President Volodymyr Zelenskyy. You don’t recei… https://t.co/blgGhNjvYc|en|D|9|38
1504857697828671491|1082086081238102018|Fri Mar 18 16:30:08 +0000 2022|During #WomensHistoryMonth, I applaud the remarkable women who are breaking down barriers for women &amp; families. Joi… https://t.co/M8FSNFlkAp|en|D|4|14
1504835936814776356|1082086081238102018|Fri Mar 18 15:03:40 +0000 2022|Natural hair should be worn with pride and without fear of discrimination. Today the House voted to pass the… https://t.co/UVfRffCYpM|en|D|2521|26748
1504820054382235648|1082086081238102018|Fri Mar 18 14:00:33 +0000 2022|A win for Avon ✔ https://t.co/bkLMnEuXEj|en|D|1|11
