id|user|created_at|text|lang|label|retweet_count|favorite_count
1520116815254413317|1080191866509901826|Fri Apr 29 19:04:25 +0000 2022|"We owe it to men &amp; women of our military to ensure they have the resources to succeed in civilian life after their service.

Proud to do my part by offering a 2 yr @HouseWarriors Fellowship in my CO office.

To apply, search “Wounded Warrior Fellow” at https://t.co/te4YYn92eF https://t.co/MWf8jSnDnf"|en|D|10|52
1520044271151337482|1080191866509901826|Fri Apr 29 14:16:09 +0000 2022|"NEW: As we rebuild from COVID, workers are changing paths &amp; looking for different opportunities.

Proud to join in introducing the bipartisan Small Business Workforce Pipeline Act, connecting workers with learning opportunities to reskill &amp; upskill in the post-pandemic world. https://t.co/bbP4DOWL6k"|en|D|13|41
1519779388413329409|1080191866509901826|Thu Apr 28 20:43:36 +0000 2022|"12hr shifts, isolating from loved ones—our health workers have held our community together at enormous personal cost.

I recently met with @COHospitalAssn. We discussed how to support our health workforce to stop burnout &amp; ensure patients keep receiving high-quality care. https://t.co/YsAZtYu17N"|en|D|10|73
1519755721298092033|1080191866509901826|Thu Apr 28 19:09:34 +0000 2022|"We're strongest when we lead with our values. Our gov't owes it to us to be transparent about our successes &amp; failures on the battlefield.

Proud to join in introducing these bills pushing @DeptofDefense to be more transparent about US-caused civilian casualties so we can improve https://t.co/f2dhrBht8E"|en|D|13|63
1519672072594722818|1080191866509901826|Thu Apr 28 13:37:10 +0000 2022|"Definitely more policy wonk than Picasso 😉

Excited to see submissions for my #CongressionalArtChallenge from high school artists in our district! There’s still time to submit your work before the May 1st deadline at https://t.co/bX5lOIuUsP https://t.co/kYQGY3AFVO"|en|D|4|63
1519443002875387904|1080191866509901826|Wed Apr 27 22:26:56 +0000 2022|"Had a productive call with @SecAFOfficial. I highlighted for him the strong impact CO continues to make protecting &amp; advancing US national security.

We discussed the @SpaceCom basing decision &amp; I underscored for him the strong contender @Buckley_SFB makes to house @USSF_STARCOM. https://t.co/WowpyRlTmC"|en|D|7|36
1519417039873576962|1080191866509901826|Wed Apr 27 20:43:46 +0000 2022|"On Holocaust Remembrance Day, we remember the millions of Jews &amp; others murdered at the hands of Nazis. We must #NeverForget these atrocities so they are not repeated.

With the rise in violent extremism  here &amp; around the world, we must say clearly:

Hate has no home here. https://t.co/fzzm2vnUpW"|en|D|42|155
1519352482983469056|1080191866509901826|Wed Apr 27 16:27:14 +0000 2022|"Glad to visit @OnHavanaStreet with @AccColorado1.

Small businesses like Coffee Story, which I visited, power our local economy, create jobs, &amp; feed our community. I’m proud of their success, &amp; will continue fighting so they have what they need to succeed. #CrowInTheCommunity https://t.co/BBXRNNIGxC"|en|D|5|29
1519319693139533825|1080191866509901826|Wed Apr 27 14:16:57 +0000 2022|"The climate crisis is here and it’s endangering families across Colorado.

That’s why I introduced my bipartisan legislation, the CLEAR Act – to ensure states like Colorado have the resources they need to plan for climate-caused disasters and mitigate the worst impacts. https://t.co/5IAwyo6taM"|en|D|18|154
1519054495292043264|1080191866509901826|Tue Apr 26 20:43:09 +0000 2022|"US servicemembers put their well being on the line for our country. They deserve high-quality care when they get home.

Men &amp; women I served alongside are still struggling with the effects of toxic exposure. This important step by @POTUS will deliver the care they need &amp; deserve. https://t.co/KugNokINy8"|en|D|27|114
1519035306829299712|1080191866509901826|Tue Apr 26 19:26:54 +0000 2022|"On @HouseSmallBiz &amp; @HASCDemocrats it's my priority to connect our servicemembers with the cutting-edge technologies that make our military the most advanced in the world.

A big part of that means ensuring defense-related small businesses have the resources to succeed &amp; upscale. https://t.co/xHdqPC5ngF"|en|D|6|18
1519007727112134656|1080191866509901826|Tue Apr 26 17:37:18 +0000 2022|"Great stopping in at @Tocabe, the only contemporary American Indian restaurant in the Denver area—in our district!

We spoke about honoring American Indian heritage in CO &amp; how I can ensure small businesses like Tocabe have the resources they need to succeed. #CrowInTheCommunity https://t.co/be6ItNxGFu"|en|D|12|85
1518694670229979140|1080191866509901826|Mon Apr 25 20:53:20 +0000 2022|"Your age shouldn’t determine whether or not you can start a business.

Proud to introduce the Golden-preneurship Act today with @RepYoungKim, @RepDeanPhillips &amp; @RepStefanik.

Our bill supports older entrepreneurs starting businesses, creating jobs, &amp; bolstering our local economy https://t.co/u8o9LpCvJv"|en|D|19|86
1518651771983474688|1080191866509901826|Mon Apr 25 18:02:52 +0000 2022|"Nearly 1 in 5 people in my district were born outside the country. That diversity makes our community better, stronger, &amp; more vibrant.

10M Ukrainians have been displaced because of Putin’s war &amp; I know our community will welcome some of those refugees because that's who we are. https://t.co/Ud4cS79LwC"|en|D|12|103
1518294969173389314|1080191866509901826|Sun Apr 24 18:25:03 +0000 2022|"The People’s House is open again for tours!

Hope you’ll stop by to visit Team Crow if you’re in DC this summer.

Constituents can request Capitol and White House tours on our website 👇
https://t.co/Rda42tUDQ7 https://t.co/j2hQWd0PPC"|en|D|12|122
1517861055791308802|1080191866509901826|Sat Apr 23 13:40:50 +0000 2022|"I met with Ukrainian Prime Minister @Denys_Shmyhal during his trip to DC.

We spoke about the situation on the ground in Ukraine and what they need to fight and win this war. 

I’ll continue to work with my colleagues in Congress to get Ukraine the support they need. 🇺🇸🇺🇦 https://t.co/gT8R8TSmDU"|en|D|32|242
1517544839767801859|1080191866509901826|Fri Apr 22 16:44:19 +0000 2022|"Flash floods.
Wildfires.
Drought.
Hazy air.

The climate crisis is threatening our way of life here in Colorado. I’m committed to climate action on #EarthDay and every day. https://t.co/ivdZD4fTKV"|en|D|25|122
1517515704794292225|1080191866509901826|Fri Apr 22 14:48:32 +0000 2022|"Russia’s invasion of Ukraine has caused a humanitarian crisis. Ukraine’s healthcare system is overburdened &amp; millions are fleeing to neighboring countries.

I'm leading efforts to ask @SecBlinken &amp; @SecDef to provide critical medical support to Ukraine &amp; nearby NATO countries. https://t.co/rgpqYqX8H9"|en|D|59|259
1517315664175767553|1080191866509901826|Fri Apr 22 01:33:39 +0000 2022|"Whoa!!

How soon some forgot how we felt after January 6th. 

👇👇👇 https://t.co/O4rHZxJo8y"|en|D|70|370
1517301808816967680|1080191866509901826|Fri Apr 22 00:38:35 +0000 2022|The party that claims to be pro-business &amp; free speech just targeted a private business for defending its employees and customers. https://t.co/v3EOBZS0LF|en|D|100|495
1517250869997285376|1080191866509901826|Thu Apr 21 21:16:11 +0000 2022|"The strong international coalitions this Admin has built &amp; their responsiveness on aid have gone a long way in supporting Ukraine.

Bringing on LTG (Ret) Wolff to coordinate those efforts will ensure our Ukrainian brothers &amp; sisters continue to have what they need to fight &amp; win. https://t.co/UFMyfNMPfi"|en|D|15|82
1517217358213001221|1080191866509901826|Thu Apr 21 19:03:01 +0000 2022|"Great visiting Family Tree &amp; the @douglascountyco GOALS program, which helps unhoused families in CO achieve financial security.

I was proud to secure $1M in federal funding for this program &amp; look forward to the important work they’ll continue to do for folks in our community! https://t.co/lkQ6452R8o"|en|D|8|37
1517137607095857155|1080191866509901826|Thu Apr 21 13:46:07 +0000 2022|"Our roads and bridges should be built by our workers.

Glad to see @POTUS taking action to boost American manufacturing and create American jobs.
https://t.co/E3V47fc4S6"|en|D|60|260
1516863869565743106|1080191866509901826|Wed Apr 20 19:38:23 +0000 2022|"One of the greatest pleasures of my job is nominating some of our brightest young students to attend our country’s prestigious military academies.

Proud to announce that 2022-23 applications are open for US Service Academies.

Click here to learn more 👇
https://t.co/HeN9ftMzRt"|en|D|11|37
1516842076150763524|1080191866509901826|Wed Apr 20 18:11:47 +0000 2022|"Last week I traveled to Eastern Europe to see the impacts of Putin’s brutal war.

I was honored to meet with local leaders in Poland, Slovakia, &amp; Romania to hear more about how we can help.

I will continue to push to provide what Ukrainians need to fight &amp; win this war. https://t.co/xtUWcEVaGR"|en|D|19|133
1516792762900926466|1080191866509901826|Wed Apr 20 14:55:49 +0000 2022|"Hard to believe it’s been 23 years since Columbine.

Since then, our community has disproportionately felt the pain of mass shootings–Aurora, STEM Highlands Ranch, Boulder.

We can't afford to wait another 23 years. There are commonsense gun safety reforms we can &amp; must make now. https://t.co/5X4mCxQqIK"|en|D|44|247
1516123526104858631|1080191866509901826|Mon Apr 18 18:36:31 +0000 2022|"Even the White House is #BroncosCountry. Luckily, @DangeRussWilson plays football better than he rolls an egg 😉

The Crow family had a great time today at the @WhiteHouse Easter Egg Roll. https://t.co/hTy7AFSTC8"|en|D|27|607
1516077320594939913|1080191866509901826|Mon Apr 18 15:32:55 +0000 2022|"Black moms in America experience indisputably worse health outcomes than white women do. It has to stop.

I proudly support the #Momnibus, @RepUnderwood &amp; @RepAdams’ bill addressing these disparities so we can finally end the maternal health crisis. #NationalMinorityHealthMonth https://t.co/erkmd9b5OE"|en|D|32|87
1515729433851793408|1080191866509901826|Sun Apr 17 16:30:32 +0000 2022|"On this Easter Sunday, I’m thinking about the paratroopers I visited in Poland this week. 

And the thousands of American troops serving around the world away from their families. 

Happy Easter- we’re all thinking of you! https://t.co/NeN4PDtzmC"|en|D|30|527
1515684061146234890|1080191866509901826|Sun Apr 17 13:30:14 +0000 2022|"Happy Easter!

Easter is a wonderful time of renewal here in Colorado. I hope you all get the opportunity to come together with friends and neighbors to celebrate. https://t.co/iERCY1vj8j"|en|D|9|104
1515307977363922945|1080191866509901826|Sat Apr 16 12:35:49 +0000 2022|"Untraceable guns without serial numbers have been turning up at crime scenes across America. I’ve been pressing hard to put an end to these ‘ghost guns.'

Grateful to @POTUS for taking action to save lives &amp; stop the gun violence epidemic that hurts communities like ours. https://t.co/uhjpd1iK5S"|en|D|30|260
