id|user|created_at|text|lang|label|retweet_count|favorite_count
1520112100101836801|240393970|Fri Apr 29 18:45:41 +0000 2022|"Tomorrow  (10am to 2pm) is DEA’s National Prescription Drug Take Back Day to allow you to dispose of any unneeded medications to help prevent drug misuse and addiction. This is a great way to combat the drug crisis and make your community a safer place.
https://t.co/GYr1ywZ4kJ"|en|R|2|6
1520057831206133762|240393970|Fri Apr 29 15:10:02 +0000 2022|I endorse this. https://t.co/dgNUmIPalp|en|R|1|2
1520056135876857856|240393970|Fri Apr 29 15:03:18 +0000 2022|I know you have a quote from Joe Biden in your profile, but are you not the least bit concerned that his administration announced the creation of a propaganda office this week? Shining sunlight on this new initiative is exactly what the people of the 3rd District expect. https://t.co/RxXuwqt4Xu|en|R|4|27
1519782427002085378|240393970|Thu Apr 28 20:55:41 +0000 2022|Days after @elonmusk's purchase of @twitter is announced, Biden's @DHSgov announces its new Disinformation Governance Board to “fight disinformation,” as the government sees fit. Sounds pretty Orwellian and Ministry of Truth-esque to me.|en|R|13|50
1519778118818570245|240393970|Thu Apr 28 20:38:34 +0000 2022|On Holocaust Remembrance Day, we pause to remember the victims of the Holocaust and the six million Jews who were killed. Never forget, and never again. 🇮🇱|en|R|2|19
1519777735190720516|240393970|Thu Apr 28 20:37:02 +0000 2022|"Biden to teachers: ""You’ve heard me say it many times about our children ... They’re all our children ... they’re not somebody else’s children; they’re like yours when they’re in the classroom.""

Dems want parents out of the classroom. They're now saying the quiet part out loud."|en|R|12|37
1519696725144911876|240393970|Thu Apr 28 15:15:08 +0000 2022|Who's going to tell him? https://t.co/v0auWvN33d|en|R|3|12
1519685624856518658|240393970|Thu Apr 28 14:31:02 +0000 2022|"Joe Biden's political Band-Aids can't cover up the energy crisis caused by his war on American energy. Check out my latest @WashTimesOpEd on how Biden is to blame for higher gas prices and my advice to the President on how to solve the #EnergyCrisis. 
https://t.co/fpZqj7eAAE"|en|R|12|42
1519390316012490752|240393970|Wed Apr 27 18:57:34 +0000 2022|Well, Joe Biden is right about one thing – this is a historic time for our economy in crisis – surging inflation, skyrocketing gas prices, widespread staff shortages, wage loss, etc. Americans are struggling more now than ever because of Joe Biden's reckless spending. https://t.co/iisSoASMzC|en|R|2|10
1519374664245649408|240393970|Wed Apr 27 17:55:23 +0000 2022|This couldn't be further from the truth. The Biden Administration may have created the southern border crisis, but they certainly aren't managing it. https://t.co/Wz1xdnDCJI|en|R|4|21
1519322106869256194|240393970|Wed Apr 27 14:26:32 +0000 2022|Are you better off now than you were four years ago?|en|R|8|55
1519275536291401728|240393970|Wed Apr 27 11:21:29 +0000 2022|"Was getting rid of ""mean tweets"" worth wrecking our economy?"|en|R|12|92
