id|user|created_at|text|lang|label|retweet_count|favorite_count
1520406156254097409|467823431|Sat Apr 30 14:14:10 +0000 2022|Investigate every single price gouger fleecing the American consumer to the full extent of the law.|en|D|3269|15102
1520048654190624768|467823431|Fri Apr 29 14:33:34 +0000 2022|"Representative democracy is under assault in New York State and throughout America.

We won't fall back."|en|D|1224|6272
1519664061637664771|467823431|Thu Apr 28 13:05:20 +0000 2022|House Dems are working to lower gas prices for everyday Americans not increase profits for Big Oil.|en|D|1739|9495
1519296953355493376|467823431|Wed Apr 27 12:46:35 +0000 2022|Truth matters.|en|D|1544|11771
1518926031033630721|467823431|Tue Apr 26 12:12:40 +0000 2022|Heading back to DC to continue our fight to lower costs #ForThePeople.|en|D|496|3838
1518574997811380224|467823431|Mon Apr 25 12:57:47 +0000 2022|"House Dems spend our time working to solve problems for everyday Americans.

Not lie to them."|en|D|1492|8224
1518440424834224128|467823431|Mon Apr 25 04:03:03 +0000 2022|"French President Emmanuel Macron has been reelected decisively, defeating Marine Le Pen. 

Another far right xenophobe goes down in flames."|en|D|372|3139
1518222250096349186|467823431|Sun Apr 24 13:36:06 +0000 2022|"The radical right is tough on Disney but soft on Putin.

Phonies."|en|D|1497|8248
1517845262173097984|467823431|Sat Apr 23 12:38:05 +0000 2022|A real leader should be willing to lose his seat rather than lose his soul.|en|D|4981|32513
1517352745669332992|467823431|Fri Apr 22 04:01:00 +0000 2022|"Does Kevin have a shred of credibility left?

That would be a hard NO."|en|D|2049|15537
1517113528175448065|467823431|Thu Apr 21 12:10:26 +0000 2022|"Thankful for a President who actually puts hardworking Americans first.

And Putin last."|en|D|795|5030
1516746808168439813|467823431|Wed Apr 20 11:53:13 +0000 2022|"Dems make life better for everyday Americans.

They don’t."|en|D|738|5971
1516395996221222920|467823431|Tue Apr 19 12:39:13 +0000 2022|Democracy is not negotiable.|en|D|1963|12539
1516037593640615936|467823431|Mon Apr 18 12:55:03 +0000 2022|House Dems are fighting to make it easier to live the American dream and harder to die of gun violence.|en|D|1630|8579
1515685306674171908|467823431|Sun Apr 17 13:35:11 +0000 2022|"Hallelujah.

He. Is. Risen.

Happy Resurrection Day!!! https://t.co/IVQ1WD9h0U"|en|D|68|444
1515324189225406470|467823431|Sat Apr 16 13:40:14 +0000 2022|We will never let the cult snatch our democracy away.|en|D|1885|11366
1514942582022942728|467823431|Fri Apr 15 12:23:52 +0000 2022|A setback is nothing more than a setup for a comeback. https://t.co/bOtUeZ8V77|en|D|205|1097
1514588408215179264|467823431|Thu Apr 14 12:56:30 +0000 2022|"We will successfully lower gas prices and the high cost of life-saving prescription drugs.

Just like the Biden economy produced record job creation and economic growth in 15 months. 

FACTS."|en|D|1157|5287
1514315064454840322|467823431|Wed Apr 13 18:50:20 +0000 2022|"Frank Robert James has been arrested on a federal warrant and will now be prosecuted to the full extent of the law. 

Thank you to the NYPD, FBI and entire law enforcement community for your excellent work."|en|D|291|1726
1514224452283899905|467823431|Wed Apr 13 12:50:17 +0000 2022|"House Republicans are plotting to impeach President Biden.

Why? 

Because the cult leader wants to see them do it."|en|D|1512|6880
1513889063375446022|467823431|Tue Apr 12 14:37:34 +0000 2022|"Praying for the people injured in the shocking Brooklyn subway attack.

Thankful for the ongoing efforts of law enforcement to apprehend the perpetrator.

We will get through this together #BrooklynStrong."|en|D|120|634
1513862287655849986|467823431|Tue Apr 12 12:51:10 +0000 2022|"We should prosecute war criminals and violent insurrectionists. 

(Not women who exercise their constitutional right to reproductive freedom)."|en|D|1423|6689
1513499874209185796|467823431|Mon Apr 11 12:51:04 +0000 2022|"Wages are up, unemployment is down and Ketanji Brown Jackson has been confirmed. 

Dems get it done #ForThePeople."|en|D|2991|16859
1513157448202346500|467823431|Sun Apr 10 14:10:23 +0000 2022|Pray for the people of Ukraine as we enter the Easter and Passover season.|en|D|679|5607
1512757758126342152|467823431|Sat Apr 09 11:42:09 +0000 2022|We must invest in the success of everyday Americans at all times.|en|D|813|6179
1512407422064898053|467823431|Fri Apr 08 12:30:03 +0000 2022|Thankful for a President who supports Ketanji Brown Jackson and opposes Vladimir Putin.|en|D|3367|30986
1512142994371141633|467823431|Thu Apr 07 18:59:18 +0000 2022|"Harriet Tubman, Rosa Parks, Fannie Lou Hamer, Shirley Chisholm and the ancestors are smiling down from Heaven.

Judge Ketanji Brown Jackson has been confirmed to the United States Supreme Court.

Another big step in America’s march toward a more perfect union has been taken."|en|D|638|3341
1511916927618207749|467823431|Thu Apr 07 04:01:00 +0000 2022|"Judge Ketanji Brown Jackson will be confirmed to the Supreme Court today. 

Amazing."|en|D|3381|35983
1511693143867117570|467823431|Wed Apr 06 13:11:46 +0000 2022|High quality and affordable healthcare should be a right for every American in the wealthiest country in the history of the world.|en|D|1066|6305
1511336802384289803|467823431|Tue Apr 05 13:35:47 +0000 2022|"House Dems will always stand on the side of Americans with pre-existing conditions. 

And fight to lower healthcare costs and the high price of life-saving prescription drugs.

#ForThePeople"|en|D|350|1480
1510957832543391754|467823431|Mon Apr 04 12:29:54 +0000 2022|"House Republicans are plotting to impeach President Biden next year.

The cult must be stopped."|en|D|2844|12559
1510622368233885700|467823431|Sun Apr 03 14:16:53 +0000 2022|"House Dems support Americans with Diabetes and oppose war criminals who kill innocent Ukrainians.

Can the same be said for the other side?"|en|D|1166|5281
1510104988361670658|467823431|Sat Apr 02 04:01:00 +0000 2022|"The economy just added another 431,000 jobs.

Unemployment dropped to 3.6%.

President Biden gets it done #ForThePeople."|en|D|1344|6567
1509863423781359649|467823431|Fri Apr 01 12:01:06 +0000 2022|"The Affordable Insulin Now Act is game-changing for everyday Americans.

Tell the story. https://t.co/gVitGXm2Io"|en|D|805|2781
1509485660666834945|467823431|Thu Mar 31 11:00:01 +0000 2022|House Dems will pass legislation today that cuts the price of insulin from approximately $4000 a year to $35 per month.|en|D|10772|70676
1509143913780723721|467823431|Wed Mar 30 12:22:02 +0000 2022|"Access to high speed and affordable Internet service should not be a privilege in America.

The Infrastructure Investment &amp; Jobs Act will make it a right available to everyone."|en|D|401|1979
1508792242009481222|467823431|Tue Mar 29 13:04:37 +0000 2022|We will not be lectured about the economy by Pro-Putin sycophants who brought us the GOP Tax Scam.|en|D|2188|10820
1508418875267944448|467823431|Mon Mar 28 12:20:59 +0000 2022|Every single family in America should have access to high quality and affordable child care.|en|D|722|4904
1508069435160117253|467823431|Sun Mar 27 13:12:26 +0000 2022|President Biden has restored America’s leadership of the free world.|en|D|3553|24441
1507703569671200770|467823431|Sat Mar 26 12:58:37 +0000 2022|"The Pro-Putin wing of the House Republican conference grows louder by the day.

Is anyone surprised?"|en|D|2176|10726
1507205885201944586|467823431|Fri Mar 25 04:01:00 +0000 2022|"Weekly unemployment claims have just fallen to their lowest level in 52 years.

We can thank President Biden and the American Rescue Plan."|en|D|930|3645
1506994056664133637|467823431|Thu Mar 24 13:59:16 +0000 2022|"The Infrastructure Investment and Jobs Act will ensure that every community in America has clean water.

Democrats Deliver."|en|D|1107|5897
1506617033848414217|467823431|Wed Mar 23 13:01:07 +0000 2022|The Biden economy has created millions of good-paying jobs, raised salaries for everyday Americans and cut the deficit by more than $350 billion.|en|D|2132|9536
1506260037278355461|467823431|Tue Mar 22 13:22:32 +0000 2022|House Dems are working hard to lower child care and housing costs for everyday Americans.|en|D|630|3976
1505890308101484550|467823431|Mon Mar 21 12:53:22 +0000 2022|The Senate must treat Judge Ketanji Brown Jackson with dignity and respect.|en|D|3494|26759
1505533953754734595|467823431|Sun Mar 20 13:17:20 +0000 2022|Why are House Republican leaders standing by Madison Cawthorn and the Pro-Putin caucus?|en|D|4331|21937
1505198274730471425|467823431|Sat Mar 19 15:03:28 +0000 2022|It’s time to lower the high price of life-saving prescription drugs.|en|D|883|6149
1504807695991324673|467823431|Fri Mar 18 13:11:27 +0000 2022|"Wages are up, Omicron is in retreat and Spring is almost here.

The best is yet to come."|en|D|554|5059
1504417148017549313|467823431|Thu Mar 17 11:19:33 +0000 2022|"Why are so many House Republicans claiming credit for infrastructure and community project funding they voted against?

Phonies."|en|D|2741|11374
1503944394508062722|467823431|Wed Mar 16 04:01:00 +0000 2022|"President Zelensky will address the entire House and Senate today.

#StandWithUkraine 🇺🇸🇺🇦🇺🇸🇺🇦🇺🇸🇺🇦"|en|D|423|3326
1503696887521562628|467823431|Tue Mar 15 11:37:29 +0000 2022|Madison Cawthorn and House Republicans are turning into the Pro-Putin party.|en|D|2067|8482
1503339876833452041|467823431|Mon Mar 14 11:58:51 +0000 2022|"House Democrats are working overtime to lower gas prices for everyday Americans.

Meanwhile.

The radical right continues its Soft On Putin propaganda campaign."|en|D|1081|4460
1503011800803119108|467823431|Sun Mar 13 14:15:12 +0000 2022|"The American Rescue Plan cut child poverty by more than 40 percent in 2021.

And we’re just getting started."|en|D|865|4839
1502666649601781770|467823431|Sat Mar 12 15:23:42 +0000 2022|"President Biden cut the federal deficit by more than $350 billion in his first year.

The other guy exploded it."|en|D|7182|29982
1502322421424132100|467823431|Fri Mar 11 16:35:51 +0000 2022|"When President Biden took office 46 percent of schools in America were closed.

One year later more than 99 percent of schools in America are open.

Democrats Deliver #ForThePeople."|en|D|794|3652
