id|user|created_at|text|lang|label|retweet_count|favorite_count
1520055554739159040|1082311988926124036|Fri Apr 29 15:01:00 +0000 2022|Soaring energy prices are making it harder for Americans to fill their gas tanks. Yesterday, I questioned U.S. Department of Energy Secretary Granholm about what can be done to produce more American energy, and lower costs for Pennsylvanians. https://t.co/H7vngiAbsD|en|R|3|7
1520044123415265281|1082311988926124036|Fri Apr 29 14:15:34 +0000 2022|The government has no right to tell the American people what they can and can’t believe. The Biden administration should immediately cancel any plan to create a “Disinformation Governance Board.” https://t.co/cf7JW7z8kc|en|R|5|21
1519699554366541825|1082311988926124036|Thu Apr 28 15:26:23 +0000 2022|Returning to energy dominance is critical to our national security. It's time to use American energy to support our NATO allies. https://t.co/AJzxSWf3Sj|en|R|9|14
1519660823165161476|1082311988926124036|Thu Apr 28 12:52:28 +0000 2022|The numbers don't lie, President Biden's runaway spending is crippling the U.S. economy. https://t.co/QbMs8rioMa|en|R|3|10
1519388663666327552|1082311988926124036|Wed Apr 27 18:51:00 +0000 2022|"Patients who use Medicaid should never lose their ability to receive care because of workforce challenges at our hospitals.

Today, I questioned @SecBecerra about what he and his agency are doing to ensure that Pennsylvanians don't lose access to their doctors. https://t.co/qIm5zhdGxT"|en|R|4|7
1519325162570719232|1082311988926124036|Wed Apr 27 14:38:41 +0000 2022|The world can’t afford anymore talk about the “Green New Deal” while people run out of fuel. It’s time to produce the American Energy that can support our NATO allies during this crisis. https://t.co/uVBuk52XFH|en|R|6|10
1519054958976454660|1082311988926124036|Tue Apr 26 20:44:59 +0000 2022|To fight the drug crisis in our communities we MUST secure our southern border. https://t.co/JJZabQbnqI|en|R|8|12
1518960352452648962|1082311988926124036|Tue Apr 26 14:29:03 +0000 2022|"Americans are less safe because of President Biden's open border policies. I was proud to join my colleagues to demand answers from Secretary Mayorkas on what the Department of Homeland Security is doing to protect our communities.

https://t.co/zmnR256Qi2"|en|R|3|3
1518671419185541122|1082311988926124036|Mon Apr 25 19:20:56 +0000 2022|Because of inflation, Americans are paying more for everyday groceries. It’s time to stop the reckless spending in Washington and lower prices for Pennsylvania families. https://t.co/eyStBft5Gu|en|R|3|10
1517523073729282049|1082311988926124036|Fri Apr 22 15:17:49 +0000 2022|Congratulations to Meagan McHale from Franklin, County who has been offered an appointment to the U.S. Merchant Marine Academy. Thank you, Meagan, and best of luck! https://t.co/6Y0C4U4R9c|en|R|3|9
1517506613455855617|1082311988926124036|Fri Apr 22 14:12:25 +0000 2022|.#PA13 is home to our most sacred National Parks, the Flight 93 Memorial, and the Gettysburg Battlefield. During National Parks Week, we recognize the important role of these memorials in our community. https://t.co/RtqbdBTBEa|en|R|2|5
1516849198452379648|1082311988926124036|Wed Apr 20 18:40:05 +0000 2022|"Attempted border crossings are up 542% since March 2020. 

Our Border Patrol agents are being overwhelmed by the number of illegal immigrants attempting to cross our southern border - and President Biden to provide the additional funding and support our CBP agents need."|en|R|5|7
1516389596011143168|1082311988926124036|Tue Apr 19 12:13:47 +0000 2022|Because of President Biden’s failed policies, the price of gas is continuing to hurt American families. It’s time to release American energy, and lower costs at the pump. https://t.co/w8NzCwY5b1|en|R|9|17
1516138353397321741|1082311988926124036|Mon Apr 18 19:35:26 +0000 2022|Read my official statement on the Federal Court’s ruling about public transportation mask mandates here: https://t.co/ZzXnCVvgKv|en|R|5|6
1516109715578699778|1082311988926124036|Mon Apr 18 17:41:38 +0000 2022|"Yesterday in my weekly newsletter, I asked over 40,000 #PA13 constituents if they supported continued sanctions against Russia - 92% said yes!

It's time to stop using foreign oil and return to American energy dominance. https://t.co/HGhicJlNZB"|en|R|2|3
1516068556965883907|1082311988926124036|Mon Apr 18 14:58:05 +0000 2022|"Border security is national security. 
As suspected terrorists continue attempting to cross our border, President Biden is STILL refusing to give our Border Patrol the resources they need.
https://t.co/eG7gxqPYek"|en|R|5|9
1515685624262574081|1082311988926124036|Sun Apr 17 13:36:27 +0000 2022|Happy Easter! Today, Christians around the world celebrate the resurrection of Christ Jesus and promise of the empty tomb. https://t.co/zA4ywEGHrX|en|R|1|8
