id|user|created_at|text|lang|label|retweet_count|favorite_count
1507404135439687688|2966765501|Fri Mar 25 17:08:46 +0000 2022|Live shot of me trying to be Henry’s favorite parent… As hard as I try, it’s still my wife Robin. https://t.co/P8qNRCjcss|en|R|2|15
1507092317538246657|2966765501|Thu Mar 24 20:29:43 +0000 2022|To ensure rural communities like those affected by flooding in CNY get the aid they need, I introduced a bill that… https://t.co/VvuLEyyyQm|en|R|2|2
1506709010938007558|2966765501|Wed Mar 23 19:06:36 +0000 2022|I’m hosting a Telephone Town Hall on Tuesday, March 29th at 5:30 p.m. with an expert from the IRS to discuss the 20… https://t.co/pAUkLafB9l|en|R|2|2
1506358268905627653|2966765501|Tue Mar 22 19:52:52 +0000 2022|Today, on #WorldWaterDay, I’m especially excited to celebrate the recently enacted Bipartisan Infrastructure Law, w… https://t.co/xh95AC98br|en|R|1|8
1504814448162267136|2966765501|Fri Mar 18 13:38:17 +0000 2022|In light of the dire chip shortage our nation faces, we must bolster our domestic manufacturing capabilities. I am… https://t.co/N8ofSZSuZ9|en|R|3|10
1504463336439791618|2966765501|Thu Mar 17 14:23:05 +0000 2022|Happy Saint Patrick’s Day to everyone in Central New York! Don’t forget to wear your best greens today! 😃🍀🇮🇪 https://t.co/kFmGzkQCCx|en|R|2|19
1504132191948877833|2966765501|Wed Mar 16 16:27:14 +0000 2022|My reaction to President Zelenskyy's address to Congress: https://t.co/zpA7MV5za6|en|R|8|27
1503785355132166151|2966765501|Tue Mar 15 17:29:02 +0000 2022|I was glad to meet with @IBEW1249 workers at their new, state-of-the-art, training facility in Cicero. The Bipartis… https://t.co/KGe3rvSTw4|en|R|2|10
1503361418791469063|2966765501|Mon Mar 14 13:24:28 +0000 2022|Inflation is at the highest rate in 40 years. My Informed Lawmaking to Combat Inflation Act would combat this trend… https://t.co/ee6C6AZcHc|en|R|3|10
1502700382438502406|2966765501|Sat Mar 12 17:37:44 +0000 2022|After a two-year hiatus, I was overjoyed to return to the Syracuse St. Patrick’s Day Parade! St. Patrick’s Day is a… https://t.co/BclTCW3P9J|en|R|6|52
1502326322974056449|2966765501|Fri Mar 11 16:51:21 +0000 2022|.@fema Reservists currently are not protected from losing their full-time job during a deployment. I introduced a b… https://t.co/46wfVNeXNj|en|R|3|12
1502301901399937025|2966765501|Fri Mar 11 15:14:19 +0000 2022|My bill would expand access @HUDgov’s Section 8 Housing Choice Voucher Program by incentivizing landlord participat… https://t.co/tpXEBIMMBC|en|R|2|8
