id|user|created_at|text|lang|label|retweet_count|favorite_count
1507400010178175008|1081312310059253763|Fri Mar 25 16:52:23 +0000 2022|"Tennessee has a rich history relating to our nation's highest award for valor. 
 
On this Medal of Honor Day, we ho… https://t.co/DwIBszRU8S"|en|R|1|6
1506982916924002314|1081312310059253763|Thu Mar 24 13:15:00 +0000 2022|"Earlier this week I had the pleasure of meeting with Pickett County Executive Carey Garner in Byrdstown. 

We had a… https://t.co/bqcbm6eHvD"|en|R|1|5
1506733338488360962|1081312310059253763|Wed Mar 23 20:43:16 +0000 2022|On Monday, I was in Jamestown to help unveil the new sign for the free-standing emergency department in Fentress co… https://t.co/WrpsZp1iTh|en|R|3|6
1506374909781594113|1081312310059253763|Tue Mar 22 20:59:00 +0000 2022|At Ag Day on the Hill, I also ran into @TNFarmBureau President @mayberry_eric, Executive Vice President Rhedona Ros… https://t.co/Ws3ufAEwjD|en|R|2|13
1506360061878325259|1081312310059253763|Tue Mar 22 20:00:00 +0000 2022|It was a pleasure to run into many friends and familiar faces like State Forester David Arnold, Commissioner of… https://t.co/DiziCG7JEe|en|R|0|8
1506344968599736325|1081312310059253763|Tue Mar 22 19:00:01 +0000 2022|At the Tennessee State Capitol for Ag Day on the Hill, I had the pleasure of addressing the Tennessee House Subcomm… https://t.co/OO5EuSbDh4|en|R|5|10
1506329345475891208|1081312310059253763|Tue Mar 22 17:57:56 +0000 2022|"Happy #NationalAgDay! 

Today and every day, I am proud to represent our hardworking farmers in Middle Tennessee an… https://t.co/sB8nsBqSCi"|en|R|4|9
1505196075027685379|1081312310059253763|Sat Mar 19 14:54:44 +0000 2022|Earlier this week, I joined radio hosts U-Turn Lavern and Dennis Banka to discuss the ongoing situation in Ukraine… https://t.co/vjbDKiRf3H|en|R|1|7
1504882812876427266|1081312310059253763|Fri Mar 18 18:09:56 +0000 2022|"So far the Biden Administration's plan for America's energy crisis: 
 
▪ purchase oil from dictators &amp; corrupt regi… https://t.co/2vdYv5NxBT"|en|R|1|5
1504575264591908872|1081312310059253763|Thu Mar 17 21:47:51 +0000 2022|"I have never proxy voted because I believe Congress owes it to the American people to show up and work.

Today, I c… https://t.co/Wqd5FQLiwf"|en|R|2|11
1504533778458308609|1081312310059253763|Thu Mar 17 19:03:00 +0000 2022|"Republicans in Congress stand ready to make America energy independent again. 
 
It’s time for the president to rev… https://t.co/RoEwEUYLQI"|en|R|6|2
1504501410645389313|1081312310059253763|Thu Mar 17 16:54:23 +0000 2022|The Iran nuclear deal failed the first time. Why in the world would President Biden want its second iteration is be… https://t.co/w8v7VnG120|en|R|6|4
1504472068678582278|1081312310059253763|Thu Mar 17 14:57:47 +0000 2022|"President Biden has declared war against American energy. 
 
He will stop at nothing to satisfy his left-wing base,… https://t.co/wHZin8t9Ml"|en|R|6|24
1504110701127815170|1081312310059253763|Wed Mar 16 15:01:50 +0000 2022|"Earlier this morning I attended @Ukraine President @ZelenskyyUa’s address to Congress.
 
Like many of us, I am shoc… https://t.co/eOev2maTxG"|en|R|1|2
1503813578704445452|1081312310059253763|Tue Mar 15 19:21:11 +0000 2022|More than one-third of retail pharmacies in the country are independently owned community pharmacies--including nea… https://t.co/wZyIjlRjaV|en|R|22|59
1503748543147921415|1081312310059253763|Tue Mar 15 15:02:45 +0000 2022|"According to a report released by CBP today:

Under President Biden, immigrant encounters at the southern border in… https://t.co/unTVtciwG3"|en|R|4|9
1503722092352741379|1081312310059253763|Tue Mar 15 13:17:39 +0000 2022|"The badly needed HWY 127 expansion project is underway &amp; I was proud to attend the groundbreaking ceremony.

This i… https://t.co/XFsMftozlv"|en|R|2|6
1502016263157161989|1081312310059253763|Thu Mar 10 20:19:17 +0000 2022|Congratulations to Col. Jeffrey T. Geraghty on your nomination for promotion to brigadier general in the U.S. Air F… https://t.co/EbqnVTcoRz|en|R|1|3
1501940485513908224|1081312310059253763|Thu Mar 10 15:18:11 +0000 2022|"A day after the House passed a $1.5 trillion spending bill (I voted ""No"") inflation rose to a 40-year high at 7.9%.… https://t.co/VOT94uaKcU"|en|R|4|20
1501760807343955968|1081312310059253763|Thu Mar 10 03:24:12 +0000 2022|"Read my statement on voting ""No"" on the appropriations omnibus. 

Today, the federal government got even bigger, an… https://t.co/t8eD8BZPxS"|en|R|2|6
1501645784319733763|1081312310059253763|Wed Mar 09 19:47:08 +0000 2022|I joined 37 @HouseGOP members in a letter to Speaker Pelosi calling on her to immediately terminate all proxy votin… https://t.co/zKPN9IQ40K|en|R|2|6
1501316091573850112|1081312310059253763|Tue Mar 08 21:57:03 +0000 2022|"A federal firearms registry is wrong &amp; unlawful.

That’s why I cosponsored @RepCloudTX’s No Registry Rights Act to… https://t.co/MaO3eIrF7H"|en|R|2|6
1501294936645410819|1081312310059253763|Tue Mar 08 20:33:00 +0000 2022|"We’re getting exactly what President Biden and Congressional Democrats want: Socialism.
 
Watch my floor speech whe… https://t.co/NZekJUH0hT"|en|R|4|6
1501253875621416963|1081312310059253763|Tue Mar 08 17:49:50 +0000 2022|Democrats have spent trillions of your hard-earned tax dollars since gaining control of the White House and Congres… https://t.co/sGqK8JMktQ|en|R|3|3
1501010454876987395|1081312310059253763|Tue Mar 08 01:42:34 +0000 2022|"We currently purchase more than half a million barrels of oil a day from Russia.
 
This must stop immediately. 
 
I… https://t.co/QaZpnvZlud"|en|R|6|21
1500935568393342978|1081312310059253763|Mon Mar 07 20:45:00 +0000 2022|We need to end the reliance on foreign dictators and restore America's energy independence to limit our pain at the… https://t.co/Xfap2fl6lI|en|R|45|105
1500905080966590476|1081312310059253763|Mon Mar 07 18:43:51 +0000 2022|After the presentation of Military Service Medals, I toured the Military Memorial Museum in Crossville with Mark Pf… https://t.co/mWy9O6ksWH|en|R|1|0
1500890387837292546|1081312310059253763|Mon Mar 07 17:45:28 +0000 2022|This weekend, I presented Dennis Baize, son of the late Tech. Sgt. Vernon Baize, his father's Military Service Meda… https://t.co/uijGUm2EtV|en|R|3|2
1500129373248233476|1081312310059253763|Sat Mar 05 15:21:28 +0000 2022|Earlier this week, I met with interim @TDOTCommish Joe Galbato to discuss Tennessee's critical infrastructure needs… https://t.co/vl3TKHvcVm|en|R|2|3
1499768078636363779|1081312310059253763|Fri Mar 04 15:25:48 +0000 2022|It was a pleasure to meet @VanderbiltU Chancellor Daniel Diermeier and get an update on how the university is worki… https://t.co/JSlDYekJHK|en|R|2|6
1499542387420499972|1081312310059253763|Fri Mar 04 00:28:59 +0000 2022|Two years later, we may have rebuilt, but we are still mourning the loss of friends, family and neighbors in the 20… https://t.co/AEbCw4xwhx|en|R|1|10
1499504840682225664|1081312310059253763|Thu Mar 03 21:59:48 +0000 2022|"Happy #NationalAnthemDay! 
 
On this day in 1931, the Star-Spangled Banner became our national anthem and will alwa… https://t.co/TMNGUFSElY"|en|R|3|9
1499166412316856327|1081312310059253763|Wed Mar 02 23:35:00 +0000 2022|"The President is saying one thing and doing another. Last night, he said ""we need to secure the border.""
 
Actions… https://t.co/AgUTpVMgFx"|en|R|4|8
1499081932998651905|1081312310059253763|Wed Mar 02 17:59:19 +0000 2022|I am proud to stand with President @ZelenskyyUa and the people of @Ukraine, who are courageously fighting against p… https://t.co/xrfqNxdfnR|en|R|3|10
1498856306438033415|1081312310059253763|Wed Mar 02 03:02:45 +0000 2022|"Fentanyl is the LEADING cause of death for young adults.

It's being smuggled over our southern border at higher ra… https://t.co/CGLnjB3FT1"|en|R|1|3
1498855268544823299|1081312310059253763|Wed Mar 02 02:58:38 +0000 2022|American citizens’ tax dollars are being used to fly illegal immigrants all over the country, including Tennessee.… https://t.co/sC8dZbehHg|en|R|10|8
1498854030046605313|1081312310059253763|Wed Mar 02 02:53:42 +0000 2022|"Violent crime and attacks on law enforcement increased this past year across the country.

It's not a coincidence t… https://t.co/nhjEFh5ucY"|en|R|2|5
1498846658746064900|1081312310059253763|Wed Mar 02 02:24:25 +0000 2022|"Inflation is at the highest level it's been since 1982 when I was a junior in high school

This is a direct result… https://t.co/HJAAATemXG"|en|R|1|5
1498845220775116802|1081312310059253763|Wed Mar 02 02:18:42 +0000 2022|"POTUS wants to ""limit Americans' pain at the pump,"" but the train has already left the station.

We’re paying over… https://t.co/YLeXGCLg0F"|en|R|2|3
1498825443989934089|1081312310059253763|Wed Mar 02 01:00:07 +0000 2022|Since Pres. Biden took office, @wilsonsheriff department received a dramatic increase in overdose-related calls fro… https://t.co/Ptzf8gZsDq|en|R|17|32
1498824231802576898|1081312310059253763|Wed Mar 02 00:55:18 +0000 2022|During President Biden's #SOTUinCrisis, he will try to paint a rose-colored picture of the crises his administratio… https://t.co/vbvDoRKpjM|en|R|2|15
1498794906659299328|1081312310059253763|Tue Mar 01 22:58:46 +0000 2022|"After a 6+ year wait, Brent Fleshman is finally getting a badly needed kidney transplant. 

Praise God! 

He's a ta… https://t.co/qtI79TTTop"|en|R|1|7
1498720676924076032|1081312310059253763|Tue Mar 01 18:03:48 +0000 2022|"Tonight, President Biden is set to deliver his first #SOTU 
 
If he begins by saying the State of the Union is stro… https://t.co/fvbmd7FuTm"|en|R|12|64
1498447913579683846|1081312310059253763|Mon Feb 28 23:59:57 +0000 2022|Earlier this morning, I joined Brent Fleshman on Good Morning Cookeville to give my thoughts on Ukraine and Preside… https://t.co/1GLlT2RmIn|en|R|1|5
1498352442429382661|1081312310059253763|Mon Feb 28 17:40:34 +0000 2022|I support fulfilling Ukraine's request for Congress to provide badly needed assistance as they fight to defend thei… https://t.co/jugS7uf7UO|en|R|4|10
1497297486590922755|1081312310059253763|Fri Feb 25 19:48:33 +0000 2022|Today, Deputy District Director Ray Render was at F&amp;M Bank in Clarksville with State Senator Kerry Roberts, Bank CE… https://t.co/JElRwra8wT|en|R|1|3
1497218315873361920|1081312310059253763|Fri Feb 25 14:33:58 +0000 2022|These jackets are a constant reminder of how @tnffa played a crucial role in developing my agricultural and leaders… https://t.co/p5RzPGyRlv|en|R|1|8
1496990826768920583|1081312310059253763|Thu Feb 24 23:30:00 +0000 2022|This morning I attended the @TNFFA Legislative Breakfast and visited with Tennessee's FFA State Officer team. I'm p… https://t.co/AZTkl5nR7P|en|R|1|9
1496953705387724811|1081312310059253763|Thu Feb 24 21:02:30 +0000 2022|"I am praying for the people of Ukraine. 
 
America and our European allies must stand strong against Putin’s repreh… https://t.co/OuLlHSgLIb"|en|R|2|5
1496485002737074184|1081312310059253763|Wed Feb 23 14:00:02 +0000 2022|Thanks to all agricultural educators who are in the classroom every day training our future farmers and leaders!… https://t.co/yDXQhV98Jp|en|R|2|5
1496222821600698370|1081312310059253763|Tue Feb 22 20:38:13 +0000 2022|Thanks to the team at TVA and the University of Tennessee for hosting me, the @tnffa State Officers &amp; numerous FFA… https://t.co/Ki2uu0SuNW|en|R|3|14
1496182780644012039|1081312310059253763|Tue Feb 22 17:59:07 +0000 2022|Kenneth K. Mitchell from Dickson was the @tnffa State Advisor when I had the chance to be the Middle Tennessee FFA… https://t.co/Q8mjC4Ebox|en|R|1|4
1495869980226867205|1081312310059253763|Mon Feb 21 21:16:09 +0000 2022|More than 28,000 Tennessee members of @NationalFFA understand that service to one's community is a pillar of good l… https://t.co/3GaYAWaAW5|en|R|2|9
1495778024939261959|1081312310059253763|Mon Feb 21 15:10:46 +0000 2022|As an 8th-generation farmer and former @TNFFA member, I wish everyone a happy #FFAWeek! I've seen first-hand how FF… https://t.co/O7Wugc0G6v|en|R|1|2
1494714643939528705|1081312310059253763|Fri Feb 18 16:45:16 +0000 2022|Chelsea &amp; I are praying for Rep. Hagedorn's wife, his loved ones, &amp; Minnesota's 1st district as they mourn this tra… https://t.co/1E16IXG4DZ|en|R|1|5
1494707027389550600|1081312310059253763|Fri Feb 18 16:15:00 +0000 2022|"I’m taking our Tennessee values to Washington every day while fighting to get Washington out of Tennessee. 
 
Liste… https://t.co/50b1cEruS3"|en|R|4|5
1494676828522303488|1081312310059253763|Fri Feb 18 14:15:00 +0000 2022|"It was great to see so many familiar faces when I spoke with IMPACT Leadership last week.
 
I provided the group of… https://t.co/KsxZuXXTDa"|en|R|1|2
1494457885446791168|1081312310059253763|Thu Feb 17 23:45:00 +0000 2022|"Rain or shine, our truckers work tirelessly to ensure our shelves are full.

The last thing they need is Democratic… https://t.co/7GotxaB2B5"|en|R|2|8
1494446028023603201|1081312310059253763|Thu Feb 17 22:57:53 +0000 2022|If the Federal Trade Commission (FTC) doesn’t act soon, local pharmacies around the country will be forced to close… https://t.co/qjH6LKe8q9|en|R|4|6
1493952253123866626|1081312310059253763|Wed Feb 16 14:15:48 +0000 2022|"On this day in 1959, Castro's communist rule officially began. 

He seized total control of the Cuban economy and g… https://t.co/zZBsGjiYaR"|en|R|5|11
1493756351679373317|1081312310059253763|Wed Feb 16 01:17:21 +0000 2022|"As the situation in Ukraine unfolds, it is clear that America was stronger under President Trump.

President Biden… https://t.co/OsbVtjlTCp"|en|R|5|9
1493726995120726021|1081312310059253763|Tue Feb 15 23:20:42 +0000 2022|"Susan B. Anthony championed the idea that we are all equal in God's eyes, and she's absolutely right.

Our value is… https://t.co/gM3QRYBlgc"|en|R|1|2
1493366298411155460|1081312310059253763|Mon Feb 14 23:27:25 +0000 2022|"It is well past time to return to normalcy.
 
No more mandates or lockdowns from power-hungry politicians.
 
The Bi… https://t.co/NbpXi3g57t"|en|R|1|1
1493243825686552579|1081312310059253763|Mon Feb 14 15:20:45 +0000 2022|Americans are paying over 30% more to heat their homes after just ONE YEAR under the Biden Administration and its s… https://t.co/iGl1JjmoCl|en|R|9|16
1492902637762666501|1081312310059253763|Sun Feb 13 16:45:00 +0000 2022|"Putnam County Sheriff Eddie Farris and Franklin County Sheriff Tim Fuller stopped by my DC office this week. 
 
Alw… https://t.co/bxodZ1YKCe"|en|R|2|5
1492517600558993420|1081312310059253763|Sat Feb 12 15:15:00 +0000 2022|It was great meeting with Special Agent Royce MacGregor of the Tennessee Bureau of Investigation as he participates… https://t.co/fgCQYZSmiy|en|R|2|7
1492234655956881416|1081312310059253763|Fri Feb 11 20:30:41 +0000 2022|On my trips to the southern border, I have been heartbroken to witness firsthand how this crisis is impacting not o… https://t.co/43MZ2LB6yx|en|R|4|12
1492234531784511493|1081312310059253763|Fri Feb 11 20:30:11 +0000 2022|President Biden &amp; Secretary Mayorkas have failed the American people &amp; betrayed their oath of office to defend the… https://t.co/3ymA5I8TIz|en|R|4|10
1492182576257245193|1081312310059253763|Fri Feb 11 17:03:44 +0000 2022|This is great news for Lebanon. 500 new jobs in Middle Tennessee will help boost the local economy and allow the co… https://t.co/hrhizTH6Ri|en|R|2|1
1491898521414475778|1081312310059253763|Thu Feb 10 22:15:00 +0000 2022|"Last week the national debt eclipsed $30 trillion.
 
Meanwhile, House Democrats made the disastrous decision to dou… https://t.co/3k2vukVaIJ"|en|R|48|72
1491865910008815622|1081312310059253763|Thu Feb 10 20:05:25 +0000 2022|"President Biden set a new record, again! 
 
Inflation is now the highest it's been since 1982. 
 
Even the economis… https://t.co/JFNsfxe8El"|en|R|7|12
1491527803271098375|1081312310059253763|Wed Feb 09 21:41:54 +0000 2022|I was proud to join nearly 200 of my colleagues on both sides of the aisle in a letter urging the White House to in… https://t.co/RX7B1eiI7q|en|R|1|3
1489584532521062400|1081312310059253763|Fri Feb 04 13:00:02 +0000 2022|"H.R. 4521 - The America COMPETES Act would give billions in foreign aid to ""combat climate change"" and finance the… https://t.co/6aAXGlHK2e"|en|R|10|31
1489343058131001348|1081312310059253763|Thu Feb 03 21:00:30 +0000 2022|When the homeless seek help to combat drug addiction, they need to leave their programs with the ability to maintai… https://t.co/VIiyWUZImF|en|R|4|7
1489289836615942149|1081312310059253763|Thu Feb 03 17:29:01 +0000 2022|U.S. debt has topped $30 TRILLION, driving more inflation and even higher costs for gas, food and other essentials.… https://t.co/g9CPedq93V|en|R|2|5
1489247796590829575|1081312310059253763|Thu Feb 03 14:41:58 +0000 2022|Even now, we can come together in prayer in the name of Christ Jesus - Democrats &amp; Republicans. At the National Pra… https://t.co/qfb9iIR9NY|en|R|2|8
1488252441623773188|1081312310059253763|Mon Jan 31 20:46:47 +0000 2022|Congratulations to Charlie Whitehead of Fentress County! Mr. Whitehead recently received the Distinguished Service… https://t.co/MU4Ije1dHe|en|R|3|10
1484265141998964743|1081312310059253763|Thu Jan 20 20:42:40 +0000 2022|"THREAD🧵🧵🧵

One year down, but the reality remains the same: 

-Record high inflation
-Labor market shortages
-Decli… https://t.co/HRZkK4JhIb"|en|R|0|4
1484221961349865473|1081312310059253763|Thu Jan 20 17:51:05 +0000 2022|THREAD: Instead of pursuing Dr. King’s vision of judging people on the content of their character, I fear that equi… https://t.co/0NZqATtH3J|en|R|1|5
1484172608736276480|1081312310059253763|Thu Jan 20 14:34:59 +0000 2022|"Proud to accept the Friend of the Family Award from @FaithandFreedom. 

I will continue to champion the values of l… https://t.co/ztsbOPSJ34"|en|R|1|7
1483813838424358919|1081312310059253763|Wed Jan 19 14:49:21 +0000 2022|THREAD: Over $300 million worth of aid is slated to flow into Afghanistan this year. Yet, the Biden admin remains s… https://t.co/7HQ3sx3RYu|en|R|4|11
1483574925994737671|1081312310059253763|Tue Jan 18 23:00:00 +0000 2022|TOMORROW I’ll be joining Dennis Banka on @1041theranch at 7:30am CT to talk about how Biden’s reckless policies hav… https://t.co/pVGxPXLZIQ|en|R|1|2
1483564926589444096|1081312310059253763|Tue Jan 18 22:20:16 +0000 2022|The Farm Animal Care Coalition of TN (FACCT) honored the Putnam Cnty Sheriff's Office &amp; Sheriff Eddie Farris w/ the… https://t.co/gqhFyGo7IX|en|R|1|4
1481744094506405888|1081312310059253763|Thu Jan 13 21:44:56 +0000 2022|THREAD: Today, the Supreme Court rightly voted to halt the Biden admin’s unconstitutional vaccine mandate for priva… https://t.co/CWvwfNt4Fv|en|R|5|22
1481321908306169873|1081312310059253763|Wed Jan 12 17:47:19 +0000 2022|Pres. Biden promised the American people “access to regular, reliable, and free COVID-19 testing,” but instead ther… https://t.co/0umitXMT5Z|en|R|4|14
1480950051790802945|1081312310059253763|Tue Jan 11 17:09:41 +0000 2022|Who doesn’t love a good cup of coffee?☕ Congrats to the Bulldog Baristas at Prescott South Middle School on startin… https://t.co/K6NZXrxXvq|en|R|1|1
1480626521916289030|1081312310059253763|Mon Jan 10 19:44:06 +0000 2022|I signed on an amicus brief to the SCOTUS against Pres. Biden's vaccine mandate on private employers. I was proud t… https://t.co/5P1rfgJ3vq|en|R|1|8
1480545199944343552|1081312310059253763|Mon Jan 10 14:20:57 +0000 2022|It's not often we get a decent snowfall in Tennessee, but we definitely make the most of it. Have a great week, eve… https://t.co/xmjdrfnhaR|en|R|2|9
1479557121591099407|1081312310059253763|Fri Jan 07 20:54:41 +0000 2022|Great discussion at Riverview Regional Medical Center about the work being done to invest in the efficiency and adv… https://t.co/i5PAbf13Kn|en|R|2|4
1479202953428967431|1081312310059253763|Thu Jan 06 21:27:21 +0000 2022|We need President Biden to approve Governor Lee's request for a Major Disaster Declaration following the deadly Dec… https://t.co/hNiUo8Oz8I|en|R|5|14
1479158213316591618|1081312310059253763|Thu Jan 06 18:29:34 +0000 2022|Earlier this week, I had the opportunity to meet with representatives from the City of Carthage and the Army Corps… https://t.co/JTDI1B2MS4|en|R|3|9
1479110600823169034|1081312310059253763|Thu Jan 06 15:20:22 +0000 2022|As the border crisis rages, the spread of the Omicron variant underscores the need for a secure &amp; safe southern bor… https://t.co/rKuQJCiMq5|en|R|4|5
1478833183277916169|1081312310059253763|Wed Jan 05 20:58:00 +0000 2022|Had a special guest stop by during my interview today with Brent Fleshman on WHUB News Talk 107.7 and 1400 The Hub.… https://t.co/TGCbVNokuH|en|R|1|12
1478501998970474501|1081312310059253763|Tue Jan 04 23:02:00 +0000 2022|My Field Representative, Lou Nave, participated in the 2022 Ag Industry Partners Meeting in Lebanon today. Farmers… https://t.co/Iss4KS87Z3|en|R|1|12
1478141266139439108|1081312310059253763|Mon Jan 03 23:08:35 +0000 2022|Drew Alexander tragically passed away last week. He has been a familiar presence to Tennesseans over the years alon… https://t.co/ymylCoNCZC|en|R|1|0
1477384064235720708|1081312310059253763|Sat Jan 01 20:59:44 +0000 2022|Wishing you and your family a blessed and happy New Year! https://t.co/3sClh2xLWj|en|R|1|7
1474726622452490242|1081312310059253763|Sat Dec 25 13:00:00 +0000 2021|May the miracle of Christmas find you and your family surrounded by the peace, love, and joy of our savior Jesus Ch… https://t.co/qCV5NvwGeg|en|R|2|19
1471880369154625537|1081312310059253763|Fri Dec 17 16:30:00 +0000 2021|"Proud to join @RepJeffDuncan's resolution combating Pres. Biden’s vaccine mandates for healthcare employees.

TN he… https://t.co/UN2gpEXR3o"|en|R|3|5
1471857721733488644|1081312310059253763|Fri Dec 17 15:00:01 +0000 2021|In the face of tragedy and hardship, Tennesseans come together to help restore, rebuild, and create a better future… https://t.co/ZWrn16uD2q|en|R|2|1
1471510437451616271|1081312310059253763|Thu Dec 16 16:00:02 +0000 2021|✍️As a cosponsor of @RepFeenstra's PROTECT the Second Amendment Act, I want to ensure Tennesseans living in residen… https://t.co/Jn4b7s59Ej|en|R|7|5
1471217172265541635|1081312310059253763|Wed Dec 15 20:34:42 +0000 2021|"🚨 BREAKING: Inflation has soared to its highest rate in 39-years.
 
And, since last year, prices on nearly everythi… https://t.co/WdMYKKv1PI"|en|R|6|3
1471138428746141701|1081312310059253763|Wed Dec 15 15:21:48 +0000 2021|On December 15, 1791, the Bill of Rights was officially ratified with the intent to protect the most basic rights o… https://t.co/c4MoJI8igT|en|R|1|5
1470420830609985546|1081312310059253763|Mon Dec 13 15:50:19 +0000 2021|"Join me today in wishing a happy 385th birthday to the @USNationalGuard!

We are especially grateful to the men and… https://t.co/YOtAls2U39"|en|R|1|3
1469821511687098373|1081312310059253763|Sun Dec 12 00:08:51 +0000 2021|This is a tragedy. We are praying for the families who lost loved ones and are still missing loved ones. My staff a… https://t.co/hFFt9Mn2h2|en|R|1|4
1468966422055292933|1081312310059253763|Thu Dec 09 15:31:01 +0000 2021|At Cookeville Regional Medical Center, we are already seeing the negative effects of Pres. Biden’s unconstitutional… https://t.co/pgQ5wyp1Wo|en|R|1|2
1468657602548670466|1081312310059253763|Wed Dec 08 19:03:53 +0000 2021|"THREAD 🧵🧵🧵

Last night, I voted to pass the National Defense Authorization Act for Fiscal Year 2022. 

This bill pr… https://t.co/9bDHkfxVrm"|en|R|3|4
1468632749007417346|1081312310059253763|Wed Dec 08 17:25:07 +0000 2021|JUST IN: I joined my colleagues in urging @CMSGOV Admin Chiquita Brooks-LaSure, to abandon implementing the one-siz… https://t.co/TmpLrRfDpz|en|R|1|2
1468595172783136778|1081312310059253763|Wed Dec 08 14:55:49 +0000 2021|Congratulations to the @TNFarmBureau for 100 years and a great convention, which I was glad to attend. And, special… https://t.co/DrGplqRW2U|en|R|2|15
1468354717126377479|1081312310059253763|Tue Dec 07 23:00:19 +0000 2021|"Congratulations to the Tullahoma football team for winning the state championship!

An outstanding finish to an act… https://t.co/1aOYtPWO9w"|en|R|1|1
1468346266878984192|1081312310059253763|Tue Dec 07 22:26:45 +0000 2021|Chelsea &amp; I were saddened to hear of the passing of U.S. Senator Bob Dole over the weekend. Sen. Dole led an except… https://t.co/vPywXU2zVc|en|R|1|0
1468297144213909518|1081312310059253763|Tue Dec 07 19:11:33 +0000 2021|On #PearlHarborRemembrance Day, let us honor and remember those who catastrophically lost their lives while defendi… https://t.co/PWjFbN8Yku|en|R|3|4
1467893519553552389|1081312310059253763|Mon Dec 06 16:27:41 +0000 2021|At Cumberland University with President Paul Stumb to discuss discretionary spending and the work being done to bre… https://t.co/Z5235HgMS7|en|R|1|9
