id|user|created_at|text|lang|label|retweet_count|favorite_count
1520066326437543937|384913290|Fri Apr 29 15:43:48 +0000 2022|Honored to once again receive a 0% on @CPAC’s scorecard and be named a member of their “Coalition of the Radical Left.” Proud of my record of supporting “radical” policies like providing COVID vaccines to American families in the middle of the pandemic. https://t.co/A4Q4m59vDn|en|D|40|527
1519405778280538112|384913290|Wed Apr 27 19:59:01 +0000 2022|"No better reminder that my district is home to @jackharlow than receiving a postcard from a young student that begins with “What’s poppin?”
 
Jack - Come home the kids miss you. https://t.co/DuHy8z5dpU"|en|D|27|272
1519339943084056576|384913290|Wed Apr 27 15:37:25 +0000 2022|VOTE: Help pick the Community Choice winner of my 2022 Congressional Art Competition, featuring artwork created by student artists from high schools across Louisville. Cast your ballot now through May 4 here: https://t.co/LkM3IwreqC|en|D|3|4
1517552300876869636|384913290|Fri Apr 22 17:13:57 +0000 2022|Honored to help kick off #EarthDay here in Shawnee Park with an outstanding group of organizations working to preserve and protect our Ohio River. Congratulations to @WeAreMaleHigh’s Creek Class on winning the Steering the Future of the Creek Award! https://t.co/wLARuqVneG|en|D|6|14
1516582023015669767|384913290|Wed Apr 20 00:58:25 +0000 2022|Glad to spend time with so many outstanding Louisvillians at tonight’s Interfaith Iftar Dinner and break fast together as one. Honored to also receive this Humanitarian Award from my friends @MuhammadBabarMD of Muslim Americans for Compassion &amp; @paths2peacelou’s @judhendrix. https://t.co/svgxl1B905|en|D|5|24
1515012808890589188|384913290|Fri Apr 15 17:02:55 +0000 2022|Wishing a peaceful and joyous #Passover to all who celebrate. Chag Pesach Sameach! https://t.co/yjw4p6ndlN|en|D|7|30
1514682365859270669|384913290|Thu Apr 14 19:09:52 +0000 2022|I’m never happy to be on the same list as individuals like Madison Cawthorn, but I’m honored to be sanctioned by Russia. My grandfather escaped from there 120 years ago, and I’m not anxious to return. https://t.co/aJudUPcIVt|en|D|10|62
1514651098816077825|384913290|Thu Apr 14 17:05:37 +0000 2022|Early assessments show two suspected tornadoes touching down in Jefferson County overnight, but @NWSLouisville will continue assessing. Thankfully, it appears no injuries or loss of life.|en|D|2|18
1514372740983279622|384913290|Wed Apr 13 22:39:31 +0000 2022|So grateful to be in the crowd at @ssclive today for a discussion on Blackness in higher education, hosted by my friends @DrRickyLJones and @KWCosby. Thank you for continuing this important conversation in our community. We’re lucky to have leaders like you here in Louisville. https://t.co/HHftOggsM9|en|D|15|58
1513689357256908808|384913290|Tue Apr 12 01:24:00 +0000 2022|Tonight’s @WNBA draft reminds me just how lucky we were to see Emily, Kianna, &amp; Chelsie play together at @UofLWBB this season. Can’t wait to see all that these women accomplish in their lives, on &amp; off the court. Thank you @em__baller, @_naannna, and @chelsnation12. #CardsForever https://t.co/jO3DqS5qkC|en|D|1|38
1512133270892421124|384913290|Thu Apr 07 18:20:40 +0000 2022|The Supreme Court became more American today. It is history. It is justice. It is about time. https://t.co/9ENosOXNhv|en|D|21|224
1510063288914169857|384913290|Sat Apr 02 01:15:18 +0000 2022|Amazing year. Amazing team. Nothing but pride for these Cards!|en|D|17|202
1509617461204766722|384913290|Thu Mar 31 19:43:44 +0000 2022|Congratulations to @CandyceClifft on her 25th anniversary at @WDRBNews. Candyce, you are a fantastic journalist and such an important part of our community. Here’s to 25 more! https://t.co/3xUx66idln|en|D|2|7
