id|user|created_at|text|lang|label|retweet_count|favorite_count
1520431532573347845|1080851152151953410|Sat Apr 30 15:55:00 +0000 2022|It’s unacceptable we’ve let our air get this bad. You’ll hear more from me soon on how we fix this. https://t.co/Iz0UJiFojC|en|D|3|12
1519867314539143169|1080851152151953410|Fri Apr 29 02:33:00 +0000 2022|"I grew up with childhood asthma. I know what it’s like to worry more about your inhaler than your homework. We have to do better than this. 
https://t.co/peOvX5k1pl"|en|D|2|9
1519817486614425600|1080851152151953410|Thu Apr 28 23:15:00 +0000 2022|"Every single community should be able to say the same thing as Ripon. We have to get crime under control through the rest of the Valley now too.
https://t.co/kDjDjgftpJ"|en|D|1|8
1519763517146112000|1080851152151953410|Thu Apr 28 19:40:32 +0000 2022|This week I sat down with the US Forest Service Chief to talk about the brutal wildfire season coming up and what we need to do to support our firefighters. I refuse to let our heroes be understaffed or under resourced this year.|en|D|6|11
1519443773956132865|1080851152151953410|Wed Apr 27 22:30:00 +0000 2022|"Getting our ports moving is essential to our Valley economy AND will bring down costs for our families. It’s time to pass my bipartisan bill to fix this.
https://t.co/cgqeKQa1ca"|en|D|4|7
1519375290824339456|1080851152151953410|Wed Apr 27 17:57:52 +0000 2022|"The average gas price in our community is more than $5.50 today. Ridiculous. It’s time we put my plan in motion:

1) Suspend the gas tax
2) Crack down on price gouging
3) Send out gas price rebate checks"|en|D|3|19
1519134989438365697|1080851152151953410|Wed Apr 27 02:03:00 +0000 2022|We need to declare a homelessness emergency.|en|D|11|38
1519115109347463169|1080851152151953410|Wed Apr 27 00:44:00 +0000 2022|Infrastructure funds are coming to the Valley and I want to know: is there a road, bridge, or project near you we need to get working on? Comment here ⬇|en|D|12|23
1519009160297431042|1080851152151953410|Tue Apr 26 17:43:00 +0000 2022|"$$$ OPPORTUNITY $$$: California is giving out $10,000 in student debt relief. Make sure to tell all the students you know!

Read more here https://t.co/UjjuKPSAN2"|en|D|3|6
1518745674073837568|1080851152151953410|Tue Apr 26 00:16:00 +0000 2022|"Today 100,000 folks from our community drove over the Altamont to work and paid way too much at the pump to get there. I’m working to:

1) Get gas prices down
2) Bring good paying jobs closer to home"|en|D|6|31
1518687540730945536|1080851152151953410|Mon Apr 25 20:25:00 +0000 2022|"Good. We have to stop the violence.
https://t.co/R4SqwrjAMI"|en|D|1|3
1518624626426867712|1080851152151953410|Mon Apr 25 16:15:00 +0000 2022|"We’re hiring! Are you a veteran looking to continue serving our community? Apply to work on my incredible Valley team here. 
https://t.co/si4DOplpW0"|en|D|3|2
1518292940820471810|1080851152151953410|Sun Apr 24 18:17:00 +0000 2022|"When our farms don't have enough water, your grocery bills go up. We've got to do more to combat climate change and modernize our water systems.

https://t.co/kZ2zUqtlQX"|en|D|7|23
1518020646231416833|1080851152151953410|Sun Apr 24 00:15:00 +0000 2022|Housing costs are out of control in the Valley. Every elected official needs to work to get these prices down.|en|D|6|23
1517929798336761857|1080851152151953410|Sat Apr 23 18:14:00 +0000 2022|Did you know 43% of students had a panic or anxiety attack in the past year? It’s heartbreaking and we have to do more to help. This is why I introduced the Improving Mental Health in Schools Act, so we have more mental health practitioners available to help our kids.|en|D|11|28
1517642907410329600|1080851152151953410|Fri Apr 22 23:14:00 +0000 2022|Here's the truth: Prices will go down when more Members of Congress stop handing out political favors, and start holding Big Oil and Big Pharma accountable.|en|D|9|33
1517562088184553472|1080851152151953410|Fri Apr 22 17:52:51 +0000 2022|I’m so sick of these high gas prices. Another day, another $70 to fill up. Suspend the gas tax!|en|D|5|29
1517342678991527936|1080851152151953410|Fri Apr 22 03:21:00 +0000 2022|I won't stop fighting to make healthcare affordable for everyone in the Valley.|en|D|6|31
1517297129286295554|1080851152151953410|Fri Apr 22 00:20:00 +0000 2022|Lowering costs and delivering good-paying jobs. That's what I'm working on.|en|D|5|18
1517241250751172610|1080851152151953410|Thu Apr 21 20:37:57 +0000 2022|"You know it's bad when Krispy Kreme is doing more to address gas prices than Congress. For any of my colleagues reading this, it's not too late to get on board with my plan:
 
1) Cut the gas tax
2) Make price gouging illegal
3) Send drivers a gas rebate
 
https://t.co/SlyXMcMTHN"|en|D|4|14
1516932476182175745|1080851152151953410|Thu Apr 21 00:11:00 +0000 2022|Cleaner air, saving taxpayers money, and getting our kids to school on time. So proud to see this happening right here in the Valley. https://t.co/PNwSEQ8dUM|en|D|7|22
1516887177887723521|1080851152151953410|Wed Apr 20 21:11:00 +0000 2022|I love this new program. Anyone with a library card in the Valley can now park free at our state parks. Just check out the parking pass from your library! For more info, visit https://t.co/0mV3YLR56Y|en|D|3|10
1516835604792758281|1080851152151953410|Wed Apr 20 17:46:04 +0000 2022|"No parent should ever have to go through this. And no child should ever fear going to school. My heart is with Alicia's family. Just terrible. 

https://t.co/GcaM2I9X8Q"|en|D|3|2
1516617148415852553|1080851152151953410|Wed Apr 20 03:18:00 +0000 2022|No one should have to choose between insulin and paying rent. We need to get prices down across the board, and cap insulin at $35/month.|en|D|9|31
1516525028917063690|1080851152151953410|Tue Apr 19 21:11:57 +0000 2022|Pam and I are praying for Alicia's family and our Stockton community as we grieve this heartbreaking loss. We have to stop the violence.|en|D|4|13
1516154969732354067|1080851152151953410|Mon Apr 18 20:41:28 +0000 2022|"I'm closely monitoring the tragic situation at Stagg High School in Stockton right now. Pam and I are praying for the student, her family and our entire community. We have to stop the violence. 
https://t.co/KgiCX1eaW1"|en|D|7|21
1516142730648428547|1080851152151953410|Mon Apr 18 19:52:50 +0000 2022|One of my favorite jobs before I started in Congress was teaching at Modesto Junior College. The opportunities community colleges provide our students are so important. During #CommunityCollegeMonth, I want to celebrate MJC — and all our amazing community colleges in the Valley!|en|D|5|15
1515693822268870656|1080851152151953410|Sun Apr 17 14:09:02 +0000 2022|Happy Easter from my family to yours! As Pam and I start new traditions with our daughter Lily, I would love to know what your favorite Easter traditions are with your family. Comment below!|en|D|6|30
1515404813445574666|1080851152151953410|Sat Apr 16 19:00:37 +0000 2022|"Here's what I'm working on right now:
 
→ Suspending the gas tax and holding Big Oil accountable for price gouging
→ Delivering more good-paying jobs to the Valley
→ Lowering the cost of goods and prescription drugs"|en|D|7|16
1515348251498663939|1080851152151953410|Sat Apr 16 15:15:51 +0000 2022|Homelessness is only going to get worse as rent prices skyrocket. Every single elected official should be working to lower prices.|en|D|15|61
1515172630168432642|1080851152151953410|Sat Apr 16 03:38:00 +0000 2022|"Tax Day is on Monday. If you have any issue filing, give my office a call. We're always here to help.

📞 209- 579-5458"|en|D|7|16
