id|user|created_at|text|lang|label|retweet_count|favorite_count
1506660613396877314|193732179|Wed Mar 23 15:54:17 +0000 2022|Happy birthday #AffordableCareAct! #ThxACA for improving the health of all Americans, including women, families, ki… https://t.co/tFQDM68L8f|en|D|8|23
1506333658088673285|193732179|Tue Mar 22 18:15:05 +0000 2022|"""The U.S. economy regained more than 90% of the 22 million jobs lost in the early weeks of the pandemic. "" 

This i… https://t.co/u29AJamQ0p"|en|D|4|20
1504929415532363785|193732179|Fri Mar 18 21:15:07 +0000 2022|After working in a NYC ER at the start of the pandemic, Dr. Lorna Breen started to feel the impacts of serving on t… https://t.co/TDzU5rlnhm|en|D|5|31
1504922568922472461|193732179|Fri Mar 18 20:47:55 +0000 2022|Protecting the future of AAPIs must include protecting our past. That is why I have been advocating for more AAPI h… https://t.co/STChShdUu2|en|D|10|20
1504915796497211402|193732179|Fri Mar 18 20:21:00 +0000 2022|Two years of fighting on the front lines of the pandemic with little support has taken a toll on the mental health… https://t.co/XYF3H0tAdi|en|D|8|76
1504857374598782983|193732179|Fri Mar 18 16:28:51 +0000 2022|I'm thrilled to announce that the Omnibus we passed last week includes tens of millions of dollars in investments t… https://t.co/DdBoQ8tKxc|en|D|6|25
1504479542110404625|193732179|Thu Mar 17 15:27:29 +0000 2022|Today, I’m honored to chair the @WaysMeansCmte hearing with @IRSnews Commissioner Rettig to press for a better and… https://t.co/BsuQe4BDOl|en|D|5|23
1504153332377690113|193732179|Wed Mar 16 17:51:14 +0000 2022|I was so inspired to hear today from President Zelensky. He is standing up for his people, and won't back down, no… https://t.co/lh8BVddc0s|en|D|8|49
1504096538393550850|193732179|Wed Mar 16 14:05:34 +0000 2022|The murders of 8 people, including 6 Asian women, 1 year ago today shocked our nation awake to the problem of anti-… https://t.co/V4rGK4kclR|en|D|167|662
1503762334292090887|193732179|Tue Mar 15 15:57:33 +0000 2022|Women still make just 83 cents for every dollar a man in the same job makes. And it's even worse for women of color… https://t.co/jROQDhCTxo|en|D|14|39
1503750928519897091|193732179|Tue Mar 15 15:12:14 +0000 2022|I am so heartbroken by yet another brutal attack on an elderly Asian woman, just one year after the Atlanta spa sho… https://t.co/XgjTBWEOsV|en|D|15|62
1501966291556569089|193732179|Thu Mar 10 17:00:43 +0000 2022|This Abortion Provider Appreciation Day, I #CelebrateAbortionProviders like @PPPSGV who tirelessly work to support… https://t.co/RbzHkVS8Ca|en|D|17|65
1501644691388964871|193732179|Wed Mar 09 19:42:48 +0000 2022|This is great news! For half a century, California has been a leader in innovation that produces cleaner air. But t… https://t.co/cVrqtPXiNn|en|D|6|40
