id|user|created_at|text|lang|label|retweet_count|favorite_count
1507346034992758796|2293131060|Fri Mar 25 13:17:54 +0000 2022|The child care crisis, summed up in a headline. https://t.co/rHUSZgV3iw|en|D|45|156
1507114416080367616|2293131060|Thu Mar 24 21:57:32 +0000 2022|In 1969, the Beatles held their last public performance, two Americans walked on the moon for the first time, Woods… https://t.co/KpawcQ2P7X|en|D|21|88
1506972694880919555|2293131060|Thu Mar 24 12:34:23 +0000 2022|Meet #MA5 trailblazers, Tanya McCloskey &amp; Marcia Kadish. In 2004, they became the 1st same-sex couple to be legally… https://t.co/Jj7mRYXCrX|en|D|14|62
1506772823003615236|2293131060|Wed Mar 23 23:20:10 +0000 2022|Madeleine Albright was a trailblazer who changed the world through her diplomacy and advocacy. Her legacy will cont… https://t.co/GaSBGZid7K|en|D|6|60
1506722063838494734|2293131060|Wed Mar 23 19:58:28 +0000 2022|"Thanks to the #AffordableCareAct:

✔️More Americans than ever have coverage

✔️Birth control is covered by insuranc… https://t.co/XcHZIfIH6u"|en|D|10|42
1506700057285955588|2293131060|Wed Mar 23 18:31:01 +0000 2022|Every worker deserves the right to unionize. From Starbucks to Capitol Hill, I support collective bargaining effort… https://t.co/BKLrSN8ztZ|en|D|8|25
1506651802732662784|2293131060|Wed Mar 23 15:19:16 +0000 2022|Next stop on the #MA5 Community Projects Tour: Hurld Park in #Woburn! I secured $262k to design a park that'll make… https://t.co/AVDLCSeDpw|en|D|6|17
1506634591758561285|2293131060|Wed Mar 23 14:10:53 +0000 2022|I’m at the #Waltham Embassy Parking Lot celebrating the $280k in federal funding I secured to improve our climate p… https://t.co/ENAyhPni3G|en|D|7|23
1506384443715502081|2293131060|Tue Mar 22 21:36:53 +0000 2022|"This is the Republican Party. In 2022. 

When they tell you who they are, believe them. https://t.co/n76VEW4y5A"|en|D|18|57
1506335010135097354|2293131060|Tue Mar 22 18:20:27 +0000 2022|Fact. Now, someone tell Texas 👀 https://t.co/kDdZg4PISz|en|D|46|320
1506308473599971345|2293131060|Tue Mar 22 16:35:00 +0000 2022|Something more: $20,000 in Massachusetts https://t.co/Wd1yVAAEBi|en|D|12|53
1506286395584831504|2293131060|Tue Mar 22 15:07:16 +0000 2022|"#JudgeKetanjiBrownJackson understands the struggle of women, of moms, of kids — she sees all of us. 

This is a voi… https://t.co/wDD6XPim0j"|en|D|20|88
1506021031135543296|2293131060|Mon Mar 21 21:32:48 +0000 2022|Happy opening day to the #GreenLineExtension! Better T access is one of the best ways to tackle carbon emissions, e… https://t.co/FWm1SNF6fU|en|D|7|58
1505938146059505664|2293131060|Mon Mar 21 16:03:27 +0000 2022|All aboard the #GreenLineExtension! Next stop: climate resiliency 🎉🚊 https://t.co/kY9NscgAHb|en|D|5|31
1505894662740996097|2293131060|Mon Mar 21 13:10:40 +0000 2022|Last week, @POTUS signed a new budget that included over $10 mil I secured for 10 projects across MA-5. Today, I’m… https://t.co/qTZZY97koj|en|D|5|40
1505677642393075713|2293131060|Sun Mar 20 22:48:18 +0000 2022|"In just 12 months, the American Rescue Plan has paved the way for our recovery:

Added 7.4M jobs
Grew GDP to 5.7%… https://t.co/mhHxLqrwYn"|en|D|11|63
1505539775368998913|2293131060|Sun Mar 20 13:40:28 +0000 2022|We're repairing bridges, improving commute times, and supporting the success of local businesses through the… https://t.co/LeudtKEdIR|en|D|9|31
1505191216174018568|2293131060|Sat Mar 19 14:35:25 +0000 2022|Saddened to learn of the loss of my colleague and the Dean of the House, @repdonyoung. He spent much of his life se… https://t.co/oaNqirUuX0|en|D|4|22
1504894182061662209|2293131060|Fri Mar 18 18:55:07 +0000 2022|"Republicans once again stood in the way of Democrats eliminating the Hyde Amendment from the federal budget.

But l… https://t.co/h5tf2UiiT7"|en|D|15|64
1504830579338092551|2293131060|Fri Mar 18 14:42:23 +0000 2022|"Race-based hair discrimination is white supremacy in action. 

Today, @HouseDemocrats vote for the #CrownAct &amp; a wo… https://t.co/3P15Xl4dDG"|en|D|53|331
