id|user|created_at|text|lang|label|retweet_count|favorite_count
1505691744075063297|239949176|Sun Mar 20 23:44:20 +0000 2022|"I want to wish everyone celebrating today in Los Angeles and around the world a very happy Nowruz!

I hope that tod… https://t.co/vWZz1s5Ted"|en|D|6|34
1504461513221935108|239949176|Thu Mar 17 14:15:50 +0000 2022|Barbara Morrison gifted us with her voice and her service. Our city, and especially our Leimert Park community, wil… https://t.co/ofbbhutEye|en|D|7|24
1504110383350652935|239949176|Wed Mar 16 15:00:35 +0000 2022|Today marks one year since eight people at three Atlanta area spas were killed in a vile assault on the Asian Ameri… https://t.co/aXOkGvkMGE|en|D|13|73
1501397973346959360|239949176|Wed Mar 09 03:22:26 +0000 2022|"We are record breakers.
We are coalition builders.
We are opinion makers.
We are world leaders.

We are the future.… https://t.co/QvJIi0axWY"|en|D|21|119
1498852469878792197|239949176|Wed Mar 02 02:47:30 +0000 2022|"Great to see President Joe Biden and Housing and Urban Development Secretary Marcia Fudge tonight. 

I look forward… https://t.co/DUwWEa3JXx"|en|D|16|79
1498832613133459457|239949176|Wed Mar 02 01:28:36 +0000 2022|Tonight, on the first day of Women's History Month, the President of the United States will begin his State of the… https://t.co/Oml7qiMCQB|en|D|228|850
1497237896507449345|239949176|Fri Feb 25 15:51:46 +0000 2022|"The nomination of Judge Ketanji Brown Jackson is a proud moment for this country.

A fair jurist with an unyielding… https://t.co/thP9YPd3Gu"|en|D|22|102
1496957257074020359|239949176|Thu Feb 24 21:16:36 +0000 2022|Vladimir Putin has chosen to launch a premeditated war of choice that will bring catastrophic loss of life and huma… https://t.co/EO65E47kGq|en|D|28|140
1496162870001868801|239949176|Tue Feb 22 16:40:00 +0000 2022|Forcing schools to out LGBTQ children is not just atrocious and cruel — it also puts the lives of the students at r… https://t.co/vU9QHRuMtZ|en|D|31|92
1495909702001123331|239949176|Mon Feb 21 23:54:00 +0000 2022|Happy #PresidentsDay to everybody, but especially these two -- looking forward to continuing our work to make Los A… https://t.co/1m2g11pF3o|en|D|23|94
1495835640310951936|239949176|Mon Feb 21 18:59:42 +0000 2022|"It was one of the highest honors of my life to bring John Lewis to South Los Angeles.

Happy birthday, Congressman… https://t.co/uaxRwanKKi"|en|D|21|91
1495103396902100995|239949176|Sat Feb 19 18:30:02 +0000 2022|80 years ago today, Executive Order 9066 was signed to savagely remove 120,000 Japanese Americans from their homes… https://t.co/vOWO6GnHCT|en|D|32|106
1494910289753493504|239949176|Sat Feb 19 05:42:41 +0000 2022|"Pamela Moses received a 6 year sentence in prison for trying to register to vote.

Kim Potter received a 2 year sen… https://t.co/tlKGJlzssz"|en|D|372|1154
1494074856991707136|239949176|Wed Feb 16 22:22:59 +0000 2022|"When we work together on the federal level, our state and our communities are the ones that benefit. 

Los Angeles… https://t.co/qfIaZKIKjw"|en|D|8|21
1493272710587183105|239949176|Mon Feb 14 17:15:32 +0000 2022|"Today marks four years since the deadliest high school shooting in US history.
  
As we remember this tragedy, let… https://t.co/bdunmYseZI"|en|D|10|48
1493059871343665159|239949176|Mon Feb 14 03:09:47 +0000 2022|👀 👀 👀 #RamsHouse https://t.co/JR45BLmm4j|und|D|4|57
1492591272850182144|239949176|Sat Feb 12 20:07:45 +0000 2022|Tomorrow’s the big game. @RepSteveChabot I’ll bet you a box of See’s chocolates that tomorrow the @RamsNFL will be… https://t.co/knAESeXfuo|en|D|7|34
1492221357647888387|239949176|Fri Feb 11 19:37:50 +0000 2022|Security efforts leading up to the Super Bowl should not include ICE monitoring street vendors who are just trying… https://t.co/3hNpM0hnKT|en|D|91|250
1492167041033248769|239949176|Fri Feb 11 16:02:00 +0000 2022|We secured $56,789,406 for California to install electric vehicle charging stations along key roads and highways.… https://t.co/g1aTdP9NBO|en|D|14|58
1491898067733282827|239949176|Thu Feb 10 22:13:12 +0000 2022|We have to do everything we can to ensure that the US Postal Service is able to meet the needs of everyone in Los A… https://t.co/UxDrJCIHfV|en|D|9|39
1491430940337446927|239949176|Wed Feb 09 15:17:00 +0000 2022|We cannot simply call our nurses heroes, we need to stand with them for better wages and safer working conditions.… https://t.co/far9jQnOWC|en|D|78|327
1491263690553069569|239949176|Wed Feb 09 04:12:24 +0000 2022|"We depend on USPS to deliver our medication, our benefits, our letters from loved ones and more.

That’s why today… https://t.co/GfoVHvf11D"|en|D|19|163
1490772715413786626|239949176|Mon Feb 07 19:41:27 +0000 2022|"Every day, more than 110 people in America die by gun violence and over 200 are wounded. 

Each of their stories de… https://t.co/os8gtGK0Pl"|en|D|30|90
1490137992911994882|239949176|Sun Feb 06 01:39:17 +0000 2022|"#LunarNewYear is a time of celebration for so many people here in Los Angeles and millions around the world. 

I am… https://t.co/V3QoYcYmAs"|en|D|10|49
1488889628967030788|239949176|Wed Feb 02 14:58:44 +0000 2022|"2021 was the greatest year of job growth in American history.

I will never stop fighting for good-paying jobs in Los Angeles."|en|D|9|45
1488687858357473280|239949176|Wed Feb 02 01:36:58 +0000 2022|There is no American history without Black history -- and while we celebrate this month, we remember all year long.… https://t.co/DF42hxlud1|en|D|49|199
1488561006393675790|239949176|Tue Feb 01 17:12:54 +0000 2022|#LunarNewYear is a time of celebration for so many people here in Los Angeles and millions around the world. 1/ https://t.co/VO4TN9Rdcs|en|D|14|61
1488377089283739649|239949176|Tue Feb 01 05:02:05 +0000 2022|"The Neo-Nazi rally in Orlando over the weekend should be universally condemned. 

This is not complicated. 

This a… https://t.co/EHRi5Y54l6"|en|D|18|86
1486791031685140483|239949176|Thu Jan 27 19:59:39 +0000 2022|"77 years ago today, Allied forces liberated Auschwitz, exposing evil there for the world to see.

Today on… https://t.co/ID60Pyf5Yc"|en|D|18|67
1486569595498426371|239949176|Thu Jan 27 05:19:45 +0000 2022|"No one knows how to get resources to our communities better than the communities themselves. 

Proud to assist… https://t.co/vXKFBlkfOi"|en|D|9|45
1486425041906532352|239949176|Wed Jan 26 19:45:21 +0000 2022|Thank you Justice Breyer for your service to this country.|en|D|8|83
1485058907756122112|239949176|Sun Jan 23 01:16:49 +0000 2022|"49 years ago, the Supreme Court protected the right to choose with its decision in Roe v. Wade.

Today, that right… https://t.co/ou0FdTPQw6"|en|D|34|146
1484324940333531142|239949176|Fri Jan 21 00:40:17 +0000 2022|January 20, 2020: The first known case of COVID-19 in the U.S. is reported. 1/|en|D|15|58
