id|user|created_at|text|lang|label|retweet_count|favorite_count
1520124071878402048|1081222837459996672|Fri Apr 29 19:33:15 +0000 2022|Millions of families count on Social Security to help them make ends meet. I'm urging my colleagues to pass the Social Security 2100 Act, which would put more money in Americans' pockets, eliminate waiting periods for people with disabilities, and prevent benefit cuts in 2024. https://t.co/eWURJa9WJ0|en|D|5750|18418
1520069802944991237|1081222837459996672|Fri Apr 29 15:57:37 +0000 2022|It's fiscally responsible to provide resources to prevent the spread of disease and future pandemics, but taxpayer dollars need to be used effectively. I'm eager to work with Democrats and Republicans on this, and I started yesterday by asking questions of an expert from @USGS ⬇ https://t.co/neD9vCZrpU|en|D|347|1699
1519805546261454848|1081222837459996672|Thu Apr 28 22:27:33 +0000 2022|"Medicare Advantage plans get billions in taxpayer dollars every year, but many are denying essential services to seniors that would have been covered by Traditional Medicare. We need stronger oversight of these private contractors.

https://t.co/8znNY8A1fZ"|en|D|472|1547
1519764731858329600|1081222837459996672|Thu Apr 28 19:45:22 +0000 2022|Strengthening infrastructure creates jobs and helps keep families safe. I'm grateful @SouthwestCarps showed me how federal funds are improving the 405 in Orange County, and I'm looking forward to seeing how the bipartisan infrastructure law will boost Orange County's economy. https://t.co/MXzeBZMe7E|en|D|138|714
1519728293238374400|1081222837459996672|Thu Apr 28 17:20:34 +0000 2022|Today, we reflect on the horrors of the Holocaust and remember the millions of lives cut short by hate. I joined @HolocaustMuseum in listening to survivors tell their stories, and I was honored to say the names and light a candle in memory of 10 victims. #HolocaustRemembranceDay https://t.co/PqCK0tz7iQ|en|D|166|1164
1519680140858507266|1081222837459996672|Thu Apr 28 14:09:14 +0000 2022|New research today shows that climate change will increase the spread of viruses between animals—potentially creating new diseases that infect humans. I've just kicked off a hearing I'm leading on how we prevent diseases jumping from wildlife to humans. https://t.co/tqD0Sm7Gj6|en|D|313|1301
1519429301535330304|1081222837459996672|Wed Apr 27 21:32:29 +0000 2022|We need to lower costs for families, including prescription drug prices. We can help patients and save billions in taxpayer dollars by allowing Medicare to negotiate how much it has to pay for prescription drugs. https://t.co/f735s4YzZ6|en|D|666|2901
1519369814086762497|1081222837459996672|Wed Apr 27 17:36:06 +0000 2022|The consulting firm @McKinsey got $140 million in taxpayer dollars to help @US_FDA build drug safety programs—at the same time it was working for opioid giant @purduepharma. I demanded answers from the head of McKinsey on why the company hid this clear conflict of interest. https://t.co/mZSLBXbXbJ|en|D|4601|13429
1519043470496776193|1081222837459996672|Tue Apr 26 19:59:20 +0000 2022|"Public lands belong to all Americans. My first hearing as Chair of @NRDems' Oversight Subcommittee was on accessibility in national parks because disability status or background shouldn’t keep people from enjoying these spaces.

https://t.co/cwUNbGNulO"|en|D|202|1084
1518991656900567040|1081222837459996672|Tue Apr 26 16:33:27 +0000 2022|To combat inflation, we need to boost competition in our economy and lower costs—not wages. The American people should be wary of politicians who advocate a solution that takes money out of their pockets instead of holding corporate monopolies accountable for price-gouging. https://t.co/nWsg2DFcf5|en|D|686|2663
1518723008751353856|1081222837459996672|Mon Apr 25 22:45:56 +0000 2022|"Firefighters shouldn't have to rely on crowdfunding sites to cover treatment for illnesses or injuries caused by their job. I'm glad the Administration is taking this step, but I will continue pushing for our bipartisan bill to boost pay and benefits.

https://t.co/dIfJdqZ3Ip"|en|D|169|920
1518690369986187266|1081222837459996672|Mon Apr 25 20:36:14 +0000 2022|Kleptocrats enrich themselves at the expense of the people they govern. I'm glad the U.S. and our allies have taken strong action against Russian oligarchs, but we should also be proactive and pass legislation that'll prevent such abuse in the first place. https://t.co/e6hWq1uY2w|en|D|657|2807
1518627655851012096|1081222837459996672|Mon Apr 25 16:27:02 +0000 2022|I'm grateful for the workers who are strengthening Orange County's infrastructure. Thanks, @SouthwestCarps, for showing me around this @405improvement construction site! The project, paid for in part through federal funds, will improve 16 miles of the 405 in Orange County. https://t.co/55hHxBhtNh|en|D|76|513
1518322981834878976|1081222837459996672|Sun Apr 24 20:16:22 +0000 2022|The American people need to know Congress is working in the public's interest, not in the interest of their own stock portfolios. The House held a hearing on cracking down on insider trading in Congress, and the experts made it clear we need to ban members from trading stocks. https://t.co/O72uOt3MPy|en|D|1073|5655
1517619828265144321|1081222837459996672|Fri Apr 22 21:42:17 +0000 2022|The IRS relies on 1960s technology to process tax returns, and that's leading to delays, errors, and frustration for families. We need to stop cutting the agency's funding and instead give it the resources it needs to help taxpayers—and to crack down on ultra-wealthy tax cheats. https://t.co/VQTM7BFM68|en|D|1614|6804
1517576950193131520|1081222837459996672|Fri Apr 22 18:51:54 +0000 2022|Fishing is essential to California's economy, and an overwhelming majority of fish caught in our state swim through @BolsaChica_LT at some point in their lives. This saltwater marsh, once an oil field, is a testament to how critical it is we protect our environment. #EarthDay https://t.co/fKXhrysEho|en|D|136|897
1517248364202672128|1081222837459996672|Thu Apr 21 21:06:13 +0000 2022|"A witness who comes prepared: during my questioning, the IRS Commissioner acknowledged that audits of millionaires have dropped by at least 66% in the past decade.

If the richest 1% of taxpayers paid what they owe, like the rest of us do, we could give every taxpayer $1000. https://t.co/cVYUOhkMsQ"|en|D|2193|6530
1517172835252375554|1081222837459996672|Thu Apr 21 16:06:06 +0000 2022|"We have a tax gap because the richest Americans don't pay what they owe while the rest of us do.

In a hearing today, I quizzed the IRS Commissioner: how much have audits of millionaire taxpayers declined in the past 10 years?

For those playing along at home, leave your guess ⬇️ https://t.co/4oVY50m4GJ"|en|D|5614|25089
1516928284801437697|1081222837459996672|Wed Apr 20 23:54:20 +0000 2022|More than 1 in 3 Americans, myself included, have had packages stolen off their porches. I helped introduce a bipartisan bill, the Porch Pirates Act, to expand protections for deliveries from private carriers and to crack down on these crimes ⤵ https://t.co/DR5SACfhUK|en|D|388|2326
1516883595083669504|1081222837459996672|Wed Apr 20 20:56:46 +0000 2022|"Decades of mismanagement have prevented tens of thousands of public servants from getting their student loans forgiven—and delayed forgiveness for millions more. I'm glad the Biden Administration is working to make this right.

https://t.co/SnS2wBYFDF"|en|D|187|785
1516852516750733313|1081222837459996672|Wed Apr 20 18:53:16 +0000 2022|Private contractors, through Medicare Advantage plans, game the system and bill patients as sicker than they are to rake in billions of taxpayer dollars. I'm leading House and Senate colleagues in urging @CMSGov to reconsider dedicating even more taxpayer money to the program. https://t.co/2dbzjD05w9|en|D|392|1352
1516803516932628484|1081222837459996672|Wed Apr 20 15:38:33 +0000 2022|Americans will see a 20% cut in Social Security benefits in 2024 if Congress doesn't act. We must keep our country's promise to families and pass the Social Security 2100 Act, which would shore up the program and help more Americans get the resources they need. https://t.co/R1yjLzcS7w|en|D|1411|3506
1516522150978461696|1081222837459996672|Tue Apr 19 21:00:31 +0000 2022|We've been charging oil and gas companies the same royalty rate to drill on public lands for 100+ years—until yesterday. The Biden Administration has raised the rate to the amount I've been pushing for, which means taxpayers will finally get a fair return on these public assets. https://t.co/Os32OoqUCe|en|D|743|3493
