id|user|created_at|text|lang|label|retweet_count|favorite_count
1520025116029165568|161743731|Fri Apr 29 13:00:03 +0000 2022|April is the Month of the Military Child, which reminds us to recognize and honor the children of our service members and veterans. Thank you for your sacrifice! https://t.co/aL3Sf2dgUx|en|R|12|74
1519662717149192192|161743731|Thu Apr 28 13:00:00 +0000 2022|I stand with Ukraine. https://t.co/I1CVrFfYv3|en|R|2|24
1519300580761645057|161743731|Wed Apr 27 13:01:00 +0000 2022|On Yom HaShoah, we are reminded of the horrors of the Holocaust, and we vow to never forget.  #NeverAgain. https://t.co/8wlVQTthWi|en|R|2|7
1518575556236701702|161743731|Mon Apr 25 13:00:01 +0000 2022|On World Malaria Day, we are reminded of the dire need to rid the world of malaria with continued research and implementation of preventative innovations and life-saving treatments. https://t.co/Qtqn9ZAcUS|en|R|9|20
1518213668730777600|161743731|Sun Apr 24 13:02:00 +0000 2022|"By allowing Title 42 enforcement to expire, @Potus is inflaming the dire crisis at the southern border.  
https://t.co/lqRMIz2g3Y"|en|R|2|3
1517850786398498816|161743731|Sat Apr 23 13:00:02 +0000 2022|On World Book Day, take time to share what you’ve been reading and celebrate the wisdom and enjoyment that comes from books! https://t.co/iNGXrsH0FG|en|R|0|5
1517488398201724929|161743731|Fri Apr 22 13:00:02 +0000 2022|Happy Earth Day! https://t.co/vMhxkWFdsc|en|R|1|3
1517126253454794758|161743731|Thu Apr 21 13:01:00 +0000 2022|Great news that @TxDOTFortWorth will receive a @USDOT grant for their @TrinityMetro Bus Facilities Program project! https://t.co/t3J6viSwsw|en|R|2|3
1516763615495393285|161743731|Wed Apr 20 13:00:00 +0000 2022|"Great news that @WfordCollege is expanding educational access and opportunities for its students!  
https://t.co/RqbH3FRnbJ"|en|R|1|5
1516401228258824193|161743731|Tue Apr 19 13:00:00 +0000 2022|"Congrats to Fort Worth’s Texas College of Osteopathic Medicine for being ranked the nation’s top osteopathic medical school for primary care!  Thanks @UNTHSC for all you do for our community!
https://t.co/41kkjnV3cT"|en|R|10|26
1516038850270748673|161743731|Mon Apr 18 13:00:03 +0000 2022|It’s Tax Day! Here is a friendly reminder to file your taxes if you haven’t already. https://t.co/V64OBZ2soN|en|R|1|2
1515661602342592513|161743731|Sun Apr 17 12:01:00 +0000 2022|Happy Easter! https://t.co/xXMI9ayKPn|en|R|1|4
1515314066331471873|161743731|Sat Apr 16 13:00:01 +0000 2022|"Hat’s Off to Donna Dickson - @WfordCollege’s Alumna of the Year!
https://t.co/xVzx3ufp13"|en|R|1|2
1514951926449725441|161743731|Fri Apr 15 13:01:00 +0000 2022|Happy Pesach! https://t.co/R0jS7sjXgC|en|R|2|4
1514589538265403401|161743731|Thu Apr 14 13:01:00 +0000 2022|Great news for Fort Worth in receiving Housing and Urban Development disaster relief funds! https://t.co/0j1KB3JkFq|en|R|1|3
1514227150437634049|161743731|Wed Apr 13 13:01:00 +0000 2022|On the date of his birth, we honor and celebrate President Thomas Jefferson, a Founding Father and the third president of our great country. https://t.co/HYNropVL86|en|R|1|6
1513864512100712448|161743731|Tue Apr 12 13:00:00 +0000 2022|"Thank you to @ResearchAmerica for honoring me with the Edwin C. Whitehead Award for Medical Research Advocacy!  
https://t.co/ynSvMxiHNj"|en|R|2|3
1513502374710632458|161743731|Mon Apr 11 13:01:00 +0000 2022|On National Pet Day we celebrate all animal companions! https://t.co/Hp6xmqiCou|en|R|1|4
1513124642101370884|161743731|Sun Apr 10 12:00:01 +0000 2022|Happy Palm Sunday! https://t.co/r12fUMfbfD|en|R|24|114
1512777356376694790|161743731|Sat Apr 09 13:00:02 +0000 2022|April is Parkinson’s Awareness Month.  Many thanks to those working hard to find a cure! https://t.co/IqNrNqLeCV|en|R|1|2
1512414961833635840|161743731|Fri Apr 08 13:00:00 +0000 2022|"Welcome back local art fairs and festivals!   Our Fort Worth community is fortunate to have great cultural opportunities like those happening this weekend!  
https://t.co/ODktHuVhsg"|en|R|1|2
1512052578959298561|161743731|Thu Apr 07 13:00:02 +0000 2022|This weekend - Saturday April 9th - is the U.S. Service Academies Forum for North Texas!  Parents are encouraged to attend with their student! https://t.co/bJmlvHTqOb|en|R|1|1
1511690186375106560|161743731|Wed Apr 06 13:00:00 +0000 2022|April is Autism Awareness Month.  Thanks to all the caregivers and educators who work daily to help those with the disability! https://t.co/xqvWUy9ORO|en|R|3|7
1511327802158727173|161743731|Tue Apr 05 13:00:01 +0000 2022|Today on Gold Star Spouses Day, we honor the surviving loved ones of the brave service members who made the ultimate sacrifice for our country.  May God bless you and your families. https://t.co/dQp7XX8lSf|en|R|8|39
1510965412019724294|161743731|Mon Apr 04 13:00:01 +0000 2022|American parents that are concerned about their children’s education are not domestic terrorists! https://t.co/0EYxvu7fEW|en|R|24|78
1510603025500364803|161743731|Sun Apr 03 13:00:01 +0000 2022|It’s National Library Week!  Thanks to @FtWorthLibrary and all the wonderful libraries in TX-12 for your service to our community! https://t.co/PvDyEfyqfv|en|R|4|18
1510240632752664582|161743731|Sat Apr 02 13:00:00 +0000 2022|Ramadan Mubarak! https://t.co/vOiFYhgson|tr|R|1|10
1509878249962278915|161743731|Fri Apr 01 13:00:01 +0000 2022|It’s April Fool’s Day! https://t.co/YJZHh5h17J|en|R|1|2
1509515860569862147|161743731|Thu Mar 31 13:00:01 +0000 2022|Saturday April 9th is the U.S. Service Academies Forum for North Texas!  Parents are encouraged to attend with their student! https://t.co/3IYaGSNgZ9|en|R|2|4
1509153469357342720|161743731|Wed Mar 30 13:00:00 +0000 2022|"Congrats to @WPDTX officer Sean Eddy for being selected as Legion’s Law Enforcement Officer of the Year. Thank you for your dedication to our community!
https://t.co/8NxxXWrgLF"|en|R|2|3
1508791080392740864|161743731|Tue Mar 29 13:00:00 +0000 2022|Today on National Vietnam War Veterans Day we honor our nation’s brave heroes and their families for their service and sacrifice. https://t.co/9mqTE44blE|en|R|6|14
1508428698562674689|161743731|Mon Mar 28 13:00:01 +0000 2022|President Biden’s Energy Crisis is self-inflicted!  America needs to renew exploration leases and stop the punishing taxes upon production! https://t.co/78f5vRKpPs|en|R|1|3
1508066305676439556|161743731|Sun Mar 27 13:00:00 +0000 2022|"I support energy workers in TX and across this great country!  Thank you for all you are doing to keep up with high demand!  
https://t.co/BPvWiJrv6i"|en|R|1|2
1507703918452609024|161743731|Sat Mar 26 13:00:00 +0000 2022|Today on Epilepsy Awareness Day, we are grateful for the researchers that have devoted their lives to find a cure! https://t.co/6KWwjzPAQZ|en|R|2|4
1507341543283171330|161743731|Fri Mar 25 13:00:03 +0000 2022|On this National Medal of Honor Day, we pay tribute to the courageous U.S. military members who have received this distinct award! https://t.co/Jg6SdG6ipf|en|R|1|2
1506979143728074758|161743731|Thu Mar 24 13:00:00 +0000 2022|March is National Cerebral Palsy Awareness Month, which provides an opportunity to increase understanding about the challenges faced by those who live with it. https://t.co/iBSjowisPD|en|R|1|4
1506616755447341057|161743731|Wed Mar 23 13:00:00 +0000 2022|"I’m proud to be a sponsor of the bill that condemns the heinous attack on Congregation Beth Israel in Colleyville, TX.   Antisemitism must end now!
https://t.co/IgSVJUhRKS"|en|R|2|12
1506254377249435649|161743731|Tue Mar 22 13:00:03 +0000 2022|Today on National Agriculture Day, we honor our farmers, ranchers, producers, and all those in the Ag industry. Thank you for feeding America! https://t.co/XFT6vInFxU|en|R|4|6
1505891989308391428|161743731|Mon Mar 21 13:00:03 +0000 2022|Today on World Down Syndrome Day, we celebrate our friends and family with Down’s and recognize their families who love them. https://t.co/RkWPaYh0Si|en|R|1|9
1505529841600278529|161743731|Sun Mar 20 13:01:00 +0000 2022|Today is the first day of Spring! https://t.co/4dKXMX3itM|en|R|1|6
1505167202990833668|161743731|Sat Mar 19 13:00:00 +0000 2022|March is Multiple Sclerosis Awareness Month, which reminds us to give thanks for all the research being done to find a cure! https://t.co/q2gAIrl9re|en|R|2|5
1504804827171332120|161743731|Fri Mar 18 13:00:03 +0000 2022|A big TX welcome to everyone coming to Fort Worth’s @DickiesArena for March Madness and good luck to @TCU and all the TX teams in the tournament! https://t.co/JI7f8rzeyS|en|R|1|6
1504442433722933250|161743731|Thu Mar 17 13:00:02 +0000 2022|Happy St. Patrick’s Day! https://t.co/ihrRvt7KTR|en|R|1|7
1504080046276825091|161743731|Wed Mar 16 13:00:02 +0000 2022|Happy Purim! https://t.co/NoJzUwK1vo|en|R|1|3
1503717651293487107|161743731|Tue Mar 15 13:00:00 +0000 2022|Sign up for updates on how I am fighting for you and TX12 in Washington. Subscribe to my Newsletter here: https://t.co/laBwn9YfZL|en|R|1|2
1503355266015760390|161743731|Mon Mar 14 13:00:01 +0000 2022|I am proud to co-sponsor The Protecting Family and Small Business Tax Cuts Act, which will make the historic 2017 tax cuts permanent for families and job creators. https://t.co/LSQJ99mQ0U|en|R|1|2
1502962679975084034|161743731|Sun Mar 13 11:00:01 +0000 2022|Time to “spring forward” for Daylight Saving Time. https://t.co/uheRL2jFZ6|en|R|1|7
1502645591335186434|161743731|Sat Mar 12 14:00:01 +0000 2022|Happy National Girl Scout Day!  Thanks to all the Girl Scouts working to “make the world a better place!” https://t.co/psS1OymJvV|en|R|1|7
1502283200554438656|161743731|Fri Mar 11 14:00:00 +0000 2022|Thanks to @TXLA Librarian of the Year @ManyaSchorr for her great work in keeping Fort Worth libraries open and available to the community during the pandemic!  We are all grateful for your leadership! https://t.co/IlBhtOh9Pg|en|R|4|16
1501920815847288835|161743731|Thu Mar 10 14:00:01 +0000 2022|"Great news to hear that @TCU will expand its footprint with a new medical campus in Fort Worth and Tarrant County!  Thank you for investing in our community!  
https://t.co/2YlUQBI46s"|en|R|2|48
1501567117963014144|161743731|Wed Mar 09 14:34:33 +0000 2022|Sign up for updates on how I am fighting for you and TX12 in Washington. Subscribe to my Newsletter here: https://t.co/laBwnafRol|en|R|1|2
1501196287563026441|161743731|Tue Mar 08 14:01:00 +0000 2022|In honor of International Women’s Day and Women’s History Month, we celebrate the women impacting our lives every day! https://t.co/TCakWHZVG9|en|R|2|7
1500833652091019273|161743731|Mon Mar 07 14:00:01 +0000 2022|"Thank you @WPDTX for all you do to keep us safe in North TX!   Hats off  to the Weatherford City Council for honoring your heroism!      
https://t.co/l8z3M11SFf"|en|R|1|3
1500471511131566084|161743731|Sun Mar 06 14:01:00 +0000 2022|"Thank you @WfordCollege for celebrating 40 of our finest teachers from across the region.  Thank you also to the recognized educators for all you do preparing our students for the future!
https://t.co/xMQWRh7VEq"|en|R|2|12
1500109123366449152|161743731|Sat Mar 05 14:01:00 +0000 2022|March is Colon Cancer Awareness Month.  Colon cancer can be survived when caught early, so be sure to stay up to date on appropriate screenings! https://t.co/x5StqhllRY|en|R|1|4
1499746735437991940|161743731|Fri Mar 04 14:01:00 +0000 2022|"Congratulations to Savannah Letson of @WeatherfordISD High School for winning big at the North TX High School Scholarship Rodeo!  Your future is bright!
https://t.co/g6tDVSMdxO"|en|R|1|6
1499384095469617152|161743731|Thu Mar 03 14:00:00 +0000 2022|On National Anthem Day, we celebrate our beloved “Star-Spangled Banner” written by Francis Scott Key, and we proudly fly the American flag in honor of the freedom it represents. https://t.co/JbAikpawpL|en|R|2|11
1499021710166691842|161743731|Wed Mar 02 14:00:00 +0000 2022|Happy TX Independence Day to the best state in the union! https://t.co/ObFBGcH75H|en|R|2|14
1498659329959886848|161743731|Tue Mar 01 14:00:02 +0000 2022|Happy Mardi Gras! https://t.co/mxHiucFqAF|en|R|2|3
1498297687321493506|161743731|Mon Feb 28 14:03:00 +0000 2022|"We are so fortunate in TX-12 for our robust arts community and the wonderful Fort Worth Symphony Orchestra!
https://t.co/Ir6pekkNM3"|en|R|1|4
1497934795925512193|161743731|Sun Feb 27 14:01:00 +0000 2022|"Congratulations to the TX Rehabilitation Hospital of Fort Worth for receiving accreditation for a residency program!  Our growing North TX region will greatly benefit from the physicians who will participate in this program. 
https://t.co/P25mGtlxJU"|en|R|3|6
1497572159920631817|161743731|Sat Feb 26 14:00:01 +0000 2022|Hats off to the @CityofFortWorth for receiving a @USDOT Federal Transit Administration grant to improve public transportation. Our growing community will greatly benefit from the investment! https://t.co/zzXUAEmAx7|en|R|2|9
1497210271986761735|161743731|Fri Feb 25 14:02:00 +0000 2022|"Thank you Greenwood Volunteer Firefighters for your dedication to keeping our community safe!! 
https://t.co/HDR8JjZWBu"|en|R|1|3
1496847884204969985|161743731|Thu Feb 24 14:02:00 +0000 2022|"Hats off to the Weatherford Blue Belles Dance Team for their outstanding success at the Showtime Int’l Dallas Dance Spectacular Regional Competition!  Way to be champions, @WHSBlueBelles!
https://t.co/4xxHIfowlE"|en|R|2|4
1496485244769222656|161743731|Wed Feb 23 14:01:00 +0000 2022|Biden’s Economic Crisis is forcing Americans to endure the worst inflation since 1981! https://t.co/IHLohBODtE|en|R|2|5
1496122611469889540|161743731|Tue Feb 22 14:00:01 +0000 2022|Congrats to @TCU for receiving a Pharmacology, Physiology, and Biological Chemistry Research grant from @HHSGov to study antioxidants! Join me in thanking our research community for working towards a stronger and healthier future! https://t.co/SdcGTtyss3|en|R|2|5
1495760224921128962|161743731|Mon Feb 21 14:00:02 +0000 2022|“Human happiness and moral duty are inseparably connected,” President George Washington. https://t.co/pPLKWRX3kV|en|R|4|39
1495397837068144646|161743731|Sun Feb 20 14:00:02 +0000 2022|February is @PreventCancer Month, which reminds us all that early detection and regular checkups can save lives!  Thanks to all the medical professionals who work hard to keep us healthy! https://t.co/qjTcuO0UEF|en|R|2|4
1495035450762870784|161743731|Sat Feb 19 14:00:02 +0000 2022|Border security is national security.  The flow of lethal fentanyl coming across our border is frightening.  Thank you, @TxDPS and @CBP, for working to keep this dangerous substance out of our communities. https://t.co/CL8pccUCCL|en|R|41|108
1494673055443943428|161743731|Fri Feb 18 14:00:00 +0000 2022|"Congrats to the Decatur swim program and the relay team for advancing to the state meet! We are all rooting for you! 
https://t.co/KFFFvzrwby"|en|R|2|3
1494310677380485127|161743731|Thu Feb 17 14:00:03 +0000 2022|There have been nearly 2 million illegal border crossings since President Biden took office. We must uphold the rule of law and put an end to this ongoing crisis. https://t.co/qVMFe3txJC|en|R|30|85
1493948279188508674|161743731|Wed Feb 16 14:00:00 +0000 2022|"Hats off to the Weatherford 4-H Club and Future Farmers of America students for their great success at the Fort Worth Stock Show and Rodeo! 
https://t.co/3idmNG5Zug"|en|R|2|3
