id|user|created_at|text|lang|label|retweet_count|favorite_count
1506693886265151490|1067818539179024386|Wed Mar 23 18:06:30 +0000 2022|Biden's economic strategy is making life harder for millions of Americans struggling under 40-year-high inflation &amp;… https://t.co/6s6SwTbcwb|en|R|8|8
1505927005140922370|1067818539179024386|Mon Mar 21 15:19:11 +0000 2022|I'm devastated to learn of the four young Marines who lost their lives during a NATO training exercise this past we… https://t.co/djafU84mu2|en|R|4|5
1505000700186611713|1067818539179024386|Sat Mar 19 01:58:23 +0000 2022|Don Young served his community for half a century in Congress. He exemplified some of the greatest qualities a publ… https://t.co/x7kmYScNlV|en|R|17|65
1504484899029352475|1067818539179024386|Thu Mar 17 15:48:46 +0000 2022|Happy Saint Patrick's Day! https://t.co/V8MXZg9u3z|en|R|4|5
1504090456791076871|1067818539179024386|Wed Mar 16 13:41:24 +0000 2022|Thank you for your inspirational words @ZelenskyyUa. You and your people are standing strong as an inspiration to t… https://t.co/z8rfArfhXX|en|R|8|28
1504037808520011777|1067818539179024386|Wed Mar 16 10:12:11 +0000 2022|I'll be on @MorningsMaria this morning discussing Biden's war on energy and Putin's war on Ukraine - tune in at 6:30am ET/5:30am CT!|en|R|4|3
1503814700974460936|1067818539179024386|Tue Mar 15 19:25:38 +0000 2022|Couldn't agree more, @RepBice. It's sad to see the President choosing OPEC over Oklahoma. https://t.co/iK6ed2H4Rx|en|R|6|21
1503751722258341889|1067818539179024386|Tue Mar 15 15:15:23 +0000 2022|Happy birthday @AmericanLegion! Thank you for all you do for our invaluable servicemembers, past and present. https://t.co/GHH8RNuw6e|en|R|1|4
1503729265124249606|1067818539179024386|Tue Mar 15 13:46:09 +0000 2022|.@POTUS today would be a great day to secure our southern border.|en|R|8|33
1503390990664708096|1067818539179024386|Mon Mar 14 15:21:58 +0000 2022|.@SpeakerPelosi is lying to the American people. Again. https://t.co/depYsL4n9y|en|R|4|4
1502361103677935616|1067818539179024386|Fri Mar 11 19:09:34 +0000 2022|And I'm sick of the President of the United States lying to the American people! His radical spending spree is exac… https://t.co/Nj8X234Q5q|en|R|4|6
1502000720563916810|1067818539179024386|Thu Mar 10 19:17:32 +0000 2022|This Administration would rather ask dictators for oil than unshackle American energy producers.  It's despicable.… https://t.co/amr90UY2ln|en|R|7|11
1501953422995640321|1067818539179024386|Thu Mar 10 16:09:35 +0000 2022|#Bidenflation https://t.co/zD81FBKG7E|und|R|8|10
1501937426951901196|1067818539179024386|Thu Mar 10 15:06:01 +0000 2022|7.9% inflation. Gas up 38%. No sign of price decreases any time soon.  American families are being crushed by the w… https://t.co/KoOq20ftEX|en|R|182|554
1501309983446687750|1067818539179024386|Tue Mar 08 21:32:47 +0000 2022|After over a year of failed policies, you and I and everyone outside of Congress has connected the dots. We know wh… https://t.co/E6ofZSrPFS|en|R|4|7
1501298697883238407|1067818539179024386|Tue Mar 08 20:47:57 +0000 2022|In case you were wondering how out of touch Democrats are, one of the biggest issues currently facing the American… https://t.co/do4RkJZJOw|en|R|42|82
1501276820112494593|1067818539179024386|Tue Mar 08 19:21:00 +0000 2022|FACT: American natural gas burns demonstrably cleaner than oil from Russia, Venezuela, or the Middle East.|en|R|4|16
1501276030203404289|1067818539179024386|Tue Mar 08 19:17:52 +0000 2022|Joe Biden, Jen Psaki, and the entire Administration are gaslighting Americans, straight up lying about the destruct… https://t.co/5pEKa7Pe3X|en|R|8|22
1501237567269838853|1067818539179024386|Tue Mar 08 16:45:02 +0000 2022|Did the Biden Administration forget that inflation was already hitting record highs well before Russia invaded Ukra… https://t.co/6ViVCa23NK|en|R|5|11
1501214949636517893|1067818539179024386|Tue Mar 08 15:15:09 +0000 2022|#BuildBackBroke https://t.co/4UcqR3hY2N|und|R|5|5
1501204862180204546|1067818539179024386|Tue Mar 08 14:35:04 +0000 2022|This is a start.  Now unleash AMERICAN energy producers. @POTUS https://t.co/1kyP2P0TNn|en|R|5|17
1500957381580279811|1067818539179024386|Mon Mar 07 22:11:40 +0000 2022|I had a great talk with Alfredo Ortiz of @JobCreatorsUSA this afternoon about the issues our small businesses are f… https://t.co/iFL41z3BYN|en|R|4|10
1500871396263542786|1067818539179024386|Mon Mar 07 16:30:00 +0000 2022|"On every front, Biden's policy seems to be ""America Last"" - now he's looking for energy sources anywhere but here.… https://t.co/5iMpwDiP4A"|en|R|13|19
1500862393995472908|1067818539179024386|Mon Mar 07 15:54:14 +0000 2022|.@POTUS: America is more than capable of becoming energy independent. All you have to do is get out of the way. It'… https://t.co/LphyK6OHUz|en|R|8|44
1499812973748969473|1067818539179024386|Fri Mar 04 18:24:12 +0000 2022|"Learn more about the Congressional art competition at https://t.co/xP3ZsIjA1Q! 

The submission deadline for studen… https://t.co/AZQjfR02sc"|en|R|3|2
1499494243106234369|1067818539179024386|Thu Mar 03 21:17:41 +0000 2022|Banning Russian oil is only part of it — we need to unshackle AMERICAN energy producers! https://t.co/hpsEPk4zPT|en|R|34|149
1499401830140301320|1067818539179024386|Thu Mar 03 15:10:28 +0000 2022|Oklahoma and other energy producing states are more than capable of exceeding our reliance on Russian oil.  Why do… https://t.co/R9JM4UQH8v|en|R|12|28
1499139491482775554|1067818539179024386|Wed Mar 02 21:48:02 +0000 2022|The State of our Union is a total disaster. Biden's speech last night was full of hypocrisy - the few applause line… https://t.co/iHxbIFtEbc|en|R|3|8
1499058446687219713|1067818539179024386|Wed Mar 02 16:25:59 +0000 2022|If Donald Trump were President, you wouldn't have to pray cause we wouldn't be in this dangerous situation. https://t.co/Ee8gIfsn1t|en|R|17|35
1498871757972905985|1067818539179024386|Wed Mar 02 04:04:09 +0000 2022|I just left the House Chamber.  Here's what I think about Biden's State of the Union: https://t.co/ernHiaWDgJ|en|R|3|10
1498857997468155904|1067818539179024386|Wed Mar 02 03:09:28 +0000 2022|FACT! https://t.co/wjqJLDFGdV|en|R|1|7
1498857201007579136|1067818539179024386|Wed Mar 02 03:06:18 +0000 2022|While the President is on the subject of our veterans, how about mentioning something about the 13 brave American s… https://t.co/uzAJ8gqPFw|en|R|3|6
1498856230659538951|1067818539179024386|Wed Mar 02 03:02:27 +0000 2022|The first step to beating the opioid epidemic is securing our southern border.  The Biden Administration has done e… https://t.co/lnNOfX8Mlk|en|R|3|6
1498855561181417473|1067818539179024386|Wed Mar 02 02:59:47 +0000 2022|"Hey @POTUS... who said this? ""It is status quo thinking to believe that putting more police on the streets creates… https://t.co/AbjO14GrHU"|en|R|1|2
1498855113682739204|1067818539179024386|Wed Mar 02 02:58:01 +0000 2022|Biden says he wants to fix the immigration system.  I've got the first step for him: build the wall! #SOTU|en|R|2|11
1498854162431414273|1067818539179024386|Wed Mar 02 02:54:14 +0000 2022|I wonder what the radical left wing of the Democratic party will have to say about the President saying that we need to fund the police?|en|R|2|6
1498851030393659393|1067818539179024386|Wed Mar 02 02:41:47 +0000 2022|You can call it whatever you want.  I've seen the bill text.  Biden's tax plan is not friendly to any working class American. #SOTU|en|R|3|4
1498849342278541312|1067818539179024386|Wed Mar 02 02:35:05 +0000 2022|Unbelievable that the President is still touting Academic what-ifs while real Americans are being crushed under the… https://t.co/Q8tOo5Ok8m|en|R|2|7
1498848907748687872|1067818539179024386|Wed Mar 02 02:33:21 +0000 2022|Biden's blaming inflation on hard working job creators and workers in America.  It's not our small business owners'… https://t.co/bkrry8xsnA|en|R|5|12
1498848327038865410|1067818539179024386|Wed Mar 02 02:31:03 +0000 2022|While President Biden touts his job numbers, remember that he is still well short of BOTH pre-pandemic levels AND his own promises.|en|R|1|4
1498847680025575430|1067818539179024386|Wed Mar 02 02:28:28 +0000 2022|Made in America... thank you President Trump for drastically increasing domestic production of consumer goods.  It'… https://t.co/ZdOGvSLN2V|en|R|0|2
1498846315467395075|1067818539179024386|Wed Mar 02 02:23:03 +0000 2022|The spending in the American Rescue Plan has been a major driver of inflation in our country.  Only 9% of the $2T w… https://t.co/yccQNPxMFT|en|R|3|12
1498845563458101254|1067818539179024386|Wed Mar 02 02:20:04 +0000 2022|The Biden Administration releasing oil from our strategic reserve while continuing to refuse to enable domestic ene… https://t.co/0ClzvtxQvL|en|R|4|4
1498845061227986954|1067818539179024386|Wed Mar 02 02:18:04 +0000 2022|Wait, we just now closed off airspace to Russian airliners?  What took us so long? #SOTU|en|R|1|9
1498844679642755073|1067818539179024386|Wed Mar 02 02:16:33 +0000 2022|The Russian stock market has lost 40% of its value... imagine how much more they'd lose if we stopped importing their oil.  #SOTU|en|R|1|5
1498844118910386177|1067818539179024386|Wed Mar 02 02:14:19 +0000 2022|Hearing a lot of tough talk about our response to the situation in Ukraine, but if the Biden Administration had int… https://t.co/PowRVFXg0i|en|R|2|4
1498805372454330369|1067818539179024386|Tue Mar 01 23:40:21 +0000 2022|Joe Biden's overreaching mandates and poor economic policies have killed thousands of small businesses around the c… https://t.co/l2y6XwnPfh|en|R|80|209
1498745721792737287|1067818539179024386|Tue Mar 01 19:43:20 +0000 2022|Tune in as I join @GOPLeader, @RepStefanik, @SteveScalise, and my colleagues as we discuss the real State of our Un… https://t.co/210sfXnBbV|en|R|4|4
1498641797777702919|1067818539179024386|Tue Mar 01 12:50:22 +0000 2022|The State of the Union is in danger. Our world is in chaos. Biden’s domestic policy failures, which are monumental,… https://t.co/GF5XI5wvF2|en|R|6|14
1497027070274281477|1067818539179024386|Fri Feb 25 01:54:01 +0000 2022|Putin is killing civilians in Ukraine, but @JoyVBehar wants you to feel bad cause she can’t take take her Italian v… https://t.co/W6eT53QRJm|en|R|9|10
1496878651987615745|1067818539179024386|Thu Feb 24 16:04:15 +0000 2022|The people of Ukraine are facing an invasion by one of the world's largest militaries &amp; the only thing John Kerry i… https://t.co/QuyFSOEOPW|en|R|7|13
1496873727543459848|1067818539179024386|Thu Feb 24 15:44:41 +0000 2022|A weak @POTUS in the White House allows the bullies, dictators, and terrorists of the world to grow stronger than ever.|en|R|6|24
1496722043366264833|1067818539179024386|Thu Feb 24 05:41:57 +0000 2022|"Pray for the people of Ukraine. 

It didn’t have to be this way; true leadership in the White House projects streng… https://t.co/69pNPO6k65"|en|R|9|18
1496563054963838978|1067818539179024386|Wed Feb 23 19:10:11 +0000 2022|While @POTUS blames the situation in Ukraine for higher energy prices, the energy crisis goes much farther back. Do… https://t.co/gg7Vt1Wtkq|en|R|5|8
1496222865800278022|1067818539179024386|Tue Feb 22 20:38:24 +0000 2022|"One thing is clear: weak leadership in the White House ripples across the globe. 

See my full statement on Biden's… https://t.co/AieGRKCcix"|en|R|3|4
1496169873101266944|1067818539179024386|Tue Feb 22 17:07:49 +0000 2022|"Even CNN says Romney was right - 10 YEARS LATER

Obama &amp; Biden mocked him for calling Russia our greatest geopoliti… https://t.co/C2oKVMqaqS"|en|R|2|2
1496167755191656456|1067818539179024386|Tue Feb 22 16:59:24 +0000 2022|We're only in this situation because Putin is taking advantage of Biden's weak leadership.|en|R|4|11
1496165944560963591|1067818539179024386|Tue Feb 22 16:52:13 +0000 2022|"Russia is invading Ukraine at this very moment. 

World leaders are speaking out, levying intense sanctions on Russ… https://t.co/BemgpvinUh"|en|R|3|3
1494675479944740873|1067818539179024386|Fri Feb 18 14:09:38 +0000 2022|I join countless friends and family members across the country in mourning the passing of @RepHagedorn. He dearly l… https://t.co/0vc4Y9hKYn|en|R|2|3
1494414508990898179|1067818539179024386|Thu Feb 17 20:52:38 +0000 2022|.@RepChipRoy is right.  Overreaching COVID-19 policies have been a disaster for our country.  It's time for them to… https://t.co/UHu0fQQgaj|en|R|42|157
1493324261691432962|1067818539179024386|Mon Feb 14 20:40:23 +0000 2022|It's a shame to see what DC did to small businesses like @thebigboarddc over a ridiculous mandate they reversed day… https://t.co/JYn9neULLw|en|R|5|8
1492944161884024832|1067818539179024386|Sun Feb 13 19:30:00 +0000 2022|People are flooding to our southern border from over 160 countries worldwide because the Biden Administration has s… https://t.co/LgKWLBk3eO|en|R|3|3
1492642422052077568|1067818539179024386|Sat Feb 12 23:31:00 +0000 2022|"I'm back on @newsmax in a few minutes discussing the dire situation at our Southern border.

It's time for @SecMayorkas to go!"|en|R|3|10
1492589328156921857|1067818539179024386|Sat Feb 12 20:00:01 +0000 2022|This Administration has gone as far as allowing illegal immigrants to use arrest warrants as a form of ID to board… https://t.co/B7WhAEUC2c|en|R|5|6
1492559125896744961|1067818539179024386|Sat Feb 12 18:00:00 +0000 2022|This is not just a border issue anymore.  Every state in our country is dealing with this Administration's failures at our Southern Border.|en|R|4|5
1492287333172846593|1067818539179024386|Sat Feb 12 00:00:00 +0000 2022|I've been to the border multiple times and seen what's going on.  I've seen how effective President Trump's border… https://t.co/sar5Qux1uU|en|R|2|8
