id|user|created_at|text|lang|label|retweet_count|favorite_count
1520588364658917379|2750127259|Sun May 01 02:18:11 +0000 2022|The NYS Safe Act should be repealed! The 2nd Amendment rights of law abiding Americans must be defended, not infringed.|en|R|81|570
1520511963226415110|2750127259|Sat Apr 30 21:14:36 +0000 2022|Enact Voter ID in ALL 50 States!|en|R|2499|18670
1520429761616564224|2750127259|Sat Apr 30 15:47:58 +0000 2022|Shall not be infringed!|en|R|254|2595
1520219219274649600|2750127259|Sat Apr 30 01:51:20 +0000 2022|The only way anyone should ever be allowed to enter the US is by respecting and following our laws. There must be ZERO tolerance for illegal entry, which needs to be punished, not rewarded.|en|R|1014|8032
1520122080389480450|2750127259|Fri Apr 29 19:25:21 +0000 2022|It’s an absolutely terrible idea for the US government to create a disinformation board of biased, hyper-partisan, agenda-laced allies ruling what’s true and what’s not. This is the United States of America, not North Korea or Cuba.|en|R|961|6129
1519808145991905282|2750127259|Thu Apr 28 22:37:53 +0000 2022|Secretary Blinken testified today that Iran was in full compliance with the Iran Nuclear Deal prior to US withdrawal. That’s not true and he either knows it or should know it. I laid out several of the points at today’s @HouseForeign hearing: https://t.co/MWP0Jrzm6d|en|R|248|641
1519807155741810689|2750127259|Thu Apr 28 22:33:57 +0000 2022|Not only was @SecBlinken refusing to submit a nuclear agreement with Iran to Congress for ratification as a treaty, but he wouldn’t even consent today to submitting the entire agreement to Congress at all! https://t.co/F45c5Dar2w|en|R|171|328
1519805486480171008|2750127259|Thu Apr 28 22:27:19 +0000 2022|"It’s a simple &amp; very important question for @SecBlinken: 

Is the Biden Admin willing to agree to a nuclear deal with Iran that doesn’t update the 2015 JCPOA sunset provisions? 

For the record, they absolutely should NOT! https://t.co/lv5y1wvzd9"|en|R|39|96
1519802820890972160|2750127259|Thu Apr 28 22:16:43 +0000 2022|A nuclear deal with Iran should be submitted to Congress as a treaty requiring ratification. Take the definition of “treaty” as @SecBlinken states here and there is only one conclusion to draw: this would be a treaty. The Constitution is clear what needs to happen next. https://t.co/gu1Vz4VSmn|en|R|68|187
1519744106888577027|2750127259|Thu Apr 28 18:23:25 +0000 2022|On Yom HaShoah, we honor the 6 million Jews and millions of others killed by the Nazis. This day is a solemn but necessary reminder of the greatest evil in history, and we must learn and keep their memories alive to ensure this ruthless destruction of life is never repeated. https://t.co/e7IFGsXd1W|en|R|44|141
