id|user|created_at|text|lang|label|retweet_count|favorite_count
1507394449365737489|153944899|Fri Mar 25 16:30:17 +0000 2022|I continue working with those trying to save lives in Ukraine and reunite families. Spoke with @THEPAIGEREPORT1 wit… https://t.co/kESeRpw4Fj|en|D|2|9
1507358562456158218|153944899|Fri Mar 25 14:07:41 +0000 2022|Discussed the need to get coverage to the almost two million Texans left uninsured by GOP refusal to expand Medicai… https://t.co/0ukK5Bg2fs|en|D|3|10
1507352850044801024|153944899|Fri Mar 25 13:44:59 +0000 2022|The Senate continues to block our HR 1 and John Lewis Voting Rights Act—which we passed in the House and which woul… https://t.co/wvw4nPEVPV|en|D|7|15
1507352782340304930|153944899|Fri Mar 25 13:44:43 +0000 2022|He’s not crazy for trying. Texas Republican officeholders have made voting so hard that even Willie struggled to ha… https://t.co/ksxLCsooIj|en|D|11|25
1507066710897135616|153944899|Thu Mar 24 18:47:58 +0000 2022|Joined Ukrainian Austinites—and Austinites who stand with Ukraine—outside the Texas Capitol, standing to do more to… https://t.co/xEZt2YxDy9|en|D|4|12
1507018928433758221|153944899|Thu Mar 24 15:38:06 +0000 2022|Republican leaders approve his subversion at home and stand mute regarding his fawning praise of Putin. https://t.co/5UtBxmMtRf|en|D|4|11
1507018901854466053|153944899|Thu Mar 24 15:37:59 +0000 2022|Yet more evidence of Trump’s attempt to subvert our democracy. No surprise that this self-identified “stable genius… https://t.co/4u0dRsv0Sz|en|D|4|12
1506808240767655948|153944899|Thu Mar 24 01:40:54 +0000 2022|Met with pediatric residents! https://t.co/FDI0ROkSXa|en|D|7|49
1506705157853167617|153944899|Wed Mar 23 18:51:17 +0000 2022|Remarkable leader who, even after her service as Secretary of State, continued to contribute at @NDI. https://t.co/eBOXnyUnQs|en|D|3|17
1506686453316820994|153944899|Wed Mar 23 17:36:58 +0000 2022|Health care team huddle. https://t.co/aVMyv9IywA|en|D|6|19
1506666604024713226|153944899|Wed Mar 23 16:18:05 +0000 2022|Discussing the need to advance our legislation to increase the number of federally-funded residency slots and impro… https://t.co/FTOQunfLxZ|en|D|1|14
1506665543553716234|153944899|Wed Mar 23 16:13:52 +0000 2022|We’re live: 🔗 https://t.co/TqwMQL1iBR https://t.co/CSlaNGHnHS|en|D|2|10
1506664712934760451|153944899|Wed Mar 23 16:10:34 +0000 2022|Where better to discuss the future of health care than with our future health care leaders—right here in Austin. https://t.co/ImP2eNhfHq|en|D|1|7
1506663784282308615|153944899|Wed Mar 23 16:06:53 +0000 2022|Listening now to third year @DellMedSchool student Jessica Killingley asking about how we can make more progress on… https://t.co/m0xB9U5L1m|en|D|4|8
1506663269859270656|153944899|Wed Mar 23 16:04:50 +0000 2022|Great points from @SpeakerPelosi about advancing health equity—right now and laying a strong foundation for our fut… https://t.co/STtA0gB1dR|en|D|2|10
