id|user|created_at|text|lang|label|retweet_count|favorite_count
1520539406276476930|1079802482640019456|Sat Apr 30 23:03:39 +0000 2022|"Right now, we’re witnessing a coordinated attack on reproductive rights. We can’t let that stand. The fight continues to make sure every woman, everywhere has the freedom to make the best decisions for her health, her family &amp; her life.
https://t.co/wsrEQruovz"|en|D|3|10
1520402182385848320|1079802482640019456|Sat Apr 30 13:58:22 +0000 2022|Working families in #MA3 and beyond deserve access to quality, affordable child care. It’s good for families, good for communities and good for the economy!|en|D|2|13
1520146271511760896|1079802482640019456|Fri Apr 29 21:01:28 +0000 2022|"When prices rise, women are forced to make do with less. That’s unacceptable, and it’s why we’re doing everything in our power to cut costs and ease the burden on women, children &amp; working families.
https://t.co/1MnvOMpXz8"|en|D|3|7
1520093579359793155|1079802482640019456|Fri Apr 29 17:32:05 +0000 2022|"First responders, health workers and other emergency personnel go above &amp; beyond each day to save lives. They shouldn’t be forced to bear the weight of that work alone. Proud of our work to support mental health services for emergency workers.
https://t.co/PlMobUuwGg"|en|D|3|2
1520055862848544772|1079802482640019456|Fri Apr 29 15:02:13 +0000 2022|This week, we continued our support for the Ukrainian people by passing bipartisan legislation to help us more efficiently send supplies to bolster their defense. Alongside @POTUS and our allies, we’ll keep working to support Ukrainians fighting courageously for their freedom.|en|D|1|12
1519806240226000897|1079802482640019456|Thu Apr 28 22:30:18 +0000 2022|"We need to talk about inflation. While it’s hurting working families like the one I grew up in, too many politicians are using it as a political football. Let’s be clear about what’s really happening ⬇️
https://t.co/hvPwBzD4Hg"|en|D|9|27
1519773347860688900|1079802482640019456|Thu Apr 28 20:19:36 +0000 2022|"From serving as essential workers to taking on child care and remote teaching, women have carried their families and their communities through the pandemic. We must elevate their stories and we must deliver for them.
https://t.co/rfP7B7DiQG"|en|D|4|14
1519742871775191045|1079802482640019456|Thu Apr 28 18:18:30 +0000 2022|"Growing up, I spent tons of time with family &amp; friends on the banks of the Merrimack River. Keeping it clean is essential. That's why I'm so proud to have secured $352,000 in federal funds to monitor the river’s safety &amp; protect it for generations to come!
https://t.co/RuJ1f1vM4U"|en|D|1|4
1519717410818961410|1079802482640019456|Thu Apr 28 16:37:20 +0000 2022|Thrilled that my Medication Access and Training Expansion (MATE) Act was endorsed by the @NewDemCoalition! This important legislation will increase the number of clinicians prepared to help prevent &amp; treat addiction and break down the stigma surrounding it. https://t.co/eVRPujXyGu|en|D|4|11
1519680453187358722|1079802482640019456|Thu Apr 28 14:10:28 +0000 2022|Yesterday, we passed legislation to use the money seized from Russian oligarchs to help Ukraine rebuild. Today and every day, we #StandWithUkraine.|en|D|6|26
1519421001641213957|1079802482640019456|Wed Apr 27 20:59:30 +0000 2022|There’s no question that small businesses are the heart of any community, but they’ve also been the hardest hit during the pandemic. I was proud to be in Gardner to announce $650,000 from the American Rescue Plan to support small business recovery grants! https://t.co/a2rx1Lnx91|en|D|0|9
1519378571239825408|1079802482640019456|Wed Apr 27 18:10:54 +0000 2022|"Educators here in Massachusetts and across our nation have done so much to support students and families over the past two years. We must continue to have their backs the way they’ve had ours.
https://t.co/aQhM27BEGg"|en|D|0|7
1519330310705623041|1079802482640019456|Wed Apr 27 14:59:08 +0000 2022|This #HolocaustRemembranceDay, we join together to remember the millions of lives lost in the horror of the Holocaust. We will never forget. Today and every day, we recommit to the work to eradicate anti-Semitism and bigotry no matter where it arises.|en|D|4|14
1519044446263910401|1079802482640019456|Tue Apr 26 20:03:13 +0000 2022|Last month alone, *21,000 jobs* were created in the Commonwealth! That means thousands folks are back to work in good-paying, family-sustaining jobs 💪|en|D|2|15
1518956369507926017|1079802482640019456|Tue Apr 26 14:13:13 +0000 2022|"ICYMI: this is HUGE. With the DSA, Europe is holding tech giants accountable for the harms they cause to users &amp; society. I introduced the Digital Services Oversight and Safety Act to bring similar transparency, access &amp; audit requirements here to the U.S.
https://t.co/WirPknrlPx"|en|D|1|8
