id|user|created_at|text|lang|label|retweet_count|favorite_count
1507402570205126664|1082380458976051202|Fri Mar 25 17:02:33 +0000 2022|ICYMI: This week, I joined my colleagues to write a letter to @TheJusticeDept requesting updates on the ongoing bom… https://t.co/mSpUhMRShk|en|D|2|10
1506994571187740674|1082380458976051202|Thu Mar 24 14:01:19 +0000 2022|Today marks four years of the @AMarch4OurLives movement. I'm grateful for the courage of those who have turned thei… https://t.co/cR1nC6WQ4u|en|D|8|47
1504200841758076928|1082380458976051202|Wed Mar 16 21:00:02 +0000 2022|Wishing all who celebrate a happy Purim! May Queen Esther’s bravery and commitment to serving her community be an inspiration to all.|en|D|17|57
1504098999103598593|1082380458976051202|Wed Mar 16 14:15:20 +0000 2022|One year ago, a man with a gun took the lives of 8 people in the metro Atlanta area, 6 of them Asian women. As we o… https://t.co/lIMp9mAIMH|en|D|93|307
1503817982774067205|1082380458976051202|Tue Mar 15 19:38:41 +0000 2022|"In Georgia on average, a woman makes $0.80 for every $1 a man makes. For women of color, the gap is even larger.

O… https://t.co/KERFWmyIrr"|en|D|13|39
1502989100193886209|1082380458976051202|Sun Mar 13 12:45:00 +0000 2022|Remember Breonna Taylor today. Honor her life. https://t.co/MTNipRaGd6|en|D|385|1884
1501309284386148355|1082380458976051202|Tue Mar 08 21:30:01 +0000 2022|"On #InternationalWomensDay, I'm celebrating all the women who continue to have profound impacts on my life.

I'm ho… https://t.co/TlgorhbXna"|en|D|11|44
1500911661254799361|1082380458976051202|Mon Mar 07 19:10:00 +0000 2022|57 years ago, brave nonviolent activists walked across the Edmund Pettus Bridge in Selma, calling for equality. Man… https://t.co/8SbM1EMBVV|en|D|11|47
1499845888448942082|1082380458976051202|Fri Mar 04 20:35:00 +0000 2022|Happy #NationalSonDay, my dear Jordan. I miss you. https://t.co/1PrhUX5Kdf|en|D|24|318
1499835648064331777|1082380458976051202|Fri Mar 04 19:54:18 +0000 2022|Maura Binkley should be turning 25 today. Her joy, her love, and her future were ripped away in a horrific shooting… https://t.co/pb508yOGNZ|en|D|20|67
1499500234812145665|1082380458976051202|Thu Mar 03 21:41:30 +0000 2022|"Thank you, @POTUS, for highlighting the deadly cost of gun violence in our nation &amp; the work we have yet to do.

Fo… https://t.co/uNcjqCuxgk"|en|D|24|104
1499155386024271873|1082380458976051202|Wed Mar 02 22:51:11 +0000 2022|Last night, America listened as President Biden voiced his support for legislation that would cap the cost of insul… https://t.co/p3cR88orwg|en|D|13|62
1498862631935004676|1082380458976051202|Wed Mar 02 03:27:53 +0000 2022|"You heard @POTUS - here is the plan. We are cutting the cost of prescription drugs like insulin. 

For kids like Jo… https://t.co/1VsGoHttd9"|en|D|30|108
1498712670488440834|1082380458976051202|Tue Mar 01 17:32:00 +0000 2022|Ahead of the President's #SOTU address tonight, I'm honored to announce my Hometown Heroes &amp; virtual guests for the… https://t.co/QZ5NCXL7da|en|D|13|54
1498430371930808320|1082380458976051202|Mon Feb 28 22:50:14 +0000 2022|Today, with little debate or discussion, Republicans in Georgia's Senate have voted to make it easier for anyone, w… https://t.co/8ZlWJ4hEKs|en|D|100|134
1498426297449684998|1082380458976051202|Mon Feb 28 22:34:03 +0000 2022|"I was honored to visit the White House for a celebration to close out Black History Month.

I am thankful that… https://t.co/YYH0qXkvyD"|en|D|8|68
1498307950468816905|1082380458976051202|Mon Feb 28 14:43:47 +0000 2022|As we celebrate the final day of Black History Month, I want to share the story of an amazing constituent, Dr. Marj… https://t.co/3d3hvFNwW3|en|D|10|35
1497587004011212800|1082380458976051202|Sat Feb 26 14:59:00 +0000 2022|"Ten years ago, @SybrinaFulton lost her son, Trayvon, to gun violence.

No mother should lose their child. We honor… https://t.co/6MTKmy516f"|en|D|86|355
1497250671644405760|1082380458976051202|Fri Feb 25 16:42:32 +0000 2022|Judge Ketanji Brown Jackson is one of our nation’s brightest and most insightful legal minds. She has exceptional e… https://t.co/WcT9dLcxhL|en|D|35|177
1496953566493356042|1082380458976051202|Thu Feb 24 21:01:56 +0000 2022|"Last night, Russian military forces began an unprovoked and unconscionable attack on the people of Ukraine. 

The w… https://t.co/dU1s1pxCXD"|en|D|18|55
1496864532433621003|1082380458976051202|Thu Feb 24 15:08:09 +0000 2022|At 11:00 am this morning, I will convene my Medicare Advantage Open Enrollment Webinar with representatives from… https://t.co/EpmnvD807b|en|D|3|10
1496593617552609285|1082380458976051202|Wed Feb 23 21:11:38 +0000 2022|Attention all #GA06 high school students! I am pleased to announce my 2022 Congressional Art Competition. My office… https://t.co/Wg0DX0vH2Z|en|D|13|16
1496507652465172482|1082380458976051202|Wed Feb 23 15:30:02 +0000 2022|Two years ago, a young man was murdered for being black, and a bright future was stolen by men with hate in their h… https://t.co/HAraseSJJS|en|D|56|205
1496142076785958928|1082380458976051202|Tue Feb 22 15:17:22 +0000 2022|Starting soon: My Veterans Mental Health Webinar with representatives from the @DeptVetAffairs will begin this morn… https://t.co/PaUUxYQVLH|en|D|10|11
