id|user|created_at|text|lang|label|retweet_count|favorite_count
1520556399058632707|1067541214671577093|Sun May 01 00:11:10 +0000 2022|Thank you to @PAAttorneyGen and the bipartisan group of AGs who joined this letter to stress the importance of funding access to justice for low-income Americans. @LSCtweets provides an essential service to our neighbors who need help with civil legal matters. https://t.co/JUWTHUVjn9|en|D|3|10
1520426041751351297|1067541214671577093|Sat Apr 30 15:33:11 +0000 2022|"For decades, the NRA has blocked measures to give law enforcement, including @ATFHQ, the data and resources necessary to crack down on illegal gun sales. 

We can reduce gun violence, if elected officials are willing to take the steps necessary to do so. https://t.co/RFYM0WENA5"|en|D|16|30
1520137595757375488|1067541214671577093|Fri Apr 29 20:27:00 +0000 2022|By issuing new rules to eliminate flavored cigars and menthol cigarettes, @US_FDA is taking bold action to protect kids, advance health equity, and save lives. I urge the FDA to finalize and implement these rules without delay. https://t.co/NqD2jIdw4a|en|D|5|9
1520065295783763968|1067541214671577093|Fri Apr 29 15:39:42 +0000 2022|"This week, I was excited to visit Lansdowne Theater and celebrate $1.5 million in federal funding @SenBobCasey and I secured for its restoration.

The project will create around 50 jobs in the theater itself, plus additional jobs at nearby businesses once the theater reopens. https://t.co/8jnJrby7OU"|en|D|9|52
1519818744540712962|1067541214671577093|Thu Apr 28 23:20:00 +0000 2022|"Since Putin launched his war, the U.S. has moved with speed, unity, and strength to deliver immediate and effective support to Ukraine 🇺🇦 
 
Now, the Ukraine Democracy Defense Lend-Lease Act is headed to President Biden’s desk so we can send weapons and supplies more efficiently."|en|D|7|27
1519787391560605700|1067541214671577093|Thu Apr 28 21:15:25 +0000 2022|"Right now, there is a massive backlog of humanitarian parole applications impacting an estimated 40,000 people — including our Afghan allies.

I asked @SecMayorkas what DHS is doing to address the issue as the U.S. prepares to welcome more refugees, this time from Ukraine. https://t.co/Db6eN81X1M"|en|D|2|14
1519718719211155461|1067541214671577093|Thu Apr 28 16:42:32 +0000 2022|"Our Republican colleagues spend a lot of time talking about securing the border but then vote against funding to actually do so. 

This is what it looks like when political theater is more important to you than action 👇 https://t.co/YSlMrnepME"|en|D|77|108
1519711284085854208|1067541214671577093|Thu Apr 28 16:12:59 +0000 2022|"The U.S. immigration system is broken, and failed Trump admin policies only left us weaker. 

Democrats want to use today’s @HouseJudiciary hearing with @SecMayorkas to discuss real solutions, but GOP members are more focused on sound bites and stunts. https://t.co/raqcUbCIhz"|en|D|8|19
1519497884986716165|1067541214671577093|Thu Apr 28 02:05:01 +0000 2022|"This week, the world marked 107 years since the systematic murder of 1.5 million Armenians by the Ottoman Empire.

To prevent such atrocities from happening again, it is crucial we acknowledge the horror of what happened to the Armenian people. https://t.co/3uahIwGb0W"|en|D|10|25
1519404512498307079|1067541214671577093|Wed Apr 27 19:53:59 +0000 2022|"Supreme Court justices should set the standard for ethical conduct, but right now they aren’t even held to the same standards as other government officials. That makes no sense.

I’m proud to cosponsor @RepHankJohnson’s #SCOTUSEthicsAct to require a code of ethics for SCOTUS."|en|D|9|32
1519345879597023235|1067541214671577093|Wed Apr 27 16:01:00 +0000 2022|"SBDCs have helped small businesses all over PA-05 launch, grow, and create jobs. 

Yesterday, we passed @RepGolden’s #SBDC Improvement Act to expand the program and bring their services to more small businesses in Pennsylvania. https://t.co/tH3gk9mQ9j"|en|D|3|4
1519312220831813632|1067541214671577093|Wed Apr 27 13:47:15 +0000 2022|Incredible news. Welcome home Trevor 🇺🇸 https://t.co/FdWP72OLwE|en|D|6|17
1519143491884003328|1067541214671577093|Wed Apr 27 02:36:47 +0000 2022|Congratulations to the incomparable Dr. @alastanford! We’re all in good hands with her at the helm of @hhsregion3. https://t.co/TuHuGxiHLQ|en|D|9|28
