id|user|created_at|text|lang|label|retweet_count|favorite_count
1520467602841219073|258900199|Sat Apr 30 18:18:20 +0000 2022|"Fmr. Assemblyman Joe Lentol served our N. Bk community for decades. 

I was honored to join him &amp; @SenSchumer today as we officially renamed the Greenpoint Post Office to the Joseph R. Lentol Post Office. https://t.co/8s6FDDGzrj"|en|D|5|20
1520440161854791682|258900199|Sat Apr 30 16:29:17 +0000 2022|Going back to my former days as a NYC school teacher at PS 17Q’s belated Earth Day celebration https://t.co/Y4lo4RxfGD|en|D|4|19
1520197989259747328|258900199|Sat Apr 30 00:26:59 +0000 2022|For years, McKinsey made tens of millions devising strategies to flood the country with dangerous opioids. I am committed to promoting accountability and seeking justice for those impacted by this epidemic. https://t.co/06IBpUWhnD|en|D|6|23
1520186461928177665|258900199|Fri Apr 29 23:41:10 +0000 2022|"Russian diplomats at the UN who have been using their position to deny Ukraine’s right to exist are not above the rules.

They are in violation of the already lax rules for diplomatic parking. THEY SHOULD BE TOWED. https://t.co/6KiOpx595P"|en|D|20|32
1520129778665336834|258900199|Fri Apr 29 19:55:56 +0000 2022|Thanks to everyone in Astoria who came out to say hi and pick up a #COVID19 test👋! https://t.co/rdRmwg4t6t|en|D|5|17
1520037071272005632|258900199|Fri Apr 29 13:47:33 +0000 2022|REMINDER: My Staff will be handing out free at-home COVID-19 test kits outside of my Queens district office at 31-19 Newtown Ave, Astoria from 10-11 AM today! https://t.co/aflGEctkpW|en|D|8|18
1519848365311381504|258900199|Fri Apr 29 01:17:42 +0000 2022|It was my honor to speak at last night’s Capitol Hill Remembrance of the Armenian Genocide with @ANCA_DC and @ARAMAC_DC about my Armenian Genocide Education Act that empowers the Library of Congress to make educational materials about this atrocity available across the country. https://t.co/4UwW3OlJmN|en|D|27|160
1519843519233413122|258900199|Fri Apr 29 00:58:26 +0000 2022|Tomorrow, my staff will be handing out free at-home COVID-19 testing kits outside of my district office at 31-19 Newtown ave, Astoria from 10-11 AM.|en|D|9|33
1519797506690981889|258900199|Thu Apr 28 21:55:36 +0000 2022|On this, and every, #YomHaShoah let us pledge to #NeverForget so that such an atrocity happens #NeverAgain. https://t.co/YuIICLksYc|en|D|5|12
1519794287273291781|258900199|Thu Apr 28 21:42:49 +0000 2022|"In NYC we know we need universal background checks and tougher gun trafficking laws like my Gun Trafficking Prevention Act to counter the iron pipeline fueling the gun violence epidemic.

@OversightDems is investigating &amp; requesting more data from the ATF.
https://t.co/hTKimXXmFq"|en|D|9|22
