id|user|created_at|text|lang|label|retweet_count|favorite_count
1520195874319646721|1343578440977494018|Sat Apr 30 00:18:34 +0000 2022|"We passed a lot of important legislation this week! Here’s some of what we accomplished ⬇️

✅ Voted to pass the Ukraine Democracy Defense Lend-Lease Act to ensure Ukrainians have the resources they need to defend themselves against Putin’s reprehensible invasion https://t.co/ZUWU3HYB4R"|en|D|4|16
1520057501244403712|1343578440977494018|Fri Apr 29 15:08:44 +0000 2022|Not surprising that while DeJoy is busy sabotaging the USPS, he decided to go after the planet as well. Let’s get him the hell out of government. https://t.co/D06ACeEJr3|en|D|74|215
1519714852251611137|1343578440977494018|Thu Apr 28 16:27:10 +0000 2022|This is GREAT news for parents who have anxiously been waiting to get their children vaccinated. Let’s get this done! https://t.co/tOgFEe49c8|en|D|6|18
1519669408905502720|1343578440977494018|Thu Apr 28 13:26:35 +0000 2022|"In 2020, guns became the leading cause of death for children and teens in America — surpassing car accidents for the first time in history.

Kids are paying the deadly cost of the GOP’s obstruction of common-sense gun safety legislation. https://t.co/xZJ1ED9y4H"|en|D|8|39
1519396265364279300|1343578440977494018|Wed Apr 27 19:21:13 +0000 2022|"As we observe Yom HaShoah, we honor the memories of the over 6 million Jews and other victims of the Holocaust.

We must stand firmly against rising antisemitism and continue to combat hate and division wherever and whenever it occurs."|en|D|12|44
1519306865502474240|1343578440977494018|Wed Apr 27 13:25:58 +0000 2022|This is your reminder to call BS next time a major corporation claims they cannot possibly pay their workers a living wage ⬇️ https://t.co/jacSSRLYRx|en|D|41|146
1519052073576316939|1343578440977494018|Tue Apr 26 20:33:31 +0000 2022|"Happy #LesbianVisibilityDay!

I will never stop fighting for your right to be who you are, and love who you love🏳️‍🌈 https://t.co/XD1zfN293y"|en|D|11|92
1519017659093946372|1343578440977494018|Tue Apr 26 18:16:46 +0000 2022|"Small businesses are the backbone of Chicago's Southwest Side and suburbs.

I’m working to ensure these businesses have the resources and support they need to thrive.

Today, the House will pass FIVE bipartisan bills to address important challenges facing small businesses."|en|D|5|27
1518947753589719042|1343578440977494018|Tue Apr 26 13:38:59 +0000 2022|"🚨Announcing our May mobile service locations! 

No matter where you are on the Southwest Side and suburbs, my team is here to help you. Sign up here to make an appointment with my staff ⬇️
https://t.co/DMuTVBGD0T https://t.co/ePrSyZjQOc"|en|D|4|9
1518725309864071172|1343578440977494018|Mon Apr 25 22:55:05 +0000 2022|"The deadline for the Congressional Art Competition has been EXTENDED to this Wednesday. 

High school students in IL-03: submit your entries here!⬇️ https://t.co/dBR6H2GEBK https://t.co/BxaQ2oSpnd"|en|D|8|19
1518646196952350726|1343578440977494018|Mon Apr 25 17:40:43 +0000 2022|"Elon Musk paid $0 in federal taxes in 2018.

If he can afford Twitter, he can damn well afford to pay his fair share in taxes. We need a Billionaire Tax NOW."|en|D|55366|349431
1518584417048051712|1343578440977494018|Mon Apr 25 13:35:13 +0000 2022|"Addressing the teen mental health crisis has been one of my top priorities in office. 

I’m proud to have introduced legislation to increase support for school mental health professionals and support mental health helplines across the country. https://t.co/XqXGBjtmgI"|en|D|11|43
1518305127488176130|1343578440977494018|Sun Apr 24 19:05:25 +0000 2022|LGBTQ kids deserve to feel valued, seen and supported in school.|en|D|56|277
1517976008116297729|1343578440977494018|Sat Apr 23 21:17:37 +0000 2022|".@AviationAIM exemplifies what we need more of across the country: facilities to train the next generation of American workers. 

We’re so lucky to have this center on the Southwest Side, and I had a lovely visit! https://t.co/8ycaiZi807"|en|D|10|29
