id|user|created_at|text|lang|label|retweet_count|favorite_count
1520554123783020549|1080477288955826176|Sun May 01 00:02:08 +0000 2022|Our prayers are with the family and loved ones of Naomi Judd, a trailblazer whose songs touched the lives of many.|en|R|7|60
1520453704322891777|1080477288955826176|Sat Apr 30 17:23:06 +0000 2022|"👉Say no to China’s malign influence and dominance over the supply chain. 

👉Say yes to my bipartisan Western Hemisphere Nearshoring Act."|en|R|19|38
1520379029563523072|1080477288955826176|Sat Apr 30 12:26:22 +0000 2022|"➡️Fentanyl is the leading cause of death for young Americans. 

➡️@CBP is overwhelmed day after day. 

Why won’t President Biden do anything about it?"|en|R|31|116
1520164424732053504|1080477288955826176|Fri Apr 29 22:13:36 +0000 2022|"The Biden Administration’s Disinformation Governance Board is the cherry on top of its quest for power. It serves no other purpose than that. 
https://t.co/toT0Xy1KUz"|en|R|13|31
1520126284688461824|1080477288955826176|Fri Apr 29 19:42:03 +0000 2022|It’s time for @SecMayorkas to find a new job.|en|R|29|166
1520115797900861440|1080477288955826176|Fri Apr 29 19:00:23 +0000 2022|"China controls many essential resources in our supply chain.  

→ Rare earth metals needed for our military, penicillin, and PEE equipment. Addressing our dependence on Chinese manufacturing is crucial, which is why my bipartisan bill is so important."|en|R|38|51
1520082583404613632|1080477288955826176|Fri Apr 29 16:48:24 +0000 2022|"My bipartisan bill is a win-win-win: 

✅A US less dependent on Chinese manufacturing. 

✅Jobs + economic growth for Latin America. 

✅Addresses illegal immigration to our 
southern border. 
https://t.co/clC0x83ndc"|en|R|2|7
1520067407234150401|1080477288955826176|Fri Apr 29 15:48:06 +0000 2022|"Enjoyed meeting with Republic of Trinidad and Tobago Prime Minister Dr. Keith Rowley this week. Grateful for the opportunity to deepen the U.S.-Trinidad and Tobago relationship. 
https://t.co/oB6fOd9hb0"|en|R|1|2
1520054556616536065|1080477288955826176|Fri Apr 29 14:57:02 +0000 2022|🎙️Joined the Tennessee Star Report this morning to break down my Western Hemisphere Nearshoring Act: https://t.co/0UdbJkzAlr|en|R|2|3
1520037376617328640|1080477288955826176|Fri Apr 29 13:48:46 +0000 2022|"Two economic blows in one week. This should be President Biden’s wake up call. 

American GDP: Decreased 1.4% 
Inflation gauge: Jumped 6.6%."|en|R|13|40
