id|user|created_at|text|lang|label|retweet_count|favorite_count
1506668373131907072|1080574793630527505|Wed Mar 23 16:25:07 +0000 2022|Yesterday I joined with community stakeholders to celebrate $2 million in Community Project Funds secured for… https://t.co/BA8NePjnxd|en|R|4|7
1506361270227939334|1080574793630527505|Tue Mar 22 20:04:48 +0000 2022|"Happy #NationalAgricultureDay to all of the hardworking farmers across the Commonwealth and the nation.

Pennsylvan… https://t.co/evFlgvB1fT"|en|R|0|10
1506321904168222727|1080574793630527505|Tue Mar 22 17:28:22 +0000 2022|The rise in energy costs is due to the Biden administration's continued assault on our domestic energy production.… https://t.co/TB1H1g6BPo|en|R|20|40
1506202628988063744|1080574793630527505|Tue Mar 22 09:34:25 +0000 2022|TUNE IN: I’ll be joining Mornings with Maria on @FoxBusiness at 6:15AM! @MorningsMaria|en|R|6|15
1505955826560815112|1080574793630527505|Mon Mar 21 17:13:43 +0000 2022|This morning, PA State Troopers, Martin Mack III and Branden Sisca, were tragically killed in the line of duty. Tho… https://t.co/ya65vwPs9w|en|R|3|10
1505238648589070339|1080574793630527505|Sat Mar 19 17:43:54 +0000 2022|It was with profound sadness I learned of the passing of the great Don Young. The Dean of the House served Alaska w… https://t.co/6wGMdR8Byk|en|R|5|10
1504827401859182597|1080574793630527505|Fri Mar 18 14:29:45 +0000 2022|The White House should be using TikTok to inform the Russian people of the truth rather than misinform the American… https://t.co/sJu4ArGKGa|en|R|4|6
1504596077172957194|1080574793630527505|Thu Mar 17 23:10:33 +0000 2022|I joined Evening Edit on @FoxBusiness to discuss the sanctions crumbling Russia's economy and House Democrats' effo… https://t.co/VC8Obi2P6d|en|R|1|1
1504589456967450633|1080574793630527505|Thu Mar 17 22:44:15 +0000 2022|"The @WhiteHouse is using TikTok stars to mislead the American people about the cause of rising gas prices.

The Bid… https://t.co/AMijscQmYF"|en|R|3|7
1504527788971372546|1080574793630527505|Thu Mar 17 18:39:12 +0000 2022|TUNE IN: I'll be joining @FoxBusiness's @EveningEdit tonight at 6pm!|en|R|1|0
