id|user|created_at|text|lang|label|retweet_count|favorite_count
1519780595450195973|1081243468327018496|Thu Apr 28 20:48:24 +0000 2022|Yesterday, @SecMayorkas told me, my colleagues, and the American people that our border was secure — that it was not open. Mr. Secretary, this is simply not true. https://t.co/SgRvMPgJNd|en|R|3|6
1519443191447101444|1081243468327018496|Wed Apr 27 22:27:41 +0000 2022|"I have spoken with CBP agents. I have spoken with elected officials. 

They all say the same thing. 

They all say that this administration has abandoned them. https://t.co/i1u7tVGPAx"|en|R|137|428
1519377879985012737|1081243468327018496|Wed Apr 27 18:08:09 +0000 2022|"The solution to the border problem is achievable: 

✅Finish the border wall system
✅End catch-and-release
✅Continue Title 42
✅Support Law Enforcement

These are all commonsense solutions that are ignored by the left."|en|R|8|19
1519038827171614721|1081243468327018496|Tue Apr 26 19:40:53 +0000 2022|"At the border this week, law enforcement agents told me they felt forgotten by this Administration. 

I guaranteed them this – Republicans will not forget them. 

We will not stop fighting for them."|en|R|83|511
1518988750801494019|1081243468327018496|Tue Apr 26 16:21:54 +0000 2022|Title 42 is vital to the effort to secure our southern border. If abandoned, Title 8 would take its place, which would substantially lengthen the amount of time it takes to process immigrants on the border. https://t.co/kTk1pspEHg|en|R|16|67
1518705770929565696|1081243468327018496|Mon Apr 25 21:37:26 +0000 2022|If Tile 42 is removed, we will see a tidal wave of immigration that could lead to a loss of operational control at the border. Republicans are fighting to save Title 42. https://t.co/bknB3sgNVG|en|R|63|245
1518698060360081409|1081243468327018496|Mon Apr 25 21:06:48 +0000 2022|Our prayers are with the family and friends of Specialist Bishop Evans. These are good Americans on our border. They are there to help, and Specialist Evans gave his life in service to his country and his fellow man.|en|R|3|10
1518657980727762949|1081243468327018496|Mon Apr 25 18:27:32 +0000 2022|Fentanyl is a terrible &amp; dangerous drug. It’s taken the lives of too many Americans. It can be pressed into pills that look like prescription medication or cut into drugs like heroin and cocaine to increase potency.|en|R|7|11
1517135660276011008|1081243468327018496|Thu Apr 21 13:38:23 +0000 2022|"It’s absolutely tragic. 101 officers have been shot so far in 2022, a 63% increase compared to the same timeframe in 2020.

We don’t need to defund the police.

We need to provide our men and women in blue with the resources they need to return home to their families every day."|en|R|4|15
1516890732371628036|1081243468327018496|Wed Apr 20 21:25:07 +0000 2022|CBP saw a 500% increase in encounters in March 2022 compared to March 2020. Make no mistake — this is by design. Measures that Rs put in place to prevent this crisis have been dismantled by Biden, &amp; solutions that Rs have proposed have been blocked by Pelosi &amp; D.C. Democrats. https://t.co/ksDPzVTy92|en|R|1|2
1516852166840958980|1081243468327018496|Wed Apr 20 18:51:52 +0000 2022|ICYMI: As border agents prepare for a surge in immigrants in the coming months, I joined Mornings with Maria to discuss two important bills that would help the men and women of law enforcement and the fight to secure our homeland. https://t.co/zLKvQMOoLt|en|R|9|10
1516783045952610305|1081243468327018496|Wed Apr 20 14:17:13 +0000 2022|Last week, I visited the border, and one thing was clear – President Biden’s actions have helped create a border crisis, and his continued attacks on important tools used to reduce illegal immigration, like Title 42, will only make things worse. https://t.co/DsRXzEkDdc|en|R|13|26
