id|user|created_at|text|lang|label|retweet_count|favorite_count
1507393671477538818|827279765287559171|Fri Mar 25 16:27:11 +0000 2022|Today, we honor the heroes who have gone above and beyond the call of duty. Thank you for your service! https://t.co/EHADSpu25k|en|R|8|11
1507133480374837254|827279765287559171|Thu Mar 24 23:13:17 +0000 2022|Senate Democrats and some media outlets have suggested the GOP's treatment of Judge Brown Jackson was worse than th… https://t.co/WyvN1agWvS|en|R|21|89
1507092413243871234|827279765287559171|Thu Mar 24 20:30:06 +0000 2022|"The fact is Democrats can’t be trusted to fulfill their most basic governing duties.

Crimes go unprosecuted

Immig… https://t.co/42DmoIdV7X"|en|R|55|144
1507084772547477504|827279765287559171|Thu Mar 24 19:59:44 +0000 2022|Joined my friends @RepStefanik, @RepRichHudson, and @USRepGaryPalmer to kick off the annual @HouseGOP conference!… https://t.co/uwiqodUW2D|en|R|17|47
1506734807807664129|827279765287559171|Wed Mar 23 20:49:06 +0000 2022|Happy #NationalAgWeek! Thank you to all those within the agriculture and forestry industry and the 11,500+ producer… https://t.co/KsFtCBRZef|en|R|4|6
1506697081272078336|827279765287559171|Wed Mar 23 18:19:11 +0000 2022|"Thanks to President Biden’s ongoing war on American energy, gas prices are hitting record highs.

We must get back… https://t.co/61wemSSWol"|en|R|14|48
1506650528809369609|827279765287559171|Wed Mar 23 15:14:12 +0000 2022|Many congrats to the newly opened Wayne’s Seafood in Bienville Parish for their ribbon cutting this week! https://t.co/kqtn0ZEND7|en|R|4|17
1506611720181145610|827279765287559171|Wed Mar 23 12:40:00 +0000 2022|Yesterday was a difficult one for many in the paths of the storms in south Louisiana and across Texas and Oklahoma.… https://t.co/z4AgOcO3z8|en|R|3|36
1506267482163761159|827279765287559171|Tue Mar 22 13:52:07 +0000 2022|The Democrat Policy Committee office has been completely vacant every day for over two years. Explains a lot actual… https://t.co/RMm35nwDcl|en|R|35|63
1506225969165750279|827279765287559171|Tue Mar 22 11:07:10 +0000 2022|Prayers for safety in Louisiana and across the south today, and for our neighbors in Texas who endured the storms y… https://t.co/2E63Td4tmA|en|R|1|16
1505973799703003141|827279765287559171|Mon Mar 21 18:25:08 +0000 2022|He can’t stop winning! Congrats @samburns66, you make Shreveport proud! https://t.co/ETGeVPi0Bt|en|R|1|11
1505948064909037577|827279765287559171|Mon Mar 21 16:42:52 +0000 2022|I was happy to join @PelicanInst in support of Sr. Airman Faith Crocker who has been threatened with discharge unle… https://t.co/M5gCzBkqjW|en|R|7|24
1505151359955480578|827279765287559171|Sat Mar 19 11:57:03 +0000 2022|To my friend @repdonyoung, Dean of the House👇 https://t.co/zKzdSespnB|en|R|4|15
1504878143630413827|827279765287559171|Fri Mar 18 17:51:23 +0000 2022|The true courage is on the right. https://t.co/Ttxj2EW4FJ|en|R|8|45
1504545812088561669|827279765287559171|Thu Mar 17 19:50:49 +0000 2022|Thank you to my good friend, @SteveScalise for the cookie cake to celebrate House passage of my bill—the Save the L… https://t.co/jYKpFguazw|en|R|3|30
1504495797630607363|827279765287559171|Thu Mar 17 16:32:04 +0000 2022|#ForeverLSU https://t.co/lpUm8FPAXp|und|R|1|4
1504469893550280707|827279765287559171|Thu Mar 17 14:49:08 +0000 2022|"Running list of Democrat excuses for record-high inflation:
 
""It’s not actual inflation""
 
""It's transitory""
 
""It… https://t.co/7SkjL6C7Xg"|en|R|32|82
1504207538719449098|827279765287559171|Wed Mar 16 21:26:38 +0000 2022|"TUNE IN:

Our @HouseGOP members are heading to the House Floor to address Democrats attempt to shift blame for thei… https://t.co/NXeexJSWXY"|en|R|30|185
1504197117623083009|827279765287559171|Wed Mar 16 20:45:14 +0000 2022|I’m pleased to announce my bill, the Save the Liberty Theatre Act, just passed the House of Representatives. https://t.co/KQ0UbHoNT1|en|R|2|7
1504145215803826178|827279765287559171|Wed Mar 16 17:18:59 +0000 2022|"Now that the Democrats’ poll numbers are in the gutter, they are trying to claim they support police.

Their suppos… https://t.co/07vq999cly"|en|R|77|202
1504094339118551049|827279765287559171|Wed Mar 16 13:56:49 +0000 2022|President Zelenskyy presented to us a moving address in a rare joint session of Congress this morning. America stan… https://t.co/nz4SSmn13G|en|R|8|50
1504062315599179783|827279765287559171|Wed Mar 16 11:49:34 +0000 2022|I joined @FoxFriendsFirst this morning to preview Ukrainian President Zelenskyy’s major address to Congress and to… https://t.co/Db8aURmC5Z|en|R|3|16
1503785296437125124|827279765287559171|Tue Mar 15 17:28:48 +0000 2022|Let's just call this what it is: Taxpayer-funded propaganda. https://t.co/VXFeaDch9w|en|R|23|91
