id|user|created_at|text|lang|label|retweet_count|favorite_count
1520511308210356224|56864092|Sat Apr 30 21:12:00 +0000 2022|"Climate change is happening, and it's happening faster than ever before. Without action to reduce our greenhouse gas emissions, sea levels will rise, ocean life will disappear, and our planet will become inhabitable. 

The world needs a wake-up call. https://t.co/TC8HhHcYCW"|en|D|10|18
1520467771225559041|56864092|Sat Apr 30 18:19:00 +0000 2022|"I am thrilled that the NIH has officially announced the implementation of ACT for ALS's grant program to accelerate access to promising ALS drugs. 

The ALS community championed ACT for ALS so we could make this a reality. 

They are heroes."|en|D|29|137
1520414419657838592|56864092|Sat Apr 30 14:47:00 +0000 2022|"Our reliance on foreign oil leaves us vulnerable. 

It's time we become energy independent and fast-track the move toward clean, renewable energy sources so that we are not left to the whims of petrostates like Russia or Saudi Arabia. https://t.co/Z9PWS6Z0QG"|en|D|9|34
1520106327468609537|56864092|Fri Apr 29 18:22:45 +0000 2022|"Happy #ArborDay! This is your reminder of the positive impact planting a tree can have on our planet. 

As trees grow, they help stop climate change by removing carbon dioxide from the air, storing carbon in the trees and soil, and releasing oxygen into the atmosphere."|en|D|3|9
1520082745162186753|56864092|Fri Apr 29 16:49:02 +0000 2022|"I know Ukraine still needs more assistance. 

That’s why I’m proud the House passed the Ukraine Democracy Defense Lend-Lease Act this week, to cut through the red tape and ensure the U.S. can expedite the delivery of weapons and munitions to Ukraine. 🇺🇦"|en|D|6|27
1520039342739238912|56864092|Fri Apr 29 13:56:34 +0000 2022|"Jan. 6 White House call logs show a 7-hour gap in calls made by Fmr. President Trump—what is he hiding?

This week I re-introduced a bill to enhance existing laws about presidential transitions &amp; records to prevent this behavior. We've had enough secrets. https://t.co/Z9k5pgLzQZ"|en|D|12|33
1519782002357989376|56864092|Thu Apr 28 20:54:00 +0000 2022|"The fancy yachts &amp; private airplanes of Putin &amp; his cronies are tainted with the blood of Ukrainians. 

The Asset Seizure for Ukraine Reconstruction Act directs @POTUS to identify ways the US can seize these assets &amp; use those funds to support Ukraine #SanctionPutinsCronies"|en|D|6|13
1519760719469764611|56864092|Thu Apr 28 19:29:25 +0000 2022|"Ukrainians are fleeing in record numbers and the U.S. will offer refuge to 100,000 who've escaped Putin's war.

Just as we're extending a hand to our friends from Ukraine, we must be equally concerned about those in Afghanistan, Ethiopia, Syria, and all other war-torn nations. https://t.co/GmO8Zmzj2t"|en|D|7|22
1519724121503977473|56864092|Thu Apr 28 17:04:00 +0000 2022|"Protecting our nations networks and cyber infrastructure is essential to the safety of the American people. 

Watch my hearing with @AppropsDems and @CISAgov today at 1:30 PM: ➡ https://t.co/g98wk2SRvr"|en|D|2|7
1519421360447139842|56864092|Wed Apr 27 21:00:56 +0000 2022|I’ll be going live with @jaketapper in just a few minutes to discuss additional aid to Ukraine, and my recent travel to Eastern Europe. https://t.co/V99I2YanYL|en|D|2|16
1519413323019677696|56864092|Wed Apr 27 20:29:00 +0000 2022|"While big cats are beautiful animals, they're still dangerous. Escaped cats can harm their owners, their communities and the law enforcement where they live.

My #BigCatPublicSafety Act would keep first responders safe by outlawing roadside zoos and private ownership of big cats."|en|D|4|11
1519390928250699779|56864092|Wed Apr 27 19:00:00 +0000 2022|"We must make long-overdue investments in financial education because:

Financial Literacy = EMPOWERMENT
Financial Literacy = LESS financial STRESS

#FinancialLiteracyMonth 💵 📖 https://t.co/mKip5RMWyA"|en|D|5|6
1519376078006931456|56864092|Wed Apr 27 18:01:00 +0000 2022|"Too many bad actors in the firearms industry are getting away with illegal gun sales while Americans pay the price.

@RepDean and I are calling for @ATFHQ to hold gun dealers accountable and better enforce our nation's gun laws.

People deserve to feel safe."|en|D|1|7
1519363051291615232|56864092|Wed Apr 27 17:09:14 +0000 2022|"Today I joined the IL State Society for a wreath-laying at the Holodomor Memorial in a show of our continued support for Ukraine. 

Putin will soon learn that he can't wait out the resolve of Ukraine or the West.

Our resolve won't waver, and neither will our supply of munitions. https://t.co/WKwebpNzoR"|en|D|11|48
1519329737528721409|56864092|Wed Apr 27 14:56:51 +0000 2022|My @AppropsDems colleagues and I are meeting with @SecMayorkas to discuss the President’s budget request for @DHSgov. Watch me ask him about what Homeland Security is doing to help Ukrainian refugees: ➡ https://t.co/guNeoB9KYF|en|D|4|3
1519095480457773056|56864092|Tue Apr 26 23:26:00 +0000 2022|"When what we buy, what we eat, and what we drink can all make a difference. 

I'm proud to see an American company standing with Ukraine and I know this will have a positive impact on Ukrainians fighting for their freedom.🇺🇦 https://t.co/LIAVy3jkha"|en|D|8|13
1519093465509863425|56864092|Tue Apr 26 23:18:00 +0000 2022|"It’s time to support the American people at a time of war and threats to global democracy and freedom.

Big Oil must STOP hoarding profits: this is no time for price-gouging or profiteering."|en|D|8|24
1519058988838625280|56864092|Tue Apr 26 21:01:00 +0000 2022|.@HouseDemocrats &amp; @POTUS are #BuildingABetterAmerica: We are seeing the greatest single year of job creation in American history: 6.6 million jobs in the President’s first year, and President’s Biden has had the greatest average monthly jobs growth of ANY President in HISTORY.|en|D|5|6
1519037721339174912|56864092|Tue Apr 26 19:36:29 +0000 2022|"This week, the House will further support Ukraine with:
🇺🇦Ukraine Democracy Defense Lend-Lease Act: to help the U.S. send weapons &amp; supplies to Ukraine more efficiently
🇺🇦Asset Seizure for Ukraine Reconstruction Act: to seize &amp; sell assets of Putin’s cronies to help Ukraine"|en|D|6|8
1518728517927772161|56864092|Mon Apr 25 23:07:49 +0000 2022|"Right now I’m joining @BridgetDegnen to discuss my work to protect our environment in Chicago and around the country. 

Click here to watch the livestream: https://t.co/c8wiDiKNaz"|en|D|3|7
1518689050818924544|56864092|Mon Apr 25 20:31:00 +0000 2022|"Our diplomats returning to Lviv - and eventually to Kyiv - shows just how successful Ukraine has been in repelling Russia's assault on their capital. 

Re-opening our embassies is a tribute to Ukrainian resilience and will enable the State Department to better serve Ukraine."|en|D|7|23
1518669748199903234|56864092|Mon Apr 25 19:14:18 +0000 2022|"This weekend I joined the Graceland West Community Association and Ravenswood Neighbors Association in local cleanups for #EarthDay. 

It's important for all of us to do our best in ensuring we have a safe, and clean place to call home. ♻️🌍 https://t.co/kE9rKtyvA2"|en|D|1|10
1518304265436995585|56864092|Sun Apr 24 19:02:00 +0000 2022|"As experts predicted, COVID cases are increasing in many parts of the country. When these spikes happen, we must be careful and use the tools we have. 

Getting your booster is the best way to stay safe—especially if you are older, or immunocompromised. https://t.co/J1CXRceJRM"|en|D|4|15
1518274318320517120|56864092|Sun Apr 24 17:03:00 +0000 2022|"Ukrainians are strong. 

I've seen it here in Chicago and when I visited the country shortly after the Maidan. 

That strength and courage has allowed them to defend their homeland, but they need the ongoing support of the U.S. and its allies to win this war. #SlavaUkrayini https://t.co/q8O0dTYfE8"|en|D|5|23
1518243615910227969|56864092|Sun Apr 24 15:01:00 +0000 2022|"Today we recognize the #ArmenianGenocide and stand up against hatred and violence towards the Armenian community—a community that has been denied acknowledgment for the pain and violence they endured for far too long. 

We see you, and we stand with you today and every day."|en|D|10|18
1517986924337672192|56864092|Sat Apr 23 22:01:00 +0000 2022|"Tonight marks the end of Passover. 

I hope those who celebrated enjoyed a peaceful and reflective holiday!"|en|D|5|21
1517878711042772992|56864092|Sat Apr 23 14:51:00 +0000 2022|"After over $140 billion in damages from climate and weather disasters last year, America can't afford business as usual.
 
That's why I fought for the Bipartisan Infrastructure Law — and why I'll keep fighting to lower energy costs and create jobs with clean energy."|en|D|2|11
1517580747892264970|56864092|Fri Apr 22 19:07:00 +0000 2022|"My trip to three of Ukraine's border countries—Poland, Slovakia, and Romania—was eye opening. 

The work these countries have done to bring Ukraine much needed aid have surely saved countless lives. https://t.co/aUPN6DGYF9"|en|D|7|10
