id|user|created_at|text|lang|label|retweet_count|favorite_count
1507379087819644934|51228911|Fri Mar 25 15:29:14 +0000 2022|Today, we recognize the nation's highest military decoration, the Medal of Honor. Our military heroes go beyond the… https://t.co/qQYXxMpGJH|en|R|2|8
1507134484017291270|51228911|Thu Mar 24 23:17:16 +0000 2022|The call between President Biden and President Xi contained critical information relevant to the future of U.S.-Chi… https://t.co/5Qz2bgTeS1|en|R|2|7
1507081062752698368|51228911|Thu Mar 24 19:45:00 +0000 2022|🚨TUNE IN! In just a few minutes, @RepMcCaul and I will be holding a joint press conference on global threats where… https://t.co/qRwSGgT6u1|en|R|5|3
1506748316821958656|51228911|Wed Mar 23 21:42:47 +0000 2022|Secretary Madeleine Albright was a trailblazer and fierce defender of democracy globally. At a young age, she was f… https://t.co/BPeuVwOp0c|en|R|1|5
1506678001647460357|51228911|Wed Mar 23 17:03:22 +0000 2022|It is crucial that the Department of Defense receives the resources it needs to protect and defend our country from… https://t.co/R5iw8mohSH|en|R|7|6
1506328259264458755|51228911|Tue Mar 22 17:53:37 +0000 2022|Happy National AG Day! Thank you to the farmers across the U.S., especially those in OH-10, that dedicate their tim… https://t.co/Iet1m1uZdO|en|R|2|5
1506289807911178263|51228911|Tue Mar 22 15:20:50 +0000 2022|For weeks, the world has watched in horror as innocent Ukrainian civilians have been slaughtered. The IC must work… https://t.co/L1EKSpeUhM|en|R|53|127
1506011076357500928|51228911|Mon Mar 21 20:53:15 +0000 2022|"#ICYMI ➡️My latest interview with @MariaBartiromo on Russia's unprovoked war on Ukraine. 

📺WATCH: https://t.co/Emy1OySRyu"|en|R|1|0
1506003505391222785|51228911|Mon Mar 21 20:23:10 +0000 2022|The Biden Administration must take ownership for the rising gas prices and historically high inflation. The White H… https://t.co/dD8fD8YMzo|en|R|10|34
1505987705058041858|51228911|Mon Mar 21 19:20:23 +0000 2022|Congratulations to @SinclairCC on being awarded more than $318,000 in grant funding to advance their agricultural p… https://t.co/l4H0o2Acty|en|R|1|7
