id|user|created_at|text|lang|label|retweet_count|favorite_count
1520102462207795201|237299871|Fri Apr 29 18:07:23 +0000 2022|I have proven time &amp; again to be one of the most conservative members of Congress according to @ACUConservative who evaluates votes in areas such as honest and accurate elections, the 2A, personal liberty, low taxes, debt-junkie spending, etc. I'm Alabama’s conservative leader. https://t.co/tR2Uy0SdrY|en|R|12|56
1519338346153132032|237299871|Wed Apr 27 15:31:04 +0000 2022|I don’t just talk the talk at election time, I walk the walk when it comes to tough votes in Congress. That’s what is needed at this pivotal point in American history— conservatives who will take the fight to the Washington establishment. https://t.co/yY4S15AhSq|en|R|3|23
1518660921844977664|237299871|Mon Apr 25 18:39:13 +0000 2022|I joined dozens of my GOP colleagues in writing to @DHSgov Sec. Mayorkas demanding to know why he is working so diligently to dismantle border security and welcome illegal aliens to America. His actions have endangered American citizens and undermined our nation’s sovereignty. https://t.co/eHQ4N1O6h5|en|R|15|58
1516815837826592778|237299871|Wed Apr 20 16:27:31 +0000 2022|K-12 education is a state &amp; local responsibility. America doesn’t need federal bureaucrats forcing their socialist policy decisions on educators &amp; students. I’ve cosponsored @RepThomasMassie’s one-sentence bill: “The Department of Education shall terminate on December 31, 2022.” https://t.co/ceUWZRRtjf|en|R|25|59
1516490147310800896|237299871|Tue Apr 19 18:53:20 +0000 2022|Finally, a judge has ruled that the Biden Admin doesn’t have the authority to mandate masks—something patriotic Americans have known for months. Congress should pass my bill, the Freedom to Fly Maskless Act, to ensure future presidents don’t attempt similar unauthorized mandates. https://t.co/EP6ZM2w8uj|en|R|17|59
1516452593689665543|237299871|Tue Apr 19 16:24:07 +0000 2022|I wear Putin’s sanctions against me like a badge of honor. I stand firmly against Putin’s tyranny &amp; barbaric war crimes. He brought war to a peaceful people &amp; has slaughtered innocent Ukrainians. Russia should do what America regularly does, and replace its political leaders. https://t.co/VemWuzs9ho|en|R|14|57
1514976308593401861|237299871|Fri Apr 15 14:37:53 +0000 2022|Inflation is at a 40-year high thanks to Biden’s disastrous leadership. Americans are being crushed under the weight of soaring prices, emptying their wallets to pay for essentials like groceries &amp; gas. The numbers DON’T LIE. Biden’s policies = A BIG 👎! Americans deserve better! https://t.co/oGvSnffwXq|en|R|13|55
1514598424070471680|237299871|Thu Apr 14 13:36:18 +0000 2022|"My prayers are with those in West Alabama who were injured or suffered property damage in last night’s storm. Great job to the first responders and power crews who worked quickly in dangerous conditions to mitigate the storm’s damage. 
https://t.co/ewC7T8y6tC"|en|R|8|20
1514316979938680838|237299871|Wed Apr 13 18:57:57 +0000 2022|Congratulations to West Morgan Middle School’s rocketry team whose hard work and talent have earned them a spot in the 2022 @RocketContest National Finals— the world’s largest student rocket contest! Good luck to West Morgan at the Finals on May 14! https://t.co/g3PuG8yICv|en|R|3|7
1514275083921076229|237299871|Wed Apr 13 16:11:28 +0000 2022|Enough is enough! Americans are tired of the mandates. It's past time we return to our pre-pandemic lives. The Biden Admin needs reminding that America was founded on freedom. My bill, the “Freedom to Fly Maskless Act,” will prohibit further mask mandates. https://t.co/Q4J6vpXSSm|en|R|24|72
