id|user|created_at|text|lang|label|retweet_count|favorite_count
1507421307490680834|1060370282|Fri Mar 25 18:17:00 +0000 2022|This task force wouldn’t be necessary if the Biden Admin hadn’t scaled back domestic production and exports to begi… https://t.co/rcBoEGF9Qn|en|R|2|3
1507386611943751688|1060370282|Fri Mar 25 15:59:08 +0000 2022|Today we recognize our nation's Medal of Honor recipients and their heroism and sacrifice that earned them this hon… https://t.co/XIA4OotGAh|en|R|1|4
1507043013909958663|1060370282|Thu Mar 24 17:13:48 +0000 2022|"The Democrats’ solution to everything: throw money at the problem.

How about we unleash American energy production… https://t.co/juhjg74OAH"|en|R|7|25
1506738938341376009|1060370282|Wed Mar 23 21:05:31 +0000 2022|I spent the afternoon in Marshall County surveying the damage and assisting with the ongoing clean up. Huge thanks… https://t.co/XUuwTvC40l|en|R|3|7
1506672664118759427|1060370282|Wed Mar 23 16:42:10 +0000 2022|"This just means more regulation for our producers. 

The Biden Administration cares more about appeasing climate ac… https://t.co/EzjJ55WZfR"|en|R|1|4
1506657724007858176|1060370282|Wed Mar 23 15:42:48 +0000 2022|Every March, America recognizes and celebrates the accomplishments of women throughout history. Among these figures… https://t.co/uhqPGasxhE|en|R|1|3
1506627892972769287|1060370282|Wed Mar 23 13:44:16 +0000 2022|My heart breaks at the news of the tragic death of the six Tishomingo students yesterday. May God be near each of t… https://t.co/gQ9bInoKse|en|R|1|24
1506298438845190148|1060370282|Tue Mar 22 15:55:08 +0000 2022|With the time @POTUS spent pointing fingers, he could have reversed his anti-American energy agenda &amp; gotten produc… https://t.co/UYnJtaWjtO|en|R|9|31
1506283647112032258|1060370282|Tue Mar 22 14:56:21 +0000 2022|"When disaster strikes, neighbors always step up to help neighbors. It’s the Oklahoma Standard.

I am praying for al… https://t.co/Sr1Odm34Fb"|en|R|3|8
1506254376607916037|1060370282|Tue Mar 22 13:00:02 +0000 2022|The agriculture industry in Oklahoma generates billions for our economy and provides over 300,000 jobs across the s… https://t.co/foLjS7lvNK|en|R|15|46
1505991974498836485|1060370282|Mon Mar 21 19:37:21 +0000 2022|"I’m proud to join @RepCloudTX in his effort to protect our Second Amendment rights.

Read more about the No REGISTR… https://t.co/0h4a1igZPo"|en|R|1|8
1505908762489540621|1060370282|Mon Mar 21 14:06:42 +0000 2022|God bless these brave Marines for their sacrifice. Praying for their loved ones at this time. https://t.co/Vqsqz6gGX0|en|R|2|15
1505009151449214976|1060370282|Sat Mar 19 02:31:58 +0000 2022|I am saddened to hear of the passing of my friend and the Dean of the House, @repdonyoung. He dedicated 49 years of… https://t.co/8F99gqAwLU|en|R|2|18
1504860566510350336|1060370282|Fri Mar 18 16:41:32 +0000 2022|3 out of the 5 schools named the “Oklahoma Aviation High Schools of Excellence” are right here in OK-02! Congrats t… https://t.co/yFH4qbhQCx|en|R|1|6
1504822706998583307|1060370282|Fri Mar 18 14:11:06 +0000 2022|During Brain Awareness Week, I want to shed light on the millions of Americans who suffer traumatic brain injuries… https://t.co/Uei1dEFw0n|en|R|2|9
1504514674603311110|1060370282|Thu Mar 17 17:47:05 +0000 2022|“The connection between the Irish people and the Choctaw Nation shows that a simple act of kindness can bring natio… https://t.co/pUsSoEPri1|en|R|3|8
1504500648544505864|1060370282|Thu Mar 17 16:51:21 +0000 2022|Exciting news for the Second District! The expansion of the BrucePac food processing facility will bring 100 new jo… https://t.co/6K7kfbTqmD|en|R|1|4
1504451633316601860|1060370282|Thu Mar 17 13:36:35 +0000 2022|Last year, the number of illegal immigrant encounters and fentanyl seizures went up. But the number of deportations… https://t.co/YFQekr8M9b|en|R|4|9
1504194086118608899|1060370282|Wed Mar 16 20:33:11 +0000 2022|It was an honor to share my son’s story. Thanks to the Congressional Brain Injury Task Force and @biaamerica for al… https://t.co/eotaIQbGH5|en|R|3|12
1504164803350347780|1060370282|Wed Mar 16 18:36:49 +0000 2022|The U.S. is home to thousands of freedom-loving veterans who refuse to sit idle and watch the communist takeover of… https://t.co/ExT1uaHQrk|en|R|3|8
1504103746300784648|1060370282|Wed Mar 16 14:34:12 +0000 2022|It was an honor to hear directly from Ukrainian President Zelenskyy this morning during his direct address to Congr… https://t.co/85l47LQoyO|en|R|4|41
1503839331445878784|1060370282|Tue Mar 15 21:03:31 +0000 2022|Thanks for having me! https://t.co/W48mModF4G|en|R|2|4
1503787265633443840|1060370282|Tue Mar 15 17:36:37 +0000 2022|The Biden Administration thinks it can fool the American people and blame rising inflation and record gas prices on… https://t.co/vA0pxZxt0F|en|R|12|47
1503735573550350342|1060370282|Tue Mar 15 14:11:13 +0000 2022|Brain Awareness Week carries a whole different meaning for my son and our family since his traumatic brain injury i… https://t.co/oYJLppitzT|en|R|2|16
1503393084150886408|1060370282|Mon Mar 14 15:30:17 +0000 2022|".@POTUS said he “can’t do much right now” about gas prices.

Let’s make this easy:

1. End the federal freeze on al… https://t.co/ifxGtuYgej"|en|R|45|173
1502327792205189129|1060370282|Fri Mar 11 16:57:12 +0000 2022|The Biden Administration would like to blame record-high gas prices on the crisis in Ukraine. This is a far cry fro… https://t.co/buTMKPx7WO|en|R|5|21
1502288756690272265|1060370282|Fri Mar 11 14:22:05 +0000 2022|President Biden is trying to say his administration has done nothing to reduce energy production in the United Stat… https://t.co/ZbHUGT9ohH|en|R|13|43
1502015381329829895|1060370282|Thu Mar 10 20:15:47 +0000 2022|Today we recognize the 37 million adults in the U.S. who suffer from kidney disease, including more than 67,000 con… https://t.co/rweb1dfs4H|en|R|2|10
1501992164741558275|1060370282|Thu Mar 10 18:43:32 +0000 2022|"We’re seeing the real effects of rising inflation throughout Oklahoma.

Rising input costs are making it hard for i… https://t.co/qen5HSq5I3"|en|R|1|5
1501959732264902660|1060370282|Thu Mar 10 16:34:39 +0000 2022|Congratulations to the Lady Panthers for securing their first state championship win in the last 9.6 seconds of the… https://t.co/TyhKpLxGhj|en|R|1|4
1501935785678761997|1060370282|Thu Mar 10 14:59:30 +0000 2022|There are thousands of veterans who have voiced their willingness to join the Ukrainian people in their fight.… https://t.co/gL6ESx0tZH|en|R|4|19
1501917098964041729|1060370282|Thu Mar 10 13:45:15 +0000 2022|"🚨🚨President Biden’s record breaking week continues…
 
The CPI rose to 7.9% in February, breaking last months record… https://t.co/JvhbXBAXyY"|en|R|6|20
1501559521503813636|1060370282|Wed Mar 09 14:04:22 +0000 2022|Venezuelan President Maduro has been vocally supportive of Putin in response to recent economic sanctions. This is… https://t.co/NipxKSD6nr|en|R|48|148
1501296229195595777|1060370282|Tue Mar 08 20:38:08 +0000 2022|Thank you to Helen from the Oklahoma School Nutrition Association for stopping by this morning. We discussed the im… https://t.co/oPWQ4F9byj|en|R|2|17
1501241500734304264|1060370282|Tue Mar 08 17:00:40 +0000 2022|".@POTUS: ""It's simply not true that my administration or policies are holding back domestic production.""

FACT CHEC… https://t.co/DOObJkOd27"|en|R|2532|5497
1501217564663418886|1060370282|Tue Mar 08 15:25:33 +0000 2022|It’s important the American people hear from the Intelligence Community right now. Tune in to my hearing below ⬇️ https://t.co/cXs52wIkVS|en|R|2|4
1501202321992257552|1060370282|Tue Mar 08 14:24:59 +0000 2022|Congratulations  to the Tushka Tigers from Atoka County on this incredible win! Proud of these young men for their… https://t.co/l35dP9anRS|en|R|4|6
1500941171601911811|1060370282|Mon Mar 07 21:07:16 +0000 2022|Vice President Kamala Harris and DOT Secretary Pete Buttigieg spent the afternoon promoting electric vehicles and G… https://t.co/PD5oSybcDz|en|R|78|249
1500916847687917570|1060370282|Mon Mar 07 19:30:36 +0000 2022|Congress is back in session today. If @SpeakerPelosi is serious about banning the imports of Russian oil, she’d bri… https://t.co/Ty8wKool0f|en|R|4|21
1500906100857708545|1060370282|Mon Mar 07 18:47:54 +0000 2022|REMINDER! 📲 I am hosting a Telephone Town Hall TOMORROW at 6:30pm CT. I hope you’ll join me. Click here to sign up:… https://t.co/S96pki49jT|en|R|1|2
1500889884285935623|1060370282|Mon Mar 07 17:43:28 +0000 2022|Americans are now paying an average of over $4.00 for a gallon of gas. Prices haven’t been this high since 2008.… https://t.co/XkV4GaAPqk|en|R|19|108
1500142172221366278|1060370282|Sat Mar 05 16:12:19 +0000 2022|As our country battles the opioid epidemic, we need more conversations like this. Let’s end the stigma of getting t… https://t.co/PAsFuJehFV|en|R|4|9
