id|user|created_at|text|lang|label|retweet_count|favorite_count
1507408721764249600|2930635215|Fri Mar 25 17:27:00 +0000 2022|I introduced the Rural Prosperity Act to ensure rural communities like Central Washington have the support they nee… https://t.co/drNKGZr6eu|en|R|2|1
1507392347214127108|2930635215|Fri Mar 25 16:21:56 +0000 2022|It is absolutely unacceptable that Native American women in communities like ours in Central Washington face dispro… https://t.co/HbeRV9d4H5|en|R|5|6
1507385820856131594|2930635215|Fri Mar 25 15:56:00 +0000 2022|One of the biggest misconceptions about Daylight Saving Time is that farmers pushed for it, because “they needed da… https://t.co/Jub9RI4W4L|en|R|2|6
1507131897805041693|2930635215|Thu Mar 24 23:07:00 +0000 2022|Central Washingtonians know that removing the Lower Snake River Dams is not the cure-all to helping our salmon popu… https://t.co/wEaveo2TzN|en|R|2|4
1507108997060612096|2930635215|Thu Mar 24 21:36:00 +0000 2022|Barging on the Lower Snake River Dams is vital to our agriculture industry—and one of the cleanest forms of transpo… https://t.co/UVp8CDtiqz|en|R|2|10
1507086851139592200|2930635215|Thu Mar 24 20:08:00 +0000 2022|My office met with senior citizens this week regarding the Medicare Advantage program &amp; improving access to rural h… https://t.co/vYl8EzPe4j|en|R|3|1
1507065711683780608|2930635215|Thu Mar 24 18:44:00 +0000 2022|In January, I visited the @hanfordsite to view the progress on getting the Tank-Side Cesium Removal (TSCR) system o… https://t.co/DSimkEm56A|en|R|2|4
1507044320699981828|2930635215|Thu Mar 24 17:19:00 +0000 2022|Our longest-standing partners in land stewardship are our ranchers, sportsmen, foresters, and landowners. No one kn… https://t.co/JSyEh4WhDb|en|R|2|2
1507015836086591497|2930635215|Thu Mar 24 15:25:48 +0000 2022|Fatal drug overdoses and drug use, often fueled by the fentanyl crisis, are on the rise in our Central Washington c… https://t.co/Ae1fmTBDZQ|en|R|2|4
1506790900982169600|2930635215|Thu Mar 24 00:32:00 +0000 2022|We have a moral responsibility to save lives where possible in Ukraine. Establishing an international humanitarian… https://t.co/2YclK4m0rW|en|R|3|7
1506705112726659078|2930635215|Wed Mar 23 18:51:06 +0000 2022|Thank you to everyone who participated in yesterday's discussion on the Lower Snake River Dams and their impact on… https://t.co/QRNiDtruL5|en|R|1|5
1506401837385232390|2930635215|Tue Mar 22 22:46:00 +0000 2022|Yesterday, I visited McClure Elementary School in Grandview to view—and participate in—some of the work they're doi… https://t.co/4rKGHVppck|en|R|2|5
1506363585357832195|2930635215|Tue Mar 22 20:14:00 +0000 2022|Happy #NationalAgricultureDay, Central Washington! We are blessed to have so many men and women who work to feed ou… https://t.co/0cnotSesZK|en|R|3|11
1506348145713635332|2930635215|Tue Mar 22 19:12:39 +0000 2022|If you missed today’s conversation about the importance of the Lower Snake River Dams on agriculture and our way of… https://t.co/F1SjAnqtEX|en|R|3|3
1505946587586969601|2930635215|Mon Mar 21 16:37:00 +0000 2022|I rose to the floor to congratulate @ThisSpudsForYou newly elected President and Central Washingtonian, Jared Balco… https://t.co/1EtRhF0AUJ|en|R|6|10
1505670266709442562|2930635215|Sun Mar 20 22:19:00 +0000 2022|In honor of National Agriculture Day, I will be hosting a special event in the Tri-Cities with community members an… https://t.co/kzPPiNQJfK|en|R|4|8
1505636011224834052|2930635215|Sun Mar 20 20:02:53 +0000 2022|Today begins #NationalAgricultureWeek. I am honored to represent the many Central Washington producers who feed and… https://t.co/1dwSKJ84UE|en|R|2|5
1505599796077285386|2930635215|Sun Mar 20 17:38:58 +0000 2022|Always a pleasure to meet with you! https://t.co/SAzPDtZFep|en|R|2|4
