id|user|created_at|text|lang|label|retweet_count|favorite_count
1506749880148148230|252249233|Wed Mar 23 21:49:00 +0000 2022|Big Oil has made record profits in the last few years, choosing to shower their shareholders and executives in cash… https://t.co/Y2ECZMyoDA|en|D|6|16
1505983681688711180|252249233|Mon Mar 21 19:04:24 +0000 2022|ICYMI: I’m working with @SenJeffMerkley and the Oregon delegation to help the Port of Coos Bay establish a West Coa… https://t.co/utCdfS10lV|en|D|10|67
1505912416927985669|252249233|Mon Mar 21 14:21:13 +0000 2022|.@RBReich is right. It’s time to end Big Oil’s profiteering. I’ve introduced the Stop Gas Price Gouging Tax and Reb… https://t.co/oRlQeytWyq|en|D|10|22
1505243603865645069|252249233|Sat Mar 19 18:03:35 +0000 2022|Don was a force of nature. One of a kind. Despite our many disagreements, we were friends. His service as Chair of… https://t.co/kqixx2rEa5|en|D|5|21
1504849338891186178|252249233|Fri Mar 18 15:56:55 +0000 2022|It’s time to ban the use of M-44 devices on federal lands. There’s no reason to deploy these devices in the name of… https://t.co/21ldPk6on7|en|D|31|40
1504576766823866373|252249233|Thu Mar 17 21:53:49 +0000 2022|Big Oil isn’t even trying to hide their greed. They’re prioritizing profits and returning cash to shareholders over… https://t.co/PEPW6rfvuN|en|D|26|54
1504567589225312271|252249233|Thu Mar 17 21:17:21 +0000 2022|Through forced arbitration, companies can escape accountability for defrauding consumers and discriminating against… https://t.co/Z7hHDdnx8k|en|D|6|27
1504551322577739783|252249233|Thu Mar 17 20:12:43 +0000 2022|If Big Oil is going to engage in profiteering at the expense of working Americans, they can pay taxes on the exorbi… https://t.co/R6HguquEgj|en|D|16|43
1504546224938131459|252249233|Thu Mar 17 19:52:27 +0000 2022|Joined by @roryekennedy last night for a screening of her acclaimed documentary Downfall: The Case Against Boeing.… https://t.co/2INASr3C09|en|D|10|26
1504502114323738624|252249233|Thu Mar 17 16:57:11 +0000 2022|#BuildingABetterAmerica means making sure ALL Americans can get ahead. I’m working to ensure working Americans have a fair shot.|en|D|3|12
1504463259025481732|252249233|Thu Mar 17 14:22:47 +0000 2022|Big Oil has price-gouged Americans for too long, &amp; now they’re taking advantage of the Ukraine conflict to reap mor… https://t.co/GcihXwamTD|en|D|6|16
1504200285794746380|252249233|Wed Mar 16 20:57:49 +0000 2022|I was moved by Ukrainian President Zelensky’s bravery and leadership in his address to Congress this morning. We mu… https://t.co/MWpIzNg1KC|en|D|4|22
1504135383403180039|252249233|Wed Mar 16 16:39:55 +0000 2022|TODAY I am introducing legislation to go after Big Oil’s greed and help Americans with energy costs. My Stop Gas Pr… https://t.co/GwQYRxcVKd|en|D|33|122
1504123479918092291|252249233|Wed Mar 16 15:52:37 +0000 2022|#RelistWolves https://t.co/FGJNrDf0Gk|und|D|15|100
1503817307105153034|252249233|Tue Mar 15 19:36:00 +0000 2022|We’ve had the single greatest year of job creation in America and the fastest growing economy in nearly 40 years.… https://t.co/MAAYcYtwdW|en|D|3|18
