id|user|created_at|text|lang|label|retweet_count|favorite_count
1520523390053797889|1080584229510172678|Sat Apr 30 22:00:00 +0000 2022|It’s time to #TaxTheRich &amp; invest in our communities.|en|D|50|299
1520493190872244227|1080584229510172678|Sat Apr 30 20:00:00 +0000 2022|"It’s time we treat our immigrant neighbors with the dignity, respect, humanity &amp; compassion they deserve.
 
#Title42 is a racist &amp; inhumane policy and @POTUS is right to end it. From Ukraine to Haiti, our destinies are tied. https://t.co/4He3s01Co7"|en|D|22|74
1520462990910246912|1080584229510172678|Sat Apr 30 18:00:00 +0000 2022|It’s long past time for @POTUS to #CancelStudentDebt.|en|D|205|1605
1520191206960996358|1080584229510172678|Sat Apr 30 00:00:02 +0000 2022|"With the flick of a pen, @POTUS can #CancelStudentDebt and transform the lives of millions of Americans.

Let's get it done."|en|D|466|3254
1519813711250272256|1080584229510172678|Thu Apr 28 23:00:00 +0000 2022|"🚨🚨Today, our Post Disaster Mental Health Response Act passed out of committee &amp; heads to the House floor.

We must ensure that survivors of ALL tragedies can access the mental health resources they need to heal from their trauma, and we're closer than ever to getting this done. https://t.co/zGQeRnuVGX"|en|D|16|41
1519766227262050305|1080584229510172678|Thu Apr 28 19:51:19 +0000 2022|"Today I'm joining @RepJayapal, @RepEscobar, @janschakowsky &amp; @RepChuyGarcia for a press conference reaffirming our support for @POTUS' repeal of the racist, cruel &amp; inhumane Title 42 order.

Tune in now! https://t.co/3EJFMI4pA8"|en|D|19|71
1519692918918770688|1080584229510172678|Thu Apr 28 15:00:01 +0000 2022|"I want the #LongCOVID community to know that your symptoms are real and you deserve a bold federal response.
 
That’s why we need my bill, the #TREATLongCOVID Act, to expand Long COVID clinics and help our #LongHaulers get the care &amp; resources they need. https://t.co/TxDdgZRH2P"|en|D|64|184
1519482078743642112|1080584229510172678|Thu Apr 28 01:02:12 +0000 2022|"The power of clemency is immeasurable. 

We must do everything we can to #EndMassIncarceration and address the hurt inflicted by our criminal legal system. 

Join us tomorrow @ 6pm ET to discuss my #FIXClemencyAct and how we can do just that: https://t.co/EzIWjlrUVu https://t.co/uFWOKzuD5H"|en|D|22|73
1519454069135392769|1080584229510172678|Wed Apr 27 23:10:54 +0000 2022|"On her 95th birthday, I’m thinking of the brilliant #CorettaScottKing—movement leader, organizer, strategist, Black woman &amp; force for good whose legacy continues to pave the way.
 
Today is for you👑
https://t.co/iLDpi3vr84"|en|D|19|115
1519392142241767424|1080584229510172678|Wed Apr 27 19:04:50 +0000 2022|".@McKinsey, you are complicit in creating America’s opioid crisis and profiting off the pain of millions of families in MA &amp; beyond.
 
Your empty apologies are worthless. We demand accountability. https://t.co/Gj2BxNNf3E"|en|D|25|55
1519075825668308992|1080584229510172678|Tue Apr 26 22:07:54 +0000 2022|"Yes, please.
https://t.co/Sme5N0oTIk"|en|D|278|2065
1519028546466942977|1080584229510172678|Tue Apr 26 19:00:02 +0000 2022|".@POTUS' clemency announcements today are historic and will help set these individuals, their families, and communities on a pathway to healing.

With over 18,000 federal clemency applications pending, we must continue building on this progress.

My full statement: https://t.co/5GZ1lMb4MX"|en|D|22|63
1518726549364789248|1080584229510172678|Mon Apr 25 23:00:00 +0000 2022|"The student loan payment pause has allowed families to remain safely housed, buy essential goods, purchase a home &amp; more.

Imagine how transformative &amp; impactful it would be for @POTUS to #CancelStudentDebt? https://t.co/eb2Pt9YRH1"|en|D|35|134
1518711448251207680|1080584229510172678|Mon Apr 25 22:00:00 +0000 2022|"Grateful to join our survivor community for a moment of love, support &amp; healing this weekend at the 12th annual @BARCC Walk for Change.

From isolation to community. From brokenness to wholeness. From the darkness to the light. I love you all.

https://t.co/U6pogitUkA"|en|D|9|34
1518349063053144065|1080584229510172678|Sun Apr 24 22:00:00 +0000 2022|"Nearly 200,000 children have lost one or both parents to COVID-19.
 
We can’t have a just and equitable pandemic recovery without addressing our growing childhood trauma crisis.
https://t.co/H6Vc9CkdWr"|en|D|50|171
1518318863070416901|1080584229510172678|Sun Apr 24 20:00:00 +0000 2022|"Our communities have waited long enough. 

@POTUS has the authority to #CancelStudentDebt and provide real, tangible relief to millions of borrowers. It’s time to act."|en|D|231|1254
1518288669886529536|1080584229510172678|Sun Apr 24 18:00:01 +0000 2022|"Last week, my team and I stopped by @yambamarket, the first Black-owned recreational cannabis dispensary in Cambridge.
 
Black &amp; brown folks have been devastated by the failed War on Drugs &amp; it's critical that they reap the financial rewards of our expanding cannabis industry. https://t.co/yn0Mqjcd1H"|en|D|29|129
1518273564738084864|1080584229510172678|Sun Apr 24 17:00:00 +0000 2022|"Abortion care is a fundamental human right. Full stop.

The Senate must abolish the filibuster and pass the Women's Health Protection Act to codify abortion rights once and for all."|en|D|121|648
1517956475905200129|1080584229510172678|Sat Apr 23 20:00:00 +0000 2022|Say it with me, abortion care is a fundamental human right.|en|D|381|2623
1517926278262886400|1080584229510172678|Sat Apr 23 18:00:01 +0000 2022|"Our Black maternal health Crisis is the result of a systemically racist health care system that too often discounts our pain, ignores our voices &amp; disregards our lives.
 
Birthing while Black should not be a death sentence &amp; Congress must step up.
https://t.co/Z8Z2PbsI7e"|en|D|31|96
1517898037724651522|1080584229510172678|Sat Apr 23 16:07:48 +0000 2022|"I want the #LongCOVID community to know that what you’re experiencing is not imaginary. It is real &amp; you deserve help.
 
That’s why I won't stop fighting to #TREATLongCOVID &amp; get our #LongHaulers the care &amp; resources they need.
https://t.co/ZAiO0rgmMM"|en|D|210|824
1517604348011950080|1080584229510172678|Fri Apr 22 20:40:46 +0000 2022|"Climate change is an existential threat and time is running out.

This #EarthDay and every day, we reaffirm our commitment to climate justice, protecting our communities &amp; preserving our planet for future generations.

We need a Green New Deal NOW!🌱 https://t.co/x5gG3x2txd"|en|D|34|96
1517518542635163648|1080584229510172678|Fri Apr 22 14:59:49 +0000 2022|"Every day that we don’t #CancelStudentDebt, millions of people—especially Black &amp; brown folks—are crushed by this nearly $2 trillion crisis. 
 
@POTUS can lift this burden TODAY by canceling student debt once and for all."|en|D|200|1011
1517231701058932736|1080584229510172678|Thu Apr 21 20:00:00 +0000 2022|"Building a new community health center at Randolph High School will improve the physical wellness of our young people and their readiness to learn.
 
Proud to deliver $1M in federal funding to do just that. https://t.co/BfxUs78m06"|en|D|10|42
1517201503445864448|1080584229510172678|Thu Apr 21 18:00:01 +0000 2022|"Every day that we don’t #CancelStudentDebt, we deny millions of people the opportunity to buy homes, start families, contribute to our economy &amp; more. 

We are holding entire generations back. @POTUS must act before it’s too late."|en|D|248|1280
1517171304218214400|1080584229510172678|Thu Apr 21 16:00:01 +0000 2022|"People don’t deserve less because they can’t afford more.

That’s why we must make public transit fare-free, so folks can move through community with the dignity they deserve.
https://t.co/xwF4WMHDZ5"|en|D|17|104
1516918317721792513|1080584229510172678|Wed Apr 20 23:14:44 +0000 2022|"A welcome &amp; long-overdue action that'll help borrowers who haven't received the forgiveness they were promised.
 
With our nearly $2T student debt crisis crushing over 45M borrowers, we still need @POTUS to #CancelStudentDebt to close the racial wealth gap &amp; boost our recovery. https://t.co/GbLO5LInqd"|en|D|62|254
1516854021105016834|1080584229510172678|Wed Apr 20 18:59:15 +0000 2022|"It's 4/20 and we still need to legalize marijuana, expunge records, and end the War on Drugs that has ravaged Black &amp; brown communities.

Cannabis justice is racial &amp; economic justice and the time to act is now. https://t.co/9xTRHz3UD2"|en|D|153|580
1516537128498319361|1080584229510172678|Tue Apr 19 22:00:01 +0000 2022|"Hey #MA7, we're holding a virtual town hall TOMORROW Wednesday, April 20th @ 7pm ET!
 
We'll take questions, discuss our work in Congress &amp; Sen. @LydiaMEdwards will give a State House update, including the news on the passage of the #CROWNAct.
 
Join us! https://t.co/D0PLuqoGbt https://t.co/tuntALy2vJ"|en|D|15|33
1516144536744960002|1080584229510172678|Mon Apr 18 20:00:00 +0000 2022|"Like COVID-19 generally, #LongCOVID may disproportionately impact communities of color.
 
That’s why we need better data on the prevalence of Long COVID &amp; to pass my #TREATLongCOVID Act so we can ensure our most vulnerable communities get the care they deserve."|en|D|35|129
1516114341589704706|1080584229510172678|Mon Apr 18 18:00:01 +0000 2022|"Last week, we delivered $1M in federal funding for a brand new community health center at Randolph High School.
 
Randolph residents have struggled to access healthcare services for far too long &amp; this community-driven project would help change that.
 
https://t.co/9nKL09fJW8"|en|D|15|30
1516084136204775432|1080584229510172678|Mon Apr 18 16:00:00 +0000 2022|Let’s be real, every day would be a good day to #CancelStudentDebt. Let’s get it done, @POTUS.|en|D|381|2674
