id|user|created_at|text|lang|label|retweet_count|favorite_count
1507382556781645833|1077446982|Fri Mar 25 15:43:02 +0000 2022|"Honored to attend this historic groundbreaking &amp; make Texas home to the Medal of Honor Museum.

On National… https://t.co/8UELlarMJ7"|en|R|2|6
1507374287367327753|1077446982|Fri Mar 25 15:10:10 +0000 2022|Americans deserve a leader who will take border security seriously &amp; will utilize the resources available to addres… https://t.co/mdliGPcO6q|en|R|15|58
1506795447393865738|1077446982|Thu Mar 24 00:50:04 +0000 2022|#TX25 ranchers have been seriously impacted by the wildfires burning across the state and more help is needed to en… https://t.co/Yaxz6ajEK7|en|R|3|3
1506288085939720202|1077446982|Tue Mar 22 15:13:59 +0000 2022|"Happy National Agriculture Day!
Today we recognize the hardworking farmers and ranchers in #TX25 and across the cou… https://t.co/ha7V1yh8J0"|en|R|1|6
1505721868866801664|1077446982|Mon Mar 21 01:44:03 +0000 2022|Rest in Peace to a dear friend, John Roach. John was a leader and visionary for the the TCU &amp; Fort Worth community.… https://t.co/DAT5N6XMeO|en|R|3|9
1505003070694072321|1077446982|Sat Mar 19 02:07:48 +0000 2022|"Saddened to hear of the passing of my colleague and the longest serving member of Congress, Rep. Don Young. 
Though… https://t.co/EUlM7QwCoJ"|en|R|19|69
1504925733688418304|1077446982|Fri Mar 18 21:00:29 +0000 2022|The Biden Administration's failed policies that have led to record inflation and gas prices have negatively impacte… https://t.co/JNSbiT1uZh|en|R|1|2
1504853917838245888|1077446982|Fri Mar 18 16:15:07 +0000 2022|Honored to receive the @accausa's “Coolest in Congress” award and be recognized for my work to support the HVAC-R i… https://t.co/8WZEX5VoXr|en|R|1|6
1504529151016984576|1077446982|Thu Mar 17 18:44:37 +0000 2022|Enjoyed a visit from Danielle and @ralphdrollinger. I continue to be inspired by their mission to share the Gospel… https://t.co/KjFq4rHOn7|en|R|1|11
1504453597077123085|1077446982|Thu Mar 17 13:44:23 +0000 2022|"""The U.S. has the potential to be a lead exporter of oil and natural gas, but in order to do so, President Biden mu… https://t.co/VztLmYiODu"|en|R|3|4
1504104438180499459|1077446982|Wed Mar 16 14:36:57 +0000 2022|Honored to witness President Zelenskyy's historic address to Congress. His words of courage marked a powerful momen… https://t.co/1xQvjoJ3Ic|en|R|4|11
1503771186391572487|1077446982|Tue Mar 15 16:32:44 +0000 2022|"Under the Biden Administration, we have now seen over 2.2 MILLION migrants trying to cross our border illegally.

T… https://t.co/23WBlk4iZg"|en|R|2|3
1503458749192851458|1077446982|Mon Mar 14 19:51:13 +0000 2022|President Biden conveniently blames Putin for rising gas costs but the truth is prices have been rising EVERY month… https://t.co/VoCdev7get|en|R|3|6
1502000382544912391|1077446982|Thu Mar 10 19:16:11 +0000 2022|"Last night, I voted ""no"" on the Democrats' reckless $1.5 trillion House spending bill.

This bill:
- increases spen… https://t.co/Mko6OcUvcz"|en|R|2|11
1501984609726345219|1077446982|Thu Mar 10 18:13:31 +0000 2022|"This decision to extend the mask mandate on planes is not based on science or logic, but control.

I joined my coll… https://t.co/6Q6w6CV8qG"|en|R|3|14
1501934452024348692|1077446982|Thu Mar 10 14:54:12 +0000 2022|"🚨Inflation has reached 7.9%.

A year of Democrats’ tax-and-spend policies has caused hardworking Texans to pay more… https://t.co/O8rAIte1Sg"|en|R|5|6
1501588438256074755|1077446982|Wed Mar 09 15:59:16 +0000 2022|Enjoyed meeting with the bright young leaders from @TarletonState this morning at the U.S. Capitol and sharing more… https://t.co/tY3p5oMcxP|en|R|2|7
1501339563213606917|1077446982|Tue Mar 08 23:30:20 +0000 2022|The Democrats' disasters policies have made it more expensive for businesses to operate &amp; is contributing to the in… https://t.co/qHAOkg8FqW|en|R|3|7
