id|user|created_at|text|lang|label|retweet_count|favorite_count
1520116611826569217|28602948|Fri Apr 29 19:03:37 +0000 2022|Honored to address #LHCCONGRESO2022 to uplift the important efforts made by @NRDems to conserve and protect our most precious public resources and lands and highlight the critical #EJforAll Act to protect public health and give communities power against polluting corporations. https://t.co/ePWNo4gL8z|en|D|3|7
1520087728146235393|28602948|Fri Apr 29 17:08:50 +0000 2022|Workers, in the US, #ElSalvador and around the world, deserve the right to organize and make their voices heard without fear of retaliation or arrest. I condemn the Salvadoran government’s attempts to criminalize unions for marching in defense of labor rights and democracy.|en|D|122|325
1519695689323794435|28602948|Thu Apr 28 15:11:01 +0000 2022|.@USPS Postmaster Dejoy is a lingering Trump​-era appointee working to undermine the all-of-government approach to climate. It's no surprise that his NEPA review was shady and sub-standard. We should continue to hold our government accountable for its decisions on climate change. https://t.co/c6UE1dBtOR|en|D|9|25
1519678035812835336|28602948|Thu Apr 28 14:00:52 +0000 2022|"There has never been a better time to #CancelStudentDebt. 

By canceling student debt, we can stimulate our economy, lift up disproportionately impacted communities, and allow millions of families to make better decisions about building wealth and securing their futures. https://t.co/WUtSKj9xge"|en|D|22|83
1519046753701478407|28602948|Tue Apr 26 20:12:23 +0000 2022|"The transition to clean energy requires critical minerals. But that doesn’t mean we should sacrifice our environment and public health. 

We need #MiningReform.

I introduced The Clean Energy Minerals Reform Act to modernize our mining laws and support our #CleanEnergy future. https://t.co/v9cXoUdtVh"|en|D|34|42
1518974822654566400|28602948|Tue Apr 26 15:26:33 +0000 2022|"It was a pleasure to join @ClimatePower for their Latino Roundtable. 

Our conversation underscored the need to engage Latinos on climate, to #ActOnClimate to guarantee #EJforAll  for Latinos &amp; underserved communities &amp; to ensure a clean energy transition for future generations. https://t.co/dMS9hZ91dl"|en|D|9|34
1518699707794608134|28602948|Mon Apr 25 21:13:21 +0000 2022|The Trump-initiated Title 42 was part of his anti-immigrant hate and fear agenda that used the pandemic as an excuse to deny asylum seekers their legal rights to due process. It must end now. #NoSonOlvidados|en|D|43|156
1518018705321447424|28602948|Sun Apr 24 00:07:17 +0000 2022|We rallied in Phoenix today in celebration of #EarthDay and to call on leaders in the Senate and across the country to deliver on climate change, energy, jobs and health. This fight isn’t just about us. It’s a fight for future generations. https://t.co/0t2hq05NYC|en|D|17|69
1517573515813310465|28602948|Fri Apr 22 18:38:15 +0000 2022|On #EarthDay we are reminded of our responsibility to protect the planet. We've seen the reports &amp; know we must #ActOnClimate. I will continue to push the #EJ4All Act to protect public health, protect our environment &amp; give communities real power against corporate polluters. https://t.co/thLyXlqPUF|en|D|5|19
1517250097355976706|28602948|Thu Apr 21 21:13:07 +0000 2022|With the help of communities like Tucson and others across the country, we’re going to pass the #EJForAll Act. Check out our recap of the briefing I hosted with county, city, tribal and community leaders. https://t.co/SiGFKeTyGA|en|D|8|13
1516958494120759296|28602948|Thu Apr 21 01:54:23 +0000 2022|I addressed county, city, local, tribal and community leaders on efforts to pass the #EJforAll bill, updates on PFAS and the Justice40 initiative. Thanks to @TucsonRomero, @SupGrijalva and @PYTribe Chair Yucupicio for their input on the impact of this bill on their communities. https://t.co/LiuO4bg4VI|en|D|6|18
